time,text
2024-04-13T15:56:11.689+03:00,"Императорские инвестидеи? Да полно!

{$NLMK}  {$LSRG}"
2024-04-13T14:46:41.274+03:00,"{$LSRG}  так же отработала вчера идею в шорт. (Забыл написать)
Пока суббота и... Наша биржа отдыхает, то я продолжаю изучать крипто-рынок. Удивляюсь ему и он еще больше меня затягивает😁"
2024-04-13T14:46:09.671+03:00,"Всем добрый день ☀ 🌝⏰
Хороших выходных 🤝

Ожидаемые корпоративные события на предстоящей неделе:

*12 апреля 2024 не было сообщено о результатах события:
🇷🇺 {$AFLT} - СД Аэрофлот. В повестке вопрос о подходе к распределению чистой прибыли/убытков за 2023 г.
🇷🇺 {$ALRS} - СД АЛРОСА. В повестке вопрос о рекомендациях ГОСА по распределению прибыли по результатам 2023 г., в т.ч. по размеру дивидендов по акциям и порядку их выплаты
▫️ $NAUK - СД НПО ""Наука"". В повестке вопрос о рекомендации по распределению прибыли, в т.ч. по размеру дивиденда по акциям и порядку его выплаты

▶️15.04.2024 - ПОНЕДЕЛЬНИК
🇷🇺 {$AKRN} - СД Акрон. В повестке вопрос о рекомендациях по распределению прибыли по результатам 2023 г. (в т.ч. о выплате (объявлении) дивидендов по результатам 2023 г.)

▶️16.04.2024 - ВТОРНИК
🇷🇺 {$FIVE} - X5 Group опубликует операционные результаты за I кв. 2024 г.

▶️17.04.2024 - СРЕДА
💊 {$LIFE} - ВОСА Фармсинтез. В повестке вопрос об увеличении уставного капитала путем размещения дополнительных акций посредством открытой подписки
🇷🇺 {$LSRG} - ГОСА Группы ЛСР. В повестке вопрос о распределении прибыли по результатам отчетного 2023 года (рекомендация СД в размере 100,00 руб на акцию)

▶️18.04.2024 - ЧЕТВЕРГ
🛡 {$POSI} - последний день с дивидендом 47,30 руб
🥇 {$MGKL} - СД МГКЛ. В повестке вопросы о рекомендациях ГОСА по распределению прибыли и размеру дивидендов по акциям и порядку его выплаты по результатам деятельности за 2023 г.
🔌 {$TGKN} - СД ТГК-14. В повестке вопросы о рекомендациях по распределению прибыли и убытков по итогам 2023 финансового года, по размеру дивидендов по акциям и порядку их выплаты
🇷🇺 {$TRMK} - СД ТМК. В повестке вопрос о выплате дивидендов по итогам 2023 г.

▶️19.04.2024 - ПЯТНИЦА
🛡 {$POSI} - дивгэп (закрытие реестра по дивидендам 47,30 руб в субботу 20.04.2024)

▶️21.04.2024 - ВОСКРЕСЕНЬЕ
🌐 {$TTLK} - ОСА Таттелеком. В повестке вопросы, связанные с созывом и подготовкой к проведению ГОСА 15 мая 2024 г., в т.ч. распределение прибыли и выплата (объявление) дивидендов по результатам 2023 г."
2024-04-13T14:12:54.671+03:00,"⚡️Ожидаемые корпоративные события на предстоящей неделе:

🗓15.04.2024 - ПОНЕДЕЛЬНИК
🟢 {$AKRN} - СД по дивидендам за 2023 год

⚡️Ранее не опубликованные события:
🟢 {$AFLT} — СД по дивидендам.
🟢 {$ALRS} — СД по дивидендам.

🗓16.04.2024 - ВТОРНИК
🟢 {$FIVE} - X5 Group опубликует операционные результаты за I кв. 2024 г.

🗓17.04.2024 - СРЕДА
🟢 {$LIFE} - ВОСА по вопросу допэмиссии путем открытой подписки
🟢 {$LSRG} - ВОСА по дивидендам за 2023г - 100руб/акция

🗓18.04.2024 - ЧЕТВЕРГ
🟢 {$POSI} - последний день с дивидендом 47,30 руб
🟢 {$MGKL} - СД по дивидендам за 2023 год
🟢 {$TGKN} - СД обсудит дивиденды за 2023 год
🟢 {$TRMK} - СД по дивидендам за 2023 год

🗓19.04.2024 - ПЯТНИЦА
🟢 {$POSI} - дивгэп (закрытие реестра по дивидендам 47,30 руб в субботу 20.04.2024)"
2024-04-13T13:26:48.738+03:00,"Результат за две недели ~ 738667 рублей (39% к депозиту) .   
 
{$LSRG}  «Спасибо Этому Дому Пойду К Другому» 
 Набрал позицию по 930 рублей и планировал сидеть до дивидендов , а остальными средствами спекулировать .   Когда цена была 930 рублей кто то «Переливал -  передавал» между собой , незаметные айсберги - любой пролив тут же откупали роботом  

По текущим пошла раздача что набрана снизу и поэтому я решил закрыть позицию +21% ~ 500 тысяч рублей . 

Позицию восстановлю после охлаждения индекса в районе 1000-1050

{$GLTR}  Держал позицию в 5000 лотов со средней 690 за 11 дней до отчета  . Выкладывал таблицу что БКС крупно шортят эту акцию перевес был 1 Лонг на 10 шортов и сам не поверил что вынос будет такой сильный и быстрый  . Позицию закрыл быстро и немного пожалел ~ Результат 151 тысяча

{$PIKK} Очень странные движенения происходят , Одновременно давят вниз чтоб набрать шорты , а так же подставляют плиты кто разом выкупает по 10-15 тысяч лотов 
 Физики шортят  - Юрики Лонгуют . 
Сидел неделю в позиции - Результат ~ 124 тысячи 
 На следующей неделе буду следить за Данной акцией 

{$BRK4} Брал  под конфликт Израиль - Иран  по 90,15 , а сдал   по 92,21 ~ Примерно 80 тысяч рублей 
Взял снова позицию по 90,88 .  Новой горячей точке может не быть , но я ожидаю ограничения на Ормузским пролив для некоторых стран. Это переставит котировки нефти на 93-94 
При цене нефти 94+ и выше вероятно что начнутся словесные интервенции со стороны ОПЕК+ о возможном выходе из добровольных ограничений"
2024-04-13T13:25:28.357+03:00,"📆 Ожидаемые корпоративные события на предстоящей неделе:

🔴 12 апреля 2024 не было сообщено о результатах события:
🇷🇺 {$AFLT} - СД Аэрофлот. В повестке вопрос о подходе к распределению чистой прибыли/убытков за 2023 г.
🇷🇺 {$ALRS} - СД АЛРОСА. В повестке вопрос о рекомендациях ГОСА по распределению прибыли по результатам 2023 г., в т.ч. по размеру дивидендов по акциям и порядку их выплаты
▫️ {$NSVZ} - СД НПО «Наука». В повестке вопрос о рекомендации по распределению прибыли, в т.ч. по размеру дивиденда по акциям и порядку его выплаты

📌 15.04.2024 - ПОНЕДЕЛЬНИК
🇷🇺 {$AKRN} - СД Акрон. В повестке вопрос о рекомендациях по распределению прибыли по результатам 2023 г. (в т.ч. о выплате (объявлении) дивидендов по результатам 2023 г.)

📌 16.04.2024 - ВТОРНИК
🇷🇺 {$FIVE} - X5 Group опубликует операционные результаты за I кв. 2024 г.

📌 17.04.2024 - СРЕДА
💊 {$LIFE} - ВОСА Фармсинтез. В повестке вопрос об увеличении уставного капитала путем размещения дополнительных акций посредством открытой подписки
🇷🇺 {$LSRG} - ГОСА Группы ЛСР. В повестке вопрос о распределении прибыли по результатам отчетного 2023 года (рекомендация СД в размере 100,00 руб на акцию)

📌 18.04.2024 - ЧЕТВЕРГ
🛡 {$POSI} - последний день с дивидендом 47,30 руб
🥇 {$MGKL} - СД МГКЛ. В повестке вопросы о рекомендациях ГОСА по распределению прибыли и размеру дивидендов по акциям и порядку его выплаты по результатам деятельности за 2023 г.
🔌 {$TGKN} - СД ТГК-14. В повестке вопросы о рекомендациях по распределению прибыли и убытков по итогам 2023 финансового года, по размеру дивидендов по акциям и порядку их выплаты
🇷🇺 {$TRMK} - СД ТМК. В повестке вопрос о выплате дивидендов по итогам 2023 г.

📌 19.04.2024 - ПЯТНИЦА
🛡 {$POSI} - дивгэп (закрытие реестра по дивидендам 47,30 руб в субботу 20.04.2024)

📌 21.04.2024 - ВОСКРЕСЕНЬЕ
🌐 {$TTLK} - ОСА Таттелеком. В повестке вопросы, связанные с созывом и подготовкой к проведению ГОСА 15 мая 2024 г., в т.ч. распределение прибыли и выплата (объявление) дивидендов по результатам 2023 г.

❗️В профиле рассказал о доходности 😏"
2024-04-13T12:07:09.733+03:00,"🇷🇺 Итоги недели 8-12 апреля

Российский рынок завершает неделю на позитивной ноте. {$IMOEXF} Индекс МосБиржи старается закрепиться выше 3450 пунктов, обновляя максимумы с февраля 2022 года, ведомый спросом на ликвидные бумаги сырьевых секторов.

☝️ Лидеры роста ☝️

Наиболее сильно выглядел ряд бумаг металлургического сектора - в первую очередь акции {$GMKN} НорНикеля, {$RUAL} РУСАЛа и {$PLZL} Полюса. Их переоценке способствовал уверенный рост цен на драгоценные и промышленные металлы. 

Рекомендация {$NLMK} СД НЛМК выплатить дивиденды по итогам 2023 года в размере 25,43 руб. вернула бумаги в число привлекательных дивидендных идей. 

В нефтегазовом секторе рост был более сегментированным, фокусируясь в «весовых» акциях {$LKOH} ЛУКОЙЛА, {$GAZP} Газпрома и в бумагах {$BANE} Башнефти, обновивших максимумы с 2017 года.
Подросли дивидендные бумаги, в частности, акции {$LSRG} ЛСР и расписки {$HHRU} HeadHunter, а также Банк Санкт-Петербург, Магнит, МТС, Аэрофлот. 

👇Снижались на этой неделе👇 

В аутсайдерах недели – безыдейный на фоне слабости рынка угля {$MTLR} Мечел и откатившиеся от пиков {$OZON} и {$VSMO} ВСМПО.

📍Сохраняем позитивный взгляд на российский рынок акций. Ключевой поддержкой рынку выступают стартующий дивидендный сезон, ожидания отчетностей за l квартал, а также дорогая нефть. Рассчитываем на движение индекса МосБиржи на следующей неделе в зону 3500+ пунктов.
💡 Аналитический Центр ПСБ

🎁Тинькофф Премиум БЕСПЛАТНО👉👉👉 https://www.tinkoff.ru/baf/2sAG2S4QnYY"
2024-04-13T11:12:01.395+03:00,"Заходите в профиль подписывайтесь 🥝 🥝 🥝 
На следующей неделе нас ожидают #корпоративные_события :

15.04.2024 - ПОНЕДЕЛЬНИК
 {$AKRN} : Акрон, рекомендация по дивидендам

16.04.2024 - ВТОРНИК
{$FIVE} : X5 Retail, операционные результаты за 1кв 2024 года

17.04.2024 - СРЕДА
 {$LSRG} : Группа ЛСР, ВОСА по дивидендам за 2023г (100руб/акция)
 {$LIFE} : Фармсинтез, ВОСА по вопросу допэмиссии путем открытой подписки
 {$PMSB} : Пермэнергосбыт, Распределение прибыли, выплата дивидендов за 2023 год
 {$EUTR} : «ЕвроТранс» открыл первое окно акцепта внебиржевой оферты. Последний день акцепта 17 апреля.

18.04.2024 - ЧЕТВЕРГ
 $POS I: Группа Позитив, последний день с дивидендом (47,3 руб/акция)
 {$TGKN} : ТГК-14 , вопрос дивидендов за 2023 год  
 {$TRMK} : ТМК, вопрос дивидендов за 2023 год
 {$MGKL} : Мосгорломбард, вопрос дивидендов за 2023 год

19.04.2024 - ПЯТНИЦА
 {$GCHE} : Группа Черкизово, последний день выплаты дивидендов за 2023 г (205 ₽/акция) ."
2024-04-13T10:57:27.589+03:00,17 апреля среда {$LSRG} ГОСА по выплате дивидендов за 2023 год
2024-04-13T10:55:36.698+03:00,"Решил создать второй счëт и понабрать акций с ближайшими диведендами. 

Купил у брата информацию об акциях за доширак, взял одни из прибыльных акций, а точнее ЛСР и ЛУКОЙЛ и начал ждать. 
Сам счëт показывает себя вполне неплохо, где то падает, где то растëт, но в сильный минус не входит. 

В мае, получу 2к+, если темка сработает, как минимум, диведенды не надуманны. 
Если всë прогорит, придëтся думать без какой почки я смогу жить. 

{$LKOH} {$LSRG} {$POSI} {$IRAO}"
