time,text
2023-04-25T19:58:39.284+03:00,{$LVHK} 🤔
2023-04-12T10:19:55.310+03:00,{$LVHK} не могу добавить в избранное
2023-03-10T13:37:47.138+03:00,"{$LVHK} Группа компаний «Левенгук» открывает новое перспективное направление — производство и продажу товаров из сегмента измерительных инструментов для профессионального и бытового использования. Новый бренд получил название Ermenrich и является частью семейства Levenhuk.

Измерительные инструменты нужны не только для профессиональной работы, но и для решения многих бытовых задач. Основные направления: ремонт и декорирование квартиры, строительство загородного дома, межевание и зонирование земельного участка, столярное и плотницкое хобби, оценка качества приобретаемых в магазине строительных материалов, обеспечение безопасности дома от утечек газа, тестирование электропроводки и проч.

Уже запущены в производство и скоро ожидаются на складе сотни новых приборов: лазерные и классические рулетки, датчики влажности и газа, дальномеры, лазерные уровни, а также детекторы проводки, аккумуляторные тестеры, индикаторы напряжения и многое другое.

Продажи уже стартовали в Росии и ряде европейских стран."
2023-02-13T11:52:22.242+03:00,{$LVHK} на память
2023-02-10T18:24:42.279+03:00,"{$LVHK} 

А вы знали, что компании 3 го эшелона тоже можно покупать в приложении Тинькофф-Инвестиции {$TCSG}  ?
Просто они надежно спрятаны;)"
2023-02-10T18:20:46.672+03:00,{$LVHK} в избранное
2023-02-02T11:23:06.169+03:00,{$LVHK} для себя
2021-05-07T18:06:17.587+03:00,{$LVHK} стоит ли?
2021-05-07T17:34:33.746+03:00,"{$LVHK} Levenhuk - компания-призрак в брокере Тинькофф.

Ее не найдешь через поиск, нельзя добавить в избранное. Да и купить непросто, только через стакан. Баг это или фича - остается догадываться. Брокер тем самым заботится о вас, чтобы вы не лезли во всякий неликвид. Но заботится плохо, как оказалось.🤣

В общем, это третья компания из тех, которые будут лежать у меня в портфеле чисто ради коллекции.

Со своей стороны, крайне не рекомендую покупать подобные компании. Вероятность потерять деньги тут очень высокая.

Чем, собственно занимается:

Производит и продает оптическую продукцию - бинокли, микроскопы, лупы, телескопы и сопутствующие товары. Производство продукции для широких масс в Китае, контрактное. Тут понять можно. Последнее время нацелились на премиум-сегмент и уже продали несколько партий за рубеж. Обычно это около 3000 экземпляров, которые изготавливаются в России.

Основной рынок сбыта - РФ, но активно стремятся и уже имеют представительства за рубежом - в Европе и Америке. Конкуренция высокая, но продажи подрастают.

Можно еще долго пробегаться по операционным показателям, но не вижу смысла, ибо меня привлекла именно идея.

Основная идея компании - продвижение астрономии, значится, науки, в массы. У них есть целая линейка недорогих продуктов для детей, которые достаточно легко купить на том же Озоне.

Вот и причина покупки - просто так, на небольшую сумму😀.

Если посмотреть их планы во время IPO в 2012 году, то они в большинстве своем провалены. Раздел для инвесторов скуден и из свежего содержит только бухгалтерскую отчетность.

Почему не стоит покупать подобное:
- Периодически гоняют спекулянты (из последних примеров Белуга, Абрау, Казаньоргсинтез)
- Free-float менее 2%. Т.е. проблемы с покупкой и продажей. Взвинтить или уронить стоимость акций очень легко. Чем и пользуются недобросовестные спекулянты.
- Компании такого размера ничего не стоит схлопнуться (закрыться, обанкротиться) или провести выкуп/делистинг."
2020-05-15T22:36:41.017+03:00,"📅🇷🇺💸 Ближайшие дивиденды в России

⛏{$GMKN} 2,8% - 21.05.2020

🏦{$TCSG} 1,0% - 26.05.2020

🛒{$FIVE} 5,0% - 27.05.2020

🔌{$FEES} 5,1% - 27.05.2020

🔭{$LVHK} 0,5% - 28.05.2020

🏢{$GRNT} 5,2% - 28.05.2020

🔌{$IRAO}  4,2% - 28.05.2020

🧪{$PHOR} 0,7% - 29.05.2020

🏦$Авангард 0,8% - 29.05.2020"
2020-05-15T00:12:44.922+03:00,"🇷🇺Дивиденды

🔌Иркутскэнерго рекомендовал
 не выплачивать дивиденды за 2019 год. {$IRGZ}

🔭Левенгук Акционеры утвердили
 выплату дивидендов за 2019 год в размере
 0,045 ₽ на акцию. Доходность: 0,55%.{$LVHK}

🔌Самараэнерго и Самараэнерго АП  не выплачивать дивиденды за 2019 год. 

💊ММЦБ Совет директоров рекомендовал дивиденды 18,5 ₽ за 2019 год. Доходность: 2,76%. 

💊ИCКЧ Совет директоров рекомендовал
 не выплачивать дивиденды за 2019 год.{$ISKJ}"
2020-05-13T22:16:27.487+03:00,"📅🇷🇺 События завтра в РФ

 ОАО «Левенгук» Будет рассмотрен вопрос о распределении прибыли за 2019 г. {$LVHK}

ПАО «(Обувь России)» Заседание совета директоров. Будут рассмотрены дивиденды за 2019 г. {$OBUV}

ПАО «ТрансКонтейнер»  Годовое общее собрание акционеров. Будут утверждены дивиденды по итогам 2019 г. {$TRCN}

ФосАгро опубликует финансовую отчетность по МСФО за I квартал 2020 г. {$PHOR}

ОГК-2 Квартальный отчет 1 кв 2020 {$OGKB}"
2020-05-10T23:20:52.898+03:00,{$LVHK}
