time,text
2024-04-05T12:54:22.029+03:00,"{$MAGE} https://www.tinkoff.ru/invest/social/profile/Homa_investing/297cdf43-95ff-4a38-a057-350c5f21b248?utm_source=share

Вероятность есть, что начало движения положено). Не ИИР🤝"
2024-03-04T11:05:55.686+03:00,"{$MAGE} МагаданЭнерго… чисто пока спекулятивная продажа… исходя из ТА. Вероятно ещё дадут набрать повторно бумагу. 
В целом - все самое интересное будет летом - вполне реально, вероятно, максимумы прошлого года с плюсом. Не ИИР🤝
З.ы.
Красные жаль, что в Тинькофф нет данной бумаге."
2024-03-04T10:50:11.203+03:00,"Беру 🟢🧻 LONG {$MAGE} по 5.61 в лонг, жду иксов 🙈"
2023-12-21T22:58:52.737+03:00,{$MAGE} для себя
2023-12-11T15:25:42.692+03:00,{$MAGE} что это
2023-12-08T18:03:10.748+03:00,"🟩 За 43 мин. купили большие объёмы:

{$ALRS} 37.3M ₽ (53.7K лот)
{$GLDRUBF} 22.9M ₽ (4K лот)
{$GLDRUBF} 28.1M ₽ (4.9K лот)
{$GLDRUBF} 53.1M ₽ (9.3K лот)
{$GLDRUBF} 57.1M ₽ (10K лот)
{$MAGE} 1.1M ₽ (2.1K лот)
{$MAGE} 920K ₽ (1.7K лот)
{$PLZL} 25M ₽ (2.3K лот)
{$PLZL} 40.5M ₽ (3.8K лот)
{$SMLT} 21.5M ₽ (5.6K лот)"
2023-09-23T09:12:37.716+03:00,{$MAGE} 🧐
2023-04-07T11:36:12.688+03:00,{$MAGE} неужели дождемся чего-нибудь хорошего
2023-03-06T13:05:46.019+03:00,{$MAGE} какие цели ждёте ?)
2023-03-06T11:36:28.055+03:00,{$MAGE} скрытая акция
2023-03-03T22:30:40.836+03:00,"{$MAGE} 
Ашалеть
Зачем тинек сковывает такие конфетки 🤩"
2023-03-03T12:50:16.080+03:00,"{$MAGE} +25% 
Скрытый пул"
