time,text
2024-04-13T15:27:26.767+03:00,"3️⃣ акции с высоким потенциалом роста 2024

📌 {$LEAS} Акции Европлана.

ЛК ""Европлан"" - крупнейшая в России независимая автолизинговая компания. Рынок в автолизинга в целом рос на 18% год в 2015-2022 гг. и быстро восстанавливался после кризисов. ЭкспертРА ожидает рост рынка на 15% в среднем в 2024-2027 гг.

🔸️Ключевые драйверы роста рынка :

•необходимость обновления автопарков
•появление на рынке китайских автомобилей
•рост стоимости авто
•рост грузоперевозок и удлинение маршрутов

Европлан занимает ведущие позиции на рынке, что позволяет получать наиболее выгодные условия приобретения автомобилей. Среди сильных сторон компании можно отметить - высокий уровень диверсификации клиентской базы 2) более 30 комплементарных автоуслуг 3) высокий уровень автоматизации 4) кредитная история. Также у компании высокий дивидендный потенциал, политика предполагает выплату не менее 50% ЧП по МСФО не реже 1 раза в год при достаточности капитала не ниже 15%.

🔸️Сейчас Европлан торгуется по следующим мультипликаторам:

P/E 2023: 8,1x
P/E 2024П: 6,0x

📌 {$TCSG} Акции Тинькофф

Тинькофф всем известен, мы считаем что акции все еще остаются интересной идеей на 2024 год по следующим причинам:

•Синергия ТКС и Росбанка
•Сильные результаты 2023
•Случившаяся редомициляция

Сейчас Тинькофф торгуется по следующим мультипликаторам (дисконт 30-40% к среднеисторическим метрикам):

P/E 2023: 7,7x; P/E 2024П: 5,1x
P/B 2023: 2,2x; P/B 2024П: 1,5x

📌 {$MAGN} Акции ММК

Акции сталелитейных компаний в последние недели начали терять позиции. Цены на металлы продолжают оставаться под давлением, а о перспективах спроса в Китае можно говорить с осторожностью. Мы ожидаем увеличение/восстановление спроса в 2-3 кварталах 2024 года. Ожидаем относительно высокие капитальные вложение у ММК, что повлияет на свободный денежный поток, однако из-за низкой базы прошлого года СДП ММК может удвоиться в 2024 году.

🔸️Мультипликаторы компании:

EV/EBITDA 2023: 3,0x
EV/EBITDA 2024П: 2,5x

🔸️Основные факторы роста:

•Комфортные цены на металлы для Компании
•Снижение CAPEX и рост СДП в 2024-25 гг.
•Возобновление дивидендных выплат
•Низкая оценка по мультипликаторам
•Технически благоприятная стоимость покупки

💡 FairValue

🎁ПРЕМИУМ от Тинькофф БЕСПЛАТНО
Тариф🔥 www.tinkoff.ru/baf/9AazI9Yk7Cg

🎁 ВСЕ продукты Тинькофф с бонусами 
Вам 👉 www.tinkoff.ru/baf/5JfiHbzmmiM

#новости #пульс #новичкам #псвп 
#прояви_себя_в_пульсе #акции #рост"
2024-04-13T14:58:45.442+03:00,"Итог недели 08 марта – 14 марта 

Понедельник: 10 000 руб.
#AGRO отмена дивидендов из-за технических проблем с выплатой. {$NLMK} СД по дивидендам сегодня, но пока ничего не объявили, возможно, на вечерке появится инфа, либо на днях. #TRMK СД по дивидендам 18 апреля. #AQUA проливы ловил. #ENPG разгоняют из-за роста цены алюминия. {$ALRS} СД по дивидендам 12 апреля. #UPRO за объемом зашел, а когда уже вышел вышла новость: Путин поручил до 1 июня представить предложения по господдержке организаций, имущество которых находится во временном управлении - кремль. {$MAGN} думал за НЛМК пойдет, но как-то вяло, поэтому вышел. #AFKS заходил на пробитие уровня, но как-то постоянно откатывали, поэтому выходил из позиции, потом зачем-то шортил, но ладно, убыток допустимый.

Вторник: 3 000 руб.
{$POSI} отчет шортанул, хоть в целом отчет хороший. {$OZON} шортил после отчета. #OGKB поймал выстрел после публикации: электростанции огк-2 в 1 квартале увеличили выработку электроэнергии на 19,1%, до 16,8 млрд квт.ч. {$ASTR} начали все писать про будущее SPO, только вот мне очень обидно, когда на конференции прямо заявили, что в будущем могут рассмотреть SPO, но реакция в тот была слабая. {$GMKN} гонят наверх после сплита, но пока заработать не получается. {$GAZP} красивая формация была, но потом вставили айсберг и движение заглохло.

Среда: 4 300 руб. 
RKKE в 12:00 был запланирован пуск ракеты, но что-то поломалось. {$BANE} шортил от уровня  3415. SGZH погасили облигации. #MGKL СД по дивидендам 18 апреля. {$SNGSP} подобрал на откате, но надо было смело сидеть дальше и забирать хорошее движение. $SCVB шорт на будущей допке для покупки банка. IRKT зашел объем. {$MTSS} быстрый шорт. #MVID в моменте заходил объем, но движение дальше не было. 

{$NLMK} рекомендовали дивиденды в размере 25,43 руб. на акцию, я в этом принимать участие не стал. На мой взгляд в рамках ожидаемого объявили размер дивидендов, поэтому принял решение просто посмотреть со стороны.

Четверг: -1 200 руб
#AQUA Производственное подразделение ""Инарктики"" в 2023 г. увеличило выручку на 18,5%, до 28,2 млрд руб. #OGKB, #LIFE и ##GRO в моменте заходил объем. {$GAZP} хороший уровень 166 рублей, пока еще в сделке, но есть определенные ожидания. LIFE Мишустин призвал  увеличить долю российских лекарств на рынке до 70% к 2030 г. {$ASTR} завтра истекает lock-up период.

Пятница: -500 руб
Очень много сделок, но движений нет... На вечерке многих {$VKCO} поразил.

Итог: 16 000 руб."
2024-04-13T14:18:24.982+03:00,"Всем привет 👋
Хомяк потихоньку в деле, иду на перспективу, не спекулянт.
В дальнейшем планирую увеличивать уже имеющиеся по количеству позиции и добавить еще пару новых)
 Советам буду только рада.
Всем побольше капусты 🥬🥬🥬
{$LKOH} , {$CHMF} , {$TATN} , {$MAGN} , {$ASTR} , {$NVTK} , {$AGRO}, {$FLOT}, {$RU000A101QW2}"
2024-04-13T13:56:50.375+03:00,"Всем солнечной субботы 🏝️

В рамках ежемесячных пополнений, закинул на счет 20 к рублей💰
Закупился дивидендными акциями:

{$SBER} 1 лот 
{$PHOR} 1 лот
{$TRNFP} 2 Лота 
{$ALRS} 3 Лота 
{$MAGN} 4 Лота 
{$ROSN} 2 Лота 
{$TATN} 1 лот

Хотел прикупить {$LKOH}, но сейчас он стоит дороговато. Буду набирать позицию после выплат дивидендов 📉

Считаю данные дивидендные компании топы нашего рынка, которые радуют хорошими выплатами. 
Также, сейчас металлурги возвращаются к выплатам. Думаю, ММК тоже может заявить о более высоких выплатах, чем его визави. 

🎯 Цель на 2024 год получить 40 к дивидендами💰

Ваше мнение по данным акциям?"
2024-04-13T11:18:24.435+03:00,"Добрый день!
🤔 Статистика за эту неделю в фьючерсном эксперименте:

   - Золото {$GDM4}
     Статус: смешный
     За неделю +7.7%
     За всё время +57.75%

   - Юань/рубль {$CNYRUBF}
     Статус: лонг
     За неделю -0.38%
     За всё время -0.68%

   Комиссия за неделю - 0.13%


    📈Стратегия за неделю принесла +2.02%
 √ Обновленный состав портфель: 
 {$UGLD} {$ROSN} {$RTKMP} {$TATNP} {$MAGN} {$NLMK} {$MTSS} {$DELI}
 
  Друзья, у меня к вам пара вопросов:
 1. Нужна ли вам фьючерсная стратегия, у которой рекомендуемую сумму составляет 40 000–50 000 рублей и доходностью 50–100%?(Торговля фьючерсами на акции пока недоступна)
 2. Нужно ли выкладывать посты о сделках в стратегии, идеях и новостях?

Упомянули в @Tinkoff_Investments, написали о сделке {$WUSH}, принесшей 31% доходности, в которую было инвестировано 10-15% от депо.

[&Успех в одно касание](https://www.tinkoff.ru/invest/strategies/f9a975a1-c173-48aa-9fd7-9a41e821c711)

#инвестиции #рынок #стратегия #пульс #новичкам #фьючерс #автоследование #фьючЭксперимент #акции"
2024-04-13T11:07:30.065+03:00,"{$MAGN}  💿 Торговая идея по акциям «ММК»

■ Идея: Покупка
■ Срок идеи: 4-8 недель
■ Цель: 64,9 рублей
■ Потенциал идеи: 11,6%
■ Объем входа: 8%
■ Стоп-заявка: 55,39 рублей
 
➡️ Технический анализ:

📌Котировки акций ММК в данный момент консолидируются на уровне сопротивления в районе 58,39 рублей. Закрепление над этим уровнем даст сигнал к продолжению восходящего тренда. Идея от ""Финам"" на рост акций с целью 64,9 рублей.

📌При объеме позиции на покупку в 8% и выставлении стоп-заявки на уровне 55,39 рублей, риск на портфель составит 0,41%. Соотношение прибыль/риск при этом составляет 2,21.

➡️ Фундаментальный фактор:

📌Магнитогорский металлургический комбинат входит в число крупнейших мировых производителей стали и занимает лидирующие позиции среди предприятий черной металлургии России.

📌Активы компании в России представляют собой крупный металлургический комплекс с полным производственным циклом: начиная с подготовки железорудного сырья и заканчивая глубокой переработкой черных металлов.

📌Рост чистой прибыли по итогам 2023 года на 68,2%, включение в базу расчета Индекса голубых фишек Московской биржи и ожидания возобновления дивидендных выплат (которые ранее уже рекомендовали Северсталь и НЛМК являются хорошими факторами для роста акций ММК."
2024-04-13T09:59:53.336+03:00,"Добрый день
Открыла ИИС(старый закрыла)
Начинаю по тихоньку собирать портфель
Пополнила 3300 рублей 
Купила 
{$TATN} ( хорошая перспективная компания с частыми дивами)
{$IRAO} ( хорошая цена, дивы раз в год)
{$MVID} (чтоб была) 🤣
{$MAGN} ( во первых все ждут объявления дивидендов, да и в долгосрок хорошая бумажка)
{$NVTK} ( цена для долгосрочной покупки очень хорошая, буду ещё покупать)
{$GMKN} (купила после дробления, можно позволить , за одно и посмотрим)
{$UWGN} ( много брать не буду, но набирать обороты должна)
{$TRNFP} ( после дробления я думаю все покупают, так же дивиденды платят)
Так же купила облигацию {$RU000A106R79} (погашение через 4,5 года, как раз к закрытию иис)
{$LQDT} ( буду набирать на сдачу, темболее после двух лет держания освобождается от налогов)

Фонды выбрала 3 вида которые буду набирать в равных пропорциях {$TMOS} {$TDIV} {$TGLD} 

Для начала выберу все интересные компании потом буду наращивать объем.
Не иир. Не против если подпишитесь , спасибо."
2024-04-13T08:33:04.766+03:00,"⚡️Наши бумаги сумарно дают нам 2,2%

 📍Ждем на следующей неделе новостей от {$MAGN} Магнитки и на них постараемся зафиксировать профит

{$NVTK} Новатэк подержим подольше, ждем от него апсайд не менее 10%

#портфель #финграммrus #мосбиржа #magn #nvtk #новости #биржа #куда_инвестировать #как_инвестировать"
2024-04-13T06:25:38.786+03:00,"💿ММК {$MAGN}  — входит в число крупнейших мировых производителей стали и занимает лидирующие позиции среди предприятий черной металлургии России.  

📊Финансовые показатели

Выручка:

2019 – 489,2₽ млрд (-4,36% г/г)
 2020 – 460,2₽ млрд (-5,93% г/г)
 2021 – 873,2₽ млрд (+89,74% г/г)
 2022 – 699,8₽ млрд (-19,86% г/г)
 2023 – 763,4₽ млрд (+9,09% г/г)

Чистая прибыль:

 2019 – 55₽ млрд (-27,25% г/г)
 2020 – 43,7₽ млрд (-20,55% г/г)
 2021 – 229,3₽ млрд(+424,71% г/г)
 2022 – 70,2₽ млрд (-69,39% г/г)
 2023 – 118,2₽ млрд (+68,38% г/г)

Сравнение мультипликаторов:

 P/E: 5,49, среднее 6,86
 P/BV: 0,99, среднее 1,95
 P/S: 0,85, среднее 1,03
 ROE: 17,9%, среднее 26,7%
 PEG: 0,78 (недооценена)
Долг/Капитал: 0,1, среднее 1,4
 
Цена по P/E: 53,25₽
 Модель DCF: 60,77₽

✔️Ожидаемая годовая доходность: 15,7%

➡️Основываясь на мультипликаторах, финансовых показателях и перспективах ММК, можно сделать вывод, что компания немного недооценена.

🔖Дивиденды ММК {$MAGN} 

2018 – 5,902₽ (+111,84% г/г)
2019 – 5,335₽ (-9,61% г/г)
2020 – 3,943₽ (-26,09% г/г)
2021 (9М) – 7,988₽ (+166,44% г/г)

💸Дивиденды за 9М 2021 год составили 11,1% или 7,988₽

💸Прогноз дивидендов за 2023 год — 5,8 руб./акцию

Дивиденды ММК по Модели Гордона:
 Темпы роста в год — 32,4%

📝Дивидендная Политика:

1️⃣Если соотношение «Чистый долг / EBITDA» меньше1,0: компания планирует выплачивать не менее 100% свободного денежного потока; 
2️⃣Если соотношение «Чистый долг / EBITDA» выше 1,0: дивидендные выплаты не менее 50% от свободного денежного потока.

🔖Итоговый вывод по ММК

📍Главные конкуренты в лице 💿Северстали и 💿НЛМК уже рекомендовали дивиденды за 2023 год, ждем ММК. Отталкиваясь от свободного денежного потока, можно рассчитывать на 2,75 рубля.

Но с учетом устойчивого финансового положения и низкой долговой нагрузки могут выплатить часть кэшом. С большой вероятностью ММК не будет отставать от сектора и рекомендует выплатить 10-11% за 2023 год.

📊Но среднесрочно расти не на чем кроме дивидендов + все таки сохраняется риск выплаты всего 2,75₽ или 4,7%. А стимулов для сильного улучшения конъюнктуры пока нет, динамика цен будет устойчивая, рынок сейчас находится в некотором балансе.

Поэтому пока нейтрально смотрю на ММК. В секторе более интересна 💿Северсталь, которая уже 22 апреля может начать раскрывать поквартально отчетность и платить дивиденды соответственно. 

За 10 лет бумага показала около 1292% полной доходности (с учетом дивидендов) или 30,126% в год.

Последний отчет: 6 февраля 2024

✔️Справедливая цена на мой взгляд : 62-63₽ (~10%) 

Рыночная цена: 58,04₽ 

Что думаете насчет ММК❓
👍-Покупаем
🔥-Продаем
❤️-Держим/Наблюдаем"
2024-04-13T00:58:53.962+03:00,"Есть слух, даже больше чем слух, стараюсь писать одним из первых, что Великобритания присоединилась к санкциям США против России в отношении торговли металлами.

Что будет с такими гигантами как {$MAGN} {$NLMK} {$RUAL} {$CHMF} {$GMKN}  предлагаю обсудить в комментариях.

Возможно, все было принято в виду и в цене акции есть такой прогноз, но по факту могут в понедельник и подбросить на несколько процентов, как считаете?

Коррекция, как будто напрашивалась сама собой, так как рынок уже долгое время закрывается в зелёном цвете, а тут такой вариант часть позиций прикрыть...

Всё это мои мысли, не ИИР, обсуждаем ниже!"
