time,text
2022-01-17T09:15:21.769+03:00,{$MAIL} поиск не поспевает за тикерами
2022-01-17T08:34:17.971+03:00,"От отвлеченных размышлений, которые наверняка вызовут бурю комментариев, перейдем в более практическую плоскость Какие есть варианты развития событий и стоит или не стоит покупать акции? Я вижу 2 основных сценария: 
1) Дипломаты ни о чем не договариваются, но и стрельбы в Украине не происходит (было бы максимально странно начинать войну о которой уже несколько месяцев пишет западная пресса). Переговоры затягиваются или заканчиваются формальными уступками. Считаю этот сценарий развития событий наиболее вероятным. Если все пойдет именно так, отечественный индекс довольно быстро отскочит, а к лету под давлением огромных дивидендов, сезонного ослабления пандемии, роста экономики и охлаждения инфляции (что приведет к развороту в динамике ключевой ставки) вероятно обновит исторический максимум. В таком случае покупать нужно голубые фишки и самые ликвидные компании второго эшелона: 
- {$SBER}  - стоит 1 капитал, даст больше 10% ДД, имеет высокую рентабельность, развивает свой набор цифровых услуг, которые растут очень высокими темпами. 
- {$LKOH}  - очень много зарабатывает при нефти по 85 долларов за баррель, выкупает свои акции и может дать под 1000 рублей дивидендов в 2022 году; 
- {$VTBR}  - ДД летом составит почти 15%!! 
- {$SIBN}  - умудряется совмещать очень высокие дивиденды (ДД более 10%) и рост добычи! 
- {$GAZP} газпром - 40 - 45 рублей дивидендов летом могут привести к золотой лихорадке, но самое главное, что за 2022 год компания может дать еще больше! 
Совокупно наберется наверное с полтора десятка отличных компаний, которые значительно вырастут. После недавнего падения российский рынок реально тянет на полноценную инвестиционную идею! 
 
2) В Донбассе начинается стрельба, воздушно-десантные войска входят в регион для защиты более 500 тысяч российских граждан живущих там. У нас начинается новый локальный апокалипсис по типу марта 2020 года. Все акции падают на 30 - 40%, доллар становится трехзначным, Россия на мировой арене превращается в аналог Северной Кореи на стероидах. Становится невозможно купить айфон или лицензионную версию Microsoft Word, Visa и Mastercard уходят из страны, усиливается бегство капитала. Большая часть товаров и софта переводится на китайские аналоги, экономика уходит в депрессию и рецессию, а население стремительно беднеет. В общем у нас начнется локальный апокалипсис, а жить станет сильно грустнее. Будем надеяться, что наши лидеры четко знают черту, когда нужно остановиться. Но история показывает, что ничего они не знают... 
 
Мое мнение относительно всей это геополитической возни однозначное. Наше руководство повторяет ошибку всех предыдущих политических лидеров России - концентрируется на решении мировых проблем, вместо того, что бы заниматься развитием страны и ростом благосостояния россиян. Пока Владимир Путин спасает Сирию, Ливию, Донбасс, Южную Осетию, Кубу, Венесуэлу и прочих наших ""друзей"", в Тверской, Смоленской, Калужской, любой другой области все 20 с лишним лет его правления остаются отвратительные дороги, снижается количество больниц и ухудшается качество медицинского обслуживания (особенно вне городов-райцентров). Наша страна такая огромная и в ней столько всего нужно сделать, что я просто не понимаю причину всех этих игр. Строй мир у себя дома, расти экономику, улучшай быт, инвестируй в человеческий капитал!! К сильной экономике сами собой добавятся сильная армия и множество партнеров, а авторитет станет не мнимым, а реальным. Увы, дряхлеющие старцы во власти, дети которых по странному стечению обстоятельств, чаще всего живут в загнивающей Европе (конечно если не занимают важные посты в госкорпорации, как недавно произошло в {$MAIL}   ), живут идеями реванша за поражение СССР и предпочитают играть в геополитику вместо решения реальных экономических проблем. Будем надеяться, что хотя бы обойдется без большой войны. 

Берегите мир в своем доме, здоровье и успешных вам инвестиций!

#borodainvestora #политика #геополитика #рынок"
2022-01-14T19:30:50.352+03:00,"🔥Итоги дня: IMOEX -2,1%

🛢Нефть марки Brent: +0,9% (85,25$)
🛢Нефть марки WTI: +0,9% (82,91$)

День можно описать так:😱😭🤬🤯🥵

📉 {$MAIL} VK DRC -11,1%. 
📉 {$TCSG} TCS Group -7,1%.
📉 {$SBER} Сбербанк -6,2%.
📉 {$DSKY} Детский мир -5%.
📉 {$AFKS} Система -4,4%.
📉 {$YNDX} Яндекс -4%. Мощно откупили -11%
📉 {$VTBR} ВТБ -3,7%.

🇷🇺Лавров: есть основания полагать, что НАТО в ближайшие месяцы может начать наращивать силы рядом с РФ под предлогом ситуации на Украине

Объемы прошли огромные, особенно в Сбербанке, что-то около истхая, есть вероятность, что маржины закончатся и нас начнет отпускать, но аккуратными надо быть, в понедельник будет тонкий рынок на том, что Америка выходная"
2022-01-14T19:01:42.012+03:00,"🔥Итоги дня: IMOEX -2.1% От плюса до минуса, всего один шаг

{$TMOS}📉IMOEX -2.1% Показал новый минимум с апреля 2021 года. Глава МИД РФ Сергей Лавров сделал серию заявлений, после которых РФР отправился в красную зону. Однако, к вечеру большую часть просадки выкупили🤔Дополнительный позитив принёс Brent , который уверенно растёт на 1.3%, спрос на нефть остается высоким, в то время как ОПЕК не спешит наводнять рынок сырьем 👏

{$TCSG}📉TCSG -7.1% {$SBER}📉Сбербанк -6.4% {$VTBR}📉ВТБ -3.7% Банки в лидерах падения, инвесторы опасаются новых санкций. В случае вторжения России на Украину, США обещает ввести  санкции против как минимум трех организаций из следующего перечня: Сбербанк, ВТБ, Газпромбанк, ВЭБ, РФПИ, МКБ, Альфа-банк, Россельхозбанк, «Открытие», Промсвязьбанк, Совкомбанк, Транскапиталбанк «Открытие», Промсвязьбанк, Совкомбанк, Транскапиталбанк. Кроме того, банки наиболее чувствительны к всякого рода кризисам😔

{$SU26220RMFS2}  📉RGBI -2% Показал новый минимум с 2016 года, на индекс облигации давит геополитика, инвесторы опасаются конфронтации со странами запада. Пятилетняя страховка от дефолта России (CDS) растёт сегодня на 3.8%, а доллар торгуется выше 76.2 руб. 😳

{$MAIL}📉VK(Mail.ru) -11.1% Лидер падения, нечего не помогает, даже крупные покупки инсайдером😔  

{$TATN}📉Татнефть -0.4% {$ROSN}📉Роснефть -0.6%  {$LKOH}📉Лукойл -0.5% Несмотря но общую распродажу, нефтегазовый секторы выглядит лучше других. Нефть в рублях находится на историческом максимуме и торгуется выше 6500 руб. за бочку. Инвесторы ожидают хорошую прибыль от нефтяных компании и надеются на жирные дивиденды🤑

{$TRNFP}📈Транснефть ап +1.4% Защитные бумаги чувствуют себя уверенно. Совокупная выручка компании по итогам 2021 года должна составить 1,08 трлн руб. На 2022 год она прогнозируется на уровне 1,11 трлн руб., на 3,5% больше, чем в 2021 году, (в основном за счёт индексации тарифов на транспортировку нефти на 4,3%). Аналитики Sber CIB считают, что прогноз выручки и объёмов транспортировки на 2022 год выглядит довольно консервативным, поскольку компания пока не учитывает существенного восстановления транспортировки нефти после ослабления ограничений ОПЕК+.

{$PHOR}📈ФосАгро +0.2% Ещё одна защитная бумага, которая чувствует себя хорошо в период неопределённости💪"
2022-01-14T18:35:41.576+03:00,"На российских рынках сейчас можно наблюдать настоящую панику. Отток нерезидентов из таких компаний как {$SBER}, {$TCS} и {$YNDX} давят на котировки всё сильнее.

🏁 В текущем положении дел есть 2 основные стратегии, которые могут помочь не только сохранить капитал, но и увеличить его, насколько это позволяет текущая обстановка.

🔥 Для долгосрочного инвестора всё ещё нет никакой опасности - напротив, текущая просадка это серьёзная возможность купить качественный бизнес за дешёвую цену. Вполне возможно мы уже больше не увидим Сбер за 250 и Яндекс за 4000

🎯 Те же, кто хочет рискнуть, могут продать свои акции и попробовать открыть краткосрочный шорт по самым уязвимым компаниям ( {$OZON} и {$MAIL})

Как относитесь к текущей посадке❓"
2022-01-14T17:01:07.297+03:00,"{$OZON} {$MAIL} Два инвалида, как они ко мне попали, сам не пойму, но минусуют знатно."
2022-01-14T16:29:36.201+03:00,"Хех, гнобят нас геополитикой, время шортистов в самом разгаре 🧙‍♂️

Нечего писать - просто выходят нерезиденты и физики продают на страхе. Моя система сказала мне скинуть плечи, посидим пока без них. Продам бОльшую часть акций перед окончанием основной сессии. Свои буду держать, всё равно через полгода все забудут и будут причитать ""почему я не брал {$SBERP} по 270?"" 

Часть денег вывел на нужды. Получена прибыль по прошлому году, как же неприятно платить 13%, вы бы знали 😕

Вообще, ситуация, когда {$SBER} стоит всего на 3% дороже {$SBERP} уникальна. Сколько был на рынке - почти всегда премия за удержание префоы была 10%. Так что вот вам небольшая идея неэффективности рынка.

{$MAIL} такой треш. Бедные инвесторы, я даже не знаю какого это - выдерживать просадку в 75% от хаёв (я думаю и такие есть). Сам в компанию вкладывать не буду - там, где у руля всякие сынки политиков, не разбирающиеся в айти совсем, там не будет ничего хорошего.

Потерял я неплохо, процентов 25 капитала улетело, но таковы издержки стратегии. Боковик будет жестко пилить, но тренд всё вернёт с лихвой, поэтому я не волнуюсь 😌

Желаю всем хороших покупок в эти праздничные распродажи на нашем рынке! 🎁

#sharespotter"
2022-01-13T17:14:18.683+03:00,"Когда речь ходит о российском рынке, основной упор делают на его недооценённости и перспективности, и действительно такие компании как {$YNDX}, {$SBER} и {$AFKS} имеют огромные шансы к росту, который сдерживают, в основном, только внешние факторы (угроза санкций, отток нерезидентов). 

🗑️ Тем не менее даже на этом рынке есть откровенно переоценённые и мусорные акции о которых нужно знать и стараться обходиться стороной. 

{$FIXP}, который устроил действительно грандиозное IPO, снизился более чем на 30 % с того момента и акции до сих пор не могут выйти из нисходящего тренда.

📌 Оно и понятно, все показатели компании неадекватны текущей оценке - у конкурентов ( {$FIVE}, {$MGNT}) бизнес приносит гораздо больше денег при меньших затратах, не говоря уже о высоких дивидендах. С огромной вероятностью акции продолжат падать - у компании просто нет серьёзных драйверов к росту.

🥇 Ещё одна компания рекордсмен по падению акций это {$MAIL}, который после смены руководства только уменьшил доверие инвесторов к своему бизнесу. 

🌠 Акции компании сейчас стоят действительно дёшево, особенно для технологической компании, но это объясняется низким качеством самих продуктов.

Какие российские компании вы обходите стороной❓"
2022-01-13T08:49:16.302+03:00,"ОБЗОРЫ ОТ ZVYAGINTSEV INVEST

🟢Как бизнес, Циан ( {$CIAN} ) производит хорошее впечатление: амбициозные цели, прогрессивные решения, разумная стратегия, высокий клиентский поток, сильный бренд и т.д., также демонстрирует динамичный рост потока клиентов и высокую долю присутствия в отрасли.

🔴С финансовой точки зрения Компанию нельзя назвать устойчивой: убытки, высокая долговая нагрузка, низкая платежеспособность.

🟢Перспективы роста при этом высокие, т.к. рынок недвижимости и интернет-услуг в РФ пока находится ниже уровня развитых стран, и по всем прогнозам продолжит динамично расти, что может положительно повлиять на Циан.

🔴Но как скоро это приведет его к финансовому благополучию, сказать сложно. Перспективы прослеживаются слабо.

🔴Рыночная цена Компании завышена и имеет «спекулятивный» риск.

🟦Чтобы рассмотреть Компанию в качестве кандидата в портфель, она должна начать стабильно показывать прибыль, нарастить оборотные активы, увеличить свободный денежный поток и скорректироваться в рыночной цене относительно своих доходов и их перспектив.

Конкуренты и коллеги:

{$MAIL} (Юла)
{$PIKK} 
{$LSRG} 
{$SMLT} 
{$SBER} (Дом клик)

#аналитика #обзоры #обзорыотzvyagintsevinvest"
2022-01-12T17:16:30.737+03:00,"Тренд на метавселенную набирает обороты/

Покупка земли в виртуальной вселенной приносит доходы схожие с доходностью биткоина в начале своего создания.

Если в РФ будут создавать метавселенную, то как вы думаете, на какой платформе? ВК?

{$FB}  {$MAIL} 

[&2в1 Рантье и Визионер RUB](https://www.tinkoff.ru/invest/strategies/f5b82a16-ef91-46ca-adbd-6e1f53a9ccc4) 
[&2в1 Рантье и Визионер USD](https://www.tinkoff.ru/invest/strategies/a7f97197-6a24-4b5c-87a9-bb62df7207c6)"
2022-01-12T11:29:53.336+03:00,"Итак, я вернулся, а ситуация на портфеле... Не очень...
Когда лежишь с температурой 39 и сопутствующими удовольствиями - не до инвестиций, уж извините (
Надо что-то делать.
Особенно расстраивает положение дел в {$MAIL}"
2022-01-12T10:06:08.789+03:00,"VK продолжает обновлять состав совета директоров. В него вошли председатель правления страховой группы «СОГАЗ» Антон Устинов и директор юридической дирекции «Газпром-медиа холдинг» Дмитрий Чудаков. 

Они сменили на этих постах первого заместителя гендиректора VK Владимира Габриеляна и генерального содиректора СП «AliExpress Россия» Дмитрия Сергеева.

Ставь лайк, если ВК превратилась в помойку после ухода Пашки

{$MAIL}"
2022-01-11T17:12:55.497+03:00,"{$MLH2} {$MAIL} {$VKCO}

Внизу этой картинки вы видите разницу между умными деньгами и глупыми. 

За идею поста спасибо @Rice_Gangster @dartez"
2022-01-10T19:28:45.571+03:00,"🔥Итоги дня: IMOEX -0,9%

🛢Нефть марки Brent: +0,9% (81,06$)
🛢Нефть марки WTI: +0,7% (78,38$)

📈 {$LSRG} Группа ЛСР +7,9%.
📈 {$PIKK} Группа компаний ПИК +5,6%.
📈 {$MTLR} Мечел +3,3%.
📈 {$RASP} Распадская +1,2%.
Эталон пока тупит, ждемс…

📉 {$MAIL} VK DRC -4,5%.
📉 {$ALRS} АЛРОСА -2,6% хорошая история для покупки под отчет
📉 {$QIWI} Qiwi -3,5%.
📉 {$POLY} Polymetal -2,9%.
📉 {$YNDX} Яндекс -2,9% летим за насдаком

🇺🇸🏦Глава ФРС Ричмонда Томас Баркин: Я поддерживаю декабрьский сдвиг ФРС в сторону более «ястребиной» позиции. По мнению Goldman Sachs, ФРС США, скорее всего, повысит процентные ставки четыре раза в этом году и начнет процесс сокращения баланса в июле, если не раньше

🇬🇧Правительство Великобритании рассматривает возможность сокращения карантина больных COVID до пяти дней

🦠💉В 2021 году, компания Moderna, отправила более 800 млн доз вакцин против COVID-19

🇺🇦🇩🇪Конфликт на Украине не решить военными методами, заявили в кабмине ФРГ после требования украинского посла поставить Киеву оружие

📜Доходность 10-летних казначейских облигаций США выросла до 1.8%, ускорив падение технологических акций

😱🪙Биткоин впервые с сентября ниже $40к можно глянуть акции {$MARA} и {$RIOT} если верите в отскок, я добрал"
2022-01-10T18:53:53.894+03:00,"🔥Итоги дня: IMOEX -0.4% Всё внимание на трежарис

{$TMOS}📉IMOEX -0.4% Мировые индексы снижаются, S&P 500 потерял сегодня 1.8%. Основная причина падения — это рост доходностей US Treasuries, инвесторы ждут ужесточения денежно-кредитной политики Федрезерва😳 

{$YNDX}📉Яндекс -3.7%  {$MAIL}📉VK -5.1% {$POSI}📉Группа Позитив -5.5% Технологические компании под ударом, рост доходностей облигаций первым делом бьёт по компаниям роста. Доходность 10-летних казначейский облигаций США достигла 1,8% впервые с января 2020 года, а компании роста перешли к снижению. NASDAQ снижается на 2.3%😳

{$FIXP}📉FixPrice -9.3% Падает с открытия рынка и на хорошем объёме, явных новостей нет. Сейчас повсеместно дешевеют переоцененные активы, похоже цена на IPO была завышена🤔

{$RUAL}📈Русал +2.2% Сегодня акционеры «Русала » на внеочередном собрании рассмотрят вопрос о выплате дивидендов за 9 месяцев 2021 г, дополнительную поддержку оказывает рост Hang Seng  на 1.1%. Алюминий в Лондоне растёт на 0.7% 

{$TGKN}📈ТГК-14 +8.9% АО «Дальневосточная управляющая компания» увеличила долю в ПАО «ТГК-14» с 39,8058% до 92,2053%. «Дочка» РЖД и структуры НПФ «Благосостояние» вышли из капитала ТГК-14.

{$LSRG}📈ЛСР +7.9% {$PIKK}📈ПИК СЗ +6.9% В строительном секторе происходит странный рост, очень похоже на разгон🤷‍♂️"
2022-01-10T17:34:40.989+03:00,"Покупала {$MAIL} на старте с большими надеждами. В результате сегодня продала уже {$VKCO} , потеряв больше половины, устала ждать чуда. Хороший урок мне."
2022-01-07T00:35:41.810+03:00,"🔥Итоги дня: IMOEX -1,6%

🛢Нефть марки Brent: +1,6% (82,07$)
🛢Нефть марки WTI: +2,2% (79,52$)

📈 {$AFLT} Аэрофлот +2,9%.
📈 {$GAZP} Газпром +2,7%.
📈 {$LKOH} Лукойл +2%.
📈 {$MAGN} ММК +2,5%.
📈 {$AFKS} Система +2,2%.

📉 {$LSRG} Группа ЛСР -4,3%. Жду {$ETLN} ниже 90₽
📉 {$MAIL} VK DRC -4,2%.
📉 {$PLZL} Полюс -2,7%.
📉 {$MTLR} Мечел -1,9%.

🇪🇺🦠Число новых ежедневных случаев заражения Covid-19 в ЕС впервые превысило 1 миллион

🇺🇸⚒️Количество заявок на государственные пособия по безработице в США на прошлой неделе выросло, хотя и осталось на историческом минимуме

🇰🇿🏦Центральной банк Казахстана приостанавливает банковские операции в стране - INTERFAX

🇺🇸Президент США Джо Байден прямо обвинил Дональда Трампа в мятеже в Капитолии США год назад, заявив, что бывший президент обратился к насилию, чтобы попытаться отменить выборы, которые он проиграл

Так же шорчу {$USDRUB} жду, что успокоятся соседи, и что нефть будет выше, а так сегодня хороший отскок был, жду продолжения

Ну и с праздником всех!"
2022-01-06T09:33:24.683+03:00,"​​Мои лучшие и худшие инвестиции в 2021 году

На самом деле не так просто говорить про идеи в рамках отдельного года, ведь акции я покупаю на протяжении последних 5,5 лет, также, как и продаю. Но в 2021 году были некоторые сделки, их и рассмотрим. Все доходности рассчитаны по методу XIRR, в экселе данная функция называется ЧИСТВНДОХ.

🟢 Белуга. Акцию я купил в июне 2021 года по цене 2870 руб, годовая доходность составила 22%. Тем не менее, мы видели сильный разгон перед SPO, после которого котировки немного остыли, чем удалось воспользоваться. Мне понравилась стратегия развития компании, которую представил менеджмент с горизонтом до 2024 года. Эта инвестиция еще на 2-3 года, там и подведем итоги. Продолжаю следить за отчетами и получать, пусть и небольшие, но дивиденды.

🟢 Глобалтранс. Первые акции были куплены в январе 2021 года, тогда компания была мало кому интересна и на нее давали очень хорошие цены (ниже 500 руб), чем удалось воспользоваться. В апреле, когда цены вновь упали ниже 500 руб. я делал разбор идеи и сам под эту идею докупал. Текущий результат +43% годовых.

🟢 ЛСР->ПИК. Летом делал большой разбор сектора девелоперов, после чего решил провести некоторые перестановки в своем портфеле, в частности, 30 ноября полностью продал позицию в ЛСР и все средства вложил в компанию ПИК, данная сделка была опубликована с описанием идеи. ""Чуйка"" и анализ не подвели, с тех пор акции ПИК выросли на 7% на 5 января, а акции ЛСР упали на (18%).

🟢 Алроса. Удалось удачно выскочить из акций данной компании, позицию набирал в 2018-2019 году, а основную часть продал в 2021 году. С учетом всех сделок покупки/продажи среднегодовая доходность за 3 года составила 30%. Причины продажи я подробно описывал. В прошлом году высокие результаты были получены за счет реализации значительной части запасов, в 2022 году операционные результаты снизятся и все напрямую будет зависеть от цен на алмазы. Я решил, что при ценах акций в 140 рублей потенциал роста исчерпан и вышел из позиции полностью. Но планирую вернуть ее, как только котировки достигнут моих целевых уровней.

Откровенно плохих сделок у меня было всего 2 за прошлый год:

🟠 VK (MAIL RU). Хорошо, что не набрал большую позицию, в пике она составляла 3% от портфеля, с тех пор акция упала более, чем на (55%). Набор позиции начал ровно год назад в январе. До июня планомерно подбирал, потом понял, что я чего-то не понимаю и остановил закуп. Да, иногда нужно признавать свою ошибку и не идти ва-банк, это может сильно навредить депозиту. Смущало то, что акции падали на вполне нормальных отчетах и без новостей. Да, были проблемы в прибыльности СП со Сбером и Алиэкспресс, но они были и раньше. В общем, я переоценил идею, но пока не продаю, хочу подождать развязки после приобретения основного голосующего пакета акций Газпромом.

🟠 FXCN (Китай). На Китае в прошлом году погорели многие, я не стал исключением. Это тот момент, когда даже самый шикарный фундаментал компаний и дешевая оценка по отношению к аналогам не играют никакой роли. Лучший пример реализации неторговых рисков в инвестировании, когда просто в бизнес начинает вмешиваться правительство, а последствия невозможно прогнозировать. Я начал набор позиции в ETF в апреле прошлого года и набирал до конца июля включительно. Суммарная доля на тот момент составила 5% портфеля, это максимум для таких идей. Суммарный годовой убыток сейчас составляет (27%), не так серьезно, как в VK, но тоже прилично. Кстати, по двум последним идеям я совершал сделки продажи в убыток с обратным выкупом, чтобы снизить налогооблагаемую базу. 

Как вы видите, анализировать компании лишь пол дела, главное еще придерживаться стратегии набора позиций и не впадать в тильт, если что-то идет не ""по плану"". Это позволяет на долгосрочном горизонте не терять много денег, нервов и уверенности. 

Всем профита, друзья! И не огорчайтесь убыточным сделкам, они есть у всех без исключения.

{$BELU} {$GLTR}  {$ALRS} {$LSRG} {$PIKK} {$MAIL} {$FXCN}

Ваш лайк ❤ - лучшая благодарность для автора)."
2022-01-04T21:34:10.023+03:00,"С открытия б/с увеличился на 23%
Самый большой + в 2021 г принесли {$LMT} {$MRNA} {$PFE} {$CROX} {$AAPL} {$LKOH} 
Разочарование года {$MAIL} (закрыла в большой - за полтора года только падала), {$TATNP}
(за почти два года постоянный минус, зафиксировала убыток для налога и перезашла, выставила TP, после достижения которого планирую навсегда попрощаться с ними), {$WISH} (ну это по глупости, учимся на своих ошибках, была всего одна, избавилась навсегда)

В целом полет нормальный, дальше - больше!
С Новым Годом 🍾🎄🥂"
2022-01-04T20:02:00.333+03:00,"🔥Итоги дня: IMOEX +0,5%

🛢Нефть марки Brent: +0,8% (79,61$)
🛢Нефть марки WTI: +0,7% (76,61$)

📈 {$AFLT} Аэрофлот +3,9%.
📈 {$SNGS} Сургутнефтегаз +1,7%.
    {$SNGSP}  Сургутнефтегаз прив. +2,4%.
📈 {$RASP}  Распадская +1,9%.
📈 {$GLTR} Globaltrans +1,9%.

📉 {$OZON} Ozon -1,8%.
📉 {$TCSG} TCS Group -1,7%.
📉 {$MAIL} VK DRC -1,5%.
📉 {$YNDX} Яндекс -1,4%.

🇺🇸🦠В понедельник более чем у 1 миллиона человек в США был диагностирован Covid-19 😱😳

🇪🇺🇷🇺Главы МИД НАТО проведут экстренную  видеоконференцию 7 января для обсуждения требований России по вопросам европейской безопасности

🏦💰Ведущие банки за пределами США пробуют криптовалюты, предлагая клиентам способы инвестирования и хранения Bitcoin и других цифровых активов

🇹🇷🏦В последний день 2021 года ЦБ Турции получил необычайную дневную прибыль в размере около $10 млрд., что вызвало вопросы о том, что послужило причиной такого успеха. Сам банк отказался комментировать чрезвычайное движение на своем балансе"
