time,text
2024-04-12T22:26:43.974+03:00,"💰 Время готовиться к рекордным дивидендам - Альфа-Банк

Пик дивидендного сезона уже на подходе: с мая по август ожидаются выплаты на общую сумму почти 3,4 трлн руб. Всего в течение 2024 г. российские компании, по нашим расчетам, должны распределить в виде дивидендов почти 5 трлн руб. Предполагается, что значительная часть этих средств будет реинвестирована в акции, что, в свою очередь, может обеспечить дополнительную поддержку индексу Мосбиржи.

Значимость дивидендов как фактора роста рыночной капитализации косвенно подтверждается динамикой стоимости сформированной нами дивидендной корзины, которая стабильно опережала индекс IMOEX за последние 12 месяцев. Эта корзина включает в себя акции {$SNGSP}, {$MGNT}, {$MTSS}, {$SBER}, {$NLMK}, {$MAGN} и {$RTKMP}

С момента публикации нашего последнего обзора мы отмечаем следующие корпоративные события:

По словам президента {$RTKMP} Ростелекома Михаила Осеевского, менеджмент планирует предложить акционерам существенно более высокие дивиденды за 2023 г., чем те, что были выплачены по итогам 2022 г.

{$GMKN} Норникель едва ли выплатит финальные дивиденды за 4К23. По словам вице-президента по связям с инвесторами и устойчивому развитию Владимира Жукова, в условиях внешнего давления приоритетом для компании является ее финансовая устойчивость. Менеджмент полагает, что дивиденды должны финансироваться за счет свободного денежного потока (СДП), а уже выплаченные промежуточные дивиденды превышают сумму средств, сгенерированных компанией за 2023 ($1,4 млрд).

Добавим также, что {$SIBN} Газпром нефть, которая выплатила промежуточный дивиденд за 9М23 в размере 82,94 руб. (доходность 9,8%), может также отказаться от финальных дивидендов в случае, если компания сохранит коэффициент в размере 50% от скорр. чистой прибыли по итогам года.

Совет директоров {$AFKS} АФК «Система» одобрил внесение изменений в дивидендную политику, в соответствии с которыми целевой размер выплат должен составлять не менее 0,52 руб. на акцию. В 2025-2026 гг. рекомендованный объем выплат может быть увеличен на 25-50% по сравнению с предыдущим годом с учетом факторов, влияющих на финансовое положение компании.

{$GLTR} Globaltrans объявил, что вопрос дивидендов по-прежнему актуален, однако пока остается в подвешенном состоянии по техническим причинам. Сейчас первоочередная задача для компании – полностью наладить операционные и финансовые процессы в Абу-Даби.

Совет директоров {$ELFV} ЭЛ5-ЭНЕРГО рекомендовал не выплачивать дивидендов за 2023 г.

Совет директоров {$MDMG} MD Medical рекомендовал не выплачивать дивиденды за 2023 г., поскольку до завершения процесса редомициляции таким выплатам могут помешать технические ограничения.

💡 «Альфа-Банк»

🎁ПРЕМИУМ от Тинькофф БЕСПЛАТНО
Тариф🔥 www.tinkoff.ru/baf/9AazI9Yk7Cg

🎁 ВСЕ продукты Тинькофф с бонусами 
Вам 👉 www.tinkoff.ru/baf/5JfiHbzmmiM

#новости #пульс #новичкам #псвп 
#прояви_себя_в_пульсе #дивиденды"
2024-04-12T20:07:40.225+03:00,"🔥Итоги дня: IMOEX +0,5% ( 3.457 п.)

🛢Нефть марки Brent: +1,5% (91,08$)
🛢Нефть марки WTI: +1,7% (86,47$)

📈 {$PLZL} Полюс +3,8%.
📈 {$MDMG} MD Medical +3,6%.
📈 {$GMKN} Норникель +3%.
📈 {$POLY} Polymetal +2,6%.
📈 {$LENT} Лента +2,6%.
📈 {$SFIN} SFI PAO +2,3%.
📈 {$RUAL} Русал +2,2%.
📈 {$ENPG} En+ Group +2,1%.
📈 {$SNGS} Сургутнефтегаз +1,6%.
📈 {$VTBR} ВТБ +1,3%.

📉 {$ETLN} Эталон -1,3%.
📉 {$OZON} Ozon -1,3%.
📉 MTLRP Мечел преф -1,2%.
📉 {$ASTR} Астра -1,1%.
📉 LSRG Группа ЛСР -1,1%.

🇷🇺🇺🇦🌍🛢МЭА предупреждает, что атаки украинских беспилотников на российские НПЗ могут нарушить работу мировых рынков нефтепродуктов

🌍🛢💰Нефть подскочила до самого высокого уровня с октября на новостях о том, что Израиль готовится к возможному нападению со стороны Ирана или его сторонников

🇪🇺🛢ЕК: «Газовые хранилища ЕС на конец отопительного сезона 31 марта 2024 года были заполнены почти на 60%, это абсолютный рекорд для этого сезона»

🇪🇺🏦ЕЦБ придерживается плана по снижению ставок, несмотря на последствия горячих данных по инфляции в США. Чиновники отмахнулись от опасений по поводу трансатлантических расхождений и ожидают более мягкой ДКП с июня – Bloomberg

🇪🇺🏦💰По словам бывшего главы ЕЦБ Жан-Клода Трише, государственный долг вырос до уровня, вызывающего большее беспокойство, чем до банкротства Lehman Brothers в 2008 году

🇬🇧🏦Экономика Великобритании выросла второй месяц подряд в феврале благодаря росту сектора услуг

🇨🇳🏦Экспорт Китая упал в марте, что подрывает надежды на то, что мировой спрос продолжит способствовать росту второй по величине экономики мира
🔝Китайский экспорт стали достиг максимума с 2016 года из-за слабого местного спроса. Поставки за рубеж в марте достигли 9,9 млн. тонн | ~ +25% г/г.

Чтож, хороший день, отдыхаем и готовимся к конфе.
Препати идет, народу уже много)"
2024-04-12T18:59:20.408+03:00,"🔥ТОП-10 дивидендных акций от аналитиков Сбера

⚡️SberCIB обновили свою подборку из 10 самых перспективных дивидендных акций РФ.

👉С конца февраля Сбер знатно перетряхнул свой ТОП: из него были исключены три компании, а добавлены - сразу четыре.

📈Расположу акции от самой низкой ожидаемой дивдоходности до самой высокой - чтобы было интереснее. Итак, открывает нашу сегодняшнюю подборку...

🏦 10. Сбер {$SBER}

🤑Ожидаемая дивдоходность: 11,1%

Ага, ""внезапно"". На 10-м месте сам зелёный гигант нашего рынка, причем Сберовские аналитики скромно делают сноску, что он появился в ТОПе благодаря консенсус-прогнозу СПбМТСБ (Санкт-Петербургской международной товарно-сырьевой биржи). А они типа ни при чём.

⛽️ 9. Транснефть-ап {$TRNFP}

🤑Ожидаемая дивдоходность: 11,6%

Чистая прибыль Транснефти за 2023 год увеличилась на 21% и составила ₽306,6 млрд. Это рекордный показатель за всю историю компании. Дивидендные выплаты Транснефти могут составить около 190 руб. на акцию.

⛽️ 8. Лукойл {$LKOH}

🤑Ожидаемая дивдоходность: 12,4%

Суммарные дивы за 2023 год будут рекордными и превысят 1100 руб., что делает акции ЛУКОЙЛа самыми привлекательными в нефтегазовом секторе. Компания на пике своих возможностей — 1,18 трлн кэша на счетах и отрицательный чистый долг создают отличные условия для устойчивости бизнеса.

⚓️ 7. Совкомфлот {$FLOT}

🤑Ожидаемая дивдоходность: 13,4%

Чистая прибыль крупнейшей судоходной компании России в 2023 году увеличилась в 2,4 раза — до $943,3 млн. В марте Совкомфлот подтвердил стратегическую приверженность политике по выплате дивидендов в сумме, равной 50% от скорректированной чистой прибыли по МСФО.

💿 6. Северсталь {$CHMF}

🤑Ожидаемая дивдоходность: 13,7%

В феврале Северсталь объявила о возвращении к дивидендным выплатам, вызвав ликование у держателей металлургов. Она сделала это первой из сталелитейных компаний. Совет директоров рекомендовал дивиденды за 2023 год в размере 191,51 рубля на акцию.

🩺 5. MD Medical Group {$MDMG}

🤑Ожидаемая дивдоходность: 14,2%

Сбер ожидает, что MD Medical Group (управляет сетью клиник «Мать и дитя») завершит редомициляцию уже во 2 кв. 2024. После этого компания сможет начать выплаты дивидендов. По оценкам аналитиков, MD Medical Group обеспечит двузначную дивдоходность (13-20%) в 2024–2028 годах.

💎 4. United Medical Group {$GEMC}

🤑Ожидаемая дивдоходность: 14,5%

Ещё одна медкомпания. United Medical Group (бренд EMC) завершила редомициляцию. Ближайшая выплата дивидендов компании может составить 1,4 евро на акцию (с учетом пропущенных выплат за прошлые периоды), что предполагает дивдоходность около 15%.

💿 3. НЛМК {$NLMK}

🤑Ожидаемая дивдоходность: 15,3%

Второй сталевар в списке. На днях после 2-хлетнего перерыва НЛМК объявил о выплате дивидендов в размере 25,43 рубля на акцию (дивдоходность 11%). Согласно дивполитике, НЛМК выплачивает дивиденды на ежеквартальной основе.

🍏 2. Магнит {$MGNT}

🤑Ожидаемая дивдоходность: 17,3%

Чистая прибыль ПАО «Магнит» по итогам 2023 г. составила 98,3 млрд руб. С учетом выплаченных в январе 2024 г. дивидендов, суммарные дивы могут составить около 1377 руб. на акцию (с доходностью выше 17% на текущих уровнях).

🚂 1. Глобалтранс {$GLTR}

🤑Ожидаемая дивдоходность: 25%

В марте 2024 года Глобалтранс завершил переезд в ОАЭ. Сбер ожидает, что после этого компания решит вопрос с дивидендными выплатами. С учетом отложенных дивидендов за 2022–2023 гг., Глобалтранс может обеспечить доходность более 20% в 2024–2025 годах.

🤔 Что в итоге?

ТОП получился довольно разношерстным: в него попали и нефтегазовые компании, и металлурги, и продовольственный ритейл, и фин. гигант, и перевозчик, и даже 2 медицинские конторы. Мне, как адепту качественной диверсификации по активам вообще и по секторам в частности, импонирует такая широта кругозора аналитиков SberCIB.

💼В моем портфеле есть 7 из 10 бумаг: не хватает только Транснефти и обеих мед. компаний. Префы Транснефти я планирую добавить себе в рюкзак, а вот медиков не собирался.

#sid #хочу_в_дайджест #прояви_себя_в_пульсе"
2024-04-12T18:19:46.320+03:00,"{$MDMG}  она на вечерке торгуется,?"
2024-04-12T18:08:43.901+03:00,{$MDMG}
2024-04-12T16:36:30.152+03:00,{$MDMG} ух ты!!! 🚀🚀🚀
2024-04-12T16:30:36.329+03:00,"{$MDMG} было жарко,аж подмыхи вспотели"
2024-04-12T15:24:19.769+03:00,{$MDMG} 528₽ средняк 17шт.. и мало и жалко
2024-04-12T11:29:10.002+03:00,{$MDMG} фейк плита на 1030 была ))))
2024-04-12T11:19:05.846+03:00,"{$MDMG} 1030 надо пробить, а там и 1040 не за горами ✊"
