time,text
2020-05-08T04:37:03.394+03:00,"МегаФон {$MFON} Совет директоров рекомендовал не выплачивать дивиденды за 2019 год. 

Юнипро {$UPRO} Совет директоров рекомендовал дивиденды 0,11103 ₽ за 2019 год. Доходность: 3,96%. 

Акрон {$AKRN} Совет директоров рекомендовал дивиденды 275 ₽ за 2019 год. Итоговые выплаты с учетом промежуточных дивидендов по результатам девяти месяцев 2019 года составят 376 ₽. Доходность: 4,75%.

Источник: https://investmint.ru/"
2020-04-15T15:37:15.947+03:00,"Сколько нужно держать облигации чтобы обогнать вклад?

—-

Посчитаем, сколько нужно держать до продажи облигации в портфеле, чтобы с учетом комиссий обогнать вклад.

Предположим, мы используем тариф без ежемесячной платы с комиссией в 0.3% (тариф Инвестор) в Тинькофф.

За модельный вклад возьмем тот, который предлагает Тинькофф. 
Не будем искать в интернете спецпредложения для новых клиентов, бонусные условия и т.д.

На 3 месяца рублевый вклад Тинькофф банк предлагает открыть под 6% годовых.

Примем, что такая ставка на 3-х месячные вклады сохранится достаточно долго.
Сейчас в каталоге Тинькофф Инвестиций нет в достаточной степени безрисковых облигаций с погашением в ближайшие месяцы и ставкой больше 6%.

Таким образом придется учитывать и комиссию при продаже облигации.

Таким образом облигации с малым сроком погашения и купонной доходностью <6.5% нам брать не выгодно.
Однако такие облигации из-за исторического поведения ключевой ставки сейчас торгуются выше номинала. И их можно использовать для снижения налогооблагаемой базы! Что многие не учитывают.
 
Так облигацию {$MFON} Мегафон БО-1 выпуск 4 (с малым риском) с погашением в феврале 2020 и купонным доходом в 6.41% нам на первый взгляд не стоит рассматривать.
За вычетом комиссии 0.6% мы получим доход существенно меньше, чем на вкладе.

На деле же оказывается все не так.
Если продержать облигацию до погашения.

За 10 месяцев на облигации можно будет заработать 5.14-0.3=4.84%
И на 0.26% снизить налогооблагаемую базу. Т.к. Сейчас облигация продается за 1002.5 рублей с премией в 2.5 рубля!
Суммарная выгода для нас увеличится на 2.6% * 13% = 0.035%
Итого 4.875%

В то же время вклад без капитализации принес бы всего 4.9%.

С учетом погрешностей и допущений выходит почти равная сумма. 
Считается, что риск у такой облигации сильно меньше, чем риск (ликвидации) Т-банка {$TCSG}

Поэтому для вложений больших сумм рассмотренная облигация предпочтительнее (учитывай возможность смены тарифа).

Для каждого горизонта (срока) вложений и каждого тарифа есть минимальная доходность к погашению облигаций. Которая для инвестора будет выгоднее, чем консервативные банковские депозиты.

Пока мы не ответили на поставленный изначально вопрос, не рассмотрели случай, когда купоны облагаются налогом, случай продажи облигаций с дисконтом, вложения в облигации в валюте и многое другое.

—-

Ставь лайк и подписывайся, если хочешь продолжения...

Давай знакомиться! Пиши, покупаешь ли ты облигации?"
2020-04-13T09:44:17.718+03:00,"Операторы связи могут столкнуться с требованием по уплате НДС за предоставление бесплатного доступа к социально значимым ресурсам. Об этом в понедельник сообщает издание «Коммерсант» со ссылкой на проект отзыва комиссии Российского союза промышленников и предпринимателей (РСПП) по связи и ИТ на разработанный Минкомсвязью законопроект о безвозмездном доступе к социальным ресурсам.

По информации издания, операторы, согласно документу, также не смогут уменьшить налогообложение по налогу на прибыль на соответствующую сумму выплат по НДС. При этом в РСПП выступили с предложением об исключении налоговых рисков из законопроекта Минкомсвязи, а также о компенсации операторам связи и интернет-компаниям расходов на предоставление бесплатного доступа к социальным сайтам. Ранее РСПП оценивал такие потери в 150 млрд руб.
{$MTSS} {$MFON}"
2020-03-17T08:07:48.458+03:00,"Сотовые операторы предупреждают, что реализация проекта «Доступный интернет» может стать толчком к росту цен на услуги связи. Это может привести к тому, что в 2020 году стоимость услуг связи вырастет на 20 %. Неизбежный рост тарифов ожидается в случае, если государство не будет компенсировать затраты операторов на предоставление бесплатного доступа абонентам к социально значимым сайтам.

Опасения по поводу роста цен на связь выразили представители рабочей группы комиссии Российского союза промышленников и предпринимателей. Комиссия состоит из представителей {$MTSS}, «{$MFON}», «Вымпелком», «Tele2», «ЭР-Телеком», «{$YNDX}», Mail.ru Group и др. В настоящее время операторы связи предлагают два возможных варианта компенсации затрат. Первый из них предполагает предоставление налоговых льгот для всех операторов связи, участвующих в реализации проекта. Второй вариант предусматривает введение тарифов с ежемесячной минимальной фиксированной платой. Возможные затраты на предоставление бесплатного доступа к социально значимым ресурсам оценены операторами связи и интернет-провайдерами в 150 млрд рублей в год.
Напомним, обеспечить бесплатный доступ к социально значимым сайтам с 1 июня 2020 года поручил президент России Владимир Путин. Министерство цифрового развития, связи и массовых коммуникаций РФ предлагало начать предоставление абонентам бесплатного доступа к порталу госуслуг и веб-сайтам органов власти с 1 марта 2020 года, но правительство не успело согласовать соответствующее постановление. Ведомство подготовит новый законодательный проект к 26 марта. Если законопроект будет одобрен правительством, то в силу он может вступить в декабре 2020 года."
2020-02-13T11:25:37.022+03:00,"Блин, прям дебаты какие-то оживленные пошли касательно операторов связи. Возьмем для примера большую тройку нашу {$MTSS} {$VEON} {$MFON} Поделитесь опытом использования, у кого какие впечатления от связи. У меня вот например был опыт со всеми тремя компаниями. В случае мтс - прекрасная связь и интернет в пределах мкада, но полный мрак стоит уехать на дачу в Волоколамск. Мегафон показал себя просто наичудеснейшим образом на даче, но почему-то перебои в Москве были, на улице ок,  а вот в квартире будто стены фольгой заклеены и сети нет совсем, странно. Билайн стал для меня золотой серединой. В метро ничерта не ловит, но на улице уверенный прием и на даче тоже вроде средне,но работает интернет. А у вас как дела со связью?"
2020-01-24T19:32:59.473+03:00,"Российские акции с высокой дивидендной доходностью за 2020 год. Потребительский сегмент.

Рост дивидендных выплат и снижение ставок по депозитам позволит ряду бумаг потребительского сегмента рынка переписать исторические максимумы.  

МГТС {$MGTSP} - московская телекоммуникационная компания, основной акционер которой – МТС {$MTSS} , распределяет всю полученную чистую прибыль на дивиденды. Годовая выплата за 2019 год –  $3,41 – $3,74 (210 руб. – 230 руб.), что соответствует 10% дивидендной доходности, в 2020 году МГТС распределит до $3,25 – $3,58 (200 руб. – 220 руб.) или 10% дивидендной доходности.

Детский Мир {$DSKY} - ритейлер товаров для детей, который является уникальной компанией роста, показывающей двухзначную дивидендную доходность. Ритейлер за 2019 год выплатит $ 0,16 - $ 0,18 (10 руб. – 11 руб.), что соответствует 9,5% дивидендной доходности. В 2020 году распределение увеличится до $ 0,18 - $ 0,21 (11 руб. – 13 руб.) на фоне роста бизнеса. Будущие точки роста для Детского Мира: продолжение экспансии в странах СНГ, открытие 1000 магазина в России, быстрый рост в интернет-сегменте (более 60% в 2019 году) и запуск новых уменьшенных форматов магазинов.

{$VEON} {$RTKM} {$RTKMP} {$MFON} {$TTLK} {$RSTI}"
2020-01-17T15:21:47.056+03:00,{$MFON} подскажите пожалуйста почему нельзя купить акции Мегафон
2019-12-24T01:11:27.446+03:00,{$MFON} мегафон запустил беспилотный камаз с помощью 5G в Кемеровской области
2019-12-03T07:43:24.120+03:00,"Краткий обзор на телекомы: проверка на соответствие моей стратегии потенциал

Меня просили сделать обзор на телекомы и здесь будут мои краткие выводы. Рассматриваю {$MTSS}, {$MFON}, {$RTKM} и {$TTLK} . {$MGTSP} из оценки убираю, т.к. компания полностью подконтрольна МТС. {$VEON} так же не смотрю- меня интересует только российский рынок. Начнем с соответствия моим правилам:

1.       Прогноз аналитиков: МТС upside +10%, Мегафон upside -9%, Ростелеком upside +9,8% и Таттелеком (консенсус отсутствует). Вывод: upside в пределах 10% соответствует рекомендации hold. Ни одна акция критерию не соответствует
2.       DCF: МТС upside +33%, Мегафон upside +11%, Ростелеком upside -11% и Таттелеком upside  -23%. МТС подходит по критерию.
3.       DSI: МТС (0,86), Мегафон (дивидендная история всего 3 года, последние 2 года дивидендов нет), Ростелеком (0,57) и Таттелеком (0,6). Критерию соответствуют только МТС и Таттелеком
4.       Бета: МТС (1,51), Мегафон (0,63), Ростелеком (0,46) и Таттелеком (0,41). Критерию соответствует только МТС
5.       Очевидно, что рынок не стагнирующий, но рост ARPU ограничен по причине агрессивной конкуренции. В целом, критерий выполняется.
6.       EV/EBITDA (среднее по отрасли 5,2х) и ROCE (среднее по отрасли 10,7%): МТС (4,1х и 15,6%), Мегафон (5,6х и 7,2%), Ростелеком (4,1х и 3,9%) и Таттелеком (2,7х и 4,5%). Самым интересным выглядит МТС: с одной стороны, имеет место недооценка рынком, с другой стороны - компания самая эффективная в отрасли. Таттелеком также недооценен, но эффективность бизнеса очень низкая, а недооценка может объяснятся наличием мажоритарного акционера и сложностью в конкуренции с федеральными операторами.
7.       Теханализ: МТС (neutral), Мегафон (sell), Ростелеком (sell) и Таттелеком (buy). Все формально подходят в портфель, но это можно объяснить. Здесь по критерию подходит Таттелеком, но по МТС можно дождаться подходящей точки входа.

В целом, МТС задаёт тренды в отрасли и эта компания самая устойчивая к закону Яровой, что является важным фактором при принятии решения.

Резюме: МТС – 5 из 7, Мегафон – 1 из 7, Ростелеком – 1 из 7, Таттелеком – 3 из 7. Я рассматриваю акции в портфель, когда выполняется 6 из 7. При этом, МТС может быть интересен при наличии подходящей точки входа, поэтому я занимаю выжидательную позицию и рассматриваю бумагу в портфель при наличии удачной точки входа."
2019-11-22T09:59:50.044+03:00,"#рассуждения
Срок прогнозирования в модели

💻Когда вы строите финмодель компании, необходимо понимать горизонты для прогнозирования. 
Например, мы прогнозируем FCFF на N лет, потом пользуемся внепрогнозной оценкой стоимости компании

📕обычно ориентируется на 5 лет.

Т.е. для следующих 5 лет вы строите полностью модели ОФР, Баланса и ОДДС, с помощью которых получаете оценку FCFF, после чего считаете DCF. 

📉Считается, что за этим периодом прогнозная сила аналитика существенно снижается. В целом я согласен, однако хочу сделать ремарку в отношении сырьевых компаний . 

Учитывая, высокую капиталоёмкость сырьевых компаний, прогнозный период лучше выбирать, исходя из длины цикла инвестирования. СAPEX сырьевиков бывает просто огромным, он может существенно влиять на FCFF и следовать негативно сказываться на стоимости компании 

Например, согласно презентации {$SCCO} CAPEX компании будет высоким до 2025 года ($2 млрд), пока идёт развитие новых проектов. Зато в 2026 г. CAPEX снижается ниже уровней 2018г. 

Снижение CAPEX говорит о том, что компания вернулась к поддерживающему активы уровню. Следовательно, дальнейший FCFF с большей уверенностью можно рассматривать как стабильный или растущий.

Если же вы строите прогноз FCFF на 4 года, а цикл инвестирования на 6 лет, то вероятно вы заложите некорректные параметры во внепрогнозную оценку, что приведёт к завышению или занижению стоимости. 

Даже без построения модели держать в голове эти сроки будет полезно для принятия решения, т.к. они могут подсказать когда у компании появляется потенциал к росту:

- Новый цикл инвестиций среди электросетивых компаний({$IRAO}) 
означает снижение FCFF в долгосрочной перспективе, но более высокую отдачу от активов.

-  У телекома России ({$MFON}) та же ситуация, но в отличии от электросетевых пакет Яровой отдачи в положительный поток не принесёт 🤯

- В случае с сырьевыми компаниями инвестиционный цикл соответствовал циклу на рынке commodities компании. Так, ожидаемый рост цены меди в среднесрочной перспективе окажет большее воздействие на те компании, которые «выкатят» новые мощности в ближайшие 1-2 года. 

- Рост CAPEX возникающий из-за неожиданно выявившихся обстоятельств без соответствующего увеличения производственных параметров негативный фактор для цены акции. 

Вывод: Инвестиционный цикл предприятия важная метрика при принятии решения. Любые сообщения об изменении величины CAPEX, его сроков, целевых параметров по нему должны тщательно анализироваться."
