time,text
2024-04-13T15:18:26.204+03:00,"{$MGNT} вернулся к идее данной бумаги в долгосрок. Буду внимательней за ней наблюдать. Посмотрим как будет с отчетностью и дивами, но уже сейчас папира дала больше 25% 🤗🥳"
2024-04-13T15:04:49.762+03:00,"{$MGNT} 
Краткосрочный прогноз: нейтральный с уклоном в сторону быков.
Долгосрочный прогноз: умеренно бычий.
Ключевые моменты:
Акции ""Магнит"" находятся вблизи 8150 рублей, уровня сопротивления, сформированного моделью ""треугольник"".
Пробой этого уровня может сигнализировать о начале нового восходящего тренда.
Однако дивергенция на MACD и перекупленность RSI/Stochastics могут указывать на возможное торможение роста и коррекцию.
50-дневная скользящая средняя (7750 рублей) может стать ключевым уровнем поддержки в краткосрочной перспективе.
200-дневная скользящая средняя (7500 рублей) выступает в качестве долгосрочного уровня поддержки.

Инвесторам, склонным к риску:
Рассмотреть покупку акций ""Магнит"" при пробое уровня 8150 рублей с установкой стоп-приказа ниже 7900 рублей.
Умеренным инвесторам:
Дождаться подтверждения прорыва и формирования устойчивого восходящего тренда.
Консервативным инвесторам:
Воздержаться от покупки акций ""Магнит"" до прояснения ситуации с дивергенцией и перекупленностью индикаторов.

Важно:
Прогноз основан на техническом анализе и не является гарантией.
Перед принятием торговых решений необходимо провести фундаментальный анализ компании.
Не является индивидуальной инвестиционной рекомендацией!"
2024-04-13T12:21:46.972+03:00,"Недельный отчет по публикациям: WEEK_29
За прошедшую неделю было опубликовано 24 системных идей.
Google таблица с учётом PNL ( https://docs.google.com/spreadsheets/d/1Q1LPnBLh-h8Oo8oHVAI8R0nMAouLwIwZBKfqfUFZ-O4/edit#gid=897654646&range=A1 )

Системные идеи:
На текущий момент закрыто 7 из 24 идеи, 5 идей со статусом (Profit), 1 идея со статусом (Loss), 1 идея (отменена). 10 идей ожидают активации и 7 идей активированы.

MTLR идея не активирована - https://www.tinkoff.ru/invest/social/profile/Henry_Ross/73fcee11-c0f2-4066-b036-68764ca3d997/

LKOH идея отменена.

{$MGNT} закрыта вручную (+1.47%) - https://www.tinkoff.ru/invest/social/profile/Henry_Ross/333fdb26-257e-4548-af63-b95c337fd3e9/

{$PIKK} закрыта вручную (+1,87%) - https://www.tinkoff.ru/invest/social/profile/Henry_Ross/d1f75f76-05f2-4cad-9cef-4228f4f5c624/

{$RTKMP} идея активирована - https://www.tinkoff.ru/invest/social/profile/Henry_Ross/9ac8c4de-bb0a-4c79-8d5b-6bf2258fc515/

AQUA закрыта по стопу (-2.98%) - https://www.tinkoff.ru/invest/social/profile/Henry_Ross/67a6b724-a0d4-4e0e-aec7-a93a899cc46e/

{$TGKA} закрыта вручную (+1,87%), достигла тейка - https://www.tinkoff.ru/invest/social/profile/Henry_Ross/83ccaff9-12e5-44b3-8145-65aaef85c2f7/

{$YNDX} идея не активирована - https://www.tinkoff.ru/invest/social/profile/Henry_Ross/a015b8da-f22c-451c-81eb-5199bf090ccb/

{$YAKG} закрыта по тейку (+5.15%) - https://www.tinkoff.ru/invest/social/profile/Henry_Ross/770e36ac-f483-4cd6-8743-87d26acf6a3c/

{$MRKS} закрыта вручную (+2.73%), достигла тейка - https://www.tinkoff.ru/invest/social/profile/Henry_Ross/7cf26b58-15db-41f4-8c2e-7921b39de83b/

LSNG идея активирована - https://www.tinkoff.ru/invest/social/profile/Henry_Ross/4056d367-ec42-44b2-96f7-014f1947a6f9/

{$AFLT} идея активирована - https://www.tinkoff.ru/invest/social/profile/Henry_Ross/a856694f-fc03-48be-891b-88c06cbe255b/

{$NVTK} идея не активирована - https://www.tinkoff.ru/invest/social/profile/Henry_Ross/4fe51b53-a311-4b5f-8b9f-08c66c2d6d7c/

FIVE идея не активирована - https://www.tinkoff.ru/invest/social/profile/Henry_Ross/e4226de8-e6d5-4e61-b64d-d451d03adf9b/

ROLO идея активирована - https://www.tinkoff.ru/invest/social/profile/Henry_Ross/5779159d-dd08-46c7-9577-12ff115a47c2/

{$SVAV} идея активирована - https://www.tinkoff.ru/invest/social/profile/Henry_Ross/3572894f-b426-4e57-8c11-6331e3ff6aaf/

{$HYDR} идея не активирована - https://www.tinkoff.ru/invest/social/profile/Henry_Ross/4eca26d6-fa74-438d-97d6-e81d1781233e/

CNTL идея не активирована - https://www.tinkoff.ru/invest/social/profile/Henry_Ross/6995762f-e237-4eb8-9941-91828c15d09e/

ELFV идея не активирована - https://www.tinkoff.ru/invest/social/profile/Henry_Ross/a24c4fcf-4ed2-4a46-8a26-e42f6e1a44d8/

PIKK идея не активирована - https://www.tinkoff.ru/invest/social/profile/Henry_Ross/a57a13e7-da9a-4808-8fc9-66ea4cb334b4/

{$DELI} идея активирована - https://www.tinkoff.ru/invest/social/profile/Henry_Ross/48c6a700-f576-4a97-b8c7-53c89a971084/

{$VKCO} идея активирована - https://www.tinkoff.ru/invest/social/profile/Henry_Ross/8bd2f5e9-153a-40e7-b1f5-da4f134961b5/

NKNC идея не активирована - https://www.tinkoff.ru/invest/social/profile/Henry_Ross/f946c9bc-f4d6-453f-b366-3adf1d262893/

KZOS идея не активирована - https://www.tinkoff.ru/invest/social/profile/Henry_Ross/48a1a530-5de3-4af3-a6d1-b4c39911e0f1/

Итого: 10.48% суммарного показателя положительных публикаций для закрытых идей (не является окончательным из-за открытых идей и позиций). Максимальный положительный % 5.15%, отрицательный % -2.98%
* Обновление для WEEK_29 будет опубликовано в следующем недельном отчете.
** Суммарный показатель % - кф. для определения winrate, не является показателем % чистой прибыли.

#аналитика #рынок #система #прояви_себя_в_пульсе #теханализ #хочу_в_дайджест #трейдинг #обзор #пульс #акции"
2024-04-13T08:42:15.769+03:00,"Итоги двух недель апреля.

С начала апреля портфель прибавил 71 500 рублей.

Бумаги, отобранные для идей в долгосрок не показывали слабость. Основная идея в Магните остаётся в силе, продолжаю держать позицию, с идеей отыграть высокую дивидендную доходность.

Удалось провернуть несколько быстрых плюсовых сделок. 
•Шорт Астры в плюс 4% на новостях об SPO
•Лонг Софтлайна исходя из графика по ТА в плюс 2,5%
•Лонг En+ на росте аллюминия. +3%. Не уверен в необходимости продолжать держать дальше на новостях о санкциях США на российский аллюминий

Немного осторожничал по золотодобытчикам, из-за законопроекта о дополнительном НДПИ ( переоценил его влияние), тем не менее и Полюс и Селигдар закрыты в небольшой плюс. Южуралзолото улетело в космос как и предполагал, на нем ранее уже 17% забирал, но можно было конечно и больше.

В целом по рынку считаю, что на след неделе должна быть коррекция, рынок перекуплен на мой взгляд. Но коррекция не должна быть глубокой, так как фундаментальные факторы по прежнему говорят о росте фондового рынка РФ в целом.

Понравилась риторика Набиуллиной по инфляции, прогнозирую начало снижения ключевой ставки в июне-июле, что в совокупности с дивидендным сезоном должно поддержать котировки.

{$MGNT} {$ENPG} {$ASTR} {$PLZL} {$UGLD} {$SELG} {$SOFL}"
2024-04-13T00:08:21.875+03:00,"Добрый день

Появилась идея для конкурсов, думаю в ближайшее время начну реализовывать. Пока секретный секрет. 

В начале года у меня было что-то около 500 подписчиков. И сейчас смотрю, уже почти 800. И я хочу таким образом поблагодарить вас за то, что читаете, подписываетесь, комментируете и ставите реакции. За советы и рекомендации отдельное спасибо. Несколько раз прям спасли от потерь.

У меня довольно хороший год выдался. Последнее время каждый год все лучше и краше. Портфель раньше чуть перегонял количество подписчиков, сейчас чуть отстает 745 тыс против 790 читателей. Постараюсь угнаться за вами. 

Еще очень рад, что весь «мусор» распродал в портфеле. Сейчас захожу, вижу {$YNDX} {$MGNT} {$LKOH} {$PIKK} и вообще нету мыслей. Продавать или покупать, ждать или не ждать. Сейчас я прям максимально четко по этим позициям знаю чего хочу. Эта позиция очень помогла мне в инвестициях. Да и в жизни на ура работает

Такие мысли на сегодня. Желаю вам прибылей, и аккуратнее с криптой в ближайшее время
#цель200"
2024-04-12T22:26:43.974+03:00,"💰 Время готовиться к рекордным дивидендам - Альфа-Банк

Пик дивидендного сезона уже на подходе: с мая по август ожидаются выплаты на общую сумму почти 3,4 трлн руб. Всего в течение 2024 г. российские компании, по нашим расчетам, должны распределить в виде дивидендов почти 5 трлн руб. Предполагается, что значительная часть этих средств будет реинвестирована в акции, что, в свою очередь, может обеспечить дополнительную поддержку индексу Мосбиржи.

Значимость дивидендов как фактора роста рыночной капитализации косвенно подтверждается динамикой стоимости сформированной нами дивидендной корзины, которая стабильно опережала индекс IMOEX за последние 12 месяцев. Эта корзина включает в себя акции {$SNGSP}, {$MGNT}, {$MTSS}, {$SBER}, {$NLMK}, {$MAGN} и {$RTKMP}

С момента публикации нашего последнего обзора мы отмечаем следующие корпоративные события:

По словам президента {$RTKMP} Ростелекома Михаила Осеевского, менеджмент планирует предложить акционерам существенно более высокие дивиденды за 2023 г., чем те, что были выплачены по итогам 2022 г.

{$GMKN} Норникель едва ли выплатит финальные дивиденды за 4К23. По словам вице-президента по связям с инвесторами и устойчивому развитию Владимира Жукова, в условиях внешнего давления приоритетом для компании является ее финансовая устойчивость. Менеджмент полагает, что дивиденды должны финансироваться за счет свободного денежного потока (СДП), а уже выплаченные промежуточные дивиденды превышают сумму средств, сгенерированных компанией за 2023 ($1,4 млрд).

Добавим также, что {$SIBN} Газпром нефть, которая выплатила промежуточный дивиденд за 9М23 в размере 82,94 руб. (доходность 9,8%), может также отказаться от финальных дивидендов в случае, если компания сохранит коэффициент в размере 50% от скорр. чистой прибыли по итогам года.

Совет директоров {$AFKS} АФК «Система» одобрил внесение изменений в дивидендную политику, в соответствии с которыми целевой размер выплат должен составлять не менее 0,52 руб. на акцию. В 2025-2026 гг. рекомендованный объем выплат может быть увеличен на 25-50% по сравнению с предыдущим годом с учетом факторов, влияющих на финансовое положение компании.

{$GLTR} Globaltrans объявил, что вопрос дивидендов по-прежнему актуален, однако пока остается в подвешенном состоянии по техническим причинам. Сейчас первоочередная задача для компании – полностью наладить операционные и финансовые процессы в Абу-Даби.

Совет директоров {$ELFV} ЭЛ5-ЭНЕРГО рекомендовал не выплачивать дивидендов за 2023 г.

Совет директоров {$MDMG} MD Medical рекомендовал не выплачивать дивиденды за 2023 г., поскольку до завершения процесса редомициляции таким выплатам могут помешать технические ограничения.

💡 «Альфа-Банк»

🎁ПРЕМИУМ от Тинькофф БЕСПЛАТНО
Тариф🔥 www.tinkoff.ru/baf/9AazI9Yk7Cg

🎁 ВСЕ продукты Тинькофф с бонусами 
Вам 👉 www.tinkoff.ru/baf/5JfiHbzmmiM

#новости #пульс #новичкам #псвп 
#прояви_себя_в_пульсе #дивиденды"
2024-04-12T22:09:42.821+03:00,"Вы знаете, Баффет считает, что диверсификация может быть ошибкой для инвестора. Для него диверсификация - защита от невежества. Суть заключается в том, что если провести глубокий анализ бизнеса и конъюнктуры рынка, то можно вложить все свои средства в одну компанию с целью получения большей прибыли, и в этом нет ничего плохого. Да, в учебниках подчеркивают важность диверсификации, и многие будут настаивать на этом, но на самом деле это зависит от контекста рынка.

Как известно, на американском рынке есть много примеров того, как компании вырастают на десятки тысяч процентов за несколько десятилетий. Это частные компании, в которых нет доминирующего государственного влияния. Американским инвесторам доступно гораздо больше возможностей на фондовом рынке, чем где-либо еще в мире. В США сосредоточено множество глобальных бизнесов, которые задают мировые тренды, и их продукты и услуги пользуются популярностью во всем мире. Рост на сотни процентов в год - не редкость на их рынке, так что в их случае возможно рассмотреть вложение в одну компанию с надеждой на рост инвестиций.

А что насчет нашего рынка? Есть ли у наших частных компаний шанс на такой же рост и выход на мировой уровень? Можно ли опираться на мнение Баффета о ненужности диверсификации на российском фондовом рынке?
 {$OZON} {$MGNT} {$WUSH} {$MTSS} {$FIVE} {$LENT} {$BELU} {$PIKK} {$YNDX}"
2024-04-12T20:49:23.850+03:00,"💼Базовый портфель
Рост и стоимость. Генерируем деньги и вкладываем в стабильность

🌱💰Про классификацию акций на рост и стоимость уже был развёрнутый пост когда-то ниже. Для базового портфеля условно разобьем бизнесы на два вида - те, кто полученную прибыль преобразует в дивиденды и выплачивает акционерам, и те, кто вкладывает её в развитие и дальнейшее освоение для увеличения и масштабирования компании

🎭Суть базового портфеля достаточно проста - я разбиваю его на две плюс/минус равные части. В части первой мне нужны компании, генерирующие свободные финансы посредством дивидендов или купонов на постоянной основе для дальнейшего ре-инвестирования и получения сложного процента. В части второй мне нужны компании, которые имеют бóльшую вероятность к тенденции дальнейшего роста, их я планирую купить на максимальный инвестиционный срок и только-лишь докупать, за редким исключением

Разверну подробнее каждую из Частей

👷Корзина 1. Генерация денег

Дивидендных компаний на рынке достаточно много. Но во главу угла я ставлю вопрос стабильности моего портфеля. Соответственно, отбирать буду сюда либо дивидендных аристократов, для которых уменьшение или вообще прекращение выплат - нонсенс, и близкие к ним крупные компании с большой капитализацией, с узнаваемым и покупаемым продуктом и стабильными выплатами в ретроспективе пяти лет. Почему? Все просто. Даже при общем снижении рынка, конкретной отрасли или актива из-за какой-либо форс-мажорной ситуации, я, с большей долей вероятности, как минимум, получу хорошие стабильные выплаты, и, опять же, с большей долей вероятности, такие компании будут откупать при снижении другие инвесторы. Так же как и я

В эту же часть портфеля я включаю наши облигации крупных компаний с квартальными купонами. Это даёт мне возможность практически без риска хранить там финансы в небольших объемах, получать % и выходить спекулятивно, если мне понадобились средства

В качестве примера компаний для Части 1 можно выбирать из вернувшегося разнообразия наших дивидендных бизнесов - Сбербанк {$SBER} Магнит {$MGNT}  Лукойл {$LKOH}

*на Канале - цикл постов о лучших, на мой взгляд, вариантах сейчас

Плюсом фонды недвижимости - самый диверсифицируемый диверсификатор, вместе с золотодобытчиками {$PLZL} должны быть, как по мне

Наши же компании, после открытия торгов и стабилизации рынка, имеют перспективы дальнейшего роста, учитывая цены на сырье, так что можно отбирать активы с меньшим дивидендом, но с потенциалом, в зависимости от Ваших вкусов или уверенности в продукте, такие как {$NLMK} или {$TATN} , они идут у меня в Списке с вопросом

👉Хочу обратить повышенное внимание на покупки небольших компаний с высокими периодическими дивами, таких как #BANE или #BSPB из-за их слишком спекулятивной составляющей или отсутствием стабильности выплат, что будет провоцировать волатильность. Если хотите потрейдерить - создайте отдельный портфель, или выделите 5-10% от этого. Подобные действия - не то, что нужно для Базы, которая предполагает максимальную стабильность

👇В дальнейшем разберу рекомендации по Части Роста, и общие рекомендации к подбору и формированию портфеля. Самые нетерпеливые и прозорливые найдут ее раньше, остальным же рекомендую👇

⏏️Заходи в профиль и подписывайся, больше полезного - на Канале"
2024-04-12T20:31:07.378+03:00,"📆 Итоги недели 8-12 апреля

Российский рынок завершает неделю на позитивной ноте. Индекс МосБиржи #imoex  старается закрепиться выше 3450 пунктов, обновляя максимумы с февраля 2022 года, ведомый спросом на ликвидные бумаги сырьевых секторов.

☝️ Лидеры роста ☝️

Наиболее сильно выглядел ряд бумаг металлургического сектора - в первую очередь акции НорНикеля {$GMKN}  , РУСАЛа {$RUAL}  и Полюса {$PLZL}  . Их переоценке способствовал уверенный рост цен на драгоценные и промышленные металлы. 

Рекомендация СД НЛМК {$NLMK}  выплатить дивиденды по итогам 2023 года в размере 25,43 руб. вернула бумаги в число привлекательных дивидендных идей. 

В нефтегазовом секторе рост был более сегментированным, фокусируясь в «весовых» акциях ЛУКОЙЛА {$LKOH}  , Газпрома {$GAZP}  и в бумагах Башнефти, обновивших максимумы с 2017 года.
Подросли дивидендные бумаги, в частности, акции ЛСР {$LSRG}  и расписки HeadHunter {$HHRU}  , а также Банк Санкт-Петербург {$BSPB}  , Магнит {$MGNT}  , МТС {$MTSS}  , Аэрофлот {$AFLT}  . 

👇Снижались на этой неделе👇 

В аутсайдерах недели – безыдейный на фоне слабости рынка угля Мечел {$MTLR}  и откатившиеся от пиков OZON #OZON  и ВСМПО #VSMO  .

📍Сохраняем позитивный взгляд на российский рынок акций. Ключевой поддержкой рынку выступают стартующий дивидендный сезон, ожидания отчетностей за l квартал, а также дорогая нефть. Рассчитываем на движение индекса МосБиржи на следующей неделе в зону 3500+ пунктов.

💨 Аналитический Центр ПСБ

🪄 ПРЕМИУМ от Тинькофф БЕСПЛАТНО https://www.tinkoff.ru/baf/5aE4TqnnnH3 👑
                                      +
🪄 БЕСПЛАТНАЯ кредитная карта: 
https://www.tinkoff.ru/baf/46DPL8h7gFk 💳

А ещё вас ждут подарки 🎁 + 🎁 акции крупной компании и многое другое❕

#акции #инвестиции #пульс #новичкам #рынок #дивиденды"
2024-04-12T20:25:28.210+03:00,"✨Как я заработал сегодня 💰 50 000 рублей, брокеру отдал 💸 -13 911 руб. 

{$RNFT} - как обычно шорчу руснефть на задергах вверх, не вижу покупателя крупного, что гнал вверх : +48 046 р.
{$ALRS} - сегодня должен был быть СД по дивам, взял шорт, так как их не будет, надоело ждать) откупил +3 495р.
{$VKCO} - на новости взял, погнали вверх, не закрыл 10к плюсом, зато закрыл +2 673р)
{$SFIN} {$ROLO} {$PHOR} {$TTLK} - эти акции брал по мелочи, нечего рассказать. 
🔴Обидный был минус лензолото, можно было забрать тысяч 30:
{$LNZLP} взял на первом задерге вверх, пошла в откат, не поверил в рост, а она в моменте под 17% была((   -1 679 рублей
{$MGNT} - слегка шортанул, вижу откупают акцию, хотят видеть выше ее  -2 742 рублей.
На другом аккаунте держу шорт {$PLZL} и {$GMKN} 
#доход #прибыль"
