time,text
2023-04-10T14:01:41.790+03:00,{$MGTS} наблюдать
2023-02-20T22:35:56.367+03:00,"{$MGTS} для себя, понаблюдать."
2023-02-06T13:43:16.075+03:00,{$MGTS} лелит. Только где конечная?
2020-05-18T15:33:53.365+03:00,"{$MGTSP} {$MGTS} 
Рекомендовать годовому Общему собранию акционеров ПАО МГТС принять следующее решение: не выплачивать и не объявлять дивиденды по размещенным обыкновенным и привилегированным именным акциям ПАО МГТС по результатам отчетного 2019 финансового года.

Обыкновенная акция — акция дающая право на участие в управлении Обществом, но не гарантирующая получение владельцу дохода в виде дивидендов. . Обыкновенная акция предоставляет акционеру право на участие в общем собрании акционеров с правом голоса при решении всех вопросов, выносимых на голосование, право на получение дивидендов, размер которых колеблется в зависимости от величины чистой прибыли Общества и выплачивается при наличии соответствующего решения Годового общего собрания акционеров Общества, а также на получение части имущества Общества при его ликвидации в порядке, установленном законодательством.

Привилегированная акция — акция, обладающая специальными правами, на ряд прав которой наложены специальные ограничения.. Обладатели привилегированных акций не имеют права голоса по большинству вопросов, обсуждаемых общим собранием акционеров, однако имеют право на получение фиксированного размера дивиденда на акцию, рассчитываемого как процент от чистой прибыли Общества деленный на общее количество привилегированных акций, и (или) ликвидационной стоимости (ст. 32 Закона об АО). Размер процента зафиксирован в Уставе Общества и составляет не менее 10% от чистой прибыли Общества полученной за период выплаты дивидендов.

ПАО МГТС («Московская городская телефонная сеть») – один из крупнейших операторов связи в Европе, первый и основной телекоммуникационный партнер Москвы. МГТС входит в Группу МТС, основным акционером компании является МТС с 94,7% акций.

Совет директоров ПАО МГТС
Барсегян Алексей Визскопбович, вице-президент по корпоративным и правовым вопросам ПАО ""МТС""
Белов Виктор Леонидович, директор по конвергентной и транспортной сетям технического блока ПАО ""МТС""
Галактионова Инесса, первый вице-президент ПАО ""МТС"" по телекоммуникационному бизнесу
Кузнецов Павел Владиславович, вице-президент – директор Московского региона ПАО ""МТС""
Медведев Владислав Александрович, генеральный директор ПАО МГТС (по совместительству отвечает за технический блок Московского региона МТС)
Ольховский Евгений Иванович, директор департамента стратегического планирования и контроля ПАО ""МТС""

Что имеем в итоге. По всей видимости МТС решила выкупить все акции МГТС и стать 100% владельцем, для чего выдавливают всех миноритарных акционеров отменой дивов и обваливая акции тем самым, при этом скупая подешевевшие акции."
2020-05-18T11:10:29.426+03:00,"🚫 Дивидендов, которых нет!

За последние несколько дней состоялось несколько заседаний совета директоров и собраний акционеров, где решили не выплачивать дивиденды по итогам 2019 г. 

Совет директоров МГТС рекомендовал акционерам на годовом утвердить решение не платить дивиденды по результатам 2019 г. {$MGTSP} {$MGTS}

Совет директоров Кузбасской топливной компании рекомендовал акционерам отказаться от выплаты дивидендов за 2019 г. {$KBTK}

Совет директоров М.Видео-Эльдорадо рекомендовал акционерам не выплачивать дивиденды за 2019 г. {$MVID}

Акционеры Трансконтейнер на годовом заочном собрании проголосовали против финальных дивидендов за 2019 г. {$TRCN}

Большинство отмен дивидендов связаны с неопределенностью, вызванной коронавирусом и высокой волатильностью глобальных рынков. И только КТК отказалась от дивидендов из-за полученного убытка по итогам 2019 г."
2020-05-18T09:50:28.363+03:00,"Доброе утро. 

Неделя начинается с умеренного роста азиатских индексов, которые растут на 0,5%. Вполне ожидаемо что наши биржи так же откроются вверх. 

Однако настораживается воинственная риторика США и Китая, которые начали выдвигать взаимные условия. 
Так США пригрозили дальнейшим включением Huawei в ограничительные списки. На что Китай ответил ещё более жестко - активировать чёрный список американских компаний работающих на территории их страны - это Apple {$AAPL} , Cisco {$CSCO} , QUALCOMM {$QCOM} а так же BOEING {$BA} Посмотрим чем все это закончится, но в случае негатива инвесторы могут начать скидывать акции. Вспоминаем, как сильно упали компании в начале торговой войны. 

Из росийских новостей: 

""Сбермаркет"" планирует выйти во все регионы России к июлю 2020 г, кроме Крыма и Севастополя. {$SBER}

Количество ИИС, открытых частными лицами на Мосбирже, превысило 2 млн. Чистая прибыль за 1 квартал 2020 по МСФО выросла на 90.7%. Это следствие увеличения числа участников а так же волатильности на рынке, которая заставляет участников совершать больше сделок. При этом Мосбиржа не видит оснований создавать резервы под разбирательствам по майским фьючерсам. Да здравствует наш суд, самый гуманный в мире {$MOEX}

МГТС решили не выплачивать дивиденды.Акции {$MGTS} упали на 6% и преф {$MGTSP} на -16%
Смотрим вниматеьно за МТС. Вполне возможен так же отказ.


Нефть:
Алекперов купил 76 500 акции Лукойл. Дата - 14 мая 2020г {$LKOH}


РОСНЕФТЬ не будет менять див. Политику и продолжат выплачивать 50% от чистой прибыли. Это должно как минимум поддержать акции на текущем уровне. Моя цель в 300-310 остаётся актуальной. Вполне возможно на каких-либо негативных новостях она упадёт до нужных мне уровней. {$ROSN}


СД БАШНЕФТИ рекомендовал  дивиденды за 2019 год в размере 107,81 руб или 6,08 по текущему курсу. На лицо снижение дивов и акцию вполне возможно начнут сливать {$BANE} {$BANEP}

Золото начало своё победное шествие на вершину, Как заработать? Покупаем {$FXGD} и золотодобывающие компании. Для особо рисковых можно попробовать фьючерсы, но это очень рискованно.

Хорошего всем торгового дня."
2020-05-18T09:08:16.452+03:00,"☕Доброе утро!
📣Дайджест новостей на сегодня. 
Рынок пошел вверх, тренд уже чётко просматривается,  это пожалуй самое главное.
Фьючерсы США в плюсе, Азия не отстаёт, про нефть вообще молчу, с утра  33,70  (+4%), на фоне выхода из карантина и дальнейшего сокращения добычи, что должно поддержать и рубль. Есть уверенность, что рынок российских бумаг сегодня будет хорошенько отрастать. В первую очередь нефтянка: {$LKOH} {$ROSN} {$TATN}, не забывал бы и про  СБЕРБАНК{$SBER} Также, обратил бы внимание на акции мосбиржи, которые просели на див ГЭПе {$MOEX} и сегодня должны бодро стартовать.
Обращаю внимание на следующие бумаги, которые имеют неплохие шансы для сильного рывка в ближайшие 2 недели: АЛРОСА при нынешних ценах 59.82 выглядит более чем привлекательной бумагой {$ALRS} . Северсталь {$CHMF} , которая за минувшую неделю просела в цене, тогда как компания ни на одну секунду не приостанавливает производства, а впереди дивиденды. Россети, на мой взгляд сильно недооценены плюс дивиденды в ~7%, добавляют особый интерес к бумагам {$RSTI} . 
Компания FLIR, ставит камеры для дистанционного определения температуры, ЛИДЕРОТРАСЛИ,  это наше будущее, её услугами уже пользуется ПРАВИТЕЛЬСТВО США, AAPLE И AMAZON {$FLIR}
Однако, не может быть всё слишком хорошо, и тут мы, как всегда, вспоминаем о наших соседях и заокеанских партнерах 🇨🇳🇺🇸Противостояние Китая и США услиливается. Администрация Трампа в пятницу предприняла шаги для блокировки глобальных поставок чипов для китайской Huawei Technologies в свою очедь Китай готов включить  компании США в ""список ненадежных организаций"", и в рамках контрмер рассматривает начало расследований, и введение ограничений в отношении американских компаний, таких как Apple Inc {$AAPL}, Cisco Systems Inc  , а также приостановка закупок самолетов Boeing Co и др.
Поэтому не расслабляемся, всё  не так просто, да и возможная 2-я  волна вируса будет ещё оказывать давление на рынки.

Что было в пятницу 15 мая:

▪️СД МГТС  приняло ршение не выплачивать дивиденды за 2019г на обыкновенные акции и префые {$MGTS}  
🇷🇺МосБиржа , отчиталась о чистой прибыль  по МСФО за 3 мес. 2020 г. которая составила ₽5,904 млрд., увеличившись на 90,7% .
▪️СД БАШНЕФТИ рекомендовал дивиденды за 2019г в размере 107,81 руб на акцию {$BANE} Башнефть после того, как её приобрела Роснефть, стала совсем не инвестпривлекательной. Утешением акционеров были дивиденды, которые увеличили уже не те(. 
▪️ФСК  одобрил дивиденды за 2019г по  0,95 коп на акцию, сумм {$FEES}"
2020-05-16T15:57:18.526+03:00,"​​Шестую неделю подряд Индекс Мосбиржи безидейно находится около отметки в 2600 п. Конец недели добавил толику позитива, однако итоговое падение составило -1,8%

Доллар все также зажат в диапазоне 73-74,5 рубля. Снижение ставки и другие макроэкономические факторы сейчас слабо влияю на курс американской валюты.

Концовка недели оживила цены на нефть, которые продемонстрировали рост в +6,6% и и все таки преодолела отметку в 32$ за баррель.

Главным аутсайдером недели стали акции Московской биржи {$MOEX} -10,6%. Но не спешите делать выводы, ведь компания закрыла рееста акционеров под дивиденды. Выплата составит 7,93 рубля на акцию или 6,2% доходности.

Тинькофф банк {$TCSG} отчитался за 1 квартал 2020 года. Отчет вышел успешным, на фоне отчитавшихся ранее Сбербанка и ВТБ. Компании удалось увеличить прибыль на 26%. Котировки по итогам недели подросли на +3%.

ФосАгро {$PHOR} также представила свой отчет. Денежные переоценки увели чистую прибыль на отрицательную территорию, что не произошло с котировками, +1% за неделю. Однако, в текущей кризисной ситуации компания смотрится устойчиво. Кроме того, совет директоров рекомендовал выплатить акционерам 78 рублей в качестве дивидендов. 

Хорошие новости ждут акционеров компании Ленэнерго {$LSNG} которая так любима дивидендным инвесторам. После длительной приостановке торгов, 18 мая Московская биржа снова запускает торги этими бумагами. На открытии будьте аккуратны, ведь волатильность обещает быть сильной. {$LSNGP}

Некоторые компании уже начали отзывать свои прогнозы на 2020 год, а есть те, кто решил не выплачивать дивиденды. Такими являются Иркутскэнерго {$IRGZ}, МГТС {$MGTS}, КуйбышевАзот {$KAZT}, Квадра {$TGKD}, Обувь России {$OBUV} Боюсь, что некоторое снижение выплат предстоит и крупным компаниям.

А вот ФСК ЕЭС {$FEES} не планирует откладывать, либо сокращать выплату дивидендов. За 2019 год акционеры получат свою долю в полном объеме, 0,0095 рубля на акцию, что сулит доходность 5,2%. Реестр - 29 мая. Даже это не поддержало акции, которые закрылись падением -2,3%.

У меня готова для Вас статья с разбором компании Electronic Arts {$EA} Забегая вперед скажу, что я уже купил акции в свой портфель, а вот повод для этого найдете в статье на следующей неделе.

Всем хороших выходных!"
2020-05-15T21:18:27.541+03:00,"{$TRCN} Тинькофф удаляй дивиденды
{$MGTS} {$MGTSP} опрокинули на 20% , все больше российских компаний отказываются от дивидендов
{$SBER} {$SBERP} Сбербанк имеет высокий риск отмены дивидендов. (Из-за Набиуллиной) 
{$GAZP} Газпром скорее всего 100%но утвердит дивиденды т.к недавно член правления купил акций на 10млн (см.инсайдерские сделки)"
2020-05-15T20:02:18.334+03:00,"Итоги торгов РФ: убыток Роснефти, прибыль Мосбиржи, отказ от дивидендов МГТС

🛢Роснефть +1,1% {$ROSN} 
Компания отчиталась о квартальном убытке по МСФО в 156 млрд руб. Выручка за год снизилась на 15%. Глава компании Игорь Сечин считает, что после пандемии Роснефть может стать мировым лидером. Ранее стало известно, что Владимир Путин, помимо управления Роснефтью, поручил Игорю Сечину курировать вопросы генной инженерии в РФ. 

⚡️ ОГК-2 -0,3% {$OGKB} 
Чистая прибыль по МСФО в I квартале выросла на 26,7%. Выручка -8,5%. Способность увеличить прибыль - очень позитивно. 

🏛 Мосбиржа -2,5% {$MOEX} 
Компания увеличила прибыль по МСФО в I квартале в 2 раза до 5,9 млрд руб. Год назад у Московской биржи украли зерно, поэтому показатель был занижен на 2,4 млрд руб. Главный позитив в отчетности - рост комиссионных доходов на 29%. 

📡 МГТС -7,6%, МГТС-п -16,9% {$MGTS} {$MGTSP} Дочерняя компания МТС неприятно удивила инвесторов, отказавшись от дивидендов по итогам 2019 года. 5 лет подряд выплачивали дивиденды 222-235 руб на акцию, стабильно давая двузначную дивдоходность. 

От дивидендов за 2019 год отказались Обувь России {$OBUV} и Трансконтейнер $TRCN. После закрытия рынка дивиденды за 2019 г рекомендовала Башнефть {$BANE} - 107,8 руб на акцию, доходность по обычке - 6,1%, по префу - 7,4%. 

🛢Рынок нефти 
На нефтяном рынке замечены признаки выздоровления: выход из карантина сдержал падение спроса - Коммерсантъ 
(https://www.kommersant.ru/doc/4344029)

🇩🇪 В мире: Германия 
В I квартале ВВП Германии сократился на 2,2%. За весь год прогнозируется падение крупнейшей европейской экономики на 6,3%. 

Лучше рынка 📈  
ЛСР  3,1% 
МОЭСК  2,8% 
Сургутнефтегаз 2,8% 
Таттелеком  2,7% 
Полиметалл  2,1% 

Хуже рынка 📉  
ФСК ЕЭС  -1,8% 
Мосбиржа  -2,4% 
X5 Retail Group  -2,4% 
Квадра  -3,0% 
МГТС-п  -16,7% 

🇺🇸 S&P 500 -0,8%  
🇷🇺 Инднес Мосбиржи  0,1%  
💵 USD/RUB  0,5%  73,7 
💶 EUR/RUB  0,6%  79,8 
🥇 Золото  0,8%  1755 
🛢 Нефть Brent  2,5%  31,9 

Карта доходности рынка РФ за день в Telegram. Ссылка в профиле."
