time,text
2024-04-13T16:28:47.258+03:00,"✅Итоги недели по портфелю 💼

⚠️Доходность за 5 торговых дней составила 39060 рублей.

🟢Лидеры роста:
-Полюс золото + 9,1к {$PLZL}
-Норникель +7,8к {$GMKN}
-Золото +5,6к {$GLDRUB_TOM}
-Лукойл +3.3к {$LKOH}
-Новатэк +3к {$NVTK}

🔴Лидеры падения

-Тинькофф банк -303р {$TCSG}
-Транснефть -207р {$TRNFP}
-Белуга -186р {$BELU}
-Московская биржа -62р {$MOEX}
  

Дивиденды: +2600 ( чистыми)

Купоны : +280р

Больше информации у меня на канале ❤️"
2024-04-13T15:21:45.770+03:00,"Эту облигацию купил мой прадед в те времена... {$UWGN} 
{$MOEX}"
2024-04-13T14:07:40.683+03:00,"Всем привет!
Продолжаю рассказывать про свою стратегию [&Fox strategy](https://www.tinkoff.ru/invest/strategies/b4a42b8f-634f-4e1f-82f7-6096bae72254) .
За прошедшую неделю доходность стратегии составила +0,42%, а общая доходность почти за 3 месяца +12,52%. Эта неделя оказалась не богатой на доход, но с учётом того, что в целом по рынку наблюдали разнонаправленное движение по бумагам, диверсификация портфеля стратегии помогла избежать просадок и позволила немного заработать. Общая же доходность соответствует целям на год – 30-50%, без резких взлётов и падений с ориентацией на плавный рост.
Сегодня расскажу ещё про одну компанию, акции которой я держу в портфеле.
Акции компании Интер РАО ЕЭС {$IRAO} .
Как и акции компаний, о которых рассказывал в предыдущих постах, акции Интер РАО ЕЭС покупал в преддверии отчёта, а так же возможного объявления дивидендов, плюс докупал уже по факту, после объявления дивидендов. Напомню, что они составят 0,326р. на одну акцию, а доходность составит 7,65%, дата покупки для получения – до 31 мая. На сегодняшний день доля данных акций в портфеле стратегии составляет – 32,17%, а доходность +2,77%. Доход пока небольшой, несмотря на внушительную долю в портфеле, однако вижу хорошие перспективы для роста в течение ближайшего времени. К примеру аналогичная ситуация была в портфеле с обыкновенными акциями Сургутнефтегаз {$SNGS} , однако за две недели акции показали рост +5,32%, что было вполне ожидаемо и о чём я и писал.
Так же на прошедшей недели немного уменьшил позицию по акциям компании Московская Биржа {$MOEX} , зафиксировал прибыль +8,37%, средства от продажи пошли на покупку акций компании, о которой я расскажу в следующем посте.
Портфель стратегии:
Интер РАО ЕЭС: Доля – 32,17%, доход + 2,77%;
Московская Биржа: Доля – 20,46%, доход + 6,43%;
Сургутнефтегаз: Доля – 13,95%, доход + 8,71%;
Сбербанк {$SBER} : Доля – 13,46%, доход + 10,56%;
Северсталь {$CHMF} : Доля – 8,14%, доход + 15,57%;
ВИМ – Ликвидность {$LQDT} : Доля – 1,48%, доход + 0,46%;
Компания, о которой расскажу в следующем посте: Доля – 10,13%, доход + 1,29%;
Спасибо всем, кто дочитал до конца, всем удачи и зелёных портфелей!!!
Ознакомиться со стратегией, пока она находится в закрытом режиме, можно по ссылке https://www.tinkoff.ru/invest/strategies/b4a42b8f-634f-4e1f-82f7-6096bae72254/
Не является ИИР!"
2024-04-13T10:46:07.252+03:00,{$MOEX} че эт тинек торги закрыл
2024-04-13T09:55:13.283+03:00,"Итак, мои итоги этой инвестнедели. Я не выдержал эмоциональных качелей с {$POSI} и продал их уйдя в минус где-то на 400 рублей, да. После чего потихоньку подкидывал деньги себе в ИИС и покупал себе {$WUSH} и {$DELI} с расчётом на летний период, туристы всякие шерингами будут пользоваться, все дела, вспомнил, что {$MTSS} тоже самокаты выставляет на улице, так ещё узнал, что можно Steam пополнять через их банк, тоже взял, недолго думая (почти не думая). {$MVID} брал по принципу ""авось повезёт когда-нибудь"". {$BSPB} и {$MOEX} взяты из-за дивидендов в мае, на большее я с ними не рассчитываю. {$RNFT} набрал, потому что вспомнил, что пару лет назад Роснефть тоже дëшево стоила и решил, что, может быть, может вырасти, а может и не вырасти, но если вдруг да, то будет приятно очень.

После я вспомнил зачем я вообще позитивные технологии брал, там же тоже дивиденды, из-за них только и желал. Пришлось подкинуть ещё деньжат и приобрëл парочку обратно."
2024-04-13T01:41:45.183+03:00,"🌟 В подборку лучших акций добавлены: бумаги Positive Technologies, HeadHunter и Южуралзолото 

❗️С момента последнего изменения списка лучших российских акций, которое было в начале апреля, индекс МосБиржи продолжил расти и превысил отметку в 3400 пунктов впервые с февраля 2022 года. 

📌 В начале апреля аналитики ""SberCIB Investment Research"" убрали из подборки лучших акций две компании – X5 Group и Ozon {$OZON} , а теперь вместо них были добавлены бумаги Группы Позитив, HeadHunter и Южуралзолота.

1️⃣ Positive Technologies {$POSI}, лидер рынка в сфере результативной кибербезопасности в РФ, недавно изменила параметры программы мотивации, которые стали более благоприятными для акционеров. В связи с этим её акции были добавлены в подборку.

2️⃣ HeadHunter {$HHRU} выгодна текущая конъюнктура на рынке труда России. Аналитики ожидают, что в 2024–2026 годах клиентская база компании продолжит расти двузначными темпами. После редомициляции, намеченной на вторую половину 2024 года, HeadHunter может вернуться к выплате дивидендов с доходностью около 13%.

3️⃣ Также в топ были добавлены акции {$UGLD} Южуралзолото. Цены на золото достигли $2350 за унцию и обновили свои исторические максимумы. EBITDA компании примерно в два раза более чувствительна к динамике цен на золото, чем EBITDA Полюса. При повышении цены на золото на $100 за унцию чистая прибыль Южуралзолото за 2024 год может увеличиться примерно на 20%

🔥 Полный список лучших акций, по мнению аналитиков SberCIB, с указанием целевых цен, а также потенциалом роста этих акций вы можете увидеть в таблице, прикреплённой к этому посту. 

🌟 Подписывайтесь на канал, если хотите зарабатывать на инвестициях 🌟

❗️Автор этого поста: @Russian_Stocks❗



#акции #россия #пульс #новости {$IRAO}  #аналитика #трейдинг #инвестиции {$YNDX} {$LKOH} {$SBER} {$MOEX} {$NLMK} {$GLTR} {$TRNFP} {$SBERP}"
2024-04-13T00:27:11.213+03:00,"📌 #Новости 

•США вводят запрет на импорт алюминия {$RUAL} , меди и никеля {$GMKN} российского происхождения, сообщил американский Минфин. Под запрет не попадут партии ресурсов, произведенные до 13 апреля.

•К санкциям США против российских металлов {$NLMK} присоединилась Великобритания.

•Костин, глава ВТБ {$VTBR} : С прошлого года, после ужесточения режима вторичных санкций, банки из дружественных стран стали чаще отказывать российскому бизнесу и банкам {$SBER} в переводах. Для осуществления расчетов рынку доступны эффективные, но не всегда прозрачные платежи через посредников. 

•МФК «Займер» {$ZAYM} разместил акции на Московской бирже по нижней границе диапазона. Цена одной акции в рамках IPO составила 235 рублей.

•МТС Банк {$MTSS} проведет #IPO на Мосбирже {$MOEX} .

•В Оренбурге заявили о критическом положении и объявили массовую эвакуацию. Опасный уровень 930 см был пройден еще 9 апреля, а исторический рекорд 1092 см - вечером 11 апреля. 

•Цена нефти {$LKOH} Brent превысила $92 за баррель впервые почти за полгода.

📌 #Мнение 

•Плохая новость для российских металлургов и горнодобывающих компаний, хотя в целом она была ожидаема.

💼 Полный состав своего портфеля и все происходящие в нем изменения стабильно абсолютно бесплатно выкладываю в своем Пульсе каждую неделю, поэтому
✅Подписывайтесь, если Вам интересно😉

#пульс_оцени #прояви_себя_в_пульсе #хочу_в_дайджест"
2024-04-12T23:48:55.328+03:00,"Итоги недели:

{$IRAO} +0,05% 📈
{$LSRG} +8,55% 📈
{$MOEX} +0,02% 📈

ИТОГО весь портфель [&Driver D](https://www.tinkoff.ru/invest/strategies/5f5821e3-b1c6-4740-a8d5-81f2e7bb82ea) +2,99% 📈

Индекс МосБиржи на этой неделе +1,79%. Мы снова его опережаем!

Хорошая неделя.

Всем хороших выходных 😎"
2024-04-12T23:32:26.095+03:00,"Сколько заплатят банки по итогу впечатляющего 2023 года? Где находятся ракеты в банках? Кто даст двухзначную див доходность? Добро пожаловать на мою пятничную рубрику: ""Прогнозируемые секторальные дивиденды"". 

Все дивидендные выплаты рассчитаны на основе моих достаточно точных финансовых моделей. 

Мой топ пик на 2024 год в банковском секторе: {$SBER} {$BSPB} {$SVCB} {$TCSG} $LEAS. 

Важно отметить, что некоторые компании, несмотря на низкие дивиденды, имеют отличный потенциал к росту, например Тинькофф и Европлан. Но об этом в другом посте 😉 

*дивиденд для Тинькофф рассчитан без учёта доп эмиссии для поглощения Росбанка. 

Подписывайся на канал, чтобы заранее быть в курсе о предстоящих дивидендах! 

Какой сектор разобрать в следующую пятницу? Пишите в комментариях свои предложения! Наберём много лайков - выложу сразу 2 сектора

Спасибо за внимание!
Не ИИР 

{$SBER} {$TCSG} {$CBOM} {$LEAS} {$BSPB} $USBN {$MOEX} {$CARM} {$SVCB} $RDRB {$VTBR} {$SFIN} {$SBERP} 

#Ожидаемые_дивиденды #Дивиденды"
2024-04-12T23:20:13.031+03:00,"Доброй ночи друзья .Спасибо за поддержку к предыдущему посту,но не всё так плохо,у меня семь портфелей,есть и зелёные места
{$SBER}  {$MOEX}  {$GMKN} -зеленые  .💛❤️💚
Просадки закаляют инвестора,дисциплинируют💪🫰🤪
А теперь #юмор_в_студию 
🤣Мой муж сказал,что этой ночью сделает всё,что я захочу...Теперь с нетерпением жду,когда стемнеет.Очень уж хочется посмотреть,как он будет клеить обои в прихожей.🤣🤣🤣

🤣-Я одна на миллион!
-значит таких как ты,около 8тысяч.🤣🤣🤣

🤣 -Дорогой,я шубу хочу....
-Моя ты хозяюшка!Ставь свеклу с картошкой,я в магазин за селёдкой.🤣🤣🤣

🤣Если вам кто-то звонит,говорите,что у вас садится батарейка.Это помогает узнать главное сразу.🤣🤣🤣

🤣Муж пришёл к адвокату:
-Хочу развестись со своею женой.
--А что случилось?
--Да она каждый день таскается по клубам и ресторанам.
--Неужели гуляет?
--Да нет,меня разыскивает.🤣🤣🤣

🤣Он:
--Быстрее вызывай скорую,у меня,кажется,сердечный приступ!
Она(берёт его телефон):
--Какой у тебя пароль?
--Все,не надо,вроде отпустило...🤣🤣🤣
#юмор
#пульс"
2024-04-12T23:06:54.851+03:00,"Вот сравните нашу по {$MOEX} со своим гомункулусом {$SFM4} и реальный инструмент.
Абсолютная некомпетентность."
2024-04-12T22:47:29.113+03:00,"🖥 Генеральный директор разработчика программного обеспечения компании Астра {$ASTR}  Сивцев подтвердил планы компании по проведению в среднесрочной перспективе SPO (Secondary Public Offering) - вторичного предложения акций. Конкретных планов по срокам и параметрам размещения пока нет, но компания предметно заинтересована в SPO.
 
📰 Доля компании, которая сейчас находится в свободном обращении составляет 5%. Для попадания в первый котировальный список Московской биржи {$MOEX}  , доля акций в свободном обращении должна составлять не менее 10%.
 
💡🗿На что прямо хотят обратить внимание! 
При проведении процедуры SPO размытия доли текущий акционеров не произойдет, так как компания не планирует проводить дополнительную эмиссию акций, о чем менеджмент уже заявлял ранее. Акции будут продавать текущие мажоритарные акционеры.
 
❗️С одной стороны, плохо, что мажоритарии продают свою долю и с высокой долей вероятности выведут деньги, а не направят их на развитие. С другой стороны, процент продажи относительно невысок и отсутствие дополнительной эмиссии - позитив для текущих акционеров.
 ✅ 13 апреля ""Группа Астра"" выступит на одной из крупнейших для частных инвесторов - PROFIT. Где расскажет про свои текущие достижения и стратегические планы. 
[&Дивидендное ралли](https://www.tinkoff.ru/invest/strategies/d6fcf0f8-fccf-4f2c-81b8-6a1f9017c10e)
#новости #spo #астра #стратегия #хочу_в_даджест #прояви_себя_в_пульсе #ИнвестИдеи #акции"
