time,text
2024-04-11T20:32:59.268+03:00,"{$MRKC} 
Я вот как-то не очень такие бумаги люблю если честно , но если пойдет, то свое взять можно.
Ну ооочень  долгое накопление в широком боковике.
Тут идет отработка локальной фигуры 2Д с целью 0,6220. А также проходит нисходящая трендовая. При пробитии и закрепе цена подойдет к верхней границе флэта. 

Минимумы повышаются, максимумы понижаются образовывая так называемый симметричный треугольник. По мне лучше покупать на выходе из боковика с целью 0,77, а то и выше. 
Сообщение носит информационный характер, не является ИИР или предложением приобрести упомянутые ценные бумаги."
2024-04-11T12:05:16.690+03:00,"{$MRKC}
Когда на взлёт?"
2024-04-11T10:52:22.027+03:00,"10 российских компаний из моего портфеля, которые будут платить дивиденды

На российском фондовом рынке начинается дивидендный сезон. Уже рекомендовали дивиденды следующие компании: Позитив, ЛСР, ЦМТ, Банк Санкт-Петербург, Мосбиржа и другие.
Ниже перечислю компании, которые в ближайшие несколько месяцев могут выплатить дивиденды. Их акции есть у меня. В начале перечня рассмотрю уже рекомендованные дивиденды,  далее будут ожидаемые.

1. Лукойл {$LKOH} 
Величина рекомендованного дивиденда - 498 р. (6,36%). 
Стоимость акции - 7825 р. 
Последний день покупки - 6 мая.
Это финальные дивиденды за 2023 год, компания в декабре 2023 г. уже выплатила 447 р.

2. Новабев {$BELU} 
Величина рекомендованного дивиденда - 225 р. на акцию (3,67%). 
Стоимость акции  - 6126 р. Последний день покупки - 26 мая.
Это финальные дивиденды за 2023 год, компания уже выплатила за 2 квартал и 3 квартал 2023 г. 320 и 135 р. соответственно.

3. Северсталь {$CHMF} 
Величина рекомендованного дивиденда - 191,51 р. (10,3%) 
Стоимость акции на 1849 р. 
Последний день покупки - 17 июня.

4. НЛМК {$NLMK} 
Величина рекомендованного дивиденда: 25,43 ₽ (11,2%)
Стоимость акции: 226,32 ₽
Закрытие реестра: 27 мая

5. Сбербанк {$SBER} 
Величина дивиденда (прогноз): до 40 ₽ (до 13%)
Стоимость акций: 306,48 ₽ (ао), 306,92 ₽ (ап)
Закрытие реестра: июль

6. Транснефть {$TRNFP} 
Величина дивиденда (прогноз): до 200 ₽ (12,5%)
Стоимость акции: 1635,5 ₽
Закрытие реестра: июль

7. Россети Ленэнерго {$LSNGP} 
Величина дивиденда (прогноз): 22,25 ₽ (11,3%)
Стоимость привилегированной акции: 198 ₽. 
Закрытие реестра: июнь

8. Россети Центр {$MRKC} 
Величина дивиденда (прогноз): 0,0741 ₽ (12,3%)
Стоимость акции: 0,6024 ₽
Закрытие реестра: июнь

9. Татнефть {$TATN} 
Величина дивиденда (прогноз): 23,24 ₽ (3,3%)
Стоимость акций: 709,2 ₽ (ао), 710,7 ₽ (ап)
Закрытие реестра: июль
Это финальные дивиденды за 2023 год, компания уже выплатила за 2 квартал и 3 квартал 2023 г. 27,54 и 35,17 р. соответственно.

10. Роснефть {$ROSN} 
Величина дивиденда (прогноз): 29 ₽ (5%)
Стоимость акции: 573,2 ₽
Закрытие реестра: июль
Это финальные дивиденды за 2023 год, компания уже выплатила ранее 30,77 ₽. 

#дивиденды"
2024-04-10T18:19:26.358+03:00,"✨Ура. Отличный день. Заработал сегодня 💰 105 000 рублей, брокеру отдал 💸 -21 000 руб. Скриншот закинул за 2 дня торгов, так как были переносы. 
{$GMKN} - сочный лонг, хотя поза была не большая, брал вчера, с утра закрыл : +170 577 р.
{$RKKE} - поигрался маленькой позой +3 780р.
{$OZON} {$CHMF} {$GAZP}  {$AFLT} {$MRKC} - эти акции брал по мелочи, нечего рассказать. Кармани  {$CARM} может выстрелить, так как собрат Займер выходит на IPO, но я не буду держать позу -но это не точно.

🔴Обидные были минусы и большие (Некоторые сделки могут не оправдаться, но важно было быстро реагировать и срезать потери.):
{$YNDX} вроде начали разгонять, взял большую позу, но увидел что покупатель закончился, пришлось резать   -20 644 рублей
{$NLMK} - обидная ошибка, объявили дивы, вроде как и ожидали, в итоге пампанули акцию, я пришортил, но рано минус -32 149 рублей.
#доход #прибыль"
2024-04-10T17:49:15.969+03:00,"{$MRKY} одна ракета заправлена, {$MRKC} заправят сегодня/завтра (P.S. у неё вообще бешеные цели, 1,5р за штуку, 2,5х на сегодняшний момент)"
2024-04-10T01:22:42.035+03:00,"Сейчас происходит какой-то безумный рост на фондовом рынке и сейчас больше чем раньше необходимо быть осторожным.

Если у Вас есть акции из этого топа, то подписывайтесь на мой Пульс чтобы не пропустить мои обзоры на эти акции 😎🤙

Напомню лидеров движений прошлой недели 👇

📈  ЭсЭфАй -4.4% {$SFIN}
Астра -4.4% {$ASTR}
Вуш -2.7% {$WUSH}
ДВМП -2.3% {$FESH}
Эл5 -1.6% {$ELFV} 
Акрон -0.9% {$AKRN} 
Ростелеком Преф -0.4% {$RTKMP}
Тгк-2 -0.3% {$TGKB} 
Эталон +0.7% {$ETLN}
МГТС +1.1% {$MGTSP} 
Россети Центр +1.1% {$MRKC} 
Распадская +1.2% {$RASP}

Как мы с Вами видим, большинство из этих акций резко превратились из ракет в метеориты, летящие на землю ☄️ <– метеорит

Частью из них я активно торговал в своих стратегиях. Жмите Ракету, если у вас в портфеле есть какие-то из этих Ракет или метеоритов 🚀☄️

В Ютубе скоро выйдет разбор акций, которые в Мае должны очень неплохо взлететь)) 
Подписывайся, чтобы не пропустить 😉✅"
2024-04-10T00:46:37.826+03:00,"ДУМКИ ТРЕЙДЕРОВ.💡РУБРИКА. ЧЕМ И КАК ТОРГУЮТ ТРЕЙДЕРЫ❓ ПРОЖАРИМ...

#ПрофитаNET
{$SNGSP} Эх, по ходу и 70 пробьют, глазом не моргнут. Видимо рынок считает, что эти дивиденды не самые крупные и следующие станут еще больше. т.е. уверены в долларе выше 100 под конец года. Иначе никак не объяснить такую гонку в Сургуте (который когда мы брали почему-то не был в тренде😁).

{$MRKC} как и другие МРСК-шки тоже хорошо прибавляют, их дивиденды хоть и не столь знамениты (как Сургут), но вес имеют, % там все еще неплохой..

{$IRAO} . Долго ждать пришлось, но не страшно, мы никуда не торопимся. Текущий рост конечно радует, но меня ИнтерРао интересует на долгосрок, может показать хорошую динамику в будущем.

По Сберу {$SBER}  отчет вышел, все как обычно хорошо и замечательно, фиксироваться никто не спешит, но все-таки легкая перегретость по рынку уже вполне себе конкретно ощущается. По всем топам пока баланс, т.е. покупатели и продавцы не создают перекосы и держимся на одном уровне, но не исключаю, что в обозримом будущем чуть-чуть остынем. Среднесрочно по-прежнему запас ходу вверх остается,  эта позиция с НГ не меняется.

#Чехов
Придерживаюсь логике, что внутри 24 года начнется отдача + попытка выйти в прибыль у {$VKCO}
Технически на поддержке, стоит дешево. 
Хочу этим воспользоваться. 

Акции падают на понижении рейтинга + до сих пор не весь объем с евроклира вышел = считаю, что это супер возможность для увеличения позиции, пока здесь нет никакого заражения со стороны физиков.

Из позитивных тенденций P/S около 1, для технологического сектора это важный индикатор на мой взгляд. 
+ не забываем, что в теории {$VKCO} должен заполучить долю в Озон (в идеальном сценарии)

#Гудвин
{$BELU}  Совпало движение рынка вниз и Белуги, многие в личку начали спрашивать что поменялось. Новостей нет, зону 6000₽ защитили, оставили уже несколько хвостов, немного добрал, все также жду роста.

{$AGRO} Решил добрать по текущим 1460, раз дают зону ретеста, то что фиксировал по первому профиту весьма жирному, собрал снова.

{$SOFL} Взял Софтлайн, выход из красивого треугольника, есть потенциал к росту, раз так АйТи сектор сейчас любят.
Покупка 167,20
Стоп 159
Профиты 175,50 и 179,50 и 184,70

🔥⚡ ПРОЖАРКА - присоединяйтесь к ленте и проверим самые интересные #идеи из сокрытых каналов ""трейдеров""- уникальный проект в Пульсе"
2024-04-09T16:12:33.406+03:00,{$GMKN} {$TGKN} {$UGLD} {$MRKC} {$LKOH}
2024-04-09T15:32:26.697+03:00,"{$MRKC} месяц росли, сейчас за 10 минут все упадёт 😁"
2024-04-09T14:29:28.668+03:00,{$GMKN} {$TGKN} {$UGLD} {$MRKC} {$BANE}
