time,text
2023-08-25T18:14:05.839+03:00,{$MRKK} для себя
2023-03-22T09:33:38.188+03:00,"{$MRKK} Специалисты управляемого «Россети Северный Кавказ» АО «Чеченэнерго» завершили электрификацию новой мечети в столице республики – городе Грозном.
Дом Всевышнего вместимостью почти 2 тысячи человек находится в Висаитовском районе города и представляет собой двухэтажное здание с двумя минаретами. Чтобы обеспечить надежное и качественное электроснабжение значимого объекта, энергетики построили кабельную линию электропередачи 0,4 кВ общей протяженностью 200 метров. Кроме того, оперативно-ремонтная бригада установила на участке трансформаторную подстанцию мощностью 630 кВА."
2023-03-22T09:30:53.457+03:00,"{$MRKK} 21.03.23
#Развитие
«Россети Северный Кавказ» завершили технологическое присоединение к электросетям компании фермерского хозяйства по выращиванию винограда в Предгорном городском округе Ставрополья.
Для реализации проекта энергетики филиала «Ставропольэнерго» установили в хуторе Верблюдогорка новую трансформаторную подстанцию мощностью 100 кВА и построили участок линии электропередачи напряжением 10 кВ с использованием самонесущего изолированного провода (СИП). Протяженность нового линейного объекта составила почти 400 метров. Применение СИП специалисты объясняют его неоспоримыми преимуществами – провод пожаробезопасный, устойчив к коррозии, имеет высокий класс надежности и безопасности.

Фермерскому хозяйству энергетики обеспечили мощность в объеме 70 кВт. В дальнейшем это гарантирует плановый объем производства строящегося на территории хозяйства завода по переработке винограда.

«Создание необходимой энергетической инфраструктуры, в том числе для предприятий малого и среднего бизнеса, является одним из важных направлений нашей работы. Это напрямую способствует созданию новых рабочих мест, развитию сельских территорий и экономики региона в целом», – отметил первый заместитель директора – главный инженер филиала «Россети Северный Кавказ» – «Ставропольэнерго» Павел Зинченко."
2023-03-06T09:47:52.077+03:00,"{$MRKK} «Россети Северный Кавказ» подключили к энергосетям объекты связи на Ставрополье

#Развитие
«Россети Северный Кавказ» обеспечили электроснабжение объектов интернет-связи в 18 населенных пунктах Ставрополья. Это небольшие поселения, расположенные в Шпаковском, Советском, Красногвардейском, Петровском, Нефтекумском, Новоалександровском, Кочубеевском, Андроповском, Предгорном, Арзгирском и Новоселицком районах края с общей численностью населения порядка 7,5 тысячи человек.
Новые объекты связи были построены по программе устранения цифрового неравенства, реализуемой в рамках федерального проекта «Информационная инфраструктура». Установленное в населенных пунктах края оборудование позволит жителям использовать современные онлайн-сервисы.  Мощность присоединенных к электросетевой инфраструктуре устройств суммарно составила почти 200 кВт.  Для электроснабжения объектов связи специалисты филиала «Ставропольэнерго» выполнили необходимый комплекс работ, предусматривающий строительство воздушных линий, реконструкцию и организацию учета электроэнергии. Благодаря этому жителям небольших населенных пунктов стали доступны услуги высокоскоростного доступа в интернет.  В скором времени специалисты подключат к энергосетям компании еще 6 объектов связи, расположенных в Минераловодском (пос. Привольный, х. Безивановка, х. Сухая Падина), Ипатовском (с. Новоандреевское), Александровском (п. Дубовая Роща) и Предгорном (п. Урожайный) районах края."
2023-02-28T13:47:54.540+03:00,{$MRKK}
2023-02-17T18:46:40.737+03:00,{$MRKK}
2023-02-13T14:06:04.568+03:00,{$MRKK} думайте..
2023-01-26T16:16:16.429+03:00,{$MRKK} вырастет📈
2020-04-29T13:32:16.537+03:00,"{$MRKK} 

Чистая прибыль «МРСК Северного Кавказа» по РСБУ за 3 мес. 2020 г. составила ₽0,555 млрд., против убытка в ₽2.362 млрд. в предыдущем году. Выручка увеличилась на 11,5% до ₽4,997 млрд. против ₽4,482 млрд. годом ранее.

Источник: rossetisk.ru"
2020-04-29T06:31:47.395+03:00,"❗️Основные события на сегодня 29.04.20

{$GAZP} - Газпром - МСФО (2019г)
{$MAGN} - ММК - МСФО (1кв 2020г)
{$NVTK} - Новатэк - МСФО
{$MRKK} «МРСК Северного Кавказа»  Финансовые результаты по МСФО за 4 кв. и 12 мес. 2019 г.
{$LSNG} ПАО «Ленэнерго»  Финансовые результаты по МСФО за 4 кв. и 12 мес. 2019 г.
{$TSLA} Tesla опубликует финансовую отчётность за 1 кв.
{$MSFT} Microsoft опубликует финансовую отчётность за 1 кв. 2020 
{$FB} Facebook опубликует финансовую отчётность за 1 кв. 2020 
{$BA} опубликует финансовую отчётность за 1 кв. 2020
{$QCOM} опубликует финансовую отчётность за 1 кв. 2020"
2020-03-05T18:32:13.225+03:00,"​​🔌 Результаты дочек Россетей по итогам 2019 года по РСБУ

Финансовые результаты компаний в 2019 году оказались слабыми, большинству не удалось нарастить прибыль по итогам года. 

🔸 Лидерами по дивидендной доходности являются МРСК Центра и Приволжья, Ленэнерго-п и МРСК Волги. 
Финансовый результат МРСК Центра и Приволжья в 2019 году оказался под влиянием роста прочих расходов. Компания зарезервировала средства на «судебные решения с энергосбытовыми компаниями».

🔸 Одним из наиболее проблемных по-прежнему остается МРСК Северного Кавказа. Компания ни разу за последние 6 лет не получала прибыли и не выплачивала дивиденды. 

🔸 МРСК Юга и МРСК Сибири, вероятно, откажутся от дивидендов по итогам года. Компании зафиксировали убыток по РСБУ.

Dohod.ru
{$MRKV} {$MRKY} {$MRKC} {$MRKS}  {$MRKP} {$MRKK} {$MRKZ} {$MRKU}"
