time,text
2024-04-12T17:35:47.483+03:00,"Среднесрок держу {$MRKP}  и {$ZAYM} 
Не иир"
2024-04-12T14:11:29.586+03:00,"{$MRKP} я удивляюсь что никто не скупает мрск регионов, вижу что идёт явный тренд на монополизацию рынка, переоснащение 5а российско-китайское электроники оборудование, тк идёт монополизация, то в 4 тех решения становятся типовыми и спускаются сверху, денег надо много, фск хочет управлять потоками, соответственно дивы будут хорошие , тк нужны доя развития сетей, и их расширение для электпотранспорта, местные сети, мрск,  особенно Москвы, поволжья, центра будут зарабатывать все больше, плюс индексации тарифов, во всех акциях видна консолидация, но могут не вырасти сразу только самые перекупленные"
2024-04-12T11:41:08.431+03:00,{$MRKP} для нее это уже классика.
2024-04-11T18:41:33.068+03:00,"{$MRKP} завтра на 0,33 должна сходить."
2024-04-11T10:53:34.871+03:00,"{$MRKP} весь вчерашний дневной рост за 15минут слили, а вчера при красном индексе не хотела падать, мда уж..."
2024-04-11T10:42:49.974+03:00,"Спасибо подписчикам стратегии 🤝 и возможностям ожидания 💪

Редко, но метко! Ищу сделки каждый день, но предыдущая возможность была 4 апреля, и вот только сейчас новая для эффективной ребалансировки представилась.

Особенно пристально слежу за энергетикой и элеткроэнергетикой отобранной. Как только вижу на графике интересные для входа точки, проверяю, есть ли что продать в плюсе. Потому что продавать без покупки на эти деньги не интересно, лучше держать. Сегодня в фокусе акции. 

Результаты стратегии:
•За месяц: +1,28%
•За неделю: +0,02%

Действия по стратегии [&Черепаха Зануда](https://www.tinkoff.ru/invest/strategies/bf80ca81-bd40-4e64-b442-62cc03207624) сегодня:

🐢 Продала:
•{$OGKB} +1,53% (покупали 27 марта) 
•{$MAGN} +0,47% (покупали 6 февраля) 
•ВИМ Ликвидность (не хватало 300 рублей на всё желаемое) 

🐢 Купила:
•{$LQDT} на мелочь около 100 рублей, чтобы чуть росла
•{$MRKY} 
•{$MRKP} 

#автоследование #стратегии #черепаха"
2024-04-11T10:09:39.440+03:00,"{$MRKP} 2 раз уже писал об этой компании. Нравится рынок сейчас, в среднесрок идем на 0,37+ 

Думаю ситуация сейчас располагает к этому"
2024-04-11T02:00:50.423+03:00,"[&Стабильное будущее](https://www.tinkoff.ru/invest/strategies/7acb14a4-383a-4d3e-a1f9-25213d4489d4) #Дивиденды #СовместныйПортфель #Автоследование 

Итак друзья, дивидендный сезон начался и не для кого не секрет, что я активно скупаю акции, которые могут заплатить хорошие дивиденды и вырасти на ожиданиях. На див.сезоне также будет расти и весь рынок. Однако в июле- августе див. сезон будет походить к концу и если инфляция не упадёт, и у нас не будет снижаться ключевая ставка, деньги из акций будут перетекать в облигации. Рынок не может постоянно расти, сейчас топливо есть, но без снижения ключевой ставки на долго этого топлива не хватит !

На этом сейчас строются мои стратегии в Совместном портфеле и стратегии автоследования [&Стабильное будущее](https://www.tinkoff.ru/invest/strategies/7acb14a4-383a-4d3e-a1f9-25213d4489d4)

Итак мой ТОП-10 дивидендных акций:

⛽️Транснефть ап {$TRNFP}
🔸Прогнозный дивиденд: 210 рублей
🔹Прогнозная дивдоходность: 13%
🔸 Прогнозная дата июль

Транснефть недавно провела сплит после чего цена акции снизилась в 100 раз, что позволило многим частным инвесторам их прикупить. Нет сомнений, что компания не выплатить дивиденды, ведь делает она это стабильно и регулярно каждый год.

📱МТС {$MTSS}
🔸Прогнозный дивиденд: 34,29 рубля
🔹Прогнозная дивдоходность: почти 12%
🔸Прогнозная дата июнь

Почти 12% на акцию или 34,29 рубля на акцию — это отлично, а если вспомнить о том, что скоро пройдёт IPO МТС Банка, то можно надеяться на хороший рост.

🏦Сбербанк {$SBER}
🔸Прогнозный дивиденд: 34,29 рубля
🔹Прогнозная дивдоходность: почти 12%
🔸Прогнозная дата: май

За прошлый год нагенерировала 1,5 триллиона рублей чистой прибыли. 50% от чистой прибыли по МСФО, скорректированной на выплаты дадут 33,4 рубля на акцию или 11,3%. Не нуждается в представлении и разборах, акция, которая должна быть в портфеле любого инвестора.

⛽️Лукойл {$LKOH}
🔸Дивиденд: 950 рублей
🔹Дивдоходность: 13,3%
🔸Даты: май и декабрь 

Дивиденды Лукойла — такое же обычное явление, как времена года. Но в этот раз есть траты — покупка доли Яндекс и возможный выкуп акций у нерезидентов, которые могут отразиться на размере дивидендов.

🍷Новабев (Белуга) {$BELU}
🔸Дивиденд: 780 рублей
🔹Дивдоходность: 13,7%
🔸Первая выплата в мае 

Белуга распределяет более 100% чистой прибыли на дивиденды. Компания мечта и розницу развивает и  инвесторов делает богаче 😏

⛽️Татнефть {$TATN}
🔹Дивиденд: 100 рублей
🔸Дивдоходность: 14,1%
🔹Даты : как по часам, январь, июль, октябрь

Исправно наполняет бюджет Татарстана своими дивидендами, не может их не платить.

🔌Россети ЦП {$MRKP}
🔸Дивиденд: 0,05 рубля
🔹Дивдоходность: 14,8%
🔸Прогнозгая дата: июнь 

В 2023 году РЦП заработали рекордную прибыль, поэтому потенциальная дивдоходность может составить почти 15%. А может и не составить. Но исторически платят в любом случае хорошо.

🍏Магнит {$MGNT}
🔸Дивиденд: 1 100 рублей
🔹Дивдоходность: 15,6%
🔸Когда ? Июнь и декабрь 

Магнит может продолжить распределять прибыль, а с учётом январских дивидендов в этом году доходность может составить 20%. Кроме того, дивиденды и после 2024 года ожидаются хорошими на уровне 13%.

⛽️Сургутнефтегаз-ап {$SNGSP}
🔸Дивиденд: 12 рублей
🔹Дивдоходность: 21,1%
🔸Прогнозно: июль

Кто не слышал о фантастических дивидендах Сургута? Доходность может оказаться самой высокой в этом году, но есть риски: за 2024 год дивиденд может быть сильно ниже, а текущие дивиденды уже могут быть заложены в цене переоценённых акций.

 ⛽️Газпром нефть {$SIBN}
🔸Прогнозные дивиденды: 105,1 рубля
🔹Прогнозная дивдоходность: 13,0% 
🔸Когда? июль и декабрь 

Эта дочь Газпром и  по итогам первых 9М2023 года, ради матери повысила норму выплат с 50% до 70-75% прибыли по МСФО. Частные инвесторы, естественно, тоже пользуются этой опцией. Особо дела в гору у матери не идут в этом году, поэтому дивиденды мы можем увидеть также на достойном уровне. 
____________________
Важно! Есть ещё акции с хорошими дивидендами, но все компании из списка, на мой взгляд, можно брать по текущим, если вы инвестируете среднесрочно или долгосрочно. 

Однако напоминаю ваши деньги- это ваша ответственность. У каждого своя голова на плечах
Не ИИР 😉"
2024-04-11T00:35:54.972+03:00,"{$MRKP} {$LSNG} - похоже начался сезон пампов сетей и разного низко-ликвида)))

🚀🚀🚀🚀🚀🚀🚀🚀🚀🚀🚀🚀🚀🚀🚀🚀🚀🚀

@De_vint - что думаешь?


*** Не является индивидуальной инвестиционной рекомендацией

#пульс_оцени #прояви_себя_в_пульсе #хочу_в_дайджест #дайджест_пульса"
2024-04-10T23:18:59.986+03:00,"Добрый вечер, что ж {$NLMK} все таки рекомендует акционерам выплатить дивы, и при нынешней цене доходность выше 11%, думаю рост гарантирован, все таки бумага отстает от той же {$CHMF} Северстали, в общем вижу определённо хорошую перспективу роста до 245 - 250р. это конечно не сразу, но до 27 мая вполне реально.
  Так же под дивиденды брал {$MRKP} и {$SNGSP} продолжаю держать первый уже 5,9% второй 3% 
  Плюс держу под новости с ближнего востока {$RNFT}, в бумагу зашли неведомые объемы, думаю не с проста. 

P.S. Все вышеизложенное не является инвестиционной рекомендацией."
