time,text
2024-04-13T12:21:46.972+03:00,"Недельный отчет по публикациям: WEEK_29
За прошедшую неделю было опубликовано 24 системных идей.
Google таблица с учётом PNL ( https://docs.google.com/spreadsheets/d/1Q1LPnBLh-h8Oo8oHVAI8R0nMAouLwIwZBKfqfUFZ-O4/edit#gid=897654646&range=A1 )

Системные идеи:
На текущий момент закрыто 7 из 24 идеи, 5 идей со статусом (Profit), 1 идея со статусом (Loss), 1 идея (отменена). 10 идей ожидают активации и 7 идей активированы.

MTLR идея не активирована - https://www.tinkoff.ru/invest/social/profile/Henry_Ross/73fcee11-c0f2-4066-b036-68764ca3d997/

LKOH идея отменена.

{$MGNT} закрыта вручную (+1.47%) - https://www.tinkoff.ru/invest/social/profile/Henry_Ross/333fdb26-257e-4548-af63-b95c337fd3e9/

{$PIKK} закрыта вручную (+1,87%) - https://www.tinkoff.ru/invest/social/profile/Henry_Ross/d1f75f76-05f2-4cad-9cef-4228f4f5c624/

{$RTKMP} идея активирована - https://www.tinkoff.ru/invest/social/profile/Henry_Ross/9ac8c4de-bb0a-4c79-8d5b-6bf2258fc515/

AQUA закрыта по стопу (-2.98%) - https://www.tinkoff.ru/invest/social/profile/Henry_Ross/67a6b724-a0d4-4e0e-aec7-a93a899cc46e/

{$TGKA} закрыта вручную (+1,87%), достигла тейка - https://www.tinkoff.ru/invest/social/profile/Henry_Ross/83ccaff9-12e5-44b3-8145-65aaef85c2f7/

{$YNDX} идея не активирована - https://www.tinkoff.ru/invest/social/profile/Henry_Ross/a015b8da-f22c-451c-81eb-5199bf090ccb/

{$YAKG} закрыта по тейку (+5.15%) - https://www.tinkoff.ru/invest/social/profile/Henry_Ross/770e36ac-f483-4cd6-8743-87d26acf6a3c/

{$MRKS} закрыта вручную (+2.73%), достигла тейка - https://www.tinkoff.ru/invest/social/profile/Henry_Ross/7cf26b58-15db-41f4-8c2e-7921b39de83b/

LSNG идея активирована - https://www.tinkoff.ru/invest/social/profile/Henry_Ross/4056d367-ec42-44b2-96f7-014f1947a6f9/

{$AFLT} идея активирована - https://www.tinkoff.ru/invest/social/profile/Henry_Ross/a856694f-fc03-48be-891b-88c06cbe255b/

{$NVTK} идея не активирована - https://www.tinkoff.ru/invest/social/profile/Henry_Ross/4fe51b53-a311-4b5f-8b9f-08c66c2d6d7c/

FIVE идея не активирована - https://www.tinkoff.ru/invest/social/profile/Henry_Ross/e4226de8-e6d5-4e61-b64d-d451d03adf9b/

ROLO идея активирована - https://www.tinkoff.ru/invest/social/profile/Henry_Ross/5779159d-dd08-46c7-9577-12ff115a47c2/

{$SVAV} идея активирована - https://www.tinkoff.ru/invest/social/profile/Henry_Ross/3572894f-b426-4e57-8c11-6331e3ff6aaf/

{$HYDR} идея не активирована - https://www.tinkoff.ru/invest/social/profile/Henry_Ross/4eca26d6-fa74-438d-97d6-e81d1781233e/

CNTL идея не активирована - https://www.tinkoff.ru/invest/social/profile/Henry_Ross/6995762f-e237-4eb8-9941-91828c15d09e/

ELFV идея не активирована - https://www.tinkoff.ru/invest/social/profile/Henry_Ross/a24c4fcf-4ed2-4a46-8a26-e42f6e1a44d8/

PIKK идея не активирована - https://www.tinkoff.ru/invest/social/profile/Henry_Ross/a57a13e7-da9a-4808-8fc9-66ea4cb334b4/

{$DELI} идея активирована - https://www.tinkoff.ru/invest/social/profile/Henry_Ross/48c6a700-f576-4a97-b8c7-53c89a971084/

{$VKCO} идея активирована - https://www.tinkoff.ru/invest/social/profile/Henry_Ross/8bd2f5e9-153a-40e7-b1f5-da4f134961b5/

NKNC идея не активирована - https://www.tinkoff.ru/invest/social/profile/Henry_Ross/f946c9bc-f4d6-453f-b366-3adf1d262893/

KZOS идея не активирована - https://www.tinkoff.ru/invest/social/profile/Henry_Ross/48a1a530-5de3-4af3-a6d1-b4c39911e0f1/

Итого: 10.48% суммарного показателя положительных публикаций для закрытых идей (не является окончательным из-за открытых идей и позиций). Максимальный положительный % 5.15%, отрицательный % -2.98%
* Обновление для WEEK_29 будет опубликовано в следующем недельном отчете.
** Суммарный показатель % - кф. для определения winrate, не является показателем % чистой прибыли.

#аналитика #рынок #система #прояви_себя_в_пульсе #теханализ #хочу_в_дайджест #трейдинг #обзор #пульс #акции"
2024-04-12T17:29:42.540+03:00,{$MRKS} на верху она не держиться вообще?
2024-04-12T17:28:14.390+03:00,{$MRKS} чет рановато пошла вверх
2024-04-12T11:19:05.523+03:00,{$MRKS} давай расти уже
2024-04-11T18:36:12.252+03:00,"🫰 Быстрые деньги 💰

Идея💡от 25 марта по МРСК Сибири {$MRKS} отработана 🦾

Прибыль: 3,11% за 17 дней 💨

Цена продажи: 0,83₽

Идея закрыта ниже запланированного уровня, лучше синица в руке, чем журавль в небе 😊

Идея была опубликована в закрытом канале @MegaStrategy_VIP 😋

https://www.tinkoff.ru/invest/social/profile/MegaStrategy_VIP/8221cd6c-65f4-4595-ab6e-55ba6109211d/

На данный момент доходность по всем идеям составляет +22,73% (+33,73% годовых) и обгоняет индекс Мосбиржи на 13,25% 🤩

Подписывайся на закрытый канал @MegaStrategy_VIP ✍️

Первым 2 новым подписчикам переведем донатом 🍩 1000₽ при подключении в ближайшие 2 часа ⏰

Если у тебя iPhone📱, вот инструкция как подключиться https://s.tinkoff.ru/s/grendaimerd

Дальше, действовать будем мы, вместе 🦾

https://www.tinkoff.ru/invest/social/profile/MegaStrategy_VIP

#быстрыеденьги"
2024-04-11T18:27:54.436+03:00,{$MRKS} скоро наверно и энергетики дивы обьявят
2024-04-11T17:07:12.201+03:00,{$MRKS}  ну давай вверх ⬆️
2024-04-11T15:42:53.063+03:00,"Какие сегодня акции пошли на дно, а какие пошли в гору???? 

Далее я расскажу об компаниях, акции которых сегодня просели или выросли  : 

МРСК Юга {$MRKY} акции сегодня просели на 5% после вчерашнего взлёта на 10% и сейчас двигаются в боковом тренде. По моему мнению они останутся на этом уровне до начала следующей недели. 

РБК {$RBCM} акции также просели на 5% и сейчас двигаются в боковике на уровне 19,27 рублей. Я считаю, что  они ещё просядут на 2-3% до конца недели. 

МРСК Сибири {$MRKS} акции за сегодня также просели на 3% и сейчас двигаются в боковом тренде. Я думаю, что они так и продолжат двигаться дальше. 

СПб Биржа {$SPBE} акции за сегодня выросли на 5% и продолжают двигаться в восходящем тренде. По моему мнению они дойдут до уровня 101 рубля. 

ЧЗПСН {$PRFN} акции за сегодня выросли на 3,4% и сейчас пешли в боковой тренд на уровне 6,5 рублей. Я считаю что в скором времени будет корректировка. 

HENDERSON {$HNFG} акции за сегодня выросли на 2,3% и сейчас перешли в боковой тренд на уровне 763 рублей. По моему мнению в скором времени будет корректировка. 

Рынок РФ достаточно ограничен по количеству бумаг.
Не забывайте про диверсификацию и что существуют более перспективные активы, про них вы можете узнать в моем профиле.
В публичном портфеле я продолжаю держать драг металлы и валюту. 

#россия #акции #новичкам #инвестиции #аналитика #идея #прогноз "
2024-04-11T11:48:50.184+03:00,"{$MRKS} а она же падает, что бы набраться сил для взлёта?"
2024-04-11T10:20:25.161+03:00,"{$MRKS} крутая компания с огромными драйверами роста. Накупил на всю котлету, так как вижу огромный потенциал."
