time,text
2024-04-13T11:52:16.921+03:00,{$MRKU} спасибо приятно
2024-04-13T11:38:42.356+03:00,"{$MRKU} что за прикол , эта акция не торгуется в выходные а тут сегодня она улетела вверх. Сбой или я чего-то просто не знаю?"
2024-04-13T11:03:10.437+03:00,"{$MRKU} до глубины души, с сентября мой букет наконец вышел в плюс. Спасибо этой папире"
2024-04-12T16:24:23.777+03:00,"{$MRKU} только не падай снова на 0,42🙏🙏🙏"
2024-04-12T12:58:03.794+03:00,"{$MRKU} 
Это больше на среднесрок. Тут идея с высокими дивидендами, если смотреть на весь сектор. Ближе к лету должна показать хороший рост. Малоликвидная акция, не заходите на большой депозит☝️

‼️Не ИИР. Подписывайся, если хочешь получать больше идей, разборов и новостей‼️"
2024-04-12T12:39:11.824+03:00,{$MRKU} пробейте уже 0.44
2024-04-11T08:52:05.883+03:00,"{$MRKU} Департамент госрегулирования цен и тарифов Курганской области установил новые тарифы на электроэнергию для населения региона. Они начнут действовать уже с 1 мая.

Как следует из постановления регулятора, в марте ФАС России отменила установленные ранее тарифы и потребовала от департамента установить дифференцированные цены. Теперь стоимость киловатт-часа для жителей Зауралья будет зависеть от объемов потребления: чем больше – тем дороже."
2024-04-10T20:24:24.392+03:00,"{$MRKU} купил 1,5 млн акций . пойду просить старших акционеров выплатить щедрые дивиденды. 🐹"
2024-04-10T18:09:13.199+03:00,{$MRKU} планка))
2024-04-10T15:50:07.559+03:00,{$MRKU} неужели дошли до 0.43!!!!!
2024-04-10T10:35:51.444+03:00,"Тут тут мутят Урал и Юг 😎 есть такой трэк)))
{$MRKU} и {$MRKY}"
2024-04-09T19:20:14.967+03:00,{$MRKU} Частично зафиксировал. Не ИИР🤝
2024-04-09T14:36:41.025+03:00,{$MRKU} сегодня 0.43 возьмём?
2024-04-09T10:31:30.969+03:00,"{$MRKU} {$MRKP} зафиксировал прибыль по россетям, жду коррекции рынка, по этому закрываю позиции с неплохим плюсом"
2024-04-09T07:52:59.604+03:00,"{$MRKU} Россети Урал» оставили себе 750 миллионов Зюзина и ЧМК

«Челябинский металлургический комбинат» (входит в «Мечел» Игоря Зюзина) не смог уйти от «Россетей Урал», что привело бы к недополучению энергокомпанией валовой выручки на сотни миллионов рублей.

Металлурги пытались включить в реестр объектов единой энергосети две подстанции, которые питают комбинат, и перейти на прямые расчеты с ФСК. Менеджеры Зюзина почти смогли добиться поставленной цели через Минэнерго РФ, однако суды заняли другую позицию.

Участники рынка, в свою очередь, указывают, что «Мечел» регулярно пытался уйти от платежей в пользу «Россетей Урал». В частности, электросетевой организации пришлось на протяжении нескольких лет взыскивать с активов олигарха Зюзина 2 млрд рублей."
2024-04-08T20:43:27.654+03:00,"Тактическая идея на покупку акций пяти компаний Россетей; дивидендная доходность будет двузначной  - СберИнвестиции
{$MRKU} {$MRKC}"
2024-04-08T17:07:36.833+03:00,"❗️ В ближайшие два месяца советы директоров «дочек» Россетей должны объявить дивиденды за 2023 год.

Мы полагаем, что у пяти компаний дивидендная доходность будет двузначной, а у четырех — дивиденды станут рекордными в истории.

Ниже приведены прогнозы дивидендов на акцию и доходности с учётом котировок на 5 апреля.

✏️ Россети Урал — ₽0,0544 — 13,2%

✏️ Россети Центр — ₽0,0712 — 12,1%

✏️ Россети Центр и Приволжье — ₽0,0397 — 11,7%

✏️ Россети Московский регион — ₽0,1532 — 11,5%

✏️ Россети Ленэнерго («префы») — ₽22,25 — 11,3%

#акции #идеи {$MRKU} {$MRKC} {$MRKP} {$MSRS} {$LSNGP}"
