time,text
2024-04-11T15:05:55.640+03:00,{$MRKV} не приятно получается
2024-04-11T02:22:40.352+03:00,"Сейчас происходит какой-то безумный рост на фондовом рынке и сейчас больше чем раньше необходимо быть осторожным.

Если у Вас есть акции из этого топа, то подписывайтесь на мой Пульс чтобы не пропустить мои обзоры на эти акции 😎🤙

Напомню лидеров сегодняшнего дня (среди НЕАдекватных акций) 👇

📈 {$RKKE}  +5.1%
📈 {$TGKA}    +4.9%
📈 {$TGKB}    +3.9%.
📈 {$UGLD}    +3.4%.
📈 {$MRKV}   +2.9%.
📈 {$ETLN}   +2.1%.
📈 {$DVEC}    +1.8%.

📉 {$SFIN}    -4.4%.
📉 {$EUTR}   -2.6%.
📉 {$MVID}    -2.3%.
📉 {$BANEP}    -1.8%.
📉 {$RASP}    -1.7%.
📉 {$MDMG}    -1.7%.

Частью из них я активно торговал в своих стратегиях. Жмите Ракету, если у вас в портфеле есть какие-то из этих Ракет 🚀

В Пульсе и Ютубе скоро выйдет разбор акций, которые в Мае должны очень неплохо взлететь)) 
Подписывайся, чтобы не пропустить 😉✅"
2024-04-10T18:12:01.266+03:00,"{$MRKV} нравится эта папира, +50% с текущих думаю тут легко может сделать
Цели 0.08-0.1-0.12"
2024-04-10T12:07:06.811+03:00,"{$MRKV} купил с потенциалом 10%
🛑 Стоп 0,06385
✅ Тейк 0,075"
2024-04-10T11:08:43.276+03:00,{$UGLD} {$TGKN} {$RUAL} {$MRKV}
2024-04-10T11:06:14.662+03:00,"{$MRKV} живой пример отработки паттерна #дракон 
Если хотите больше таких #учу_в_пульсе примеров 
С Вас 200 лайков 👍 и будет следующий обучающий пост"
2024-04-10T11:04:59.287+03:00,"Доброго дня Уважаемые Ивесторы! В первых строках своего поста хотелось бы поздравить,Всех Мусульман с праздником""Ураза Байрам!"" Хочу пожелать Вам всем! Здоровья,Счастья,Любви и Семейного Благополучия! Вообщем Добра🙏Вам! И отличного настроения! Берегите себя и своих близких! #цитата_дня От  Стива Джобса! Миллиардера основателя Apple.Всем удачного торгового дня! Хорошего настроения! Побольше прибыльных сделок! И соответственно,полных от💸зелени💸 портфелей!💼💸 И в заключении! Покажу Вам что Я имею,в своём портфеле! {$ROSN} , {$TCSG}  {$IRAO} , {$MAGN}, {$MRKV}, {$SELG}, {$AKGD}, {$TLCB}, {$TGLD}, {$TRUR}, {$TMOS} {$AMRE},"
2024-04-10T10:28:52.184+03:00,"{$MRKV} не не не, ещё надо!"
2024-04-09T17:22:58.050+03:00,"{$MRKV} Россети Волга 🔋

Следующий по запросу актив Индекса Электроэнергетики.

➖Глобально. Как и большинство бумаг из сектора движется в старшем нисходящем тренде, среднесрочном восходящем. Сверху сопротивление основного тренда, к которому стремится цена. 

➖Ближе. Есть формирование разворота последнего падения. Отметил его на графике, был тест. Рассматриваю движение на продолжение, при удержании этого уровня. 

➗При подтверждении уровня разворота ближайшая цель на 0,088+ сентябрьских максимумов, далее встреча с трендовой старшего движения. Отмена за уровнем разворота за 0,066+

Ваш взгляд?
рост или падение?"
2024-04-09T16:15:01.354+03:00,"🍉 Мой дивидендный портфель (апрель 2024). Текущие результаты.

✔️ {$SNGSP} - закупал с декабря 2021 по сентябрь 2022 года. Средняя цена покупки 34,75 рублей. Дивидендов получено 5,53 рублей. Текущая доходность с учётом дивидендов 110%.
✔️ {$LSRG} - закупал в декабре 2021 года по 720,2 рублей. Дивидендов получено 78 рублей. Текущая доходность с учётом дивидендов 64%.
✔️ {$CNTLP} - закупал с декабря 2021 года по май 2022 года. Средняя цена покупки 6,65 рублей. Дивидендов получено 1,52 рублей. Текущая доходность с учётом дивидендов 102%.
✔️ {$GLTR} - закупал с января 2022 года по февраль 2023 года. Средняя цена покупки 321 рублей. Текущая доходность 138%.
✔️ {$MGTSP} - закупал с января 2022 года по июль 2022 года. Средняя цена покупки 823 рублей. Текущая доходность 65%.
✔️ {$FEES} - закупал с февраля по март 2022 года. Средняя цена покупки 0,09142 рублей. Текущая доходность 35%.
✔️ {$DSKY} - закупал с марта по май 2022 года. Средняя цена покупки 78,46 рублей. Текущая доходность -42%.
✔️ {$MRKV} - закупал с марта по октябрь 2022 года. Средняя цена покупки 0,02751 рублей. Дивидендов получено 0,0003231 рублей. Текущая доходность с учётом дивидендов 143%.
✔️ {$NLMK} - закупал в октябре 2022 года. Средняя цена покупки 77,66 рублей. Текущая доходность 179%.

❌ Больше не буду включать в портфель акции, которых нет хотя бы в индексе широкого рынка, а может быть даже ограничусь акциями, входящими в индекс ММВБ. В декабре начну распродавать свой дивидендный портфель с префов Сургутнефтегаза, ЛСР и префов Центрального Телеграфа.

Большая часть дивидендного портфеля 💰 приходится на акции Глобалтранса, Сургутнефтегаза и Центрального Телеграфа.

Дивидендные акции подбираются автоматически с помощью разработанной мной дивидендной таблицы 📑 Закупаюсь на сильных коррекциях рынка.

💼 Моя стратегия [&Портфель Миллионера](https://www.tinkoff.ru/invest/strategies/63384f79-fe58-4fd4-b8d9-ea7975cdffd1) со спекулятивной может перейти на дивидендную при слишком большом капитале в управлении. А может быть я и отдельную стратегию дивидендную создам."
2024-04-09T11:54:00.668+03:00,"{$MRKV} 
🍀🍀🍀"
2024-04-09T10:51:01.860+03:00,{$MRKV} Что нас ждет?
2024-04-09T00:57:25.638+03:00,"😎 Приветствую Друзья! Вы тоже ищите компании, которые завтра вырастут на 10-20%? Тогда этот пост для Вас 😌 👇

‼️Сейчас стало намного опасней инвестировать чем раньше! 

👆 Хочу всех предупредить, особенно новичков, которые пришли на биржу меньше 6 месяцев назад (если это ты, поставь реакцию ""₽"" на пост)!

Вернёмся к нашей опасности:

Сейчас будут взлетать всякие случайные компании и акции, про которых Вы никогда не слышали. Вам будет казаться, что если бы Вы купили какую-то акцию, то Вы бы могли заработать 10-20%! 🚀📈

После этого, вероятно, Вы будете читать записки в Пульсе, пытаясь найти ту акцию, которая взлетит следующей... 🤔

После чего, с Вами может произойти две ситуации:

1️⃣ Хорошая ситуация: Вы на этом потеряете 20-30% Вашего счета и поймёте, что всё это не работает, и что всё это депозит.

2️⃣ Ужасная ситуация: У Вас получится заработать 20-30% к Вашему депозиту 😨😱


Казалось бы, я что-то перепутал, и всё наоборот... Но, друзья, я ничего не перепутал 😌 это действительно ужасная ситуация. Потому что Ваш мозг 🧠 получит такое огромное количество дофамина, что Вы подсядите на это...

Вы будете приходить на биржу не за инвестициями (как изначально собирались). Вы будете приходить на биржу как в казино 🎰 

– ""Повезёт сегодня или не повезет?""

👆 Вот после того, как Вам в голову придёт эта мысль, вероятность того, что Вы сможете когда-нибудь повысить свой уровень заработка, сильно упадёт 😔

Как же грамотно поступить Вам чтобы Вы не потерялись на Бирже и случайно не попали в Казино? 🎰

✅ Подписывайтесь на мой Пульс, чтобы не пропустить обучающие посты, которые могут помочь повысить Ваш уровень финансовой грамотности и заработка 😉


Особенно следует быть осторожными с теми акциями, которые выросли сегодня больше всего:

Мосгорломбард +21% {$MGKL} 
Эн+ +11% {$ENPG} 
РуссНефть {$RNFT} +11%
РБК +10% {$RBCM} 
ЛСР +6% {$LSRG} 
Лента +6% {$LENT} 
Лензолото преф +6% {$LNZLP} 
Мрск Волги +6% {$MRKV} 
ТМК +5% {$TRMK} 
Таттелеком +4% {$TTLK} 
Кармани +4% {$CARM} 
МГТС +4% {$MGTSP} 
Лензолото +4% {$LNZL} 


✅ Подписывайтесь на мой Пульс и Ютуб, чтобы не пропустить посты с разбором хороших и уверенных акций! 

#LDVR"
2024-04-08T23:42:56.296+03:00,"Итоги дня и новости от PKN 🐵

Сегодня четко отработали две среднесрочные идеи👇

Четко по сценарию в {$MRKV} ⚡за 16 торговых дней все цели достигнуты, а профит составил больше 9% 🤑

•Идея - https://www.tinkoff.ru/invest/social/profile/PKNCash/4cef1dfa-9c11-43c9-a221-50ad6552216f?utm_source=share

В {$AMEZ} 🏭 спустя 21 день забираем цель в 72₽ профит около 6%

•Идея - https://www.tinkoff.ru/invest/social/profile/PKNCash/fe575256-9ddc-476e-8f4f-62fc822d8aed?utm_source=share

Больше идей в @PKN_VIP ⭐️

Отчеты 📑

{$TGKN} 🏗 - ТГК-14 в I квартале увеличила выработку на 7%


Дивиденды 💰

{$TRMK} 🏭 - 18 апреля СД решит по дивидендам за 2023 год

{$AGRO} 🪴 - Акционеры «Русагро» утвердили рекомендацию не выплачивать дивиденды за 2023 год

AFKS 💰 - 28 июня  акционеры рассмотрят вопрос о дивидендах

{$HYDR} ⚡️ - Росимущество не предоставило СД РусГидро рекомендацию по дивидендам за 2023 год

{$ALRS} 💎 - 12 апреля акционеры рассмотрят вопрос о дивидендах за 2023 год


Новости 🇷🇺

{$AFKS} 💼 - Sitronics Group планирует в 2024 году представить беспилотные суда

{$GLTR} 🚂 - Британский инвестфонд Southey Capital предложил нерезидентам продать ему ГДР GlobalTrans

$TGKN 🏗 - ТГК-14 в I квартале увеличила выработку на 7%

{$MDMG} 🏥 - MDMG намерена к концу 2025г нарастить число медучреждений до 77 с 55


Индексы:

🟢 Мосбиржа плюс 0,65%

🟢 RTS плюс 0,55%


Валюта: 

💵 Доллар (плюс 0,22%)

💶 Евро (плюс 0,44%)


Мои стратегии:
[&X10 от PKN](https://www.tinkoff.ru/invest/strategies/85f7acca-ec1f-4b43-bed8-44c04d388787) - стратегия с минимальным входом. Рассчитана на маленький портфель и имеет средний риск входа. Предполагаемый доход 30% годовых. 

[&PKN RUB](https://www.tinkoff.ru/invest/strategies/925c6dfa-73bb-4571-8d2b-2375d2afc7d3) - стратегия с весомым входом. Предполагаемый доход около 50% годовых. Торгую в основном 2 и 3 эшелонам. Высокий риск


Забирайте привилегию от Тинькофф👇

•Tinkoff Premium на 2 месяца бесплатно (комиссия за сделку от 0.04%✅) - https://www.tinkoff.ru/baf/4sAEqUubQ1r

——————————————————
А если еще не подписан на PKN, то жду тебя в профиле пульс❗️

Топовые идеи с высоким профитом, ежедневные новости и обучение 📚

#обзор #пульс #новости #инвестиции #россия #рынок #пульс_оцени #акции #идея #новичкам"
2024-04-08T17:07:35.686+03:00,"Господь всемогущий, спасибо, что ты услышал наши молитвы! Осталось всего чуть чуть, чтобы великомученица {$MRKV} вернулась в ту цену, по которой когда-то покупалась нами…"
