time,text
2024-04-13T11:31:31.068+03:00,"Обновление данных для системного отчета WEEK_28 - https://www.tinkoff.ru/invest/social/profile/Henry_Ross/cfca9298-4793-4ddd-91e3-2db22af5c9ce/

CBOM идея активирована - https://www.tinkoff.ru/invest/social/profile/Henry_Ross/180873bb-7a60-4032-918f-96dc85a4cc8a/

{$SPBE} закрыта вручную (+3.28%), достигла тейка - https://www.tinkoff.ru/invest/social/profile/Henry_Ross/5981dec9-73f5-4f57-ab4f-0b3f6c427e5f/

{$NKHP} идея активирована - https://www.tinkoff.ru/invest/social/profile/Henry_Ross/eb7c8d5c-98bb-4957-a628-3fb126bb5f6a/

{$PHOR} закрыта вручную (+0.88%), достигла тейка - https://www.tinkoff.ru/invest/social/profile/Henry_Ross/68bcfcb3-5b96-42bd-a93a-0322234d6dc8/

{$BLNG} закрыта вручную (+4.43%) - https://www.tinkoff.ru/invest/social/profile/Henry_Ross/a7690fed-fe8c-407a-b464-5d5daba02031/

{$UNAC} идея активирована - https://www.tinkoff.ru/invest/social/profile/Henry_Ross/bfb746e2-88d7-4518-973f-d16284e9f4ac/

{$UWGN} идея активирована - https://www.tinkoff.ru/invest/social/profile/Henry_Ross/da7379e5-c5ed-411b-8ec5-7aa13abc4fdf/

{$TRMK} закрыта вручную (+4.09%), достигла тейка - https://www.tinkoff.ru/invest/social/profile/Henry_Ross/62506982-4403-4303-9af0-f87827206b88/

{$MRKY} закрыта по тейку (+4.54%) - https://www.tinkoff.ru/invest/social/profile/Henry_Ross/bd2219bf-8502-42ae-8ae1-c3a77c58664d/

{$SGZH} идея активирована - https://www.tinkoff.ru/invest/social/profile/Henry_Ross/343e318c-261d-4030-a83e-c16b8b9b89bd/

IRKT идея активирована - https://www.tinkoff.ru/invest/social/profile/Henry_Ross/e480699c-0686-4059-96fa-73b972f8e95e/

RENI идея активирована - https://www.tinkoff.ru/invest/social/profile/Henry_Ross/36f09d5b-dbed-4fcd-8708-6a8773f573c5/

AMEZ идея активирована - https://www.tinkoff.ru/invest/social/profile/Henry_Ross/5350ba4d-5000-4d72-852d-1c5818d5ffcc/

{$DVEC} закрыта вручную (+3.42%) - https://www.tinkoff.ru/invest/social/profile/Henry_Ross/811952da-9655-430f-ad65-5ab7080567b0/

{$LIFE} идея активирована - https://www.tinkoff.ru/invest/social/profile/Henry_Ross/8d4b4ba6-5f28-425f-a6e2-5a6e2f15f160/

{$TTLK} идея активирована - https://www.tinkoff.ru/invest/social/profile/Henry_Ross/c4699c2e-9aad-45c6-b9d1-b73f3d30c7bb/

MTSS закрыта по стопу (-1.93%) - https://www.tinkoff.ru/invest/social/profile/Henry_Ross/91f7851c-a2f7-41e0-890d-1f9f3bb4d940/

{$OZON} идея активирована  - https://www.tinkoff.ru/invest/social/profile/Henry_Ross/9dfec008-3753-41b7-b656-dfd362a3beac/

WUSH идея не активирована - https://www.tinkoff.ru/invest/social/profile/Henry_Ross/a7c34cc0-62e3-4c29-b7e7-c09f2f5ab6b2/

Итого: 46.07% суммарного показателя процента успешных публикаций для закрытых идей (не является окончательным из-за открытых идей и позиций). Максимальный положительный % 4.54%, отрицательный % -5.32%
** Суммарный показатель % - кф. для определения winrate, не является показателем % чистой прибыли.

#аналитика #рынок #теханализ_в_пульсе #прояви_себя_в_пульсе #теханализ #хочу_в_дайджест #трейдинг #обзор #пульс #акции"
2024-04-12T17:43:28.317+03:00,"{$MRKY} вот и слили весь рост... Отчёт отличный, продолжаем лить дальше!!! 😆😅😂🤣"
2024-04-12T16:38:22.319+03:00,{$MRKY} почему тут так тихо
2024-04-12T16:22:08.426+03:00,{$MRKY} на вечерке торгуется?
2024-04-12T15:43:22.162+03:00,{$MRKY} вообще не двигается
2024-04-12T10:37:53.765+03:00,{$MRKY} планка..
2024-04-11T15:42:53.063+03:00,"Какие сегодня акции пошли на дно, а какие пошли в гору???? 

Далее я расскажу об компаниях, акции которых сегодня просели или выросли  : 

МРСК Юга {$MRKY} акции сегодня просели на 5% после вчерашнего взлёта на 10% и сейчас двигаются в боковом тренде. По моему мнению они останутся на этом уровне до начала следующей недели. 

РБК {$RBCM} акции также просели на 5% и сейчас двигаются в боковике на уровне 19,27 рублей. Я считаю, что  они ещё просядут на 2-3% до конца недели. 

МРСК Сибири {$MRKS} акции за сегодня также просели на 3% и сейчас двигаются в боковом тренде. Я думаю, что они так и продолжат двигаться дальше. 

СПб Биржа {$SPBE} акции за сегодня выросли на 5% и продолжают двигаться в восходящем тренде. По моему мнению они дойдут до уровня 101 рубля. 

ЧЗПСН {$PRFN} акции за сегодня выросли на 3,4% и сейчас пешли в боковой тренд на уровне 6,5 рублей. Я считаю что в скором времени будет корректировка. 

HENDERSON {$HNFG} акции за сегодня выросли на 2,3% и сейчас перешли в боковой тренд на уровне 763 рублей. По моему мнению в скором времени будет корректировка. 

Рынок РФ достаточно ограничен по количеству бумаг.
Не забывайте про диверсификацию и что существуют более перспективные активы, про них вы можете узнать в моем профиле.
В публичном портфеле я продолжаю держать драг металлы и валюту. 

#россия #акции #новичкам #инвестиции #аналитика #идея #прогноз "
2024-04-11T15:35:36.027+03:00,{$MRKY} оно ?
2024-04-11T15:24:41.189+03:00,"{$MRKY} ну, а дальше?"
2024-04-11T12:59:12.112+03:00,"{$MRKY} как считаете ,продать ли акцию ?"
