time,text
2024-04-13T11:07:01.234+03:00,"{$MRKZ} а че это с ней, как будто пальцем об стол"
2024-04-13T10:04:17.336+03:00,"У одной опытной инвесторши подсмотрела идею, куда вложиться. Поэтому сегодня слежу за {$MRKZ} Россетти Северо-Запад. Выглядит привлекательно. Думаю, куплю. За год прирост внушительный.
 #россетисеверозапад"
2024-04-12T16:28:51.147+03:00,"{$MRKZ} че за херня падает вместе с индексом энергий,но не растет с индексом энергии"
2024-04-12T16:03:54.467+03:00,"{$TGKA} {$UNAC} {$MRKZ} ну, с праздничком!🥂"
2024-04-12T14:03:54.454+03:00,{$MRKZ} когда объявят дивиденды?
2024-04-12T13:59:00.925+03:00,"{$MRKZ}

Давайте просто ждать 💎🙌"
2024-04-11T18:06:44.099+03:00,{$MRKZ} что нас завтра ждёт? Какие мысли господа инвесторы?
2024-04-11T13:59:47.296+03:00,"Всем привет. Меня зовут Влад, мне 19 лет. Делюсь очередными результатами моих инвестиций. 20 февраля я праздновал юбилей своего портфеля, он достиг 100.000₽ 🚀

Сегодня, 11 апреля, мой портфель достиг отметку в более 215.000₽, и я продолжаю его пополнять. Прожуточная цель — 🍋. Инвестирую с августа 2023 года. 

🌟Вкладываюсь только в голубые фишки нашего российского фондового рынка, которые выплачивают дивиденды

Сейчас в моем портфеле {$SBER} {$LKOH} {$BELU} {$ROSN} {$TRNFP} {$MGNT} {$MTSS} {$MRKZ} {$TATN} {$PHOR} {$TCSG} {$MOEX}
и еще по мелочи

Пришли небольшие дивиденды от {$NVTK}
На последнем скрине приведены примерные прогнозы на мою дивидендную зарплату в этом году. Летом я буду получать больше всех выплат от компаний, это не может не радовать 😋🌟

Также я обновил приложение Тинькофф, и теперь могу наблюдать дополнительную статистику, например, какую часть доходов я инвестирую. У меня это 49% на сегодняшний день. Маловато 😆

Я получаю истинное удовольствие при формировании своего капитала. При этом я не ограничиваю свои базовые «хотелки». Я покупаю себе все, что я хочу в пределах разумного. Голодный не сижу) 

Самая главная моя цель — это создать пассивный дивидендный доход, который позволит полностью покрывать ежемесячные ипотечные платежи за квартиру (будущие естественно, сейчас ипотеки у меня нет). Буду докидывать еще из своих доходов и закрою ипотеку досрочно 💸 В глобальном плане мысли такие. Для этого нужно около 10-15🍋 рублей на брокерском счету. 

Делитесь своим мнением и советами в комментариях, я читаю все 🌟 
Еще думаю, может быть создать телеграм канал, посвященный моему пути инвестора? Что думаете? ❤️"
2024-04-11T10:20:06.890+03:00,"{$MRKZ} ну куда??🫣
Опять ты за старое😖

Не иир
#мемы #пульс_оцени"
2024-04-11T09:50:10.787+03:00,"Акции в моем списке на сегодня 🤓

Это не значит, что надо бежать и прям сейчас покупать 😉 Должны сложиться определенные факторы👌

Особенно я выделяю {$MRKZ} 
Россети Центр и Приволжье MRKP
Долгий боковик на дневном графике. Недельный график так вообще шикарный.
Вчера мы увидели рост на объемах. Нет агрессивных продаж последнее время. С большей вероятностью пойдем к верхней границе боковика. 
Буду покупать с риском на 0,5% от депозита сразу после открытия рынка
Стоп 0,0906

 {$AFLT} 
Аэрофлот
Слева импульс. Пока цена находится внутри, можно искать покупки. Уходи ниже - отмена сценария. 

{$ABRD}
АбрауДюрсо
Вышли из хорошего накопления, пробив сопротивление 289. Сейчас смотрим как расторгуется цена. Желательно увидеть либо ретест уровня, либо боковик. После уже выход выше. 


Остальные акции в списке на скрине 😉

#акции #прогноз #аналитика #прояви_себя_в_пульсе #обзор #теханализ_в_пульсе
#хочу_в_дайджест #псвп
#пульс_оцени"
2024-04-10T20:25:09.514+03:00,"💰💰💰 

День интересный на движения , в {$TGKN}  не поверила и не участвовала, когда она ушла за 20% глаза на лоб конечно полезли 😂 

Но на этом фоне следила за мрск в юг зайти не было вариантов , так как улетел одной свечой на 5 % а вот в {$MRKZ} зайти успела , но она пошла не так уж высоко , как хотелось бы но свой процент забрала 

Судя по закрытию сегодня завтра есть все шансы продолжить рост 

{$EUTR} заливают , неужели опять пойдет на 240? 

И да , {$GTRK} , ты когда-нибудь собираешься расти ? 😄

Кто катался на тгк хвастайтесь , сколько удалось забрать?"
2024-04-10T18:32:25.273+03:00,"Прикупил сегодня {$TGKB} с целью 0,025, сейчас примерно у моей средней. Возможно завтра дадут еще чуть ниже, я доберу.  Мой любимый сетап, который ранее был на {$RBCM} которую я покупал по 9,5, и {$MRKZ} Выглядит очень соблазнительно ) на других счетах у меня есть, на этом ликвидности не хватает чтобы добрать. Не ИИР конечно же"
2024-04-10T18:31:04.841+03:00,"{$MRKZ} здесь я так долго и такой преданные инвестор, что каждый раз боюсь сглазить😅🤭

Не иир
Не советую, не зову, не плачу 
Больновое😔

#мемы #пульс_оцени"
2024-04-10T17:33:42.307+03:00,"{$MRKZ} теперь все понятно, что это было на вых+8.8%~ в пике, зачищали стопы для прохода, давай наваливай прилично 100,200-ярд🍋 чё там булки мять🤠🤜🤛 (не иир) )))
Ps пацаны порядочные раньше 0.2 не выйдут, а кто то дальше поедет к 0.5))😅"
2024-04-10T17:29:10.529+03:00,{$MRKZ} догоняй {$MRKY}
2024-04-10T11:53:33.156+03:00,"{$MRKZ}

Давай уже, одно из основных сопротивлений. 🤞"
2024-04-09T14:35:24.393+03:00,"{$MRKZ} {$UNAC} {$OBNE} {$ASTR} {$EUTR} {$AFKS}
моя ферма🫣😅

Не иир, не призывы
Пишу, что волнует и что держу🤣😅
Не смотря ни на что🤌🏻
Зачем🤔

#Мемы #пульс_оцени"
2024-04-09T13:16:28.337+03:00,"{$MRKZ} как вообще играть в эти электросети? Они шевелятся один раз в квартал на 1,5% вверх или в низ … игра для оооочень медленных ."
2024-04-09T12:50:29.959+03:00,{$RBCM} ракета переехала в {$MRKZ}
2024-04-08T19:00:34.588+03:00,"{$MRKZ} полетели, друзья)"
2024-04-08T16:19:31.649+03:00,"{$MRKZ} ну что роднуля?🤔
Удивишь нас сегодня?🤑

Не иир, не советую и не зову 
Просто пишу об акции в портфеле, лосятенке🎃

#мемы"
2024-04-06T15:36:37.831+03:00,{$MRKZ} Вот это у вас приколы-шутки. Продал в +5.4%! Спасибо. Обажаю отсутсвие объемов. Сделка длилась 1.5 часа.
2024-04-06T14:53:37.480+03:00,{$MRKZ} Давай в планку по приколу!)
2024-04-06T10:42:51.960+03:00,{$MRKZ} че происходит?
2024-04-05T14:56:20.658+03:00,"{$MRKZ}
В данный момент трется у стенки канала, она же является сопротивлением 0,10060, если пробьет и закрепится выше этого уровня, то вполне вероятно медленно поползет наверх.
Пока что пробить не удается, канал регрессивный, может скорректроваться еще вниз.
Уровень поддержки - 0.09505
Подробнее 👆👆👆
Если интересны мои прогнозы Ставь лайк и Давай дружить❤🤝❤
НЕ ИИР
#теханализ #трейдинг #инвестиции #россети"
2024-04-05T13:54:35.927+03:00,"Все помнят историю с {$GLTR} и ожидаемыми дивидендами в 20%? Их ещё не объявили, а акции уже выросли. 

Предлагаю вам список потенциальных ракет в дочках Россетей на +30-50% к концу мая  (по моим расчетам), когда компании начнут объявлять дивиденды: {$MSRS} {$MRKP}
{$MRKU} {$MRKS} 

{$MSRS} {$MRKP} {$MRKU} {$MRKS} {$MRKV} {$LSNGP} {$LSNG} $KUBE {$MRKS} {$MRKY} {$MRKZ} $MRKK {$FEES}

Все дивиденды являются расчетными, реальные мы узнаем в мае
#ожидаемые_дивиденды #Россети #секторальные_дивиденды

В следующую пятницу опубликую расчётные дивиденды (с помощью моделей) по очередному сектору. Подписывайтесь, чтобы не пропустить!

Не ИИР"
2024-04-05T11:03:10.009+03:00,{$MRKZ} а планка в 100% остался?
2024-04-04T21:32:41.521+03:00,"{$MRKZ} ребят в общем думайте сами
пока что sun7554 сюда залазиет никто никуда не полетит.
гоните эту шв@ль отсюда сс@ными тряпками....
(является ИИР)"
2024-04-04T15:06:29.122+03:00,"{$MRKZ}

Всё вокруг летает, но мы стоим.
Заработают самые стойкие (или нет)"
2024-04-03T16:50:00.927+03:00,"{$MRKZ} каждый день все ниже и ниже портфель, в турнирах каждый день последние место занимаю"
2024-04-02T12:41:08.065+03:00,{$MRKZ} да когда же эта дичь полетит
2024-03-29T06:21:59.684+03:00,"Россети Северо-Запад {$MRKZ}

ПАО «Россети Северо-Запад» основной оператор, оказывающий услуги по передаче электроэнергии и присоединению к электросетям в семи регионах Северо-Запада. Уставный капитал составляет 9,5786 млрд рублей. Территория обслуживания: Республика Карелия, Республика Коми, Архангельская область, Вологодская область, Мурманская область, Новгородская область, Псковская область.

Прогноз: 0,17827 ₽
Можно заработать: 0,07812 ₽ (78%) 
Срок исполнения: 1 год"
2024-03-28T12:49:25.360+03:00,"{$MRKZ} моя боль 😭 😭😭

Просто надо выговориться 😔

#Мысли #мемы #боль"
2024-03-28T11:24:23.049+03:00,"Россети Северо-Запад {$MRKZ}
Итоги 2023: списания и продажа Псковэнергосбыта привели к увеличению убытка

Компания Россети Северо-Запад раскрыла консолидированную финансовую отчетность по МСФО за 2023 г.

Выручка компании выросла на 11,1% и составила 53,7 млрд руб. Доходы от передачи электроэнергии возросли на 12,6%, составив 45,8 млрд руб. на фоне роста среднего расчетного тарифа (+12,6%). Доходы от услуг по технологическому присоединению составили 1,3 млрд  руб.(-14,7%), величина прочих нетто доходов возросла на 35,1%, составив 1,2 млрд руб., отразив тем самым больший объем доходов от компенсации потерь в связи с выбытием электросетевого имущества. Отметим, что в первом квартале текущего года Россети Северо-Запад вышла из Псковэнергосбыта, исполнив требование по продаже непрофильных активов, в этой связи продажа электроэнергии  была отнесена в отчетности к прекращенной деятельности, а доходы от нее пересчитаны.

Операционные расходы компании увеличились на 14,3%, составив 54,5 млрд руб. на фоне роста затрат на персонал (17,0 млрд руб., +14,8%), расходов на сырье (3,5 млрд руб.,29,1%), а также увеличения расходов на приобретение электроэнергии для компенсации потерь (5,5 млрд руб., +9,8%). Помимо этого компания отразила обесценение основных средств в размере 3,0 млрд руб.  против 2,2 млрд руб. годом ранее. В итоге компания отразила операционную прибыль в размере 408 млн руб. (-73,2%).

Чистые финансовые расходы сократились на 30,5% до 1,5 млрд руб., главным образом на фоне снижения процентных выплат по долгу, сократившемуся с 17,3 млрд руб. до 14,1 млрд руб.

В итоге чистый убыток компании составил 551 млн руб., превысив прошлогодний более чем в 2 раза.

Согласно планам компании выход в прибыль ожидается не раньше 2026 г.

По итогам вышедшей отчетности и обновленной инвестиционной программы мы понизили наш прогноз финансовых результатов на текущий год, учтя выбытие Псковэнергосбыта и прогнозы компании. В то же время мы повысили прогноз по чистой прибыли на последующие годы, отразив ожидаемое улучшение рентабельности после продажи сбытовой компании. В итоге потенциальная доходность акций компании увеличилась.

Акции компании торгуются с P/BV 2024 около 0,6 и не входят в число наших приоритетов.

💡 Фундаментальная аналитика"
2024-03-28T10:04:00.382+03:00,{$MRKS} в {$MRKZ} 62%  а такого ажиотажа нет(
2024-03-27T22:12:37.145+03:00,"Всем доброго времени суток. Решил поучаствовать в конкурсе #теханализ_в_пульсе , а заодно начать вести свой пульс. Хватит предисловий, поехали

1) на графике ниже мы видим нисходящий канал, но цена преодолела верхнюю границу и закрепилась там

2) на индикаторе MACD линия магди пересекает линию тренда снизу вверх ниже нулевого уровня, это сигнализирует о возможном взлëте цены

3) на индикатора RSI можно заметить, что его линия приближает к уровню 50, от которого она вероятно отскочи, с учётом двух пунктов выше

Вывод: вполне вероятно, что данная акция вырастет в цене в ближайшее время

График: дневной
Бумага: {$MRKZ}

Не индивидуальная инвестиционная рекомендация"
