time,text
2024-04-13T10:27:22.227+03:00,"{$MSNG}  тут подарок прилетел, решил зайти посмотреть что говорят про папиру 🧐👀, это  мнение  повстанцев? , бкс за нород с подарками респект бкс 💪✅😉"
2024-04-13T10:24:17.332+03:00,"Ну и что же . Недельный турнир завершился неожиданно даже в мою пользу ! 
Еду в очередные Мальдивы с заработка с турниров ахаха ) 
{$MSNG}"
2024-04-13T07:42:02.560+03:00,"Доброе утро!!!😄🍀☀️
Вот такие подарки сегодня: {$MSNG} 
А как у Вас утро началось?"
2024-04-13T06:17:09.119+03:00,"{$MSNG} Приз за участие за участие в ""Турнире недели""! Буду и дальше участвовать. 🙃"
2024-04-13T00:52:04.661+03:00,"Какая из ракет 🚀 будет лететь Выше ? А какой суждено упасть? Вы все знаете, что я профессионально провожу каждый теханализLDVR а главное – сверхточно 🔮✨

Предлагаю Вам выбрать в комментариях, кого я разберу в следующий раз, но, есть 2 условия 👇

Во-первых, выбирать можно будет только из списка лидеров худшего движения за эту неделю из индекса мосбиржи:

📈 Озон -1.2% {$OZON} 
Аэрофлот -1.0% {$AFLT}  
Мечел -1.0% {$MTLR} 
Газпром -0.9% {$GAZP} 
Тиньк -0.7% {$TCSG} 
Самолет -0.6% {$SMLT}  
РусАгро -0.6% {$AGRO}  
ИнтерРАО -0.6% {$IRAO} 
СовкомФлот -0.5% {$FLOT}  
Мтс -0.4% {$MTSS}  
Юнипро -0.4% {$UPRO}  
Мосэнерго -0.3% {$MSNG}   
Ммк -0.3% {$MAGN}  


Во-вторых, разборов будет столько, сколько десяток ракет 🚀 Вы наберёте в реакциях на этом посте:

Будет 10 ракет 🚀 – будет один разбор.
Будет 23 ракет 🚀 – будет два разбора.
Будет 130 ракет 🚀 – разберу все 13.
Не забудь подписаться, чтобы не пропустить пост!

Жду ваших комментариев, разборы будут у меня в Профиле и на Ютубе, поэтому, подписывайтесь, чтобы не пропустить пост 😌 #ТОПнедели"
2024-04-11T17:11:59.703+03:00,"⭐️ Календарь ближайших решений по дивидендным выплатам ⭐️

✅ Конец апреля — Газпром {$GAZP} (рекомендация СД по дивидендам за 2023 год)

📌 Аналитики BCS ожидают, что компания сохранит размер выплат на уровне 50% чистой прибыли. Это означает дивиденды в размере 13 рублей на акцию. Однако, инвесторы с учетом предыстории не совсем уверены в этом. Вероятность выплаты — высокая, влияние на динамику акций — среднее.

✅ Конец апреля — Газпром нефть {$SIBN} (объявление финальных дивидендов за 2023 год)

📌 С учетом имеющейся потребности в денежных средствах материнской компании Газпром, финальные дивиденды могут составить 18 рублей на акцию. Это соответствует суммарным годовым дивидендам в размере 101 рубль на акцию. Вероятность относительно высокой выплаты — средняя, влияние на динамику акций — среднее.

✅ Апрель — Роснефть {$ROSN} (объявление финальных дивидендов за 2023 год)

📌 В соответствии с действующей дивидендной политикой ожидаются финальные дивиденды в размере 41 рубля на акцию (дивдоходность 7%). Суммарные годовые дивиденды в таком случае составят около 72 рубля на акцию.

✅ Апрель — Татнефть {$TATN} (объявление о финальных дивидендах за 2023 год)

📌 Размер финальных дивидендов находится под вопросом. Аналитики BCS ждут выплату из расчета 75% чистой прибыли за весь год против 50% в последнее несколько лет. Такой сценарий может стать катализатором роста для бумаг Татнефти. Вероятность выплат в размере 75% — средняя, влияние на курс акций — среднее.

✅ Апрель — ТМК {$TRMK} (решение СД по финальным дивидендам за 2023 год)

📌 В случае выплаты акционерам 50% чистой прибыли за 2 полугодие 2023 года финальные дивиденды составят 5,4 рубля на акцию. Таким образом, за полный 2023 год может быть выплачено чуть менее 19 рублей на акцию.

✅ Апрель — Сбербанк {$SBER} (рекомендация по дивидендам за 2023 год)

📌 Исходя из новой дивидендной политики, расчетная в еличина годовых дивидендов на обыкновенные и привилегированные акции Сбера составляет 34 рубля. 

✅ Начало мая — ОГК-2 $OGKA (рекомендации по дивидендам за 2023 год).

📌 Эмитент направляет на выплату дивидендов до 50% от чистой прибыли по РСБУ или МСФО. Однако корректировки указанных показателей не позволяют сделать точный расчет заранее. В целом мы ожидается дивидендная доходность порядка 8% от текущего курса акций.

✅ Начало мая — Мосэнерго {$MSNG} (рекомендации по дивидендам за 2023 год).

📌 Базовый прогноз предполагает выплату годовых дивидендов в размере 0,24 руб. на акцию, с дивдоходностью около 7,2%. Однако, размер дивидендов может оказаться больше или меньше из-за корректировок чистой прибыли. В лучшем случае дивдоходность может приблизиться к 8%.  

✅ Конец мая — Мечел {$MTLR} (решение СД по дивидендам за 2023 год)

📌 Выплата годовых дивидендов на обыкновенные акции Мечела маловероятна. Расчетный размер дивидендов на привилегированные бумаги составляет 32 рубля. Неопределенность здесь пока не снята.

✅ Май — Самолет {$SMLT} (решение по дивидендам за 2023 год)

📌 Компания может направить на выплату годовых дивидендов суммарно порядка 5 млрд рублей. Одновременно реализуется годовая программа обратного выкупа акций на сумму до 10 млрд рублей. Эти факторы должны выступить весомым фактором поддержки для акций Самолета.

🌟 Подписывайтесь на канал, если хотите  зарабатывать на инвестициях 🌟

❗️Автор этого поста: @Russian_Stocks❗


#акции #россия #пульс #новости #аналитика #трейдинг #инвестиции"
2024-04-11T12:46:42.898+03:00,"Авторский индикатор Олливандера

{$SiM4}: фаза уверенного роста. На текущий момент следует искать лонговые сетапы. Важный уровень — 95521, при закреплении ниже перейдем к умеренному росту. Для смены тренда на нисходящий, нужно чтобы день закрылся под 94715.

{$CRM4}: фаза уверенного роста. На текущий момент следует искать лонговые сетапы. Важный уровень — 13,137, при закреплении ниже перейдем к умеренному росту. Для смены тренда на нисходящий, нужно чтобы день закрылся под 13,023.

{$GDM4}: фаза умеренного роста. На текущий момент следует искать лонговые сетапы. Важный уровень — 2372,6, при закреплении выше перейдем к уверенному росту. Для смены тренда на нисходящий, нужно чтобы день закрылся под 2325,9.

{$BRK4}: фаза сомнительного роста. Пока следует искать сетапы в лонг при дополнительном подтверждении, либо воздержаться от позиций. При закрытии дня выше 90,07, можно говорить об уверенном росте.

{$NGJ4}: фаза умеренного роста. На текущий момент следует искать лонговые сетапы. Важный уровень — 1,899, при закреплении выше перейдем к уверенному росту. Для смены тренда на нисходящий, нужно чтобы день закрылся под 1,818.

{$SBER}: фаза умеренного роста. На текущий момент следует искать лонговые сетапы. Важный уровень — 306,08, при закреплении выше перейдем к уверенному росту. Для смены тренда на нисходящий, нужно чтобы день закрылся под 304,27.

{$GAZP}: фаза умеренного роста. На текущий момент следует искать лонговые сетапы. Важный уровень — 164,76, при закреплении выше перейдем к уверенному росту. Для смены тренда на нисходящий, нужно чтобы день закрылся под 162,13.

{$AFLT}: фаза уверенного роста. На текущий момент следует искать лонговые сетапы. Важный уровень — 50,43, при закреплении ниже перейдем к умеренному росту. Для смены тренда на нисходящий, нужно чтобы день закрылся под 48,60.

{$PLZL}: фаза уверенного роста. На текущий момент следует искать лонговые сетапы. Важный уровень — 13785,8, при закреплении ниже перейдем к умеренному росту. Для смены тренда на нисходящий, нужно чтобы день закрылся под 12982,3.

{$GMKN}: фаза умеренного роста. На текущий момент следует искать лонговые сетапы. Важный уровень — 163,40, при закреплении выше перейдем к уверенному росту. Для смены тренда на нисходящий, нужно чтобы день закрылся под 151,03.

{$AFKS}: фаза уверенного падения. На текущий момент следует искать шортовые сетапы. Важный уровень — 23,540, при закреплении выше перейдем к умеренному падению. Для смены тренда на восходящий, нужно чтобы день закрылся над 23,808.

{$MSNG}: фаза умеренного роста. На текущий момент следует искать лонговые сетапы. Важный уровень — 3,4788, при закреплении выше перейдем к уверенному росту. Для смены тренда на нисходящий, нужно чтобы день закрылся под 3,4407.

Фазы публикуются регулярно, подпишись, чтобы не потерять😉

⚙️FAQ

Две основные фазы:
Рост
Падение

Каждая из них делится на подфазы:
Сомнительная
Умеренная
Уверенная

*Индикатор Олливандера протестирован на исторических данных и даже без дополнительных фильтров является доходным индикатором

**Не является индивидуальной инвестиционной рекомендацией

Ollivander✨"
2024-04-11T12:32:29.239+03:00,"Открыл для себя интересный раздел в инвестициях- турниры. Играю в основном в дневные, когда уверен в росте акции. Много здесь не заработаешь, но все равно приятно. Копейка рубль бережет. Цель для меня платиновая лига, 500 рублей акция день. Пока что удалось заработать 30 рублей за два дня 🤣 Прошел железную (5 рублей {$IRAO} акция) и стальную (25 рублей {$MSNG} акции) лигу. 
Сегодня собираюсь покорить бронзовую лигу и забрать 50 рублей. Благо золото {$UGLD} продолжает свой рост. Продолжаю открывать для себя новое. Всем хорошего дня и профита. 😉"
2024-04-11T09:57:24.688+03:00,"#пульс
#турнир_дня 
Всем привет!
Вчера неожиданно занял второе место в турнире дня. 
Хотя больших активностей не было. Счёт спекулятивный всего на 20к. Небольшой интрадей положительный. 
Приятно конечно, что насыпали 5 акций Мосэнерго {$MSNG}  Мелочь, но приятно.
Всем хорошего дня."
2024-04-11T02:16:59.142+03:00,"Сейчас происходит какой-то безумный рост на фондовом рынке и сейчас больше чем раньше необходимо быть осторожным.

Если у Вас есть акции из этого топа, то подписывайтесь на мой Пульс чтобы не пропустить мои обзоры на эти акции 😎🤙

Напомню лидеров сегодняшнего дня (среди Адекватных акций) 👇

📈 {$RUAL}  +5.1%
📈 {$NLMK}   +4.9%
📈 {$ENPG}   +3.9%.
📈 {$MAGN}   +3.4%.
📈 {$AFLT}   +2.9%.
📈 {$SNGS}   +2.1%.
📈 {$MSNG}   +1.8%.

📉 {$PLZL}   -4.4%.
📉 {$SELG}   -2.6%.
📉 {$MTLRP}    -2.3%.
📉 {$MOEX}   -1.8%.
📉 {$FEES}   -1.7%.
📉 {$CHMF}   -1.7%.

Частью из них я активно торговал в своих стратегиях. Жмите Ракету, если у вас в портфеле есть какие-то из этих Ракет 🚀

В Пульсе и Ютубе скоро выйдет разбор акций, которые в Мае должны очень неплохо взлететь)) 
Подписывайся, чтобы не пропустить 😉✅

#LDVR"
