time,text
2024-04-13T12:03:38.246+03:00,"🔮 Торговые прогнозы по теханализу
от Тинькофф
 
📈 Потенциал роста
 
💼 Бумага Globaltrans Investment PLC {$GLTR}
💰 Потенциал роста 5.71%
🗓 Срок 14 дней
💡 В 90% случаев в прошлом была прибыль
🔍 На основе индикатора True Strength Index | Zeta
 
💼 Бумага Whoosh {$WUSH}
💰 Потенциал роста 5.56%
🗓 Срок 24 дня
💡 В 93% случаев в прошлом была прибыль
🔍 На основе индикатора Aroon | Gamma
 
💼 Бумага Россети Московский регион {$MSRS}
💰 Потенциал роста 3.84%
🗓 Срок 11 дней
💡 В 90% случаев в прошлом была прибыль
🔍 На основе индикатора Stochastic RSI | Gamma
 
💼 Бумага РусГидро {$HYDR}
💰 Потенциал роста 7.96%
🗓 Срок 20 дней
💡 В 92% случаев в прошлом была прибыль
🔍 На основе индикатора Aroon | Gamma
 
💼 Бумага Эн+ {$ENPG}
💰 Потенциал роста 2.1%
🗓 Срок 12 дней
💡 В 67% случаев в прошлом была прибыль
🔍 На основе индикатора Stochastic RSI | Gamma
 
 
📉 Потенциал падения
 
💼 Бумага Аэрофлот {$AFLT}
💰 Потенциал падения 9.08%
🗓 Срок 17 дней
💡 В 81% случаев в прошлом была прибыль
🔍 На основе индикатора Stochastic RSI | Gamma
 
💼 Бумага Банк ВТБ {$VTBR}
💰 Потенциал падения 7.73%
🗓 Срок 23 дня
💡 В 83% случаев в прошлом была прибыль
🔍 На основе индикатора Stochastic RSI | Gamma
 
💼 Бумага ГК Самолет {$SMLT}
💰 Потенциал падения 7.23%
🗓 Срок 13 дней
💡 В 68% случаев в прошлом была прибыль
🔍 На основе индикатора Stochastic RSI | Gamma
 
💼 Бумага КАМАЗ {$KMAZ}
💰 Потенциал падения 9.73%
🗓 Срок 13 дней
💡 В 62% случаев в прошлом была прибыль
🔍 На основе индикатора Stochastic RSI | Gamma
 
💼 Бумага Русолово {$ROLO}
💰 Потенциал падения 1.47%
🗓 Срок 8 дней
💡 В 68% случаев в прошлом была прибыль
🔍 На основе индикатора Stochastic RSI | Beta
 
💼 Бумага Сегежа {$SGZH}
💰 Потенциал падения 2.39%
🗓 Срок 10 дней
💡 В 62% случаев в прошлом была прибыль
🔍 На основе индикатора Awesome Oscillator | Gamma
 
💼 Бумага Таттелеком {$TTLK}
💰 Потенциал падения 5.92%
🗓 Срок 10 дней
💡 В 65% случаев в прошлом была прибыль
🔍 На основе индикатора Stochastic RSI | Gamma

Источник: Tinkoff_Trading

🪄 ПРЕМИУМ от Тинькофф БЕСПЛАТНО https://www.tinkoff.ru/baf/5aE4TqnnnH3 👑
                                      +
🪄 БЕСПЛАТНАЯ кредитная карта: 
https://www.tinkoff.ru/baf/46DPL8h7gFk 💳

А ещё вас ждут подарки 🎁 + 🎁 акции крупной компании и многое другое❕

#акции #инвестиции #пульс #новичкам #прогноз"
2024-04-12T09:49:29.405+03:00,"Лучшие торговые прогнозы по теханализу
по итогам торгов 11 апреля
 
📈 Потенциал роста
 
💼 Бумага Globaltrans Investment PLC {$GLTR}
💰 Потенциал роста 5.71%
🗓 Срок 14 дней
💡 В 90% случаев в прошлом была прибыль
🔍 На основе индикатора True Strength Index | Zeta
 
💼 Бумага Whoosh {$WUSH}
💰 Потенциал роста 5.56%
🗓 Срок 24 дня
💡 В 93% случаев в прошлом была прибыль
🔍 На основе индикатора Aroon | Gamma
 
💼 Бумага Россети Московский регион {$MSRS}
💰 Потенциал роста 3.84%
🗓 Срок 11 дней
💡 В 90% случаев в прошлом была прибыль
🔍 На основе индикатора Stochastic RSI | Gamma
 
💼 Бумага РусГидро {$HYDR}
💰 Потенциал роста 7.96%
🗓 Срок 20 дней
💡 В 92% случаев в прошлом была прибыль
🔍 На основе индикатора Aroon | Gamma
 
💼 Бумага Эн+ {$ENPG}
💰 Потенциал роста 2.1%
🗓 Срок 12 дней
💡 В 67% случаев в прошлом была прибыль
🔍 На основе индикатора Stochastic RSI | Gamma
 
📉 Потенциал падения
 
💼 Бумага Аэрофлот {$AFLT}
💰 Потенциал падения 9.08%
🗓 Срок 17 дней
💡 В 81% случаев в прошлом была прибыль
🔍 На основе индикатора Stochastic RSI | Gamma
 
💼 Бумага Банк ВТБ {$VTBR}
💰 Потенциал падения 7.73%
🗓 Срок 23 дня
💡 В 83% случаев в прошлом была прибыль
🔍 На основе индикатора Stochastic RSI | Gamma
 
💼 Бумага ГК Самолет {$SMLT}
💰 Потенциал падения 7.23%
🗓 Срок 13 дней
💡 В 68% случаев в прошлом была прибыль
🔍 На основе индикатора Stochastic RSI | Gamma
 
💼 Бумага КАМАЗ {$KMAZ}
💰 Потенциал падения 9.73%
🗓 Срок 13 дней
💡 В 62% случаев в прошлом была прибыль
🔍 На основе индикатора Stochastic RSI | Gamma
 
💼 Бумага Русолово {$ROLO}
💰 Потенциал падения 1.47%
🗓 Срок 8 дней
💡 В 68% случаев в прошлом была прибыль
🔍 На основе индикатора Stochastic RSI | Beta
 
💼 Бумага Сегежа {$SGZH}
💰 Потенциал падения 2.39%
🗓 Срок 10 дней
💡 В 62% случаев в прошлом была прибыль
🔍 На основе индикатора Awesome Oscillator | Gamma
 
💼 Бумага Таттелеком {$TTLK}
💰 Потенциал падения 5.92%
🗓 Срок 10 дней
💡 В 65% случаев в прошлом была прибыль
🔍 На основе индикатора Stochastic RSI | Gamma

💡 Tinkoff_Trading

🎁ПРЕМИУМ от Тинькофф БЕСПЛАТНО
Тариф🔥 www.tinkoff.ru/baf/9AazI9Yk7Cg

🎁 ВСЕ продукты Тинькофф с бонусами 
Вам 👉 www.tinkoff.ru/baf/5JfiHbzmmiM"
2024-04-12T08:05:01.316+03:00,"Лучшие торговые прогнозы по теханализу
по итогам торгов 11 апреля
RUB бумаги
 
 
📈 Потенциал роста
 
💼 Бумага Globaltrans Investment PLC {$GLTR}
💰 Потенциал роста 5.71%
🗓 Срок 14 дней
💡 В 90% случаев в прошлом была прибыль
🔍 На основе индикатора True Strength Index | Zeta
 
💼 Бумага Whoosh {$WUSH}
💰 Потенциал роста 5.56%
🗓 Срок 24 дня
💡 В 93% случаев в прошлом была прибыль
🔍 На основе индикатора Aroon | Gamma
 
💼 Бумага Россети Московский регион {$MSRS}
💰 Потенциал роста 3.84%
🗓 Срок 11 дней
💡 В 90% случаев в прошлом была прибыль
🔍 На основе индикатора Stochastic RSI | Gamma
 
💼 Бумага РусГидро {$HYDR}
💰 Потенциал роста 7.96%
🗓 Срок 20 дней
💡 В 92% случаев в прошлом была прибыль
🔍 На основе индикатора Aroon | Gamma
 
💼 Бумага Эн+ {$ENPG}
💰 Потенциал роста 2.1%
🗓 Срок 12 дней
💡 В 67% случаев в прошлом была прибыль
🔍 На основе индикатора Stochastic RSI | Gamma
 
 
📉 Потенциал падения
 
💼 Бумага Аэрофлот {$AFLT}
💰 Потенциал падения 9.08%
🗓 Срок 17 дней
💡 В 81% случаев в прошлом была прибыль
🔍 На основе индикатора Stochastic RSI | Gamma
 
💼 Бумага Банк ВТБ {$VTBR}
💰 Потенциал падения 7.73%
🗓 Срок 23 дня
💡 В 83% случаев в прошлом была прибыль
🔍 На основе индикатора Stochastic RSI | Gamma
 
💼 Бумага ГК Самолет {$SMLT}
💰 Потенциал падения 7.23%
🗓 Срок 13 дней
💡 В 68% случаев в прошлом была прибыль
🔍 На основе индикатора Stochastic RSI | Gamma
 
💼 Бумага КАМАЗ {$KMAZ}
💰 Потенциал падения 9.73%
🗓 Срок 13 дней
💡 В 62% случаев в прошлом была прибыль
🔍 На основе индикатора Stochastic RSI | Gamma
 
💼 Бумага Русолово {$ROLO}
💰 Потенциал падения 1.47%
🗓 Срок 8 дней
💡 В 68% случаев в прошлом была прибыль
🔍 На основе индикатора Stochastic RSI | Beta
 
💼 Бумага Сегежа {$SGZH}
💰 Потенциал падения 2.39%
🗓 Срок 10 дней
💡 В 62% случаев в прошлом была прибыль
🔍 На основе индикатора Awesome Oscillator | Gamma
 
💼 Бумага Таттелеком {$TTLK}
💰 Потенциал падения 5.92%
🗓 Срок 10 дней
💡 В 65% случаев в прошлом была прибыль
🔍 На основе индикатора Stochastic RSI | Gamma
 
 
❓ Как они попали в топ?
Мы смотрим на исторические данные за 10 лет, а именно: как часто возникали сигналы на покупку или продажу для каждой комбинации из тикера, индикатора и стратегии, и насколько они были прибыльными. Исходя из собранной статистики, мы показываем вам торговые идеи, которые в прошлом были самыми успешными. Больше идей ищите в разделе теханализа на полках в Что купить.
 

#теханализ #теханализ_в_пульсе"
2024-04-09T13:07:31.299+03:00,"В крупных каналах выкладывают идею по россетям только сейчас, я выкладывал идею по россетям аж 13 марта! {$MSRS} {$MRKP}

Сейчас вы имеете уже +9%, в то время как подписчиков других крупных каналов загоняют в акцию в рискованный момент. Когда рынок на локальных максимумах. 

В том посте кстати были и другие акции, которые тоже отработали в плюс.
Идея по Интер Рао {$IRAO} 
Идея по Юнипро {$UPRO} (её давал позже чем остальные) 

У меня появилось пару новых идей на примете, сегодня-завтра сделаю пост

Если интересно накидайте 🔥

#акции #идея #прогноз #рынок"
2024-04-09T10:59:15.756+03:00,"Товарищи, откуда рост?

Хотел бы поделиться с Вами своим мнением в отношении классического вопроса, ""на чём растем?""

Что же происходит?
Условный инвестор #1, купив акцию по 50 рублей ранее, на просадке рынка, сидит и смотрит, что теперь акция стоит 100 руб, и видя свою доходность фиксирует её. Дальше другой инвестор #2 который сидит и видит, что рынок то растет, покупает эту акцию по 100. Дальше #1 видя, что рост продолжается, решает перезайти и покупает уже по 110 и т.д. Вот такой круговорот...

Объём торгов и значение индекса на мосбирже за март каждого из годов:

2024 - 124 трл Индекс - 3 343
2023 - 105 трл Индекс - 2 258
2022 - 154 трл Индекс - 2 474
2021 - 90 трл   Индекс - 3 369
2020 - 98 трл   Индекс - 2 829
2019 - 66 трл   Индекс - 2 487
2018 - 71 трл   Индекс - 2 286
 
Вывод: люди стали чаще перекладываться их акций в акции. Отсюда стоит ждать стагнации в акциях второго эшелона и активное перекладывание в дивидендные голубые фишки к летнему сезону. А так же существенное реагирование на новостные раздражители.
 
Поэтому судя по всему рост будет продолжаться после объявления дивов, особенно у тех компаний которые дают двузначную доходность:

{$SNGSP} - 18%
{$MRKP} - 14%
{$MSRS} - 12%
{$SBERP} - 11%"
2024-04-08T17:15:34.682+03:00,"📌ФСК Россети  — почему так дешево и стоит ли брать?

Недавно ознакомился с отчетом сетевого гиганта ФСК Россети {$FEES}. Посмотрел мультипликаторы и ужаснулся…

Группа ФСК Россети объединяет множество дочерних предприятий: Ленэнерго {$LSNG} {$LSNGP}, Россети Центр и Приволжье {$MRKP}, Россети Московский регион {$MSRS} и т. д. Компания относится к электросетям, а не к генерации (Интер РАО {$IRAO}, ОГК-2 {$OGKB}, Юнипро {$UPRO}). 

Смотрю на их мультипликаторы и диву даюсь… EV/EBITDA = 1,4; P/E = 1,7. Казалось бы, дико недооцененный актив, особенно в сравнении с конкурентами. Пора бежать покупать😐 Но не все так просто. 

Почему так дешево?

🚩Гигантская инвестиционная программа съедает свободный денежный поток. Инвестпрограмма составляет более 1 трлн руб. за 2023 и 2024 годы. И пик еще не пройден. Для понимания, как это много: EBITDA целой группы за прошедший год — 528 млрд руб…

🚩Дивидендная пауза до 2028 года. В середине прошлого года Путин поручил правительству предусмотреть отказ от выплаты дивидендов компанией по итогам 2022-2026 гг.

Выводы ❓

Акционерам остается смотреть на «сжирание» денежного потока и отсутствие дивов до 2028 года. Я думаю, теперь вопрос «почему так дешево?» автоматически отпадает… Классический пример «стоимостной ловушки». Кажется, что дешево, но есть много подводных камней. 

В российской электроэнергетике есть истории поинтереснее — Интер РАО, Юнипро. Ну а пока, время ФСК Россети, пожалуй, еще не пришло."
2024-04-08T17:07:36.833+03:00,"❗️ В ближайшие два месяца советы директоров «дочек» Россетей должны объявить дивиденды за 2023 год.

Мы полагаем, что у пяти компаний дивидендная доходность будет двузначной, а у четырех — дивиденды станут рекордными в истории.

Ниже приведены прогнозы дивидендов на акцию и доходности с учётом котировок на 5 апреля.

✏️ Россети Урал — ₽0,0544 — 13,2%

✏️ Россети Центр — ₽0,0712 — 12,1%

✏️ Россети Центр и Приволжье — ₽0,0397 — 11,7%

✏️ Россети Московский регион — ₽0,1532 — 11,5%

✏️ Россети Ленэнерго («префы») — ₽22,25 — 11,3%

#акции #идеи {$MRKU} {$MRKC} {$MRKP} {$MSRS} {$LSNGP}"
2024-04-08T16:57:15.629+03:00,"❗️ В ближайшие два месяца советы директоров «дочек» {$FEES} Россетей должны объявить дивиденды за 2023 год.

Мы полагаем, что у пяти компаний дивидендная доходность будет двузначной, а у четырех — дивиденды станут рекордными в истории.

Ниже приведены прогнозы дивидендов на акцию и доходности с учётом котировок на 5 апреля.

✏️ {$MRKU} Россети Урал — ₽0,0544 — 13,2%

✏️ {$MRKC} Россети Центр — ₽0,0712 — 12,1%

✏️ {$MRKP} Россети Центр и Приволжье — ₽0,0397 — 11,7%

✏️ {$MSRS} Россети Московский регион — ₽0,1532 — 11,5%

✏️ {$LSNGP} Россети Ленэнерго («префы») — ₽22,25 — 11,3%

💡 SberInvestments

🎁ПРЕМИУМ от Тинькофф БЕСПЛАТНО
Тариф🔥 www.tinkoff.ru/baf/9AazI9Yk7Cg

🎁 ВСЕ продукты Тинькофф с бонусами 
Вам 👉 www.tinkoff.ru/baf/5JfiHbzmmiM

#новости #пульс #прогноз #псвп 
#прояви_себя_в_пульсе #дивиденды"
2024-04-08T16:51:17.268+03:00,"❗️ В ближайшие два месяца советы директоров «дочек» Россетей должны объявить дивиденды за 2023 год.

Мы полагаем, что у пяти компаний дивидендная доходность будет двузначной, а у четырех — дивиденды станут рекордными в истории.

Ниже приведены прогнозы дивидендов на акцию и доходности с учётом котировок на 5 апреля.

✏️ Россети Урал — ₽0,0544 — 13,2%

✏️ Россети Центр — ₽0,0712 — 12,1%

✏️ Россети Центр и Приволжье — ₽0,0397 — 11,7%

✏️ Россети Московский регион — ₽0,1532 — 11,5%

✏️ Россети Ленэнерго («префы») — ₽22,25 — 11,3%


{$MRKU} {$MRKC} {$MRKP} {$MSRS} {$LSNGP}"
2024-04-08T10:40:30.073+03:00,"Какие дивы ждете? 
{$POSI} {$LSRG} {$BSPB} {$LKOH} {$BELU} {$KAZT} {$KAZTP} {$TTLK} {$IRAO} {$CHMF}

Надеюсь от {$SBERP} получить 40₽. Ещё закупилась под дивы {$LSNGP} ~22₽ и {$MSRS} ~0,18₽.

#дивиденды"
