time,text
2023-12-07T14:43:19.017+03:00,"{$MSST}  когда по ней откроют внебиржевые торги, кто-нибудь знает?"
2023-11-29T19:24:47.193+03:00,"{$MSST} отпустил и забыл данную акцию
#zoloto_tinkoff"
2023-08-14T16:10:18.007+03:00,"{$MSST} Смотрю я на один из своих портфелей а там $trit и $MSST, выбросить нельзя продать то же. Подключить стратегию то же нельзя. Посмотрел в другие портфели а там кузбасская угольная то же мертвая. И сколько таких мертвых. Почитал пульс. И людей таких много. И вот что я подумал. Организовать кладбище «Грустно и точка». Собрать по дарственной этот шлак в одном портфеле. 
Что людям? Разблокировка их счетов - полная свобода действия «закрыть» «подключить стратегию» «убрать пятно позора и напоминание глупости»
Что мне? Как не странно эти фантики не смотря на то что «мертвые души» имеют стоимость - и если их наберется 4кк то мне бесплатный премиум. А если в мире есть место чуду и кто то воскреснет или всплывет на внебиржевой торговле - то еще и кэш)


Как вам идея?"
2023-06-30T10:02:18.677+03:00,"{$MSST} просто интересно, много ли тут инвесторов)) кому не сложно и есть желание поделиться;

напиши коммент или ставьте лайк)"
2023-06-06T14:06:31.774+03:00,{$MSST} когда открыть ?
2023-04-10T13:55:20.496+03:00,"{$MSST} С 10 апреля Московская биржа запустит платформу для внебиржевой торговли акциями российских компаний, не выходивших на биржу с листингом. Доступ к ней получат все российские брокеры, но бумаги, торгуемые на площадке, будут доступны только квалифицированным инвесторам, сообщает РБК со ссылкой на директора департамента рынка акций Мосбиржи Бориса Блохина. Главные условия для входа на платформу — компании должны быть публичными и иметь раскрытую отчетность по МСФО, уточнил собеседник издания.

Кто-то в курсе, это касается $msst?"
2023-04-09T17:16:06.974+03:00,{$MSST} добрый вечер. Кто-то обращался к юристам за помощью ?
2023-03-21T21:56:25.262+03:00,{$MSST} новости есть какие нибудь по этим бумагам.????
2023-03-21T16:13:10.436+03:00,"{$MSST} Как списать, обнулить, выбросить не проданные бумаги с целью уменьшения налога. Кто сталкивался?"
2023-03-11T09:42:49.551+03:00,"Друзья хочу сделать подборку постов посвященных обучению.
Пост №8. Часть 4.
Голубые фишки, эшелоны, индекс.

Акции третьего эшелона – это выделяемая инвесторами категория ценных бумаг, обладающих высоким уровнем риска, низкими ликвидностью и внутридневными объемами, состоящая в основном из компаний с низкой капитализацией, либо компаний только вышедших на фондовый рынок.
Мультисистема {$MSST}
Нижнекамскнефтехим {$NKNC} и др. 

В США акции второго и третьего эшелонов входят в индексы Russell 3000, где Russell 1000 - 1000 крупнейших компаний, Russell 2000 - оставшиеся 2/3.

Средняя рыночная капитализация компаний, которые входят в индекс Russell 2000, составляет примерно 2,5млрд.$. А ценовой диапазон компаний начинается примерно от 200млн.$ (это самые низкие по капитализации компании, которые входят в индекс, данный вид активов имеет еще несколько названий: «копеечные», «мусорные», «грошовые» акции, в США такие активы именуются Пенни Стокc – центовые акции или Small Caps) до 10млрд.$ капитализации. 10млрд.$ по американским меркам — средняя компания. При этом, если посмотреть на капитализацию того же самого МТС  {$MTSS} и X5 Retail Group {$FIVE} (меньше 10млрд),  Московской биржи {$MOEX} (меньше 5 млрд), Аэрофлота {$AFLT} (2,3 млрд), очень легко сопоставить размеры рынка. То, что у нас в России называют голубыми фишками, в Америке это всего лишь, в лучшем случае, середнячок 🤷‍♂️

Спасибо, что дочитали до конца. Напишите, пожалуйста, был ли материал понятен? 
#новичку #обучение"
