time,text
2024-04-12T15:38:50.291+03:00,"Мостотрест, говорите? 🤔хмммм
Смотря на темпы строительства Москвы и не только, думаю эти товарищи будут и дальше рости. 
Я купил их акции. {$MSTT}
Купоны платят, вот и пристраиваю кеш. 
#инвестидеи #финграм #акции"
2024-04-12T14:48:04.688+03:00,"{$MSTT} что, убежали в СПб?"
2024-04-12T14:29:17.140+03:00,{$MSTT} как я понимаю ещё на 217 сходит перед взлетом
2024-04-11T18:25:56.605+03:00,{$MSTT} и что это было... ???? Рано еще
2024-04-11T18:24:31.360+03:00,"{$MSTT} 3 дня стояла , 1-2 дневной памп пошел"
2024-04-11T18:06:40.880+03:00,"{$MSTT} 🏗

Краткосрочная идея рассчитана на отработку тени, плюс формируется восходящий тренд. MACD на 4 ч. указывает на разворот 🚀

Однако, есть вероятность сходить до 215₽ и только потом пойти вверх 

Мои цели: 225₽; 230₽; 235₽; 239₽

Не является ИИР, личная аналитика"
2024-04-10T21:07:37.940+03:00,"{$SELG} цели по Селидгар ещё не достигнуты, смотрите по ссылке https://www.tinkoff.ru/invest/social/profile/Kasp2021/3b7442c6-6f57-4a69-bd08-53f16a86c802?utm_source=share

{$PLZL} взял шорт друзья 

{$GTRK} присматривался к бумаге когда стоила 33 

{$FLOT} брал за 45 с целью 60, продал за 40 и начался рост 

{$MSTT} брал за 102 давая прогноз 300 продал также в тот же день за 102. Через 3-4 дня цена 289


Сейчас друзья цель 1000%  сделать за месяц. Следите за доходностью у меня в профиле. 


Не иир коллеги"
2024-04-10T20:55:59.988+03:00,"{$MSTT} нах я сюда залез,...."
2024-04-10T17:55:39.686+03:00,"{$MSTT} выберусь в 0 забуду ее , ну так стоять весь день когда вокруг столько бумаг растут это преступление"
2024-04-09T17:08:05.961+03:00,{$MSTT} 20 мин рост... Потом за 2 мин падает... Не дают в рост идти
2024-04-09T13:19:59.500+03:00,{$MSTT} и где покупатель?
2024-04-09T10:19:44.242+03:00,{$MSTT} тишина
2024-04-08T18:18:03.734+03:00,{$MSTT} Всё просто из 6и 5ть.🥰🥰🥰
2024-04-08T15:23:59.150+03:00,"{$MSTT} Всех приветствую коллеги. В теме новичок. Подскажите по данной бумаги, стоит придержать или часть слить"
2024-04-08T14:53:38.998+03:00,{$MSTT} рост то будет?
2024-04-08T12:04:13.524+03:00,{$MSTT} юхуууу
2024-04-08T12:04:01.484+03:00,{$MSTT} нескучно у вас тут в стакане
2024-04-08T12:03:05.056+03:00,"{$MSTT} цель достигнута 🔥✅

Сам правда закрыл в +2%, но и это хорошо 

Не ИИР"
2024-04-08T11:49:39.146+03:00,{$MSTT} 🚀📈💰 250 💰📈🚀  Давно не летали в космос.
2024-04-08T11:42:36.808+03:00,{$MSTT} обожаю весну. Расцветают не только почки деревьев
2024-04-08T11:38:10.247+03:00,{$MSTT} если 230 пробьёт то полетит 235
2024-04-08T11:21:44.991+03:00,"{$MSTT} ну помоечка, кто ж спорит, но всяко ж лучше Лензолота. Почему бы не запампить?"
2024-04-08T10:15:57.032+03:00,{$MSTT} Пора в космос лететь. Не буксуй. 🚀📈💰
2024-04-08T09:00:56.986+03:00,"Широкий рынок в пятницу немного корректировался, что сдерживало рост отдельных бумаг🔔 ТОП-12 Акций по итогам 5 апреля📌	
					
№	Акция	% за День*     % Общий**   Дней роста	Сектор
1	{$VSMO}		9,3		            9,3		1		Сырье
2	{$DVEC}		4,7		             4,7		1		Электроэнергетика
3	{$EUTR}		4,1	                     8,1		3		Транспорт

4	{$MSTT}		3,7		             3,7		1		Транспорт
5	{$RNFT}		3,7		             4,6		2		Энергетика
6	{$BANE}		3,3		             3,8		3		Энергетика

7	{$PLZL}		2,0	                     2,0		1		Сырье
8	{$AFLT}		1,9		             1,9		1		Потребительский
9	{$SELG}		1,8	                     1,8		1		Сырье

10	{$MOEX}		1,8		             1,8		1		Финансы
11	{$BANEP}	1,7		             1,7		1		Энергетика
12	{$POLY}		1,3		             1,3		1		Сырье
* прирост цены за последний торговый день, %									
** непрерывный прирост цены со дня первого закрытия акции в ""+"", %

#ТОП12"
