time,text
2024-04-13T14:49:12.912+03:00,{$MTLR}
2024-04-13T12:25:36.518+03:00,"🔥Торговая неделя закончилась, а значит пришло время подвести итоги [&Портфель акций роста](https://www.tinkoff.ru/invest/strategies/ca502e58-0d44-418a-be06-5369c5e5bab4). По итогам недели доходность стратегии составила 0,32 %, выглядит не очень особенно по сравнению с предыдущей неделей. Но напомню, что внутри стратегии в основном средне- и долгосрочные идеи. А рынок цикличен и за снижением всегда последует рост.

💸На этой неделе закрыли сделки:
• {$VTBR} - пока что закрыли, при подтверждении восходящего тренда возможно вернусь в позицию;
• {$SBMX} - как говорил ранее, не собирался долго сидеть в позиции, закрыл с целью высвобождения кэша;
• {$AQUA} - дополнительно открывал спекулятивную позицию, цена ушла в противоположную сторону, сработал стоп-лосс. 
📈Были открыты позиции по: {$ASTR}, {$FESH}, {$UPRO}, {$HYDR}.
🚀Наибольшую доходность в портфеле обеспечивают: {$GLTR}, {$SNGS}, {$ENPG}.
☝️В отрицательной зоне пока что: {$MTLR}, {$ASTR}, {$UPRO}.

🔥Основа портфеля это акции со средне- и долгосрочными целями, поэтому большую часть роста они ещё покажут. А небольшие застои в росте стратегии это отличное время для пополнения стратегии, либо входа в неё.
#стратегия"
2024-04-13T12:07:09.733+03:00,"🇷🇺 Итоги недели 8-12 апреля

Российский рынок завершает неделю на позитивной ноте. {$IMOEXF} Индекс МосБиржи старается закрепиться выше 3450 пунктов, обновляя максимумы с февраля 2022 года, ведомый спросом на ликвидные бумаги сырьевых секторов.

☝️ Лидеры роста ☝️

Наиболее сильно выглядел ряд бумаг металлургического сектора - в первую очередь акции {$GMKN} НорНикеля, {$RUAL} РУСАЛа и {$PLZL} Полюса. Их переоценке способствовал уверенный рост цен на драгоценные и промышленные металлы. 

Рекомендация {$NLMK} СД НЛМК выплатить дивиденды по итогам 2023 года в размере 25,43 руб. вернула бумаги в число привлекательных дивидендных идей. 

В нефтегазовом секторе рост был более сегментированным, фокусируясь в «весовых» акциях {$LKOH} ЛУКОЙЛА, {$GAZP} Газпрома и в бумагах {$BANE} Башнефти, обновивших максимумы с 2017 года.
Подросли дивидендные бумаги, в частности, акции {$LSRG} ЛСР и расписки {$HHRU} HeadHunter, а также Банк Санкт-Петербург, Магнит, МТС, Аэрофлот. 

👇Снижались на этой неделе👇 

В аутсайдерах недели – безыдейный на фоне слабости рынка угля {$MTLR} Мечел и откатившиеся от пиков {$OZON} и {$VSMO} ВСМПО.

📍Сохраняем позитивный взгляд на российский рынок акций. Ключевой поддержкой рынку выступают стартующий дивидендный сезон, ожидания отчетностей за l квартал, а также дорогая нефть. Рассчитываем на движение индекса МосБиржи на следующей неделе в зону 3500+ пунктов.
💡 Аналитический Центр ПСБ

🎁Тинькофф Премиум БЕСПЛАТНО👉👉👉 https://www.tinkoff.ru/baf/2sAG2S4QnYY"
2024-04-13T11:54:12.328+03:00,"#Разбор 

🪨 #Мечел — одна из ведущих мировых компаний в горнодобывающей и металлургической отраслях.

Отрасль: Металлургия и горнодобывающая промышленность 

Цена: 313,25₽

Тикер компании: {$MTLRP} {$MTLR} 

📊 Финансовые показатели:

📈Выручка:

- 2019 — 287,3₽ млрд
- 2020 — 265,5₽ млрд
- 2021 — 402,1₽ млрд
- 2022 — 434,1₽ млрд
- 2023 — 405,9₽ млрд
средние темпы роста выручки — 4%

💸Чистая прибыль:

- 2019 — 2,4₽ млрд
- 2020 — 0,8₽ млрд
- 2021 — 80,6₽ млрд
- 2022 — 62,95₽ млрд
- 2023 — 22,3 млрд
средние темпы роста прибыли — 11,5%


🕯 Мультипликаторы:

• EPS — 92,8% за 6 лет
средний темп роста EPS — 11,56% 
• P/E — 7,23 хуже среднего по индустрии 6,73
• P/S — 0,4 лучше среднего по индустрии 1,01
• P/B — (-1,98) хуже среднего по индустрии 1,9
• Долг/капитал — (-2,52) хуже среднего по индустрии 1,1
• ROE — (-28,9%) хуже среднего по индустрии 15,6%
• Цена по P/E — 219₽

Опираясь на мультипликаторы и финансовые показатели, можно сказать, что компания переоценена.

🔖 Вывод

Финансовые показатели за 2023 год оставляют желать лучшего. Падение обусловлено снижением цен, уменьшением объемов добычи и реализации угля. Ожидания о высокой прибыли (которая сократилась на 64,5% год к году) и щедрых дивидендах оказались неосуществимы.

✔️Кроме того, несмотря на ухудшение финансовых показателей и рост долга с 2021 года, котировки остаются высокими.

По итогам 2023 года дивиденды могут составить около 10%, что ниже, чем у конкурентов, таких как Северсталь и НЛМК. Также существует риск их отмены, как и в прошлом году, из-за высокой долговой нагрузки.

👀В целом, качество данного актива, по моему мнению, подвергается сомнению. Кроме того, сокращается экспорт угля в дружественные страны, а цены на уголь снижаются с начала года. Все это, вместе с высокой ключевой ставкой, будет оказывать давление на финансовые результаты.

Справедливая цена акции: — 278₽

Ставим 👍если полезно"
2024-04-13T10:00:10.324+03:00,"И пусть весь мир подождет

Ближайшие пару недель постов будет сильно меньше, а именно не будет утренних - улетаю отдохнуть. Пару разборов компаний сделаю, опубликую.  
Тинек наконец дал возможность торговать фьючерсами в стратегиях. Это очень хорошо, график  [&Фундаментальная Россия](https://www.tinkoff.ru/invest/strategies/ad7b06b5-e101-4ea6-b997-acc0f2e8d636) при наличии фьючей представлял собой такую же восходящую прямую, но более резкую и уже пробил бы 50% доходность, как минимум. Так что по возвращению буду запускать вторую, с фьючами. Из-за стоимости фьючей порог там будет выше. На фундаментальной нужно от 75тыс., для повторения портфеля. Там будет минимум 200тыс, желательно больше. Вот отдохнувший и займусь.

Что еще интересного:
- Покупатель бывших угольных активов Evraz АВД-Капитал приобрёл акции Распадской на 0.8 млрд руб;
- Добыча угля в РФ в 1кв2024 сохранилась примерно на уровне 2023, по экспорту есть небольшое снижение - замминистра энергетики;
- Танкеры с российской нефтью и нефтепродуктами заблокированы в море из-за новых санкций США против Ирана;
- ""Хезболла""  нанесла удары по северной части Израиля, выпустив примерно 50 реактивных снарядов. По данным The Jerusalem Post, Армия обороны Израиля в ответ атаковала места, откуда осуществлялись пуски;
- США ввели запрет на импорт алюминия, меди и никеля российского происхождения. 

Пока ничего интересного не жду: инфляция высокая, по облигациям разворот не сейчас; акциям серьезно падать не на чем, могут быть фиксации буквально на пару процентов, но ожидание дивов и высокая нефть поддержит котировки; валюте не дали закончить неделю выше ключевого уровня, о котором писал вчера. Это намек на то, что в понедельник, могут дать по башке баксу посильнее. Но даже временный выход к 95+, не будет сигналом похода на сотку - просто ко всем валютам укрепляется бакс на высоких ставках. Рубль не слабеет, а значит вернемся в коридор 88-93 все равно. Золоту нужно немного остыть, все причины для его роста не совсем честные на сегодня:
- закупка банками? да, но это в 4 раза меньше, чем покупки ювелиров, которые куда сильнее влияют на курс, но про них почему-то не говорят;
- ожидание ослабления ставки в США? Откладывается, инфляция только растет;
- рост напряженности на ближнем востоке? Такое себе, сейчас это никому не надо, популяют в друг друга ракетами для галочки и разойдутся. 
{$TCSG}{$RASP}{$MTLR}{$RUAL}{$GMKN}{$MTLRP}{$TGLD}{$GOLD}{$USDRUB}{$CNYRUB}"
2024-04-13T09:35:10.870+03:00,"{$MTLR} алюминий, медь и никель - это же не уголь, да?)"
2024-04-13T08:18:47.943+03:00,"🇷🇺 Итоги недели 8-12 апреля

Российский рынок завершает неделю на позитивной ноте. {$IMOEXF} Индекс МосБиржи старается закрепиться выше 3450 пунктов, обновляя максимумы с февраля 2022 года, ведомый спросом на ликвидные бумаги сырьевых секторов.

☝️ Лидеры роста ☝️

Наиболее сильно выглядел ряд бумаг металлургического сектора - в первую очередь акции {$GMKN} НорНикеля, {$RUAL} РУСАЛа и {$PLZL} Полюса. Их переоценке способствовал уверенный рост цен на драгоценные и промышленные металлы. 

Рекомендация {$NLMK} СД НЛМК выплатить дивиденды по итогам 2023 года в размере 25,43 руб. вернула бумаги в число привлекательных дивидендных идей. 

В нефтегазовом секторе рост был более сегментированным, фокусируясь в «весовых» акциях {$LKOH} ЛУКОЙЛА, {$GAZP} Газпрома и в бумагах {$BANE} Башнефти, обновивших максимумы с 2017 года.
Подросли дивидендные бумаги, в частности, акции {$LSRG} ЛСР и расписки {$HHRU} HeadHunter, а также Банк Санкт-Петербург, Магнит, МТС, Аэрофлот. 

👇Снижались на этой неделе👇 

В аутсайдерах недели – безыдейный на фоне слабости рынка угля {$MTLR} Мечел и откатившиеся от пиков {$OZON} и {$VSMO} ВСМПО.

📍Сохраняем позитивный взгляд на российский рынок акций. Ключевой поддержкой рынку выступают стартующий дивидендный сезон, ожидания отчетностей за l квартал, а также дорогая нефть. Рассчитываем на движение индекса МосБиржи на следующей неделе в зону 3500+ пунктов.

💡 Аналитический Центр ПСБ

🎁ПРЕМИУМ от Тинькофф БЕСПЛАТНО
Тариф🔥 www.tinkoff.ru/baf/9AazI9Yk7Cg

🎁 ВСЕ продукты Тинькофф с бонусами 
Вам 👉 www.tinkoff.ru/baf/5JfiHbzmmiM

#новости #пульс #новичкам #псвп 
#прояви_себя_в_пульсе #итогинедели"
2024-04-13T01:56:45.860+03:00,"Пятничные торги на российском рынке завершились с уверенным ростом. Индекс МосБиржи поднялся на 0,5%, достигнув отметки 3456,24 пункта. С начала месяца прирост составил 2,5%. Индекс РТС окреп на 0,3%, достигнув 1165,53 пункта. С начала месяца индикатор вырос на 3,7%.

Стоит отметить, что рублевый индекс закрылся на локальных максимумах выше 3450 пунктов, впервые с февраля 2022 года. Такой ""бычий"" настрой может сохраниться и на следующей неделе.

Котировки золота обновили исторический максимум, преодолев отметку $2400 за унцию. Основной причиной этого стал рост геополитической напряженности на Ближнем Востоке.

В лидерах по объему торгов на Московской бирже были акции Полюса {$PLZL} , которые выросли на 3,8%. Также выросли котировки золотодобытчиков ЮГК {$UGLD}  и Селигдара {$SELG} . В лидерах роста были акции Норникеля {$GMKN} , так как цены на палладий, платину, никель и другие металлы также выросли. Но уже после закрытия вышла новость, что США запретили импорт алюминия {$RUAL} , меди и никеля из России. Запрет не распространяется на металлы, произведенные до 13 апреля 2024 года. К санкциям присоединилась Великобритания.

Акции МФК ""Займер"" {$ZAYM} в рамках IPO были размещены по нижней границе ценового диапазона – 235 рублей за акцию. Таким образом, капитализация компании составила 23,5 млрд рублей. В ходе IPO было привлечено 3,5 млрд рублей. Доля акций в свободном обращении составила около 15%. Торги начались в 15:00 мск, и к вечеру бумаги компании остались на уровне 235 рублей.

МТС Банк {$MTSS}  объявил о намерении провести IPO. Листинг и начало торгов акциями на Московской бирже ожидаются в апреле 2024 года.

Инвестиционная компания ""Восток инвестиции"" выкупила у компании Baring Vostok около 28% акций маркетплейса Ozon {$OZON} .

Совет директоров Henderson {$HNFG}   рекомендовал выплатить дивиденды за первый квартал 2024 года в размере 30 рублей на акцию. Дивидендная доходность может составить около 4%. Акционеры проголосуют по вопросу дивидендов 17 мая.

Группа ""Аэрофлот"" {$AFLT} увеличила пассажиропоток на 21,7% в первом квартале 2024 года по сравнению с аналогичным периодом прошлого года. В марте количество перевезенных пассажиров выросло на 21,2%.

Снижение показали бумаги ""Мечела"" {$MTLR}  на фоне снижения экспортных цен на уголь.

Чистая прибыль ""Газпром нефти"" {$SIBN}  по РСБУ за 2023 год снизилась на 15,9% и составила 637,5 млрд рублей.

Российский рынок закрылся в ""зеленой зоне"" на фоне небольшой девальвации рубля и роста цен на нефть из-за геополитической напряженности. Привлекательность российского рынка акций остается высокой на фоне роста цен на сырьевые товары, особенно на нефть. Выплаты дивидендов также способствуют реинвестированию полученных доходов снова в фондовый рынок.

✅Подписывайтесь, будем торговать и учиться вместе, будет интересно 😊
Лайкаем👍, так я вижу, что вы прочитали, а значит есть для кого стараться
Помним, что карма все, что пожелаешь другому, возвращает вдвойне
#обучение #пульс_оцени #учу_в_пульсе #новичкам2023 #трейдинг #акции #новичкам
#расскажу_что_купить #прояви_себя_в_пульсе #хочу_в_дайджест"
2024-04-13T00:52:04.661+03:00,"Какая из ракет 🚀 будет лететь Выше ? А какой суждено упасть? Вы все знаете, что я профессионально провожу каждый теханализLDVR а главное – сверхточно 🔮✨

Предлагаю Вам выбрать в комментариях, кого я разберу в следующий раз, но, есть 2 условия 👇

Во-первых, выбирать можно будет только из списка лидеров худшего движения за эту неделю из индекса мосбиржи:

📈 Озон -1.2% {$OZON} 
Аэрофлот -1.0% {$AFLT}  
Мечел -1.0% {$MTLR} 
Газпром -0.9% {$GAZP} 
Тиньк -0.7% {$TCSG} 
Самолет -0.6% {$SMLT}  
РусАгро -0.6% {$AGRO}  
ИнтерРАО -0.6% {$IRAO} 
СовкомФлот -0.5% {$FLOT}  
Мтс -0.4% {$MTSS}  
Юнипро -0.4% {$UPRO}  
Мосэнерго -0.3% {$MSNG}   
Ммк -0.3% {$MAGN}  


Во-вторых, разборов будет столько, сколько десяток ракет 🚀 Вы наберёте в реакциях на этом посте:

Будет 10 ракет 🚀 – будет один разбор.
Будет 23 ракет 🚀 – будет два разбора.
Будет 130 ракет 🚀 – разберу все 13.
Не забудь подписаться, чтобы не пропустить пост!

Жду ваших комментариев, разборы будут у меня в Профиле и на Ютубе, поэтому, подписывайтесь, чтобы не пропустить пост 😌 #ТОПнедели"
2024-04-13T00:40:54.726+03:00,{$TCSG} {$MTLR} покупку стиральной машины отменяем значит?🤔
