time,text
2024-04-13T15:33:09.116+03:00,"{$MTSS} в понедельник шортсквиз будет?  все акции за последние два месяца, которые росли на слухах, а падали на фактах. (хороших) потом отрастали. Лукойл, ЛСР, Северсталь. МТС точно откупят. Хороший отчет, дивиденты, IPO.  МТС банк -все говорят -это финтех. а не банк. значит оценят в больше чем 1,0 капитала. это будет сильным драйвером акций МТС. 
  Нашел: По информации источника “Ъ”, знакомого с планами банка,  банки-организаторы оценили справедливую стоимость МТС-банка в объеме до  115 млрд руб. (1,6 капитала).   БКС (от 29/01/24) :Эффект может быть существенно позитивным (более 5%) при P/BV не менее  1,6х, и существенно отрицательным (от -5%) при P/BV менее 0,8х P/BV.  Однако не думаем, что компания проведет IPO, если не получит  привлекательной оценки.

Ждем В понедельник свечу от 5% + (шортсквиз).   Наличие у МТС пакета в 90% от МТС банка, может его сильно переоценить в большую сторону. помним успех совкомбанка. - переносим на мтс банк, дальше на МТС. IPO МТС банка будет мега успешным.  И помним про 34 рубля дивидентов."
2024-04-13T14:58:45.442+03:00,"Итог недели 08 марта – 14 марта 

Понедельник: 10 000 руб.
#AGRO отмена дивидендов из-за технических проблем с выплатой. {$NLMK} СД по дивидендам сегодня, но пока ничего не объявили, возможно, на вечерке появится инфа, либо на днях. #TRMK СД по дивидендам 18 апреля. #AQUA проливы ловил. #ENPG разгоняют из-за роста цены алюминия. {$ALRS} СД по дивидендам 12 апреля. #UPRO за объемом зашел, а когда уже вышел вышла новость: Путин поручил до 1 июня представить предложения по господдержке организаций, имущество которых находится во временном управлении - кремль. {$MAGN} думал за НЛМК пойдет, но как-то вяло, поэтому вышел. #AFKS заходил на пробитие уровня, но как-то постоянно откатывали, поэтому выходил из позиции, потом зачем-то шортил, но ладно, убыток допустимый.

Вторник: 3 000 руб.
{$POSI} отчет шортанул, хоть в целом отчет хороший. {$OZON} шортил после отчета. #OGKB поймал выстрел после публикации: электростанции огк-2 в 1 квартале увеличили выработку электроэнергии на 19,1%, до 16,8 млрд квт.ч. {$ASTR} начали все писать про будущее SPO, только вот мне очень обидно, когда на конференции прямо заявили, что в будущем могут рассмотреть SPO, но реакция в тот была слабая. {$GMKN} гонят наверх после сплита, но пока заработать не получается. {$GAZP} красивая формация была, но потом вставили айсберг и движение заглохло.

Среда: 4 300 руб. 
RKKE в 12:00 был запланирован пуск ракеты, но что-то поломалось. {$BANE} шортил от уровня  3415. SGZH погасили облигации. #MGKL СД по дивидендам 18 апреля. {$SNGSP} подобрал на откате, но надо было смело сидеть дальше и забирать хорошее движение. $SCVB шорт на будущей допке для покупки банка. IRKT зашел объем. {$MTSS} быстрый шорт. #MVID в моменте заходил объем, но движение дальше не было. 

{$NLMK} рекомендовали дивиденды в размере 25,43 руб. на акцию, я в этом принимать участие не стал. На мой взгляд в рамках ожидаемого объявили размер дивидендов, поэтому принял решение просто посмотреть со стороны.

Четверг: -1 200 руб
#AQUA Производственное подразделение ""Инарктики"" в 2023 г. увеличило выручку на 18,5%, до 28,2 млрд руб. #OGKB, #LIFE и ##GRO в моменте заходил объем. {$GAZP} хороший уровень 166 рублей, пока еще в сделке, но есть определенные ожидания. LIFE Мишустин призвал  увеличить долю российских лекарств на рынке до 70% к 2030 г. {$ASTR} завтра истекает lock-up период.

Пятница: -500 руб
Очень много сделок, но движений нет... На вечерке многих {$VKCO} поразил.

Итог: 16 000 руб."
2024-04-13T14:10:01.112+03:00,"{$MTSS} На мой взгляд, в бумагу нужно просто поверить, купить и подержать пару-тройку недель..."
2024-04-13T14:01:36.251+03:00,{$MTSS} вот и новости подъехали что начинают скупать 🚀🚀🚀
2024-04-13T13:49:45.421+03:00,"🇷🇺 Главные новости для инвесторов:

✅ Акции Лукойла - фавориты в нефтегазовом секторе (Атон)

✅ Доходность российского рынка акций в 2024 году составит более 30% (УК «Первая»)

✅ X5 Group в 2024 году планирует двузначный рост выручки (Газпромбанк)

✅ В Минфине РФ ожидают принятия закона о регулировании криптовалют в 2024 году

✅ Президент компании «Астра» {$ASTR} подтвердил планы провести SPO

✅ За неделю после сплита акции Норникеля {$GMKN} взлетели на 10%

✅ Цены на золото снова обновили исторические максимумы {$PLZL} {$POLY}

✅ Henderson рекомендовал дивиденды в размере 30 рублей на акцию (доходность: 3,9%)

✅ МТС-банк официально объявил IPO. Но акции будут предложены в рамках допэмиссии {$MTSS}

✅ Whoosh {$WUSH} разработала функцию мгновенного старта аренды без открытия приложения

✅ Доходы России от экспорта нефти в марте упали на 20% (МЭА) {$LKOH}

✅ 15 апреля Акрон решит по дивидендам за 2023 год

✅ Аэрофлот {$AFLT} в марте увеличил перевозки на 21,2%

✅ Газпром {$GAZP} готовится к поставкам газа в Хабаровский край после 2025 года

✅ Результаты Новатэка {$NVTK} за 1 квартал стали значительным позитивным сюрпризом (Мир инвестиций)

✅ «Займер» провел размещение своих акций по нижней границе — 235 рублей

✅ Лента не смогла договориться о ценах с ключевыми партнерами

✅ Акции Ozon {$OZON} в данный момент оценены справедливо (Финам)

✅ Российские угольные компании сократят добычу в 2024 году

✅ Северсталь подала ходатайство о мировом соглашении по ""делу металлургов""

✅ Цена на нефть поднялась выше 92 долларов за баррель {$ROSN} {$TATN}

✅ Позитивные ожидания по акциям МТС на краткосрочную перспективу сохраняется (Атон)

✅ Индекс Мосбиржи по итогам торгов вырос на 0,49%

🌟 Подписывайтесь на канал, если хотите зарабатывать на инвестициях 🌟

❗️Автор этого поста: @Russian_Stocks❗


#акции #россия #пульс #новости #аналитика #трейдинг #инвестиции"
2024-04-13T13:10:00.637+03:00,{$MTSS} малышка🚀🚀🚀
2024-04-13T12:56:20.331+03:00,"ДУМКИ ТРЕЙДЕРОВ.💡РУБРИКА. ЧЕМ И КАК ТОРГУЮТ ТРЕЙДЕРЫ❓ ПРОЖАРИ...,Что думаете?...

#Гудвин_VIP
{$RTKM}  Взял по текущим Ростелеком фундаментальная сила в данной акции еще до конца не отыграла, поэтому рост считаю оправданным. Скоро IPO Теле2, еще какую-то дочернюю компанию собираются также выводить на IPO, плюс неплохие дивы. 
Покупка 97,50
Стоп 93,70
Профиты 101,05 и 103,30 и 106,30 и 109,65

{$TRNFP} Мне казалось, что пойдет довольно шустро, так как время сейчас нефтяников. Снова скатилась на трендовую, у кого позы нет можно рассмотреть. 
Очень скучные и без инициативные торги идут последние дни.🤷🏼‍♂️

#Чехов_VIP Пока по рынку особо нечего сказать. 
{$VTBR} немного оживает вместе с {$SNGS} 
Остальные акции в боковике. 

{$MTSS} незаслуженно слили, думаю подтянут повыше в итоге. 

Покупать чего либо не планиурую сегодня.

Сегодня {$ALRS} СД по дивидендам. 
Дадут на мой взгляд 2.3 рубля на акцию. 
Реакция должна быть нейтральной / может даже откат получим небольшой

Наш рынок переоценивает все, что только можно. 
Это событие = мегапозитив для $MTSS. 
Отчет РСБУ за собой породит теории про увеличенный дивиденд за 23 год (иначе зачем поднимать кэш в 1 квартале?). 
Условно могут дать 35 рублей + рублей 10 за МТС Армения. (А могут и не дать, но таких разговоров будет намного больше, когда кэш поднимут в РСБУ). 
И перед СД будет интрига + разгон в сторону 350. 
+ IPO дочерней компании = {$MTSS} Лонг.

#PROFiINVEST PRO - сигналы, обучение, аналитика...:
✅Закрыл полностью позицию в {$BELU} с прибылью +1.1% по 6205₽

🚀 {$LNZL} кто решил погонять,  забирает +10-15%
Но мы хорошо и {$LNZLP} ещё погоняли с вами от конкретных сигналов✅

✅$VTBR  фиксирую 50% позиции на отметке 0.024100 +2% 💰 
Стоп ставлю на точку входа

✅$ROSN фиксирую 50% добора на отметке 579. +2.10% покупали с отметки 567  стоп на входе !!!

✅ {$TATN} фиксирую ещё 20% позиции на отметке 722.5-8 
общий плюс +2.30% 💰

✅$VKCO пошёл импульс 🚀 уже +2% 👏🥳
брали ?

✅Купил $JTOUSDT на 1% от портфеля по 3,21$ с плечом х2.
Цель: 3.62$
Стоп: 2.99
⚠️высокий риск

Закрыл полностью по 3,358$ c прибылью +9%

✅Приобрел $ETHUSDT по 3203$ на 1% портфеля с плечом х3.
Цель: 3380$
Стоп:  3090$

✅Закрыл позицию в $ETHUSDT по 3255$ c прибылью +5%

✅ {$NGJ4} после продажи, опять покупаю по 1,753 с коротким стопом

✅ #NGJ4 1,789
Немного поспекулировал еще и лесенкой закрываю 70% позиции с прибылью +2% двигая стопы за ценой. 
30% буду переносить на пн, со стопом в бу

⚡ ПРОЖАРКА - присоединяйтесь к ленте и проверим самые интересные #идеи из сокрытых каналов ""трейдеров"""
2024-04-13T12:23:28.558+03:00,"{$MTSS} кто нибудь может сказать, МТС уже закрыл свой июньский дивгеп 2023 года или уже будет год, как этого не произошло?"
2024-04-13T12:02:27.014+03:00,"{$MTSS} 
– закрытие див гэпа
– ipo
– дивиденды 12%
– прогнозная цена 340+"
2024-04-13T11:35:21.565+03:00,{$MTSS} кто-то видимо решил под ипо на внебирже затариться на 10 лямов заявочка в стакане
