time,text
2024-04-13T12:42:26.858+03:00,"Добрый день итоги недели..
За неделю получилось прибавить к депозиту 8.3 % неделя была удачной..
Один из самых основных профитов дала {$LNZLP} по нему сделано сдело больше 300 спекулятивных,второй по величине дохода это {$ENPG} по нему можно было конечно куш сорвать во время коррекции рынка я его подбирал по 496 рублей а сдался в копейки если один день додержать было профита 5 раз больше..остальные профиты это маленькие {$UWGN} как обычно не много катал, {$RBCM} не много получилось взять, {$MVID} тоже самое по чуть чуть..
А самый большой лось по {$RNFT} последнее время не могу понять что происходит с этой бумажкой не какие уровни не работают..
А у вас как прошло неделя?
Всем профита 💤💤"
2024-04-13T09:59:53.336+03:00,"Добрый день
Открыла ИИС(старый закрыла)
Начинаю по тихоньку собирать портфель
Пополнила 3300 рублей 
Купила 
{$TATN} ( хорошая перспективная компания с частыми дивами)
{$IRAO} ( хорошая цена, дивы раз в год)
{$MVID} (чтоб была) 🤣
{$MAGN} ( во первых все ждут объявления дивидендов, да и в долгосрок хорошая бумажка)
{$NVTK} ( цена для долгосрочной покупки очень хорошая, буду ещё покупать)
{$GMKN} (купила после дробления, можно позволить , за одно и посмотрим)
{$UWGN} ( много брать не буду, но набирать обороты должна)
{$TRNFP} ( после дробления я думаю все покупают, так же дивиденды платят)
Так же купила облигацию {$RU000A106R79} (погашение через 4,5 года, как раз к закрытию иис)
{$LQDT} ( буду набирать на сдачу, темболее после двух лет держания освобождается от налогов)

Фонды выбрала 3 вида которые буду набирать в равных пропорциях {$TMOS} {$TDIV} {$TGLD} 

Для начала выберу все интересные компании потом буду наращивать объем.
Не иир. Не против если подпишитесь , спасибо."
2024-04-13T09:55:13.283+03:00,"Итак, мои итоги этой инвестнедели. Я не выдержал эмоциональных качелей с {$POSI} и продал их уйдя в минус где-то на 400 рублей, да. После чего потихоньку подкидывал деньги себе в ИИС и покупал себе {$WUSH} и {$DELI} с расчётом на летний период, туристы всякие шерингами будут пользоваться, все дела, вспомнил, что {$MTSS} тоже самокаты выставляет на улице, так ещё узнал, что можно Steam пополнять через их банк, тоже взял, недолго думая (почти не думая). {$MVID} брал по принципу ""авось повезёт когда-нибудь"". {$BSPB} и {$MOEX} взяты из-за дивидендов в мае, на большее я с ними не рассчитываю. {$RNFT} набрал, потому что вспомнил, что пару лет назад Роснефть тоже дëшево стоила и решил, что, может быть, может вырасти, а может и не вырасти, но если вдруг да, то будет приятно очень.

После я вспомнил зачем я вообще позитивные технологии брал, там же тоже дивиденды, из-за них только и желал. Пришлось подкинуть ещё деньжат и приобрëл парочку обратно."
2024-04-12T20:16:47.752+03:00,"{$MVID} Так, смотрим закрытие недели)
По моему прогнозу отскочили от 200 +-
Т.к. следующая неделя последняя перед отчётом, то нужно внимательно следить за объёмами. Отчёт будет за 1 квартал. Надеюсь перестроили свой бизнес и отчёт будет лучше, чем за 2023 год. 
Недельная свеча закрывается неплохо. Есть надежда дойти до 220.
Какие перспективы вижу на следующей неделе: можем снова дойти до 200 для теста, а далее рост. Примерные цели: 203,7; 207,7; 210; 212 и выше.
Думаю смотрится все лонгово, нужно терпение. Если после 210 пойдут хорошие объёмы, то можно пойти и намного выше. 
Если вам интесны мои прогнозы, то ставьте лайки)"
2024-04-12T19:22:41.104+03:00,{$MVID} какие цели к лету? Может ли отчет стать драйвером смены тренда в бумаге?
2024-04-12T18:19:17.162+03:00,"Всем добрый вечер!!!!!{$MVID} это прогноз до отчета 22 числа. Я все еще в позиции, считаю что в выходные постоим, а с 15 числа с понедельника в рост пойдем. Ожидаю рост цены не выше 216 до отчета. Ставим лайки пишем комментарии."
2024-04-12T16:37:00.690+03:00,"{$MVID} опять пылесос, вниз сходим чутка походу"
2024-04-12T15:58:49.028+03:00,"{$MVID} до 204 дошли как и писал, теперь 209+"
2024-04-12T15:12:51.387+03:00,"{$MVID} Задолбали заливать, БКС вышли из шорта"
2024-04-12T13:34:54.417+03:00,"{$MVID} так так так, что думаете?"
2024-04-12T13:34:49.663+03:00,{$MVID} тут робот по тихому набирает. Будет памп в ближайшее время.
2024-04-12T13:11:48.900+03:00,{$MVID} на пробой идёт? Как думаете🤔
2024-04-12T12:44:53.650+03:00,{$MVID} хм что то интересно будет или это так?
2024-04-12T11:32:27.069+03:00,"{$MVID} шортисты самые работящие, все задерги продают"
2024-04-12T09:59:31.246+03:00,{$MVID} погнали!
2024-04-11T22:51:05.975+03:00,{$MVID} шортисты как ваши стринги?
2024-04-11T20:52:14.270+03:00,{$MVID} завтра на аукционе до 204+ если сейчас не улетим
2024-04-11T20:45:11.276+03:00,{$MVID} Хочу 1000 сейчас!
2024-04-11T19:17:51.694+03:00,{$MVID} когда эта вялотекущая шляпа почти то будет?
2024-04-11T18:54:48.973+03:00,"Что шортят и покупают с плечом клиенты БКС❓️

В последнем обзоре рубрики мы отмечали, каким бумагам отдавали предпочтение клиенты БКС Мир инвестиций в середине марта. Разбираемся, что изменилось в первые дни апреля, в период, когда российский рынок обновлял максимумы после волны коррекции.

Среди топ-6 акций, которым отдают предпочтение инвесторы, доминирующее положение заняли бумаги банков. Еще в марте к привычным позициям привилегированных акций {$SBERP} Сбера добавились акции {$VTBR} ВТБ, а к апрелю в топ попали и акции {$TCSG} ТКС Холдинга. Ставки выглядят вполне оправдано на фоне рекордной прибыли сектора в прошлом году и оптимистичных ожиданий в текущем.

В то же время топ покинули бумаги ритейлеров — {$MGNT} Магнита и {$FIVE} X5 Group. Последняя выбыла по технической причине приостановки торгов на Мосбирже. Соотношение маржинальных лонгов и шортов Магнита просело не очень существенно, но в топ они не попали, в частности ввиду улучшения позиций #NMTP НМТП.

Лидирующие места по-прежнему занимают привилегированные акции {$TRNFP} Транснефти и {$TATNP} Татнефти.

Отдельные бумаги вызывают у трейдеров пессимизм в отношении перспектив динамики котировок. В частности, привычные позиции здесь сохранили энергетическая {$OGKB} ОГК-2 и продавец электроники {$MVID} МВидео. Также в списке остались {$MTLRP} Мечел-ап и {$RUAL} РУСАЛ. Перекос в пользу коротких позиций усилился по бумагам {$POSI} Группы Позитив и {$BANE} Башнефти-ао, вероятно, на фоне предшествующего роста котировок. 

За рамками топа отметим существенные изменения в акциях #FLOT Совкомфлота. Ставки на рост и падение изменили соотношение в объеме позиций до 80% к 20% против 56% к 44% ранее.

Соглашаться с такой позицией по данным бумагам или нет — решать только вам. Зато это хорошая пища для размышлений в дополнение к аналитике.
💡 БКС

🎁Тинькофф Премиум БЕСПЛАТНО👉👉👉 https://www.tinkoff.ru/baf/2sAG2S4QnYY"
2024-04-11T17:09:23.597+03:00,"{$MVID} какие то уроды ,прямо не дают поднятся .тут же сливают"
2024-04-11T17:05:52.917+03:00,"Что шортят и покупают с плечом клиенты БКС❓️

В последнем обзоре рубрики мы отмечали, каким бумагам отдавали предпочтение клиенты БКС Мир инвестиций в середине марта. Разбираемся, что изменилось в первые дни апреля, в период, когда российский рынок обновлял максимумы после волны коррекции.

Среди топ-6 акций, которым отдают предпочтение инвесторы, доминирующее положение заняли бумаги банков. Еще в марте к привычным позициям привилегированных акций {$SBERP} Сбера добавились акции {$VTBR} ВТБ, а к апрелю в топ попали и акции {$TCSG} ТКС Холдинга. Ставки выглядят вполне оправдано на фоне рекордной прибыли сектора в прошлом году и оптимистичных ожиданий в текущем.

В то же время топ покинули бумаги ритейлеров — {$MGNT} Магнита и {$FIVE} X5 Group. Последняя выбыла по технической причине приостановки торгов на Мосбирже. Соотношение маржинальных лонгов и шортов Магнита просело не очень существенно, но в топ они не попали, в частности ввиду улучшения позиций #NMTP НМТП.

Лидирующие места по-прежнему занимают привилегированные акции {$TRNFP} Транснефти и {$TATNP} Татнефти.

Отдельные бумаги вызывают у трейдеров пессимизм в отношении перспектив динамики котировок. В частности, привычные позиции здесь сохранили энергетическая {$OGKB} ОГК-2 и продавец электроники {$MVID} МВидео. Также в списке остались {$MTLRP} Мечел-ап и {$RUAL} РУСАЛ. Перекос в пользу коротких позиций усилился по бумагам {$POSI} Группы Позитив и {$BANE} Башнефти-ао, вероятно, на фоне предшествующего роста котировок. 

За рамками топа отметим существенные изменения в акциях #FLOT Совкомфлота. Ставки на рост и падение изменили соотношение в объеме позиций до 80% к 20% против 56% к 44% ранее.

Соглашаться с такой позицией по данным бумагам или нет — решать только вам. Зато это хорошая пища для размышлений в дополнение к аналитике.

💡 БКС

🎁ПРЕМИУМ от Тинькофф БЕСПЛАТНО
Тариф🔥 www.tinkoff.ru/baf/9AazI9Yk7Cg

🎁 ВСЕ продукты Тинькофф с бонусами 
Вам 👉 www.tinkoff.ru/baf/5JfiHbzmmiM

#новости #пульс #новичкам #псвп 
#прояви_себя_в_пульсе #лонг #Шорт"
2024-04-11T17:04:30.782+03:00,"{$MVID} опять на те же грабли.

Сидимс, ждемс."
