time,text
2023-12-04T10:09:01.244+03:00,"{$NFAZ} НЕФАЗ³
🔴🔴Цена: -5.32% (498.5 ₽)
Объём: 1.9M ₽ (380 лот)
Покупки: 12%, *Продажи: 88%*
За день цена: -5.41%
Объём: пок. 229.3K ₽, *прод. 1.7M ₽*
2023-12-04 10:08"
2023-08-09T13:36:56.711+03:00,{$NFAZ} для закладки
2023-06-13T13:45:18.141+03:00,{$NFAZ} …
2023-04-03T15:14:47.865+03:00,{$NFAZ}
2023-03-27T16:01:36.141+03:00,{$NFAZ}
2023-03-27T09:25:10.232+03:00,{$NFAZ}
2023-03-08T12:23:55.111+03:00,"{$NFAZ}
не является иир"
2023-03-03T18:14:17.816+03:00,{$NFAZ}
2023-02-17T18:32:05.126+03:00,{$NFAZ}
2023-02-16T17:25:27.367+03:00,{$NFAZ}
2023-02-10T16:42:02.887+03:00,{$NFAZ} что бы не потерять
2023-02-02T11:22:28.279+03:00,{$NFAZ} для себя
2020-04-13T10:27:07.686+03:00,"На торгах в Азии цена фьючерса нефти марки $Brent упала на 1,29% на фоне завершения переговоров стран ОПЕК+ по сокращению добычи нефти. По состоянию на 02:03 мск она составила $31,24 за баррель.

На новости о договоренности ОПЕК+ слабо отреагировали и индексы основных фондовых бирж материкового Китая. Индекс шанхайской Shanghai Сomposite снизился на 0,33%, до 2787,28 пункта, а SZSE Component в Шэньчжэне — на 0,55%, до 10 241,17 пункта, следует из данных Investing.com.

Основной индекс японской фондовой биржи Nikkei 255 понизился на 0,64%, а южнокорейский Kospi — на 0,9%.
На бирже ICE в Лондоне стоимость фьючерса Brent с поставкой в июне снизилась на 0,57%, до $31,3. Чуть ранее она составляла $32,20 за баррель, свидетельствуют данные торговой площадки. Стоимость майского фьючерса WTI опустилась на 0,22%, до $22,71 за баррель.

По состоянию на 05:55 мск цена барреля Brent на торгах в Лондоне выросла на 4%, до $32,85, а WTI — до $23,9.
{$LKOH} {$GAZP} {$SIBN} {$KRKN} {$GMKN} {$NFAZ} {$COG} {$MGY}"
2020-03-24T01:30:32.449+03:00,"На днях стал акционером 3 новых компаний:
1. Деньги с проданных в убыток (за 9,3) акций {$UAA} решил переложить в {$CSCO} (купил за 36,6).
В условиях кризиса такое решение кажется оправданным, т.к. непродуктовый оффлайн ритейл очень сильно пострадает от падения траффика. В то же время Cisco является одной из наиболее надёжных технологических компаний - лидер в производстве сетевого оборудования, узнаваемый бренд, не зависящий от узкого круга клиентов (как некоторые поставщики Apple, например), платит дивиденды.
2. Наконец, как и планировал, купил {$MMM} за 127. Правда, цена почти сразу после этого свалилась до 115, и так до конца и не восстановилась сегодня.
3. Маленьким объемом зашёл в {$RUAL} за 21,8 руб. с целью ""пощупать"" акцию. Буду следить дальше и усредняться. Позиция долгосрочная (от 2 лет), основная идея в переоценке после состоявшейся отмены санкций, возврате к выплате дивидендов, и в восстановлении цены алюминия по мере выхода мировой экономики из рецессии.
На настоящий момент в моём портфеле акции аж 31 российских компаний, 10 иностранных и 2 ETF. Конечно, кол-во эмитентов в портфеле буду сокращать почти наполовину: по каким-то из них ищу точку выхода, по некоторым ожидаю краткосрочные триггеры.
В то же время в долгосрок интересно зайти в ещё несколько компаний - {$GMKN}, {$ENRU}, {$NFAZ} и целый ряд иностранных. Не знаю, как соблюсти баланс:)
В ряде следующих постов попробую сформулировать свою стратегию."
