time,text
2024-04-13T11:31:31.068+03:00,"Обновление данных для системного отчета WEEK_28 - https://www.tinkoff.ru/invest/social/profile/Henry_Ross/cfca9298-4793-4ddd-91e3-2db22af5c9ce/

CBOM идея активирована - https://www.tinkoff.ru/invest/social/profile/Henry_Ross/180873bb-7a60-4032-918f-96dc85a4cc8a/

{$SPBE} закрыта вручную (+3.28%), достигла тейка - https://www.tinkoff.ru/invest/social/profile/Henry_Ross/5981dec9-73f5-4f57-ab4f-0b3f6c427e5f/

{$NKHP} идея активирована - https://www.tinkoff.ru/invest/social/profile/Henry_Ross/eb7c8d5c-98bb-4957-a628-3fb126bb5f6a/

{$PHOR} закрыта вручную (+0.88%), достигла тейка - https://www.tinkoff.ru/invest/social/profile/Henry_Ross/68bcfcb3-5b96-42bd-a93a-0322234d6dc8/

{$BLNG} закрыта вручную (+4.43%) - https://www.tinkoff.ru/invest/social/profile/Henry_Ross/a7690fed-fe8c-407a-b464-5d5daba02031/

{$UNAC} идея активирована - https://www.tinkoff.ru/invest/social/profile/Henry_Ross/bfb746e2-88d7-4518-973f-d16284e9f4ac/

{$UWGN} идея активирована - https://www.tinkoff.ru/invest/social/profile/Henry_Ross/da7379e5-c5ed-411b-8ec5-7aa13abc4fdf/

{$TRMK} закрыта вручную (+4.09%), достигла тейка - https://www.tinkoff.ru/invest/social/profile/Henry_Ross/62506982-4403-4303-9af0-f87827206b88/

{$MRKY} закрыта по тейку (+4.54%) - https://www.tinkoff.ru/invest/social/profile/Henry_Ross/bd2219bf-8502-42ae-8ae1-c3a77c58664d/

{$SGZH} идея активирована - https://www.tinkoff.ru/invest/social/profile/Henry_Ross/343e318c-261d-4030-a83e-c16b8b9b89bd/

IRKT идея активирована - https://www.tinkoff.ru/invest/social/profile/Henry_Ross/e480699c-0686-4059-96fa-73b972f8e95e/

RENI идея активирована - https://www.tinkoff.ru/invest/social/profile/Henry_Ross/36f09d5b-dbed-4fcd-8708-6a8773f573c5/

AMEZ идея активирована - https://www.tinkoff.ru/invest/social/profile/Henry_Ross/5350ba4d-5000-4d72-852d-1c5818d5ffcc/

{$DVEC} закрыта вручную (+3.42%) - https://www.tinkoff.ru/invest/social/profile/Henry_Ross/811952da-9655-430f-ad65-5ab7080567b0/

{$LIFE} идея активирована - https://www.tinkoff.ru/invest/social/profile/Henry_Ross/8d4b4ba6-5f28-425f-a6e2-5a6e2f15f160/

{$TTLK} идея активирована - https://www.tinkoff.ru/invest/social/profile/Henry_Ross/c4699c2e-9aad-45c6-b9d1-b73f3d30c7bb/

MTSS закрыта по стопу (-1.93%) - https://www.tinkoff.ru/invest/social/profile/Henry_Ross/91f7851c-a2f7-41e0-890d-1f9f3bb4d940/

{$OZON} идея активирована  - https://www.tinkoff.ru/invest/social/profile/Henry_Ross/9dfec008-3753-41b7-b656-dfd362a3beac/

WUSH идея не активирована - https://www.tinkoff.ru/invest/social/profile/Henry_Ross/a7c34cc0-62e3-4c29-b7e7-c09f2f5ab6b2/

Итого: 46.07% суммарного показателя процента успешных публикаций для закрытых идей (не является окончательным из-за открытых идей и позиций). Максимальный положительный % 4.54%, отрицательный % -5.32%
** Суммарный показатель % - кф. для определения winrate, не является показателем % чистой прибыли.

#аналитика #рынок #теханализ_в_пульсе #прояви_себя_в_пульсе #теханализ #хочу_в_дайджест #трейдинг #обзор #пульс #акции"
2024-04-12T12:45:05.318+03:00,"{$NKHP} сейчас рановато но пойдет компания вверх, это наш флагман на черном море
по продаже зерна."
2024-04-12T11:05:59.650+03:00,"{$NKHP} Стоят, ракету готовят. Из овна и палок 😂🤣"
2024-04-12T10:10:57.149+03:00,{$NKHP} всех нервных Высаживают
2024-04-11T18:54:23.109+03:00,"{$NKHP} Экспорт пшеницы из России с начала текущего сельхозсезона по март 2024 года составил 40,85 млн тонн, превысив рекорд за аналогичный период прошлого сезона на 11%. Об этом рассказали в аналитическом центре ""Русагротранса"".

""В июле - марте сезона 2023/2024 вывоз пшеницы из России (включая страны ЕАЭС) достиг 40,85 млн тонн, превысив рекорд прошлого сезона на 11% (когда было экспортировано 36,65 млн тонн"", - говорится в сообщении."
2024-04-11T18:13:39.815+03:00,"{$NKHP} Лавров приехал с официальным визитом в Китай.

Китай отменил покупку зерна в США и в Австралии без объяснения причин. 

Это крупнейший отказ:
- 1 миллион тонн австралийской пшеницы;
- полмиллиона тонн США."
2024-04-11T16:47:56.310+03:00,{$NKHP} ракета спустилась дозаправится завтра ещё попытка от притяжения1050. Всё равно улетим.
2024-04-11T16:26:54.559+03:00,"{$AGRO} {$NKHP} {$AFKS} {$GCHE} 
#Индия #МТК #Север_Юг
📈 Перспективы развития
экспорта российской продукции АПК на рынке Индии

Составитель: Дмитрий Краснов,руководитель Федерального центра «Агроэкспорт»"
2024-04-11T11:47:54.555+03:00,"{$NKHP} Ждём, ждём....
""А воз и ныне там""....🙂🙂🙂"
2024-04-11T11:39:23.833+03:00,"А ведь графики действительно похожи, верно подмечено. И это ужасает.

Судя по тому, где коррекционное движение в обоих случаях заканчивается в одном и том же месте... на 950-1100₽. Ух, ну... М-да. 

{$NKHP} 
{$SVAV} 
{$SFIN}"
