time,text
2024-04-12T12:07:55.485+03:00,"📊 Нижнекамскнефтехим {$NKNC} {$NKNCP} не раскрыла результаты МСФО за 2022 год, но показатели за 2023 год превысили ожидания. В 2024 году планируется завершить строительство этиленового комплекса ЭП-600, что позволит увеличить объем производства. Пока у компании есть проблемы с денежным потоком и выплатой дивидендов. Дивиденды за 2023 год составят около 3 рублей на акцию. Дебиторская задолженность достигла 55 млрд рублей, возможно, это задолженность Сибура перед компанией. В целом, перспективы компании связаны с расширением бизнеса и увеличением доли прибыли, направляемой на дивиденды.


📻 Новости и прогнозы на постоянной основе. Подписывайтесь 

⏱️ Информацию о наших стратегиях можете посмотреть в профиле.

#Нижнекамскнефтехим #NKNC #NKNCP"
2024-04-12T10:00:22.005+03:00,"*Технический анализ* 
 
System: {$NKNC} Up-trend analysis 
Реализация и развитие технического анализа предоставлено интерактивно. 
 
Короткая опись инфографики: Идея на up-реализацию крупной зоны консолидации, изменение динамики экстремумов, пробой ближайшего сопротивления.
Рассмотрен таймфрейм (1D). Указаны горизонтальные, трендовые уровни поддержки и сопротивления.  Обозначена динамика взаимодействия минимумов и максимумов с  трендовыми уровнями (HR|LS). Обозначена зона пробоя трендового сопротивления.
Начало реализации технического анализа происходит в случае пробоя зоны сопротивления и изменения текущих технических параметров. 
*В случае отсутствия технического пробоя и снижения ниже 101.45, системная идея отменяется.
 
**Публикация является частью системных идей для учета PNL, все системные публикации и результаты по ним учтены в таблице посредством доказательной базы платформ Pulse, TradingView с учётом менеджмента автора (Раздел MOEX): https://docs.google.com/spreadsheets/u/0/d/1Q1LPnBLh-h8Oo8oHVAI8R0nMAouLwIwZBKfqfUFZ-O4/htmlview#gid=897654646&range=A1

#аналитика #рынок #теханализ_в_пульсе #прояви_себя_в_пульсе #теханализ #хочу_в_дайджест #трейдинг #обзор #пульс #акции 

Исходный график ""ТА"" без снижения качества изображения -  https://www.tradingview.com/chart/NKNC/VIIOSf9x-NKNC-Long/"
2024-04-12T09:39:56.362+03:00,"​​​​ ⚗️Нижнекамскнефтехим {$NKNC}, {$NKNCP} - краткий обзор результатов за 2023й год

▫️Капитализация: 191 млрд / 107,5₽ за АО, 79₽ за АП
▫️Выручка 2023: 236,2 млрд
▫️Операционная прибыль: 39,2 млрд
▫️скор. прибыль: 35,9 млрд
▫️P/E 2023: 5,3
▫️P/B: 0,6

👉 Компания так и не раскрыла результаты МСФО за 2022г, но отчётность за 2023й год вышла даже лучше ожиданий.

✅ Уже в 2024м году планируется завершение строительства этиленового комплекса ЭП-600, который поможет существенно нарастить объём выпуска продукции. Судя по показателям компании, новые мощности вряд ли будут простаивать и со сбытом проблем нет, главное, чтобы небыло существенных сдвигов по срокам.

👉 Чистый долг компании составил 123 млрд рублей на конец 2023 года. Долговая нагрузка некритичная для компании, но её достаточно, чтобы не платить «нормальные» дивиденды.

👉 Согласно дивидендной политике, выплаты по итогам 2023 года будут мизерными к текущим ценам. при распределении около 15% от скорректированной чистой прибыли по МСФО, дивиденды составят около 3 рублей на акцию (3,8% к текущей цене префов).

❌ Дебиторская задолженность выросла уже почти до 55 млрд рублей, вполне вероятно, что это задолженность Сибура, который таким образом вытаскивает деньги с дочерней компании.

Вывод:
На горизонте 1-2 лет, бизнес ощутимо прибавит в производственных мощностях (не факт, что без задержек, но будем оптимистами). При этом, компания пока в глубоком убытке по FCF из-за высоких капитальных затрат, наращивает долг, платит мизерные дивиденды и далеко не факт, что интересы миноритариев будут соблюдены в будущем.

В целом, если рассматривать префы, то они стоят недорого, однако если покупать, то только в расчёте на масштабирование бизнеса и скорое увеличение % распределения прибыли на дивиденды. Лично я держусь в стороне.

Не является индивидуальной инвестиционной рекомендацией

#обзор #НКНХ #NKNC"
2024-04-10T08:44:22.801+03:00,"ДУМКИ ТРЕЙДЕРОВ.💡РУБРИКА. ЧЕМ И КАК ТОРГУЮТ ТРЕЙДЕРЫ❓ ПРОЖАРИМ...

#svetafx как вам #разбор?
{$USDRUB} Приоритет не меняю
Предполагается плоскость или треуг-к в волне Х

{$EURRUB} Продолжает торговаться на тех же уровнях
Стоп здесь все таки промежуточный 
Оптимально увидеть уверенный уход под 200МА с дальнейшим развитием треуг-ка, это даст понимание выхода ниже
Скажем если этого не произойдет и цена продолжит пропиливать потихоньку наверх - это ни о чем не будет говорить и в последствии
может закрутиться треуг-к больших размеров в рамках волны Х серым счетом не изменив конечной сути структуры/

{$CNYRUB} Хлипкость стопа
Он есть, но выход на него не нарушает приоритета на снижение

{$RNFT} В последствии наверняка будет выше
Но а таком росте есть смысл фиксации

{$GMKN} опытные дилеры часто пользуются усреднением в слабых бумагах когда есть возможность для того чтобы оттуда выскочить
Я сомневаюсь что в долгосрочной перспективе ГМК покажет приличную дох-ть ибо дивидендная вакханалия окончена
Тем не менее в моменте произошел разворот четко с ожидаемых уровней + бумага стала значительно доступней по цене 

В разрезе ВА имеем серию заходных с хорошими стопами которая может реализоваться и дать быстрых процентов 15 с текущих

{$AFKS} На таком росте конечно же только покупки и доборы на возможных корррекциях

{$AFLT} очевидно что это история не одного месяца
Вполне возможно через пару обновление локальных максимумов будет сформирована еще пара 1-2 заходных
Истории в которых предполагается глобальный разворот и сентимент это подтверждает - только покупки

{$NKNC} очень много фигур которые могут вытолкнуть цену наверх
Есть основания предполагать что к бумаге снова появляется интерес
https://www.tradingview.com/x/9VqqSPaO/

{$MVID} Продолжаем движение в соответствии с разметкой

{$PIKK} Движемся в Y of 3 предполагаемой диагонали или продолжаем формировать волну Х треуг-ком серым счетом
ничего нового пока

{$LKOH} Продолжаем продвигаться в волне 5

{$ROSN} После текущей консолидации цена обновит максимумы
В идеале волна 3 = 967 - это 78% волны 1
Однако пройдя чуть выше зеленого пунктира цена = 62% волны 1 что так же достаточно для волны 3
вывод:
жду обновления максимумов и фиксирую как минимум половину

#BTCUSDT В приоритете треуг-к в рамках волны 4 закончен
В моменте мы имеем 1-2 заходные что предполагает скорый выход волной 3 - эьто приоритет
В альтернативе треуг-к продолжится серым счетом

#ETHUSDT Примерно такая же картина как в бтк
либо 1-2 в сотаве 5 
Либо треуг-к в рамках волны 4 будет иметь больший размер

#TONUSDT Я полагаю это еще не все
Впереди 4-5 внутренние волны что даст еще процентов 25
#SOLUSDT Здесь все так же в пределах нормы
Треуг-к сформирован (или почти)
нужен выход наверх - это будет подтверждением хода волной 5
А вот ниже стопа держать я бы точно не стала

🔥⚡ ПРОЖАРКА - присоединяйтесь к ленте и проверим самые интересные #идеи из сокрытых каналов ""трейдеров""- уникальный проект в Пульсе"
2024-04-09T08:34:19.106+03:00,"В понедельник Рынок продолжил рост💸 ТОП-12 Акций по итогам 8 апреля🚀

Акция   	% за День* 	   % Общий**	 Дней 
1	{$ENPG}		11,9       		11,9	          	1
2	{$RNFT}		10,9   	   	16,0	          	3
3	{$LSRG}		6,1		        16,7		        8

4	{$LENT}		6,0		          6,0        		1
5	{$TRMK}		4,7		          6,7	        	4
6	{$NMTP}		3,9		          4,4	        	2

7	{$NKNC}		3,4		          3,4	        	1
8	{$UGLD}		3,0		          3,6	        	3
9	{$ROLO}		2,9		          2,9	         	1

10	{$MVID}		2,9		          2,9	          	1
11	{$BANE}		2,8		          6,6	         	4
12	{$SLAV}		2,8		          4,7	        	4
* прирост цены за последний торговый день, %									
** непрерывный прирост цены со дня первого закрытия акции в ""+"", %

#ТОП12"
2024-04-08T21:10:14.925+03:00,"Я ем на обед золотые слитки {$TGLD}
Бриллиантовый десерт {$SBER}
Нефтяные сливки {$NKNC}"
2024-04-05T18:16:55.065+03:00,"{$NKNC}
Мой родной завод никогда меня не подведёт😊
• передаю привет бк-6"
2024-04-05T16:27:28.504+03:00,{$NKNC} на вечёрке торгуется?
2024-04-04T14:48:12.847+03:00,"НКНХ 🏭. Ждать осталось недолго

Вышел отчёт НКНХ за 2023 год, коротко пройдемся по компании, где возможны иксы на горизонте 1-2 лет.

📌 Тезисно о компании

— Прибыль компании. Многих расстроит маленькая прибыль, но я бы очистил ее от разовых курсовых разниц на 19 млрд, которые связаны с переоценкой валютных кредитов. Поэтому реальная прибыль у компании в два раза больше: 32 млрд с учётом налогов, а это P/E=6, но дальше больше.

— Ввод нового проекта. Компания в начале 2025 года планирует ввести в строй свой главный проект - завод Этилен 6000, чтобы понимать лучше масштаб, то можно посмотреть на строку незавершённое строительство. После ввода завода производственные мощности компании увеличатся в два раза! А это приведет (не сразу), но к значительному росту прибыли в 1.5-2 раза.

— Мажоритарий Сибур. Единственная вещь, которая может смущать в истории с НКНХ - это новый мажоритарий в лице Сибура, который выкачивает деньги из компании через рост дебиторской задолженности, а дивиденды сейчас платит в усеченном размере. История очень похожа на кейс Башнефть - Роснефть. 

Вывод: если вы долгосрочный инвестор, то акции НКНХ - это интересный вариант для портфеля долгосрочного инвестора. Я планирую к себе немного взять после разочарования рынка в очередных низких дивидендах.


Подпишись, мне будет приятно!

{$NKNC} {$NKNCP} 

#мнение #акции #пульс_оцени #прояви_себя_в_пульсе #хочу_в_дайджест"
2024-04-04T13:29:15.875+03:00,"04.04.2024 ❣️
Какая красивая сегодня дата. Инверсная 😍. Будете загадывать желание?

Смотрю сегодня на {$NVTK}: Новотёк не потек! Очень приятно. Жду теперь, что из тлеющих угольков {$MTLR} разгорится пожар и мы все погреем ручки 🔥 

🔺Раньше придерживалась стратегии, при которой не допускается слив бумаги при убыточной позиции. В своем ли уме, избавляться от акции в минус 20% 😳, когда она отрастет и можно выйти в ноль или даже незначительную прибыль. 
Так произошло у меня с {$RUAL}, ведь «у любви у нашей села батарейка», {$NKNC} и Эталоном. Скрипя зубами, продала и не жалею, потому что точно знаю, что эти пару шагов назад нужны для разгона. Тряхнула портфельчик, я к тебе с ребалансом. 

🔻 Вместо этих трех вялых, взяла бодрые варианты, которые уже успели подрасти и радуют меня зеленой лужайкой. В инвестиционных стратегиях скучно без
интереса и энтузиазма. К тому же, богатые могут себе позволить такую роскошь, как умеренный процент 😁. 

❓А что вы делаете с долгими скучными минусами? Заходите на этот газон раз в сезон?"
