time,text
2024-04-13T19:01:59.615+03:00,"{$NKNCP} вот это да , движуха пошла"
2024-04-12T16:17:26.006+03:00,{$NKNCP} обьемов нет
2024-04-12T13:48:16.596+03:00,{$NKNCP} если акций нет держит сам тинек шортами
2024-04-12T12:12:27.652+03:00,{$NKNCP} скоро ☝️
2024-04-12T12:07:55.485+03:00,"📊 Нижнекамскнефтехим {$NKNC} {$NKNCP} не раскрыла результаты МСФО за 2022 год, но показатели за 2023 год превысили ожидания. В 2024 году планируется завершить строительство этиленового комплекса ЭП-600, что позволит увеличить объем производства. Пока у компании есть проблемы с денежным потоком и выплатой дивидендов. Дивиденды за 2023 год составят около 3 рублей на акцию. Дебиторская задолженность достигла 55 млрд рублей, возможно, это задолженность Сибура перед компанией. В целом, перспективы компании связаны с расширением бизнеса и увеличением доли прибыли, направляемой на дивиденды.


📻 Новости и прогнозы на постоянной основе. Подписывайтесь 

⏱️ Информацию о наших стратегиях можете посмотреть в профиле.

#Нижнекамскнефтехим #NKNC #NKNCP"
2024-04-12T09:39:56.362+03:00,"​​​​ ⚗️Нижнекамскнефтехим {$NKNC}, {$NKNCP} - краткий обзор результатов за 2023й год

▫️Капитализация: 191 млрд / 107,5₽ за АО, 79₽ за АП
▫️Выручка 2023: 236,2 млрд
▫️Операционная прибыль: 39,2 млрд
▫️скор. прибыль: 35,9 млрд
▫️P/E 2023: 5,3
▫️P/B: 0,6

👉 Компания так и не раскрыла результаты МСФО за 2022г, но отчётность за 2023й год вышла даже лучше ожиданий.

✅ Уже в 2024м году планируется завершение строительства этиленового комплекса ЭП-600, который поможет существенно нарастить объём выпуска продукции. Судя по показателям компании, новые мощности вряд ли будут простаивать и со сбытом проблем нет, главное, чтобы небыло существенных сдвигов по срокам.

👉 Чистый долг компании составил 123 млрд рублей на конец 2023 года. Долговая нагрузка некритичная для компании, но её достаточно, чтобы не платить «нормальные» дивиденды.

👉 Согласно дивидендной политике, выплаты по итогам 2023 года будут мизерными к текущим ценам. при распределении около 15% от скорректированной чистой прибыли по МСФО, дивиденды составят около 3 рублей на акцию (3,8% к текущей цене префов).

❌ Дебиторская задолженность выросла уже почти до 55 млрд рублей, вполне вероятно, что это задолженность Сибура, который таким образом вытаскивает деньги с дочерней компании.

Вывод:
На горизонте 1-2 лет, бизнес ощутимо прибавит в производственных мощностях (не факт, что без задержек, но будем оптимистами). При этом, компания пока в глубоком убытке по FCF из-за высоких капитальных затрат, наращивает долг, платит мизерные дивиденды и далеко не факт, что интересы миноритариев будут соблюдены в будущем.

В целом, если рассматривать префы, то они стоят недорого, однако если покупать, то только в расчёте на масштабирование бизнеса и скорое увеличение % распределения прибыли на дивиденды. Лично я держусь в стороне.

Не является индивидуальной инвестиционной рекомендацией

#обзор #НКНХ #NKNC"
2024-04-12T07:34:44.754+03:00,{$NKNCP}  когда по 70 будет?
2024-04-11T18:50:06.673+03:00,"{$NKNCP}
2. Содержание сообщения
2.1. Дата принятия председателем совета директоров (наблюдательного совета) эмитента решения о проведении заседания совета директоров (наблюдательного совета) эмитента или дата принятия иного решения, которое в соответствии с уставом эмитента, его внутренними документами или обычаями делового оборота является основанием для проведения заседания совета директоров (наблюдательного совета) эмитента: 11 апреля 2024 г.
2.2. Дата проведения заседания совета директоров (наблюдательного совета) эмитента: 23 апреля 2024 г.
2.3. Повестка дня заседания совета директоров (наблюдательного совета) эмитента:
1. Совершенствование системы корпоративного управления ПАО «Нижнекамскнефтехим»."
2024-04-10T16:01:05.221+03:00,"{$NKNCP} усреднила , держу в долгосрок 🤝🏽
Не иир"
2024-04-10T13:44:56.747+03:00,"{$NKNCP} погнали уже , старая кляча"
