time,text
2024-04-13T15:56:11.689+03:00,"Императорские инвестидеи? Да полно!

{$NLMK}  {$LSRG}"
2024-04-13T14:58:45.442+03:00,"Итог недели 08 марта – 14 марта 

Понедельник: 10 000 руб.
#AGRO отмена дивидендов из-за технических проблем с выплатой. {$NLMK} СД по дивидендам сегодня, но пока ничего не объявили, возможно, на вечерке появится инфа, либо на днях. #TRMK СД по дивидендам 18 апреля. #AQUA проливы ловил. #ENPG разгоняют из-за роста цены алюминия. {$ALRS} СД по дивидендам 12 апреля. #UPRO за объемом зашел, а когда уже вышел вышла новость: Путин поручил до 1 июня представить предложения по господдержке организаций, имущество которых находится во временном управлении - кремль. {$MAGN} думал за НЛМК пойдет, но как-то вяло, поэтому вышел. #AFKS заходил на пробитие уровня, но как-то постоянно откатывали, поэтому выходил из позиции, потом зачем-то шортил, но ладно, убыток допустимый.

Вторник: 3 000 руб.
{$POSI} отчет шортанул, хоть в целом отчет хороший. {$OZON} шортил после отчета. #OGKB поймал выстрел после публикации: электростанции огк-2 в 1 квартале увеличили выработку электроэнергии на 19,1%, до 16,8 млрд квт.ч. {$ASTR} начали все писать про будущее SPO, только вот мне очень обидно, когда на конференции прямо заявили, что в будущем могут рассмотреть SPO, но реакция в тот была слабая. {$GMKN} гонят наверх после сплита, но пока заработать не получается. {$GAZP} красивая формация была, но потом вставили айсберг и движение заглохло.

Среда: 4 300 руб. 
RKKE в 12:00 был запланирован пуск ракеты, но что-то поломалось. {$BANE} шортил от уровня  3415. SGZH погасили облигации. #MGKL СД по дивидендам 18 апреля. {$SNGSP} подобрал на откате, но надо было смело сидеть дальше и забирать хорошее движение. $SCVB шорт на будущей допке для покупки банка. IRKT зашел объем. {$MTSS} быстрый шорт. #MVID в моменте заходил объем, но движение дальше не было. 

{$NLMK} рекомендовали дивиденды в размере 25,43 руб. на акцию, я в этом принимать участие не стал. На мой взгляд в рамках ожидаемого объявили размер дивидендов, поэтому принял решение просто посмотреть со стороны.

Четверг: -1 200 руб
#AQUA Производственное подразделение ""Инарктики"" в 2023 г. увеличило выручку на 18,5%, до 28,2 млрд руб. #OGKB, #LIFE и ##GRO в моменте заходил объем. {$GAZP} хороший уровень 166 рублей, пока еще в сделке, но есть определенные ожидания. LIFE Мишустин призвал  увеличить долю российских лекарств на рынке до 70% к 2030 г. {$ASTR} завтра истекает lock-up период.

Пятница: -500 руб
Очень много сделок, но движений нет... На вечерке многих {$VKCO} поразил.

Итог: 16 000 руб."
2024-04-13T14:44:16.530+03:00,"Как думаете, {$NLMK} в понедельник будет стрелять так же как в четверг на новостях о дивидендах? Зашел на 20%, вот думаю может еще на 20 добрать"
2024-04-13T14:26:27.101+03:00,"{$NLMK} ожидаю рост до 250  , 260 к выплатам дивидендов"
2024-04-13T12:45:20.418+03:00,"{$NLMK} Подведём итоги.🥳
8.04.Из 5 ти 5ть.
9.04.Из 4 х 4ре.
10.04.Из 6ти 4ре.
11.04 Из 5ти 3и.
12.04.Из 3х 2е.
Прекрасно поработали."
2024-04-13T12:42:47.757+03:00,"#5_событий_недели

Отмечу следующие события уходящей недели:

— IPO Займера 💵. На этой неделе прошло очередное IPO - МФО Займера. IPO прошло по нижней границе в 235 рублей и закрылось на таком же уровне. Я поучаствовал в данном IPO, но ничего не заработал, ну и ничего страшного.

— Дивиденды НЛМК 💿. Закончилась двухлетняя дивидендная пауза у компании НЛМК, которая объявила дивиденды в 25 рублей (11% дивидендная доходность). Я рассчитывал минимум на 30 рублей, но рынок рад и такой сумме. На следующей неделе напишу почему принял решение о продаже акции по 224 рубля.

— Сплит Норникеля 💿. Вслед за Транснефтью еще одна компания провела сплит своих акций - Норильский никель. Сбылась мечта многих инвесторов, что теперь можно купить акции по 160 рублей, правда акций стало в 100 раз больше. Мне акции компании пока совсем неинтересны.

— Золото по 2400. Новые хаи штурмует золото, пощупав отметки выше 2400 долларов. Даже в Госдуме обратили на это внимание и пришли с новым НДПИ к золотодобытчикам. Продолжаю держать акции Полюса ⛏ в портфеле.

— Предпоследние отчеты. Почти все компании уже отчитались за 2023 год, на этой неделе были отчеты у Глобалтранса, АФК и Озона. Осталось дождаться отчетов от Газпрома и Сургута, а впереди уже будут отчеты компаний за 1 квартал 2024 года.


{$RU000A103CW8} {$NLMK} {$PLZL} {$GMKN}"
2024-04-13T12:07:09.733+03:00,"🇷🇺 Итоги недели 8-12 апреля

Российский рынок завершает неделю на позитивной ноте. {$IMOEXF} Индекс МосБиржи старается закрепиться выше 3450 пунктов, обновляя максимумы с февраля 2022 года, ведомый спросом на ликвидные бумаги сырьевых секторов.

☝️ Лидеры роста ☝️

Наиболее сильно выглядел ряд бумаг металлургического сектора - в первую очередь акции {$GMKN} НорНикеля, {$RUAL} РУСАЛа и {$PLZL} Полюса. Их переоценке способствовал уверенный рост цен на драгоценные и промышленные металлы. 

Рекомендация {$NLMK} СД НЛМК выплатить дивиденды по итогам 2023 года в размере 25,43 руб. вернула бумаги в число привлекательных дивидендных идей. 

В нефтегазовом секторе рост был более сегментированным, фокусируясь в «весовых» акциях {$LKOH} ЛУКОЙЛА, {$GAZP} Газпрома и в бумагах {$BANE} Башнефти, обновивших максимумы с 2017 года.
Подросли дивидендные бумаги, в частности, акции {$LSRG} ЛСР и расписки {$HHRU} HeadHunter, а также Банк Санкт-Петербург, Магнит, МТС, Аэрофлот. 

👇Снижались на этой неделе👇 

В аутсайдерах недели – безыдейный на фоне слабости рынка угля {$MTLR} Мечел и откатившиеся от пиков {$OZON} и {$VSMO} ВСМПО.

📍Сохраняем позитивный взгляд на российский рынок акций. Ключевой поддержкой рынку выступают стартующий дивидендный сезон, ожидания отчетностей за l квартал, а также дорогая нефть. Рассчитываем на движение индекса МосБиржи на следующей неделе в зону 3500+ пунктов.
💡 Аналитический Центр ПСБ

🎁Тинькофф Премиум БЕСПЛАТНО👉👉👉 https://www.tinkoff.ru/baf/2sAG2S4QnYY"
2024-04-13T11:55:28.066+03:00,"Неделька удалась 😎спасибо {$NLMK} , маржинальной торговле и дивидендам ☺
Из подарков, как всегда {$IRAO} и {$HYDR} ☺
Всем успехов на следующей недели 😉"
2024-04-13T11:18:24.435+03:00,"Добрый день!
🤔 Статистика за эту неделю в фьючерсном эксперименте:

   - Золото {$GDM4}
     Статус: смешный
     За неделю +7.7%
     За всё время +57.75%

   - Юань/рубль {$CNYRUBF}
     Статус: лонг
     За неделю -0.38%
     За всё время -0.68%

   Комиссия за неделю - 0.13%


    📈Стратегия за неделю принесла +2.02%
 √ Обновленный состав портфель: 
 {$UGLD} {$ROSN} {$RTKMP} {$TATNP} {$MAGN} {$NLMK} {$MTSS} {$DELI}
 
  Друзья, у меня к вам пара вопросов:
 1. Нужна ли вам фьючерсная стратегия, у которой рекомендуемую сумму составляет 40 000–50 000 рублей и доходностью 50–100%?(Торговля фьючерсами на акции пока недоступна)
 2. Нужно ли выкладывать посты о сделках в стратегии, идеях и новостях?

Упомянули в @Tinkoff_Investments, написали о сделке {$WUSH}, принесшей 31% доходности, в которую было инвестировано 10-15% от депо.

[&Успех в одно касание](https://www.tinkoff.ru/invest/strategies/f9a975a1-c173-48aa-9fd7-9a41e821c711)

#инвестиции #рынок #стратегия #пульс #новичкам #фьючерс #автоследование #фьючЭксперимент #акции"
2024-04-13T10:27:39.586+03:00,"{$RUAL} {$GMKN} Утро субботы началось со снижения на -1,65% и -1,23%. А всего то амеры ввели санкции на и так перегретые компании. Выставил продажу на 42,6 и соответственно на 164,5 с учетом закрытия основной торговой сессии на пятничный вечер. Понедельник ожидаю многообещающий в первой половине дня. Так же касаемо {$NLMK} предполагаю выходы из позиций по {$RUAL}  и {$GMKN} и заход в НЛМК с бурным ростом и резким отскоком в последующем. Что думаете?"
