time,text
2024-04-13T10:08:30.136+03:00,{$NMTP} до 11 дойдёт?
2024-04-13T09:44:51.690+03:00,"Грузооборот портов России по итогам января-марта текущего года сократился на 1,7% до 220 млн тонн. 

При этом порты Балтийского бассейна нарастили перевалку контейнеров в первом квартале 2024 года в 2 раза до 409 тыс. TEU. Оборот Азово-Черноморского бассейна вырос на 7% к уровню годом ранее до 278 тыс. TEU. Контейнерооборот прочих бассейнов остается в минусе: Дальневосточный (-3,5%), Арктический (-7%), Каспийский (-33%).

Перевалка наливных грузов упала на 1% год к году до 116 млн тонн, сухих – на 2,5% до 104 млн тонн. В разрезе портов: Балтийский (+4%), Каспийский (+40%), Азово-Черноморский бассейн (-4%), Арктический (-4%), Дальневосточный (-5%).

{$FLOT} {$NMTP} {$FESH} {$NOMP}"
2024-04-13T00:14:44.264+03:00,"{$GMKN} Китайский рынок сегодня куда круче американского, перенаправят просто поставки, те страны которые постовляли китаю будут постовлять сша а освободившуюся нишу из РФ в китай, но в понедельник всё равно могут укатать, хотя кто знает, {$NMTP} когда танкер взорвали дал чуть ли не 100% в понедельник после новостей в верх"
2024-04-12T23:10:55.186+03:00,{$NMTP} укатали собаки
2024-04-12T17:44:01.240+03:00,{$NMTP} Шортисты держим строй
2024-04-12T17:22:37.258+03:00,"4378% в Тинькове с начала торговли тут😉🤑🚀

Начало: 29 января 2023 г. со 100 000р
Цель: 10🍋 (сейчас 4 480 000 руб.) Без выводов и пополнений!

Минимальное изменение счета с последнего обзора - не хватает понятных идей которые можно обьемно купить и взять хорошее движение! Рынок очень «рваный»! За последнюю неделю получил несколько обидных стопов😭 По рынку:

{$NLMK} НЛМК в свой «тяжести» напоминает чем то Транснефть…Много продаж🤦🏻‍♂️ По фундаменталу уже 235 как минимум должны были быть на сегодня, к дивам в мае мин цель 240-250!

{$MOEX} Мосбиржа и {$BSPB} БСП - это 2 бумаги которые на «шортах» могут тащить к див отсечкам! Они очень легкие, в отличие от НЛМК! В обеих может сложиться «вынос» как в ЛСР!

{$YNDX} Яндекс может пробить 4000, красиво поджимается на часовике!

{$GLTR} GLTR все также нравится чисто технически в пробое 800-818, хотя и понимаю, что пока мы торгуем расписками, то дивидендов нам скорее всего не видать! Мутная история, но как раз это и может двинуть бумагу выше😉

{$ROSN} Роснефть очень тяжелая, но кажется, что этой весной надо уходить выше 600! Слежу 590 и 600!

{$GMKN} ГМК Норникель и {$RUAL} Русал - две крупные истории которые я упустил, не ожидал такого роста! Думаю покупать поздно - нужна остановка/откат и затем будет видно!

{$ZAYM} Займер не удивил на IPO! Везде снимут последние штаны - и через кредит и через биржу😅

{$SNGS} Многие стали открыто говорить о недооценке Сургута обычки, возможно и сработает через проход 32! Но уровни тут значения не имеют, Сургут обычка «стреляет» редко, но это становится всем понятно по аномальным обьемам…

{$LEAS} Европлан - в него я верю среднесрочно, но это может занять время (бумагу нужно аккамулировать крупным игрокам), а также {$NMTP} НМТП - хоть и получил тут СТОП, все равно верю в уход выше 13 - готов учавствовать когда будут выносить «шорты»!

{$PLZL} Полюс одна из самых понятных и интересных историй последнего времени…Покупал по 11600 и сдал очень рано🤦🏻‍♂️ Прокси от роста золота, жду коррекцию и Полюса и золота! Пока писал увидел золото по 2434 - дикий бычий тренд! Но слишком вертикально растет! 

В целом рынок просто переоценивает «забытые акции»… Вопрос кто следующий?! Все написанное - личное мнение автора! Удачи в торгах🙏🏻"
2024-04-12T16:18:35.432+03:00,"Неделю заканчиваю достаточно слабо. Заработать удалось олоко 3% к депозиту 🤏

Очень, ну прям очень часто набираю позицию, держу несколько минут, после чего закрываю в 0 или даже в минус, а спустя пару минут наблюдаю за ракетой в акции...

Вывод с этой недели: набирать надо во время консолидации по чуть-чуть. Так и средняя будет лучше и в целом достаточно безопасный трейд, если с объёмами не борщить

Из интересного: сегодня утром взял {$CARM}, в ожидании небольшого разгона, сразу начали заходить объемы, я еще налился, но на импульсе не сдал в хороший плюс...
В итоге акция откатила и я по чуть-чуть всё раздал в течении часа (скрин 2). Ликвидности конечно не хватает в данной акции. И да, там робот на продажу стоит, который и давил цену всё утро...

Сегодня немного заработал на {$LNZL}, которая росла за {$LNZLP} на фоне роста золота в целом.
Но да, скинул очень рано, а вторую вообще закрыл в минус перед ракетой 🤦‍♂️
Прям даже фомо словил...

Хороший профит забрал на {$NMTP}, технически понравилась акция, как начали заходить объемы, зашёл по движению. Так же слежу за {$ROLO}, сопротивление пробили, вполне можем сходить выше

Участвовал в IPO {$ZAYM}
Это первое IPO, которое я закрыл в 0 (даже в минус, если учитывать комиссию). Не могу сказать что оно прям неудачное, но да, я ожидал большего

Самый убыточный тикер за неделю – {$RNFT}
Лез туда, не знаю куда. Я это так называю. Хотя да, на ней можно было неплохо заработать. Но и наказала она многих...
 

#учу_в_пульсе #псвп  #прояви_себя_в_пульсе #трейдинг #новичок #новичкам #акции #хочу_в_дайджест 




Всем хороших выходных ✌️"
2024-04-12T16:14:24.804+03:00,"Рост неизбежен из-за конфликта между Израилем и Ираном.
{$FLOT} {$NMTP}"
2024-04-12T16:12:20.913+03:00,"{$NMTP} Скоро полетит, нефть уже полетела."
2024-04-12T15:49:46.884+03:00,"Если начнутся военные действия на ближнем востоке, будет дорожать нефть и морские перевозки этой нефти, что впринципе мы уже наблюдаем.
{$LKOH} {$FLOT} {$NMTP}"
