time,text
2024-04-13T16:28:47.258+03:00,"✅Итоги недели по портфелю 💼

⚠️Доходность за 5 торговых дней составила 39060 рублей.

🟢Лидеры роста:
-Полюс золото + 9,1к {$PLZL}
-Норникель +7,8к {$GMKN}
-Золото +5,6к {$GLDRUB_TOM}
-Лукойл +3.3к {$LKOH}
-Новатэк +3к {$NVTK}

🔴Лидеры падения

-Тинькофф банк -303р {$TCSG}
-Транснефть -207р {$TRNFP}
-Белуга -186р {$BELU}
-Московская биржа -62р {$MOEX}
  

Дивиденды: +2600 ( чистыми)

Купоны : +280р

Больше информации у меня на канале ❤️"
2024-04-13T16:11:41.427+03:00,"#норка #норникель #норильский_никель
В ПОСТЕ МОИ МЫСЛИ И НЕ ИНДИВИДУАЛЬНАЯ ИНВЕСТИЦИОННАЯ РЕКОМЕНДАЦИЯ
Обещанный обзор {$GMKN} и превращение его в ЛЕГЕНДАРНОГО ""ТИНОРОС"", то есть объединение норки + {$TCSG} + #росбанк
Гмк норникель добывает медь, палладий (1 место в мире 40% от мировой), никель (1 место в мире), платина (4 место в мире), золото, серебро, кобальт и другие цветные металлы, гигант на рынке мировом, САНКЦИИ поэтому так долго не вводят
ОТЧЁТ ЗА 2023 год к 2022 году
Добыча осталась на уровнях прошлых лет
Выручка выросла на 4%( в основном от девальвации рубля, акции норки хэдж от девальвации)
Операционная прибыль снизилась на 13% до 474 млрд
Чистая прибыль снизилась в 2 раза до. 210 млрд руб (долги компании в валюте, поэтому переоцены в сторону роста), но прибыль есть, это не убыток
Чистый долг 679 млрд руб
Рентабельность 48%, очень высокая!!!
ПЕРСПЕКТИВЫ: инвестиционная программа предусматривает увеличение добычи всех металлов более 25% к 2030 году, большие капексы в 2023 и 2024 предусматривают отдачу уже в 2025 году и далее
Покупка  ткс ИНТЕРРОСОМ предусматривает за собой ПРОДАЖУ драгоценных металлов через банк физикам и рост показателей, ТКС будут доить на дивы в скором времени для доходов ИНТЕРРОСА ПОТАНИНА, норникель занялся добычей лития и будет делать батареи для элетротранспорта совместно с РОСАТОМ,
литий тоже будет продавать в Китай и другие страны
МИНУСЫ: истёк срок соглашения мажоритарных акционеров ПОТАНИНА 37%  И ДЕРИПАСКИ 26.4%, поэтому дивиденды нестабильны, и врят ли будут в 2024 году, дальнейшее падение цен на металлы, САНКЦИИ не считаю минусом, а даже плюсом для компании
Объединение ТКС и НОРКИ считаю НЕВОЗМОЖНЫМ потому что ПОТАНИН не имеет контрольную долю акций, будет  просто доить на дивы тинек
Мой взляд на норникель позитивные,👍 цены на металлы на дне (платина, палладий) дальше только вверх на росте мировой инфляции🚀 докупаю норку на просадках, как и другие голубые фишки РФ {$NVTK} {$ROSN} {$TATN} {$SIBN} {$LKOH}  , санкции на норникель приведут к х2х3х4 на в цене на металлы, а сбыть такие ценные ресурсы не составляет проблем, тем более сейчас более 50% идёт уже в Азию👍 лайк, подписка, попадание в топ ленты #пульс"
2024-04-13T16:03:47.012+03:00,"{$NVTK} я с Вами согласен. Она как то вяло поднимается но быстро упаскаеться и это плохо. Я бы сказал по другому, ругаться не хочеться."
2024-04-13T15:31:54.699+03:00,"Снова здрасьте! 
Брокерский счет составляет 1093398₽. Разница с прошлой неделей составляет +17000₽
Еженедельное пополнение на 7500₽
Также пришли дивиденды {$NVTK} 2028₽

Покупки на этой неделе:
•Новичок в моей команде {$SNGSP} 300 акций 20412₽ (понимаю что дороговато и еще не понятно будут ли дивиденды, но все мы ждем надеемся и верим. Размер дивов космический 18% прогнозируют, но взял я не только по этой причине, также ожидаю ослабление рубля к доллару. Как защитный актив от девальвации рубля+дивидендная история=welcome!!!

•{$NVTK} 2 акции 2575₽ (практически реинвестировал, то что получил с дивов. Добрал эту компанию до отметки в 50 акций и сей час эту историю временно ставлю на паузу. Жду хороших новостей и новых драйверов, либо нового дна🤪)

•{$TCSG} 3 акции 9394₽ ( докупаю по-немногу пока позиция в минусе)

•{$FLOT} 50 акций 6575₽ (вроде бы нашли они там иной путь транспортировки нефти: перегрузка с танкера на танкер в Омане. Думаю все будет впорядке и жду дивидендов)

•{$TATN} 3 акции 2130₽ (увеличиваю долю, а то менее 1% в портфеле)

•{$CHMF} 3 акции 5509₽ (С компанией все хорошо, дивиденды утверждены. Жду. Цены уже высокие)

•{$TGLD} 88 лотов 797₽ (смотрю цены на золото  и плачу🥺 вспомнил легендарную игру Warcraft 3 - «где работяги твердят нужно больше золота!», так что за мной не повторять😂)

Впервые поучаствовал в IPO {$ZAYM}  (из 20000₽ мне всего выделили 10 акций на сумму 2350₽🤷🏾 На данный момент небольшой минус)

Остаток свободного кеша 17687₽ вложу на следующей неделе!

#ИндексIMOEX к концу недели закрылся на отметке 3456 пунктов. Коррекцией и не пахнет. На следующей недели вероятно покорим отметку в 3500 пунктов. 

#BRENT на неделе цена на нефть превысила 92,5$ впервые с октября 2023 и 12 апреля 2024 закрылась на 2,17% ниже, 90,5$. Цены на нефть растут в ожидании перебоев с поставками на Ближнем Востоке.

#XAU золото продолжает обновлять исторические максимумы: $2423 за унцию. Но так же 12 апреля отскочила вниз и закрылась на отметке в $2343 (-3,41%).

#BTC с $70905 упал более чем на 7%, $66514.

#Антончик_инвестирует"
2024-04-13T15:04:17.241+03:00,{$NVTK} когда там уже 1250?
2024-04-13T14:44:33.125+03:00,"{$NGJ4} {$FLOT} {$NVTK} {$GAZP} {$EURRUB}  Канцлер, который войдёт в историю :)"
2024-04-13T14:41:20.212+03:00,"#сбер В ПОСТЕ МОЁ МНЕНИЕ И НЕ ИНДИВИДУАЛЬНАЯ ИНВЕСТИЦИОННАЯ РЕКОМЕНДАЦИЯ
Долгожданный обзор {$SBER} {$SBERP} акция и компания РФ, бизнес в основном в РФ, не депозитарная расписка, 1 место среди банков РФ с большим отрывом от {$TCSG} {$SVCB} {$VTBR} {$BSPB} и других, почти ПОЛОВИНУ банковского сектора занимает СБЕР!!! 
Отчёт 2023 по МСФО к 2022 году:
Выручка 2.9 трлн руб, РОСТ БОЛЕЕ Х2
Чистая прибыль 1.5трлн руб, рекорд
Коэффициент достаточности капиталла 14%
Кредитный портфель вырос на 25%
Ориентировочные дивы 33 рубля на акцию (это не точно, ожидаю выше от 40 руб на акцию при превышение див политики более 50% прибыли, 70% или 80%)
ПЕРСПЕКТИВЫ: рост небанковского сектора в структуре выручки, это экомистема: развитие ИИ, колонки, телевизоры, операционная система, сбермегамаркет и другое, банк государственный поэтому зальют деньгами при форс мажоре и будет брать деньги с гос контрактов и кредитов
МИНУСЫ: при введении цифрового рубля, надобность в банковском секторе может отпасть, будут ходить денежные потоки прямиком через цб и госуслуги.
Рост резервов банков при неблагоприятной обстановке в стране, а значит и денег для оборота оставаться будет меньше
Мой взляд на сбер позитивный👍ожидаю на след год цену акции 400 руб и более, 2 место среди акции в РФ после {$LKOH} и ДИВЫ стабильные и РАСТУЩИЕ 11-12% базовый прогноз, но думаю будут 15-20% при увеличении % от прибыли на дивы (но это не точно)
Считаю однозначно в портфеле должны быть лукойл, сбер на 5% капитала не считая других голубых фишек {$NVTK} {$GAZP} {$SIBN} {$TATN} {$SNGSP} {$ROSN}
Буду брать колл опционы немного в июне под заседание СД, может больше 50% от прибыли дадут дивов🚀лайк, подписка, попадание в топ ленты #пульс🚀"
2024-04-13T14:18:24.982+03:00,"Всем привет 👋
Хомяк потихоньку в деле, иду на перспективу, не спекулянт.
В дальнейшем планирую увеличивать уже имеющиеся по количеству позиции и добавить еще пару новых)
 Советам буду только рада.
Всем побольше капусты 🥬🥬🥬
{$LKOH} , {$CHMF} , {$TATN} , {$MAGN} , {$ASTR} , {$NVTK} , {$AGRO}, {$FLOT}, {$RU000A101QW2}"
2024-04-13T13:49:45.421+03:00,"🇷🇺 Главные новости для инвесторов:

✅ Акции Лукойла - фавориты в нефтегазовом секторе (Атон)

✅ Доходность российского рынка акций в 2024 году составит более 30% (УК «Первая»)

✅ X5 Group в 2024 году планирует двузначный рост выручки (Газпромбанк)

✅ В Минфине РФ ожидают принятия закона о регулировании криптовалют в 2024 году

✅ Президент компании «Астра» {$ASTR} подтвердил планы провести SPO

✅ За неделю после сплита акции Норникеля {$GMKN} взлетели на 10%

✅ Цены на золото снова обновили исторические максимумы {$PLZL} {$POLY}

✅ Henderson рекомендовал дивиденды в размере 30 рублей на акцию (доходность: 3,9%)

✅ МТС-банк официально объявил IPO. Но акции будут предложены в рамках допэмиссии {$MTSS}

✅ Whoosh {$WUSH} разработала функцию мгновенного старта аренды без открытия приложения

✅ Доходы России от экспорта нефти в марте упали на 20% (МЭА) {$LKOH}

✅ 15 апреля Акрон решит по дивидендам за 2023 год

✅ Аэрофлот {$AFLT} в марте увеличил перевозки на 21,2%

✅ Газпром {$GAZP} готовится к поставкам газа в Хабаровский край после 2025 года

✅ Результаты Новатэка {$NVTK} за 1 квартал стали значительным позитивным сюрпризом (Мир инвестиций)

✅ «Займер» провел размещение своих акций по нижней границе — 235 рублей

✅ Лента не смогла договориться о ценах с ключевыми партнерами

✅ Акции Ozon {$OZON} в данный момент оценены справедливо (Финам)

✅ Российские угольные компании сократят добычу в 2024 году

✅ Северсталь подала ходатайство о мировом соглашении по ""делу металлургов""

✅ Цена на нефть поднялась выше 92 долларов за баррель {$ROSN} {$TATN}

✅ Позитивные ожидания по акциям МТС на краткосрочную перспективу сохраняется (Атон)

✅ Индекс Мосбиржи по итогам торгов вырос на 0,49%

🌟 Подписывайтесь на канал, если хотите зарабатывать на инвестициях 🌟

❗️Автор этого поста: @Russian_Stocks❗


#акции #россия #пульс #новости #аналитика #трейдинг #инвестиции"
2024-04-13T13:48:58.063+03:00,"Итого по недели. Неделя ознаменовалась новыми вершинами индекса Мосбиржи. Который в моменте превышал 3460п. Соответственно росли и большинство активов.

Газпром {$GAZP} по ТА двигался в восходящем канале, однако к концу недели развернулся вниз и пробил нижнюю границу в районе 165р. Краткосрочно ожидаю продолжения коррекции после которой возобновление роста к 168р.

Русал {$RUAL} продолжил рост вслед за ценами на алюминий поднявшись выше моей цели в 42р. Позицию закрыл в +2%

Евротранс {$EUTR} забуксовал с возобновлением роста в начале недели, а к её концу и вовсе развернулся вниз. В связи с этим закрыл позицию забрав +6%. Повторно зайду с уровня 240р.

Фармсинтез {$LIFE} продолжил боковую торговлю. А в фироком диапазоне торгуется в канале 4.8÷5.5р. Краткосрочно ожидаю продолжения боковой торговли.

Новатэк {$NVTK} выпустил неплохой отчет. Выручка и добыча увеличились не смотря на санкции и фактическую заморозку Арктик-СПГ2. По ТА актив на месячном графике потерял уже около 25%. И на мой взгляд негатив уже отыгран в цене. Кроме того на месячном графике формируется редкая формация из 8 последовательных красных свечей, что повышает вероятность смены тренда или хорошего отскока. Набрал позицию по активу с целью 1400р.

Эл5-Энерго {$ELFV} по ТА на недели показал отскок на дневном графике после падения. Однако я его пропустил и к концу недели актив вернулся обратно. Открыл спекулятивную позицию с целью 0.65р. 

Не ИИР. Берегите нервы и депозиты. Помните рынок цикличен."
