time,text
2024-04-13T09:12:25.473+03:00,"Ого! С 21 года не видел такого, чтобы весь портфель был зелёного цвета. При условии, как я провожу анализ.)))
   Будет немного обидно, если {$OGKB} уже начал разворот, а я не успел ими закупиться. Но наблюдать это приятно.)"
2024-04-13T00:15:30.178+03:00,"На следующей неделе буду брать {$VSMO} , сейчас акций нет, было две или три сделки на прошлой неделе и в «тучном» акаунте и в этом. Сию бумагу некоторые ждали высоко только потому ,что прежде она уже ходила на резко на север в  День космонавтики - ну, такое….Мы пойдем на 53000, но не сразу - ведь надо сначала закупиться ниже 40000

Поиск аналогий и зависимостей в трейдинге всегда ведет к убыткам. Те, кто пишет подобное в Пульсе, намеренно или нет,- загоняют рыбешку в нужном направлении….и давайте не забывать, что если я сегодня заработала рубль на трейдинге, это значит, что где-то кто-то его потерял, ибо фондовый рынок ликвидность не генерирует, ее приносим туда мы. 

P.S. На этой неделе также закрыла с профитом {$GAZP} и {$OGKB}"
2024-04-12T22:54:46.923+03:00,{$OGKB}🤔
2024-04-12T17:54:20.985+03:00,"{$OGKB}  Вчера пробила вверх трендовую масштаба Daily (синяя на графике). Сегодня сходили на подтверждение.  Сегодняшний день с большой вероятностью закроется свечной моделью «внутренний бар». 

При закреплении Н4 выше максимума сегодняшнего дня можно открывать (или добавлять) длинные позиции.
При закреплении ниже Н4 или Daily минимума сегодняшнего дня – более вероятной будет коррекция. Которая даст нам возможность получить еще более выгодные точки входа.

Первая цель укрепления – это область около 0,62-0,63 (примерно +8+9,5% к текущей цене, синие пунктирные горизонтали на графике), там же верхняя граница восходящего ценового канала Dailу. Ценовой канал на графике обозначен фиолетовыми трендовыми. На этих уровнях можно зафиксировать первую прибыль.

Однако, посмотрим еще на закрытие месяца. Цены находятся в области поддержки масштаба Month. Если в этом таймфрейме будет сформирован признак разворота вверх – можно будет говорить о более высоких ценах и дополнять позицию как среднесрочную.
#теханализ_в_пульсе"
2024-04-12T15:45:25.590+03:00,"{$OGKB} 
По бухбалансу за 9 месяцев 2023 прибыль на акцию составила 14,42 коп. А за 9 2022 - 15,44. Но цена бумаги была год назад 79,4 коп. Выросла от трендовой 50 до максимальной 79. А сейчас находится снова на трендовом уровне 57, что соответствует минимальному уровню более года назад с учётом инфляции. Даже ниже чем ""должно быть"". Отсюда получаем, потенциал роста как минимум в районе 35% на горизонте ""до осени"". В случае хороших див, может уйти сильно выше.
Также видно, что нераспределённая прибыль 55,7 млрд только за 9 мес 2023 против 46,1 за весь 2022 и 44,7 за 2021. За 2021 были рекордные дивы 9,66 коп. За 2022 поменьше. В общем, есть шанс, что за 2023 заплатят очень хорошо.
По теханализу видим, что цена на уровне глобальной трендовой. Уход ниже сразу же сопровождается покупками и переходом выше. Локальные (за полгода) голова и плечи тоже ""говорят"" о направлении вверх. Но теханализ дело не самое точное. Лучше смотреть на ""фундамент"".
У меня средняя 0,33 (брал 2 года назад). Но вот долю хотелось бы увеличить в разы хотя бы до 1%. Поэтому, планирую докупать лесенкой. Часть сейчас. И часть в случае снижения или хотя бы нероста.
Конечно, мы можем чего-то не знать. И могут появиться какие-то сильно негативные новости. Лучше всегда оставить кэш для докупки."
2024-04-12T12:27:12.968+03:00,"{$OGKB} ну кто там хотел деньги на халяву, подавайте на приоритетное право по 0,5563 Пока есть возможность."
2024-04-12T12:19:22.850+03:00,{$OGKB} пробить и закрепиться выше 0.58 было бы хорошим знаком
2024-04-12T09:08:27.629+03:00,"Среди наиболее ликвидных бумаг только {$PLZL} осталось в ТОП-12 акций по итогам 11 апреля🚀

№	Акция	% за День*      % Общий**
1	{$SPBE}          	5,24          	8,0
2	{$ROLO}         3,87          	3,9
3	{$PLZL}          	3,26          	3,3
4	{$HNFG}        	3,05          	3,1
5	{$BSPB}          	2,53          	2,9
6	{$GLTR}          	2,25          	4,0
7	{$SELG}          	2,15          	2,2
8	{$GCHE}        	1,86          	1,9
9	{$OGKB}         	1,75          	2,9
10	{$IRAO}          	1,49          	1,9
11	{$EUTR}          	1,31          	1,3
12	{$DVEC}         	1,27          	4,5
* прирост цены за последний торговый день, %
** непрерывный прирост цены со дня первого закрытия акции в ""+"", %

#ТОП12
#пульс_оцени"
2024-04-12T08:10:16.006+03:00,"Всех приветствую 🫡 

На этой неделе пришли купончики:
{$RU000A106UW3} Делимобиль
{$RU000A104JQ3} Самолет
{$RU000A105QL6} Клс-Трейд
{$RU000A105YF2} Элит строй


Уже перестал ловить эйфорию от этого каждый раз и принимаю, как должное.
Недавно разговаривал с коллегой, который говорит, что торговал на фонде в нулевые , и мол тогда, по облигациям вообще не было купонов. Правда ли это? Может знает кто? 😳

Рынок находится в очень опасной фазе, торгую редко, наконец-то вышел из Евротранса и ВГК
{$EUTR} 
{$OGKB} 
Переложил свои деньги в более надежный {$TATN}  и {$LSNGP} под дивы.

Как и ранее писал, сейчас очень много времени и средств уходят именно в крипту. Потихоньку все изучаю, инвестирую, торгую. Уже поймал там свои первые х5, правда всего от 10$, но я уже рад 😁

Всех с пятницей, хорошего рабочего дня и настроения.

P.s. Фото с Алтайского края😍"
2024-04-12T02:47:41.843+03:00,"Сейчас происходит какой-то безумный рост на фондовом рынке и сейчас больше чем раньше необходимо быть осторожным.

Если у Вас есть акции из этого топа, то подписывайтесь на мой Пульс чтобы не пропустить мои обзоры на эти акции 😎🤙

Напомню лидеров сегодняшнего дня (среди акций 2-3 эшелона) 👇

📈 {$SPBE}    +5.1%
📈 {$HNFG}     +4.9%
📈 {$OGKB}     +3.9%.
📈 {$EUTR}   +3.4%.
📈 {$DVEC}     +2.9%.
📈 {$TRMK}    +2.1%.
📈 {$LENT}    +1.8%.

📉 {$RKKE}     -4.4%.
📉 {$SFIN}     -2.6%.
📉 {$TGKB}      -2.3%.
📉 {$TGKA}     -1.8%.
📉 {$VSMO}     -1.7%.
📉 {$LSRG}     -1.7%.

Частью из них я активно торговал в своих стратегиях. Жмите Ракету, если у вас в портфеле есть какие-то из этих Ракет 🚀

В Пульсе и Ютубе скоро выйдет разбор и этих акций и тех, которые в Мае должны очень неплохо взлететь)) 
Подписывайся, чтобы не пропустить 😉✅"
