time,text
2024-04-13T12:32:42.460+03:00,"{$QIWI} интересно, есть компании {$OZON} {$OKEY} {$FIXP} которые генерируют либо отрицательную либо крайне низкую, по сравнению с капитализацией, чистую прибыль, про {$VKCO} вообще молчу и они не складываются в 2-3 раза. 

НО возьмём {$QIWI}, капитализация компании не изменилась на фоне ликвидации АО ""Киви-банка"", поскольку они её уже продали, АО ""Киви Финанс"" продолжит работать (уже заключили несколько договоров с партнёрами и продолжают вести переговоры с банками), а значит дебиторская задолженность перед QIWI PLC будет исполнена. Также знаем, что в июле по истечению срока ликвидации АО ""Киви банка"", QIWI PLC получит 9 млрд. Действительно, что QIWI PLC, что АО "" Киви Финанс"" сразу вернуться к прежней прибыли не сможет, но при этом есть огромный потенциал, в отличие от вышеперечисленных организаций. 


ОДНАКО акции QIWI PLC сложились в 3 раза, некоторые утверждают, что она банкрот и т.д., но капитализация не изменилась. Та капитализация, которая показана в ""Показателях"" Рассчитывается как кол-во акций умноженные на рыночную цену акций, не учитывая дебиторскую задолженность и интеллектуальную собственность. 

Теперь прошу инвесторов, утверждающих, что она банкрот и т.д. объяснить чем QIWI PLC отличается от вк, фикспрайса и озона и почему QIWI PLC банкрот?"
2024-04-12T22:12:21.002+03:00,"BNY Mellon прекратит обслуживание депозитарной программы O'Key

Банк-депозитарий Bank of New York Mellon уведомил O'Key о расторжении депозитарного соглашения в отношении программы глобальных депозитарных расписок компании. Получение такого уведомления не означает немедленного прекращения действия программы. 
У компании есть 90 дней с момента получения уведомления, чтобы найти новый депозитарий, и ещё как минимум 90 дней на прекращение действия программы в случае, если такой преемник не будет найден.

источник: https://frankmedia.ru/161639
{$OKEY}"
2024-04-12T21:30:24.192+03:00,"{$OKEY} BNY Mellon прекратит обслуживание депозитарной программы O'Key

Банк-депозитарий Bank of New York Mellon уведомил O'Key о расторжении депозитарного соглашения в отношении программы глобальных депозитарных расписок компании. Получение такого уведомления не означает немедленного прекращения действия программы. У компании есть 90 дней с момента получения уведомления, чтобы найти новый депозитарий, и ещё как минимум 90 дней на прекращение действия программы в случае, если такой преемник не будет найден.

💡 frankmedia.ru"
2024-04-12T21:26:48.374+03:00,"#НОВОСТИ 
🆕 Сводка новостей.

🔹 {$MTLRP} {$MTLR} {$RASP} Минэнерго РФ рассчитывает на увеличение поставок угля на восток до 111 млн т в этом году.

🔹 {$FEES} ""Эксперт РА"" присвоило ПАО ""Россети"" рейтинг на уровне ruАAA со стабильным прогнозом.

🔹 {$CHMK} {$MTLRP} {$MTLR} ЧМК Мечела в I квартале сократил чистый убыток по РСБУ в 4 раза.

🔹 {$SOFL} {$YNDX} Softline заключила стратегическое партнерство с Яндексом для расширенной дистрибуции Яндекс Браузера для организаций.

🔹 {$OZON} ХОЛДИНГ ""ВОСТОК ИНВЕСТИЦИИ"" ПРИОБРЕЛ У ФОНДОВ BARING VOSTOK ОКОЛО 28% АКЦИЙ ОНЛАЙН-РЕТЕЙЛЕРА OZON ИЗ - СООБЩЕНИЕ OZON.

🔹 {$OKEY} Настоящим сообщаем, что Компания получила уведомление от своего банка-депозитария the Bank of NY Mellon о намерении расторгнуть действующий депозитарный договор в отношении ГДР Группы.

🔹 В последние несколько дней акции {$GMKN} ГМК привлекли моё внимание своим впечатляющим ростом. Котировки компании выросли на целых +9,08%, что стало одним из самых значительных показателей на рынке. Этот взлет цен связывается с ростом стоимости металлов из корзины продукции ГМК. Однако, существует риск, который следует учитывать: если цены на металлы начнут корректироваться, то и акции ГМК могут потерять свои позиции. Я выражаю опасения относительно перегретости сырьевого рынка и считаю, что входить в покупку акций ГМК с текущих уровней значительный риск. Считаю надо выждать коррекцию цен на металлы и лишь после этого принимать решение."
2024-04-12T21:03:14.549+03:00,"BNY Mellon намерен расторгнуть депозитарное соглашение в отношении программы ГДР ""О’Кей"".

По информации ретейлера, получение такого уведомления не означает немедленного прекращения действия программы глобальных депозитарных расписок.

#новости {$OKEY}"
2024-04-12T19:55:13.915+03:00,"{$OKEY} 
🛍 O’KEY Group S.A. (АО О’КЕЙ ГРУПП)

❕УВЕДОМЛЕНИЕ ДЛЯ АКЦИОНЕРОВ ГК «О’КЕЙ»

Настоящим сообщаем, что Компания получила уведомление от своего банка-депозитария the Bank of NY Mellon о намерении расторгнуть действующий депозитарный договор в отношении ГДР Группы"
2024-04-12T19:30:10.957+03:00,O’KEY Group S.A. АО О’КЕЙ ГРУПП УВЕДОМЛЕНИЕ ДЛЯ АКЦИОНЕРОВ ( https://www.e-disclosure.ru/portal/event.aspx?EventId=M7CKjJ-Aq-AEC55VGmmYtyiQ-B-B ) ГК «О’КЕЙ» {$OKEY}
2024-04-12T15:54:21.132+03:00,"#магнит  В ПОСТЕ МОЁ МНЕНИЕ И НЕ ИНДИВИДУАЛЬНАЯ ИНВЕСТИЦИОННАЯ РЕКОМЕНДАЦИЯ
Просили разобрать на магниты {$MGNT}, сейчас будет😉компания РФ, не депозитарная расписка, 2 место в РФ в продуктовом ритейле после {$FIVE}, конкуренты типа {$FIXP} {$LENT} {$OKEY} не в счёт, потому что по размеру не сопоставимы👍
Отчёт рсбу 2023 год:
Выручка упала на 22%
Чистая прибыль выросла почти в 2 раза, по отношению к 2021 году, 2022 год не беру потому что там почти в ноль сработали
Компания смогла переложить маржу на потребителя, но конкурент пятёрочка и другие забрали часть выручки, не считаю страшным, из года в год перетягивают друг у друга
Перспективы: с каждым годом растёт цена на продукты намного, значит и прибыль и выручка будут увеличиваться, магнит выкупил 21.5% своих акций у нерезидентов, значит все акционеры в большом плюсе👍 прибыль большая, значит дивы прогнозируются в районе 11-13%, напомню что ещё была выплата 6% до этого в этом году, 17% дивов очень заманчиво😉
Минусы: магнит неповоротливая массивная компания, изменений много не заметил за последние годы, может растерять клиентов из за своей отсталости в области инноваций, но это нескоро😉
В итоге держу фьюч лонг {$MNU4} жду роста выше на хаи исторические на высоких дивах и инфляции в РФ, позитивно смотрю на компанию в ближайшем будущем, что думаете пишите ниже😉"
2024-04-12T15:00:15.229+03:00,"🔮 Максимальный рост сводного прогноза за неделю:

1. {$VTBR} - прогнозная цена выросла с 0.04 до 0.05
2. {$UGLD} - прогнозная цена выросла с 1.0 до 1.2
3. {$OKEY} - прогнозная цена выросла с 32 до 34
4. {$RASP} - прогнозная цена выросла с 503 до 525
5. {$YNDX} - прогнозная цена выросла с 4337 до 4464
6. {$FIVE} - прогнозная цена выросла с 3177 до 3266
7. {$RUAL} - прогнозная цена выросла с 44 до 45
8. {$PLZL} - прогнозная цена выросла с 14136 до 14474
9. {$HNFG} - прогнозная цена выросла с 809 до 820
10. {$MGNT} - прогнозная цена выросла с 8076 до 8190

Сводный прогноз, отображается в виджете 'Об инструменте' в терминале Тинькофф Инвестиции и рассчитывается на основании прогнозов ряда инвестдомов и аналитиков.

#forecastweeklyshift #акции"
2024-04-12T13:48:58.821+03:00,"Всем добрый день и профитных сделок, друзья! 
Лонговая неделя получилась, конечно.
Лично у меня много сделок пошло не по плану. Но тем не менее удалось зацепить приз в дневном турнире. 
Продолжаю набивать шишки в трейдинге, с пятницей и удачи!
{$OKEY} #турниры"
2024-04-12T10:10:21.305+03:00,{$OKEY} Сегодня космический день. Нужно в космос лететь....
2024-04-11T21:22:42.732+03:00,{$AFLT} {$SPBE} {$BSPB} {$OKEY} {$PLZL}
2024-04-11T15:10:39.135+03:00,{$AFLT} {$OKEY} {$SVAV} {$ELFV}
2024-04-11T14:31:53.695+03:00,{$OKEY} домой на 32? Спасибо
2024-04-11T14:08:56.599+03:00,{$AFLT} {$OKEY} {$TRMK} {$UGLD} {$SVAV}
2024-04-11T13:47:59.981+03:00,{$AFLT} {$OKEY} {$SVAV} {$RNFT} {$TRMK}
2024-04-11T13:05:48.181+03:00,{$AFLT} {$OKEY} {$UGLD} {$OGKB} {$SPBE}
2024-04-11T12:51:07.730+03:00,{$AFLT} {$OKEY} {$OGKB} {$SPBE} {$EUTR}
2024-04-11T12:03:25.496+03:00,{$AFLT} {$OGKB} {$UGLD} {$BANE} {$OKEY}
2024-04-11T11:00:43.687+03:00,{$AFLT} {$OKEY} {$EUTR} {$TRMK}
2024-04-11T09:36:26.805+03:00,"⚡️ГЛАВНЫЕ НОВОСТИ И СОБЫТИЯ СЕГОДНЯ⚡️

#отчеты#от#ВОСАотчеты и #ВОСА
{$ZAYM} - последний день приема заявок для участия в IPO Микрофинансовой компании ""Займер""
 {$HNFG} - СД Хэндерсон Фэшн Групп. В повестке вопрос об утверждении рекомендаций ВОСА о выплате промежуточных дивидендов по акциям за I кв. 2024 г. и размере таких дивидендов

#новости
 Швейцария пригласила Россию на конференцию по Украине 15-16 июня — NZZ со ссылкой на заявление президента страны 

США ввели экспортные ограничения против российских компаний ""Аэросила"", ""Дельта Аэро"" и ""ОДК-Стар"". Минторг США включил в свои черные списки 3 организации из РФ, 6  из Китая, 2 из ОАЭ

🛢Если Иран столкнется с вражескими угрозами, то его военные могут заблокировать Ормузский пролив. Практически 20% всей нефти в мире проходят через этот пролив. 

🛢Новак поручил нефтяным компаниям максимизировать поставки топлива на внутренний рынок и биржу, активно загружать мощность НПЗ

🏦После отчета по инфляции в США рынки все меньше и меньше ставят на снижение ставки ФРС в июне — BBG

🏦ЕЦБ сохранит ставки без изменений на заседании 11 апреля. — Аналитики

🏦Курс иены опустился ниже отметки 152 за доллар, повысив риск интервенций. Валютные наблюдатели говорят, что иена может упасть еще больше, прежде чем власти вмешаются в ситуацию.

🏦Годовая инфляция в России с 2 по 8 апреля ускорилась до 7,79% с 7,62% неделей ранее.

🏦Рост ВВП РФ в 2024 г может быть чуть выше прогноза и превысить 2,2% — Белоусов

 Совет директоров НЛМК {$NLMK} рекомендовал выплатить дивиденды за 2023 год в размере ₽25,43 на акцию. По текущим ценам это дает 11,5% дивидендной доходности.

💎 Алроса {$ALRS} видит существенный рост спроса на инвестиционные бриллианты

 Газпром нефть {$SIBN} перевела 85% пользовательских устройств (АРМ) на российскую операционную систему Astra Linux разработчика Астра — Интерфакс

 Яндекс {$YNDX} меняет гендиректора. 23 апреля место СЕО МКПАО Яндекс займет Савиновский Артем. С апреля 2022 занимал должность гендиректора Яндекс. Савиновский работает в Яндексе с 2008 года.

Группа О’Кей {$OKEY} продала часть своих участков, выкупленных ранее специально под строительство гипермаркетов 

 Суд принял решение о принудительной ликвидации Киви банка {$QIWI}

СД МГКЛ {$MGKL} 18 апреля решит по дивидендам за 2023 год

 Доминирование Coinbase на рынке США растет - доля рынка выросла до 55% с 38%  — Kaiko"
2024-04-11T01:29:38.245+03:00,"O'Key Group, известный ритейлер, приняла решение о продаже нескольких участков земли, на которых ранее планировалось строительство гипермаркетов. Участки расположены на Минском шоссе в подмосковном городе Одинцово, в селе Винсады Предгорного района Ставропольского края и в Кировском районе города Уфа, включая недостроенное здание гипермаркета. По оценкам генерального директора аналитической компании ""INFOLine"", общая стоимость этой сделки может превысить 400 миллионов рублей. Однако стоит отметить, что на балансе компании все еще остается гипермаркет площадью 14 тысяч квадратных метров, расположенный на улице Раахе в городе Череповец Вологодской области. {$OKEY}"
