time,text
2020-03-31T22:15:41.956+03:00,"{$OPIN} Кто-нибудь в курсе, когда поменяют название тикера этой акции? А то продать не получается."
2020-03-16T11:41:05.227+03:00,"{$OPIN} Короткий анекдот. В мае 2019 выиграла у компании суд по просрочке по ДДУ. В июне 2019 получила сумму неустойки (300 тыс.руб.) на р/с. В ноябре {$OPIN} подаёт жалобу - ничего не знаем, повесток не получали, денег платить не будем (!), продлите срок для подачи апелляции. Я правильно понимаю, что у компании пропадает 300 тыс. со счёта, а она три месяца не знает, куда ушли деньги? Возникают глубокие сомнения в качестве учёта..."
2020-02-26T23:01:31.902+03:00,"ГК САМОЛЁТ 

Сейчас в Тинькофф инвестициях проходит сбор заявок на участие в новом выпуске облигаций, небольшой обзор компании на основе интернета и презентации для инвесторов:

1) Выпуск ожидается на сумму от 3 млрд с купоном около 11% (точно пока не определен).
Сейчас в обращении семь выпусков на более чем 8 млрд рублей. 
В ТИ доступен 7-й выпуск с купоном 12%, торгуется за 104% от номинала. 
Из минуса: все выпуски действующие, ни по одному ещё не дошли до погашения. 

2) рейтинг BBB+ от АКРА

3) Организаторы выпуска известные и крупные - {$VTBR} капитал, ГПБ, {$CBOM}, ПСБ и Совком 

4) работают на, пожалуй, самом крупном рынке недвижимости - ведут 21 проект в московском регионе (Москва + МО) 
По вводу в эксплуатацию в последние годы входят в топ-10 в регионе (2 место) и топ-5 по стране. В этих же рейтингах есть {$PIKK}, {$OPIN}, {$LSRG}

5) из минуса в отчётности считаю рваную динамику выручки за 16-19 года, большую долю заемных средств в капитале и резкий рост чистого долга в 2019 году

В портфель пока брать не буду, нет свободных средств. Но их бумаги входят в мой wish list на включение в портфель"
2020-02-13T16:18:43.255+03:00,{$OPIN} с 8 года в убытках. Как ещё не закрылась банкротством....
2020-02-08T13:21:27.908+03:00,"Строительство недвижимости
{$PIKK} {$OPIN} $ETLN {$LSRG} По прогнозу Минстроя объём строящегося жилья в России должен увеличиться на 50% — на 60 миллионов квадратных метров — и в 2022 году составить 150–160 млн кв. м. Сейчас в стадии строительства находится 102,8 млн кв. м жилой недвижимости."
2020-02-07T20:54:12.538+03:00,"Вот снова старая песня. В тёплую компанию застройщиков {$PIKK}, {$LSRG} и {$OPIN} влился $ETLN, чьи депозитарные расписки теперь торгуются на Мосбирже. Где мы их можем найти? Да везде, кроме Тинькофф. Нежно люблю ТИ за многие вещи, но за избирательные добавление бумаг с {$MOEX} ругал и ругать буду ("
2020-02-05T17:27:02.116+03:00,"{$OPIN} Сам Инград отличная компания, с одними из лучших показателей из застройщиков Москвы, а акция дохлая какая-то. Прям грусть тоска"
2020-02-03T15:51:29.936+03:00,"{$OPIN} Что случилось, почему не двигаемся?"
2020-01-21T13:10:36.643+03:00,"{$OPIN} попробуем
ВТБ предоставит ГК «Инград» проектное финансирование на 3,5 млрд рублей для строительства новых корпусов ЖК «Новое Медведково»
Банк ВТБ и девелоперская группа компаний «Инград» подписали кредитное соглашение о проектном финансировании с использованием эскроу-счетов на сумму до 3,5 млрд рублей для строительства четырех новых корпусов в ЖК «Новое Медведково» в подмосковных Мытищах. Средства будут направлены на строительство новых домов №16, 17, 45 и 46. Ввод жилых домов в эксплуатацию запланирован на 4-й квартал 2021 года.  В ЖК «Новое Медведково» уже построены и заселены 14 корпусов. Открыт детский сад, а также уникальная лингвистическая гимназия №33. На первых этажах жилых домов работают продовольственные магазины, в том числе сетевые магазины «Магнит» и «Пятерочка», салоны красоты, аптека, детский клуб «Наутилус», магазин цветов и другие объекты инфраструктуры. В настоящее время ГК «Инград» ведет реализацию девятнадцати проектов в Москве и Московской области. В 2019 году компания впервые вошла в ежегодный рейтинг 200 крупнейших частных компаний России по версии Forbes. При этом ГК «Инград» возглавила пятёрку самых быстро растущих участников рейтинга. Так, ГК «Инград» стала лидером отрасли по росту выручки в 2018 году, показав значительную положительную динамику (+251%). Выручка компании увеличилась с 15,1 млрд рублей в 2017-м до 53 млрд рублей в 2018 году. Общий объем текущего строительства составляет 1,4 млн кв. м."
2020-01-17T08:10:07.728+03:00,"Тенденции предстоящего года

Основные события произошли 15 января. Послание Путина + отставка правительства. В связи с предстоящими изменениями, мат. капитал и прочие ""бонусы"" для народа поищем бенефициаров. 
Мое мнение, что основными получателями благ будут застройщики {$LSRG} , {$PIKK} . Давно писал что их стоит брать, сейчас обе компании у меня в приличном плюсе. Можно даже рассмотреть {$OPIN} , но компания пока убыточна, риск выше. На руку застройщикам так же играет постепенное снижение ставок.
Почему они? Ответ простой - мат. капитал. Обналичить его не так просто, да и потратить особо не куда, кроме как на недвижимость. Так же подзаработают банки, выдающие большую часть ипотеки {$VTBR} {$SBERP} . Недавно незначительно увеличил долю префах Сбера. Но есть риски, темпы выдачи ипотеки падают, надо внимательно следить за тенденцией. Хотя мат. капитал может её подстегнуть. И реальные доходы населения не особо радуют. По опросам работодателей, многие из них планируют повышать (индексировать) зарплату сотрудникам.
Можно обратить внимание и на ритейлеров {$MGNT} {$FIVE} . Пособия и прочее смогут увеличить потребление. Но я пока лезть в ритейл не хочу, хотя магнит думаю в ближайшее время пробьет 4000 рублей. Жду IPO Вкусвилл.
В целом, покупка акций сейчас точно не может рассматриваться как спекулятивная сделка. Горизонт хотя бы полгода. Есть большой шанс на коррекцию, индекс мосбиржи не будет ежедневно обновлять максимумы.

Почему делаю ставку именно на застройщиков? Это конечно ставка ЦБ, ближайшее заседание в феврале. Жду 6%, тенденции в снижении инфляции продолжают сохраняться.
Как ещё на этом заработать? Конечно же корпоративные облиги. Чуть позже ещё напишу что оптимизацию налогов, докопался до истины)
Выбор облиг большой, сейчас основная позиция в Обуви России. Сейчас привлекательно выглядит первый выпуск, срок погашения ближе, доходность к погашению более 11,5% при в целом неплохо рейтинге ruBBB+ от Эксперт РА. Можно вложиться и подзаработать на снижении ставки. 
Так же следить за самой компанией можно и на бирже, она публичная {$OBUV} , в последнее время чувствует себя неплохо, да ещё и байбек проводит.

По версии аналитиков ВТБ, в цены ОФЗ заложена ставка ЦБ на уровне 5,75%, по данным других аналитиков, 10-летние ОФЗ уже заложена ставка 5,5%.  А ставка по вкладам в топ-10 недавно снизилась менее 6%. Всё это поспособствует росту цен на облигации и в ближайшее время ставка по вкладу 6% будет казаться шикарной."
