time,text
2024-04-12T23:21:57.177+03:00,{$ORUP} думаю скоро покажет как 🚀 взлетает.
2024-04-12T21:18:50.678+03:00,"{$ORUP} Как следует из картотеки дела, рассмотрение апелляции назначено на 2 мая 2024 года. Напомним, что ранее в феврале 2024 года суд принял решение о введении процедуры банкротства в отношении Антона Титова. Короче это долгий процесс, скорее всего всё будет хорошо."
2024-04-12T21:14:08.033+03:00,"{$ORUP} Фабрика S-Tep специализируется на пошиве обуви специального назначения и власти региона рассчитывали перезапустить производство, искали инвестора. В апреле это удалось осуществить. На фабрике появился арендатор ООО « Вектор». Власти региона направили обращение к основному кредитору — ВТБ, с целью рассмотрения возможности заключения долгосрочного договора аренды с компанией «Вектор» с правом на выкуп."
2024-04-12T17:40:21.718+03:00,{$ORUP} когда будет 3 рубля?
2024-04-12T10:26:54.786+03:00,"{$ORUP} кстати, если произойдёт чудо и объявят возврат на мос биржу, то держатели акций автоматом переносятся или заставят продать на внебирже?"
2024-04-12T10:08:27.720+03:00,{$ORUP} когда листинг?)))
2024-04-11T20:11:48.787+03:00,"{$ORUP} коротко  о том как обувь пополняла мою биржевую, свинью копилку"
2024-04-11T19:10:22.365+03:00,{$ORUP} мы в планке
2024-04-11T18:19:55.811+03:00,"{$NVTK} пришли дивы, придерживаюсь идеи - реинвестирую обратно👌 
🔥Акция для тех у кого есть время по моему мнению🔥
Понятный, сырьевой бизнес который не страшно подбирать и усреднять, с востребованным продуктом🧠 
Не пустышка как например {$ORUP} или {$DELI} которая сейчас отлично выросла чисто из-за массмаркета который зашел, но к каршерингу лично у меня как к бизнесу взгляд недоверия (дорогой лизинг + каждый лет 5 необходимо обновлять парк, а что с машинами в каршеринге может произойти за такой срок? Лохмотья останутся) Может и ошибаюсь, но долгосрочные отчеты все расставят.
{$ZAYM} я не участвовал. Краткосрочно возможно интересно, опять же за счет массмаркета. Рассказывают чепуху, что новых клиентов не сильно много приходит потому что они не хотят, мол на старых надежных акцентируются, а затраты на рекламу огромные при этом🥱 предположу, что люди просто сами не идут особо.
раставщики на бирже🤦‍♂️Не исключаю какого нибудь ужесточения со строны ЦБ 
💸Интересно ваше мнение, пишите в комментариях свое видение 🫡"
2024-04-10T21:23:23.325+03:00,{$ORUP} когда нибудь здесь будет памп ?
2024-04-10T12:36:59.419+03:00,{$ORUP} скидывайте по больше
2024-04-10T12:30:05.449+03:00,{$ORUP} что здесь совсем плохо?
