time,text
2024-04-13T16:15:04.212+03:00,"Результаты недели 🚀

На этой неделе много гонял {$RNFT}, там была повышенная волатильность и местами получалось улавливать движения. На чём и удалось забрать топ профит по неделе +1 400 000 руб.

Второй тикер в топе это {$OZON}, который я пошортил после отчета и конфкола, забрав более 500 000 руб. Там и сейчас шортовая картина + пишут, что акции оценены справедливо, а значит расти в данный момент времени не на чем. Стоим на перелой 3700, я думаю вместе со скорым разворотом рынка и озон полетит очень хорошо вниз. Хотя я думаю он может это сделать уже независимо от рынка. Я кстати и сейчас там в шорте.

Остальные сделки там уже по мелочи насобирал.

Топ лось за неделю это {$ALRS}, я её держал в лонге до выхода новостей об СД по распределению прибыли. После новостей я решил добрать к своим 20к лотам, ещё 10к, но случайно в терминале выбрал объём 100к лотов вместо 10 ну и кликнул купить) В итоге позиция стала 77тыс лотов, которую пришлось резать в -400 тыс. руб, так как котировки не пошли в нужном направлении)

В алоре из-за этого в том числе на этой неделе минус. Общий результат за неделю около 1 000 000 руб."
2024-04-13T14:58:45.442+03:00,"Итог недели 08 марта – 14 марта 

Понедельник: 10 000 руб.
#AGRO отмена дивидендов из-за технических проблем с выплатой. {$NLMK} СД по дивидендам сегодня, но пока ничего не объявили, возможно, на вечерке появится инфа, либо на днях. #TRMK СД по дивидендам 18 апреля. #AQUA проливы ловил. #ENPG разгоняют из-за роста цены алюминия. {$ALRS} СД по дивидендам 12 апреля. #UPRO за объемом зашел, а когда уже вышел вышла новость: Путин поручил до 1 июня представить предложения по господдержке организаций, имущество которых находится во временном управлении - кремль. {$MAGN} думал за НЛМК пойдет, но как-то вяло, поэтому вышел. #AFKS заходил на пробитие уровня, но как-то постоянно откатывали, поэтому выходил из позиции, потом зачем-то шортил, но ладно, убыток допустимый.

Вторник: 3 000 руб.
{$POSI} отчет шортанул, хоть в целом отчет хороший. {$OZON} шортил после отчета. #OGKB поймал выстрел после публикации: электростанции огк-2 в 1 квартале увеличили выработку электроэнергии на 19,1%, до 16,8 млрд квт.ч. {$ASTR} начали все писать про будущее SPO, только вот мне очень обидно, когда на конференции прямо заявили, что в будущем могут рассмотреть SPO, но реакция в тот была слабая. {$GMKN} гонят наверх после сплита, но пока заработать не получается. {$GAZP} красивая формация была, но потом вставили айсберг и движение заглохло.

Среда: 4 300 руб. 
RKKE в 12:00 был запланирован пуск ракеты, но что-то поломалось. {$BANE} шортил от уровня  3415. SGZH погасили облигации. #MGKL СД по дивидендам 18 апреля. {$SNGSP} подобрал на откате, но надо было смело сидеть дальше и забирать хорошее движение. $SCVB шорт на будущей допке для покупки банка. IRKT зашел объем. {$MTSS} быстрый шорт. #MVID в моменте заходил объем, но движение дальше не было. 

{$NLMK} рекомендовали дивиденды в размере 25,43 руб. на акцию, я в этом принимать участие не стал. На мой взгляд в рамках ожидаемого объявили размер дивидендов, поэтому принял решение просто посмотреть со стороны.

Четверг: -1 200 руб
#AQUA Производственное подразделение ""Инарктики"" в 2023 г. увеличило выручку на 18,5%, до 28,2 млрд руб. #OGKB, #LIFE и ##GRO в моменте заходил объем. {$GAZP} хороший уровень 166 рублей, пока еще в сделке, но есть определенные ожидания. LIFE Мишустин призвал  увеличить долю российских лекарств на рынке до 70% к 2030 г. {$ASTR} завтра истекает lock-up период.

Пятница: -500 руб
Очень много сделок, но движений нет... На вечерке многих {$VKCO} поразил.

Итог: 16 000 руб."
2024-04-13T14:50:00.866+03:00,"Одни покупают вещи на OZON. А вы можете с OZON получить доход. 

🔵 Ozon Holdings PLC вместе со своими дочерними предприятиями работает как интернет-магазин потребительских товаров различных категорий для широкой публики, в основном в Российской Федерации.

🟣 OZON является компанией роста. И растет обычно быстрее рынка. 
За последние 2 месяца  OZON вырос 🔥 

Компания растет за счет хорошей отчетности за 2023 год. Выручка компании выросла на 53%. Ozon ожидает, что его доля на онлайн-рынке в перспективе составит около 40%. 

↗️Если в 2024 году компании удастся улучшить показатели, акции компании также будут обгонять весь рынок.

10 февраля OZON можно было купить за 2783 рубля. а сейчас продать за 3765 рублей. Ваша доходность составила бы 35%. И всего за 2 месяца. 😱

{$OZON} 

#пульс #инвестиции #акции"
2024-04-13T14:38:42.174+03:00,"КОНФЕРЕНЦИЯ PROFIT

Очень интересная программа, супер спикеры, хорошая площадка и организация. Спасибо большое за приглашение @Malishok___NZT_GIF_PROFIT

Инвестиционные идеи, которые для себя записала: 
•Лукойл {$LKOH}
•Самолет {$SMLT}
•АФК СИСТЕМА {$AFKS}
•Озон {$OZON}
•IT компании из корпоративного рынка и их новые IPO

Про завершающий буллит напомню про наш классный выпуск по ссылке: https://m.youtube.com/watch?si=h-hklTimUuYLOC3P&v=27edsIoOwkY&feature=youtu.be

#инвестидеи #profitconf"
2024-04-13T14:11:55.718+03:00,"Торговый дневник MOEX. Неделя 16: 08.04. – 12.04.24

Что было на неделе.
Отчитались по МСФО 2023 г.: Globaltrans {$GLTR}, Магаданэнерго (MAGE), МГКЛ {$MGKL}, Славнефть-Янос (JNOS), АФК Система {$AFKS}, Ozon {$OZON}, Позитив {$POSI}, Южный Кузбасс (UKUZ).

Globaltrans продолжаю держать, доля не изменилась, остальное вне моего портфеля.

Плюс отчитался в конце прошлой недели ЦМТ (WTCM). Бумага проходит в портфель по цифрам. Начал набор позиции ЦМТ п (WTCMP).

Кроме того, поучаствовал в ППР компании Займер {$ZAYM}, распределение составило 13% от заявки, докупил на открытии по цене размещения. Бумага проходит в портфель по цифрам, буду держать. 

Итого в портфеле сейчас 18 акций.

В портфеле осталось 3 компании, которые еще не отчитались за 2023 г. по МСФО: Сургут, ДВМП и АМЗ.

Сделок по продаже бумаг на этой неделе не было, таблица без изменений. Потихоньку наращиваю позицию в бумагах в соответствии со своей стратегией."
2024-04-13T13:49:45.421+03:00,"🇷🇺 Главные новости для инвесторов:

✅ Акции Лукойла - фавориты в нефтегазовом секторе (Атон)

✅ Доходность российского рынка акций в 2024 году составит более 30% (УК «Первая»)

✅ X5 Group в 2024 году планирует двузначный рост выручки (Газпромбанк)

✅ В Минфине РФ ожидают принятия закона о регулировании криптовалют в 2024 году

✅ Президент компании «Астра» {$ASTR} подтвердил планы провести SPO

✅ За неделю после сплита акции Норникеля {$GMKN} взлетели на 10%

✅ Цены на золото снова обновили исторические максимумы {$PLZL} {$POLY}

✅ Henderson рекомендовал дивиденды в размере 30 рублей на акцию (доходность: 3,9%)

✅ МТС-банк официально объявил IPO. Но акции будут предложены в рамках допэмиссии {$MTSS}

✅ Whoosh {$WUSH} разработала функцию мгновенного старта аренды без открытия приложения

✅ Доходы России от экспорта нефти в марте упали на 20% (МЭА) {$LKOH}

✅ 15 апреля Акрон решит по дивидендам за 2023 год

✅ Аэрофлот {$AFLT} в марте увеличил перевозки на 21,2%

✅ Газпром {$GAZP} готовится к поставкам газа в Хабаровский край после 2025 года

✅ Результаты Новатэка {$NVTK} за 1 квартал стали значительным позитивным сюрпризом (Мир инвестиций)

✅ «Займер» провел размещение своих акций по нижней границе — 235 рублей

✅ Лента не смогла договориться о ценах с ключевыми партнерами

✅ Акции Ozon {$OZON} в данный момент оценены справедливо (Финам)

✅ Российские угольные компании сократят добычу в 2024 году

✅ Северсталь подала ходатайство о мировом соглашении по ""делу металлургов""

✅ Цена на нефть поднялась выше 92 долларов за баррель {$ROSN} {$TATN}

✅ Позитивные ожидания по акциям МТС на краткосрочную перспективу сохраняется (Атон)

✅ Индекс Мосбиржи по итогам торгов вырос на 0,49%

🌟 Подписывайтесь на канал, если хотите зарабатывать на инвестициях 🌟

❗️Автор этого поста: @Russian_Stocks❗


#акции #россия #пульс #новости #аналитика #трейдинг #инвестиции"
2024-04-13T12:51:25.456+03:00,"ДУМКИ ТРЕЙДЕРОВ.💡РУБРИКА. ЧЕМ И КАК ТОРГУЮТ ТРЕЙДЕРЫ❓ ПРОЖАРИ...,Что думаете?...

#FullTimeTrading
#СВИНГ (лимитка)
ЛОНГ {$SPY}
5% ПОЗИЦИЯ
ВХОД: 508.76 (лимитной)
-3% pиска, 2 ATR от 10 EMA W

По панели пpибоpов
{$QQQ} деpжит своб 50 MA 

VVIX сильно удлинен 

Вывод: Мы в зоне нашей покупки потому что:
1. Коpоль SP500 впеpвые за 23 недели паpаболического pоста подошел в своей 10 EMA W (а мы помним пpозакономеpность отскока цены SPY на недельном от 10 и 20 EMA в бычьем тpенде). Кстати, он пока её не коснулся (смотpи гpафик)
2. S5TW пеpепpодан и находится у 15%, 10-20% это зона нашего основного свинга
3. S5FD у 4% - такой аномалии он давно не видел = можем ожидать возвpат цены к 5 MA = потенциальные зеленые дни

Но нам нехватает нескольких пpибоpов:
1. VIX должен коснуться 20
2. NDTW уйти в 10-20%

Как только мы получим эти ключи, в понедельник- втоpник, мы начнем последовательно, согласно стpатегии Зеленый Сад откpывать плечевые позиции в лонг

{$AAPL} молодцом, как мы и ожидали начинает показывать силу к pынку
Вот сейчас, помимо анализа ПП, пpиступаем к поиску акций-супеpкаpов и скидываем ваши вотч-листы на этих выходных
После того как найдем эту математически пpавильную точку входа, я смогу выдать сеpтификаты тем, кто каждый день выполнял пpактику ПП и пpодолжим её делать каждый день

#On_fleek
⭐️ Открыл шорт Ozon {$OZON} по 3701 руб на 10% от портфеля. Краткосрочно. Категория риска: высокая.

Страхую лонговые позици - крипта, американский рынок снизился, много неопределенностей. Непонятно как откроется рынок в понедельник.

#AnTraiding
{$VKCO} небольшую позицию увеличиваю в три раза примерно по 600.
Решил чуть чуть раньше первую покупку сделать ВКонтакте.

Следующий на рост будет тинькофф банк… {$TCSG}

{$VTBR} На большую сумму куплен в Лонг .
Однако сейчас, в другом портфеле пробуют технический шорт со стопом полтора процента и целью до 2%.
Хочу поймать движение красной стрелки на фото .
Мы предполагаем, что акция сначала упадёт проценты на два, прежде чем возьмёт сопротивление выше.
Шорт на небольшую сумму .
Цель всего до 2%.
Не исключаю, что сможем отработать сегодня или в понедельник .

{$PLUG} увеличиваю в три раза до 60 000 $
На 15 000 $ тейк 2% в рамках рубрики от средней

#VTBR напомним, что основная позиция ВТБ банка куплена у меня в Лонг.
В шорт я зашёл в другом портфеле.
Сумма шорта в 10 раз меньше суммы Лонга!
Ни злоупотребляйте !
Иначе все ваши шорты могут быть вынесены уже под конец сегодняшнего дня !

#VKCO теперь средняя ВКонтакте у меня 606 и позиции на 6 000 000 руб.
Я планирую держать на 20 000 000 руб., поэтому следующее увеличение буду делать не скоро.

{$NVTK} официально добавляю в долгосрочный портфель в этом канале. 
Цель 1700 (+31%).
Есть возможность увеличить минимум в два раза чуть позже .

Америка росла без отката долго, поэтому он возможен в ближайшее время.
Нет смысла что-то ловить на таком рынке.
Лучше не спешить, что мы и делаем.
Некоторую часть прибыльных позиций лучше зафиксировать .

#VKCO может отработать по правилам на вечерней сессии.
Если не отработает – первую долю по этой цене можно уже оставить в долгосрочном портфеле .

{$PLUG} сегодня в несколько раз лучше рынка.
Надеюсь он нашел почти свое дно )
Главное не злоупотреблять с размером позиции

#VTBR
Ну а пока ждём ниже на пару процентов )
А если на выходных мир взбудоражит новые военные проблемы, так вообще, в понедельник все цели придут …

⚡ ПРОЖАРКА - присоединяйтесь к ленте и проверим самые интересные #идеи из сокрытых каналов ""трейдеров"""
2024-04-13T12:39:53.780+03:00,"{$OZON} Подведём итоги.🥳
8.04.Из 5 ти 5ть.
9.04.Из 4 х 4ре.
10.04.Из 6ти 4ре.
11.04 Из 5ти 3и.
12.04.Из 3х 2е.
Прекрасно поработали.🥰🥰🥰"
2024-04-13T12:32:42.460+03:00,"{$QIWI} интересно, есть компании {$OZON} {$OKEY} {$FIXP} которые генерируют либо отрицательную либо крайне низкую, по сравнению с капитализацией, чистую прибыль, про {$VKCO} вообще молчу и они не складываются в 2-3 раза. 

НО возьмём {$QIWI}, капитализация компании не изменилась на фоне ликвидации АО ""Киви-банка"", поскольку они её уже продали, АО ""Киви Финанс"" продолжит работать (уже заключили несколько договоров с партнёрами и продолжают вести переговоры с банками), а значит дебиторская задолженность перед QIWI PLC будет исполнена. Также знаем, что в июле по истечению срока ликвидации АО ""Киви банка"", QIWI PLC получит 9 млрд. Действительно, что QIWI PLC, что АО "" Киви Финанс"" сразу вернуться к прежней прибыли не сможет, но при этом есть огромный потенциал, в отличие от вышеперечисленных организаций. 


ОДНАКО акции QIWI PLC сложились в 3 раза, некоторые утверждают, что она банкрот и т.д., но капитализация не изменилась. Та капитализация, которая показана в ""Показателях"" Рассчитывается как кол-во акций умноженные на рыночную цену акций, не учитывая дебиторскую задолженность и интеллектуальную собственность. 

Теперь прошу инвесторов, утверждающих, что она банкрот и т.д. объяснить чем QIWI PLC отличается от вк, фикспрайса и озона и почему QIWI PLC банкрот?"
2024-04-13T12:07:09.733+03:00,"🇷🇺 Итоги недели 8-12 апреля

Российский рынок завершает неделю на позитивной ноте. {$IMOEXF} Индекс МосБиржи старается закрепиться выше 3450 пунктов, обновляя максимумы с февраля 2022 года, ведомый спросом на ликвидные бумаги сырьевых секторов.

☝️ Лидеры роста ☝️

Наиболее сильно выглядел ряд бумаг металлургического сектора - в первую очередь акции {$GMKN} НорНикеля, {$RUAL} РУСАЛа и {$PLZL} Полюса. Их переоценке способствовал уверенный рост цен на драгоценные и промышленные металлы. 

Рекомендация {$NLMK} СД НЛМК выплатить дивиденды по итогам 2023 года в размере 25,43 руб. вернула бумаги в число привлекательных дивидендных идей. 

В нефтегазовом секторе рост был более сегментированным, фокусируясь в «весовых» акциях {$LKOH} ЛУКОЙЛА, {$GAZP} Газпрома и в бумагах {$BANE} Башнефти, обновивших максимумы с 2017 года.
Подросли дивидендные бумаги, в частности, акции {$LSRG} ЛСР и расписки {$HHRU} HeadHunter, а также Банк Санкт-Петербург, Магнит, МТС, Аэрофлот. 

👇Снижались на этой неделе👇 

В аутсайдерах недели – безыдейный на фоне слабости рынка угля {$MTLR} Мечел и откатившиеся от пиков {$OZON} и {$VSMO} ВСМПО.

📍Сохраняем позитивный взгляд на российский рынок акций. Ключевой поддержкой рынку выступают стартующий дивидендный сезон, ожидания отчетностей за l квартал, а также дорогая нефть. Рассчитываем на движение индекса МосБиржи на следующей неделе в зону 3500+ пунктов.
💡 Аналитический Центр ПСБ

🎁Тинькофф Премиум БЕСПЛАТНО👉👉👉 https://www.tinkoff.ru/baf/2sAG2S4QnYY"
