time,text
2024-04-13T16:00:13.197+03:00,"💰ТОП-5 дивидендных акций РФ. Кто платит самые большие дивиденды?
 
Продолжаем богатеть на дивидендах. Скоро начинается дивидендный сезон и самое время посмотреть, какие компании выплачивали (а может быть и собираются продолжать) самые большие дивиденды за последние 5 лет.
 
Отрезок времени очень интересен тем, что тут и ковид и начало специальной военной операции, таймфрейм «черных лебедей» одним словом. 
 
Если вдруг кто-то начал инвестировать вчера, то знайте, что доходность прошлых лет не гарантирует такой же доходности в будущем, но у данных компаний, есть все предпосылки, как минимум, остаться на прежнем уровне.
 
Перейдем к компаниям и посмотрим, какие выплаты были за последние 5 лет и их среднегодовая доходность, поехали, гайз!
 
🔵 Дивиденды за 5 лет и их доходность
 
🏦 Сбербанк (тикер: {$SBER}) 
• Дивиденды – 78,4 руб 
• Доходность за 5 лет – 6,19% 
• За 5 лет рост акции составил 28,53% 
В этом случае на ум приходит поговорка: один раз не…, дальше сами знаете. Ну отменили дивиденды, но все же понимают почему. При чем в этом году дивиденды будут двухзначные, а когда Греф говорил, что прибыль сбера в 2024 году будет выше 2023 года, скептики крутили пальцем у виска, ну что ж, дорогие скептики, посмотрите отчет за 1 квартал 2024 и на цифры, которые демонстрирует Сбербанк. Чистая прибыль 364 млрд и это при ставке ЦБ 16%, то ли еще будет.
 
⛽️ Газпром нефть (тикер: {$SIBN}) 
• Дивиденды – 281,79 руб 
• Доходность за 5 лет – 10,32% 
• За 5 лет рост акции составил 127,09% 
Прекрасная компания, прекрасный менеджмент, но последние новости об изменении структуры управления компании вполне могут иметь характер, как негативный. Будем следить за ситуацией, но к дивидендам в ближайшее время это отношения, в плохом смысле, иметь скорее всего не будет. Газпром, давай, живи.
 
⛽️ Лукойл (тикер: {$LKOH}) 
• Дивиденды – 2 974 руб 
• Доходность за 5 лет – 10,52% 
• За 5 лет рост акции составил 38,34% 
Лукойл и дивиденд, при чем растущий от года к году, можно сказать синонимы. Посмотрим, как долго продлится практика постоянно повышающихся дивидендов.
 
⛽️ Татнефть-ап (тикер: {$TATNP}) 
• Дивиденды – 279,81 руб 
• Доходность за 5 лет – 10,76% 
• За 5 лет рост акции составил 21,26% 
Компания, которая, если может, платит и 75 и 100% от чистой прибыли, остается только пожелать им успехов в ведении своего нелегкого нефтяного бизнеса.
 
🌾 ФосАгро (тикер: {$PHOR}) 
• Дивиденды – 3 225 руб 
• Доходность за 5 лет – 12,26% 
• За 5 лет рост акции составил 184,84% 
Единственное, что жалко, так это то, компания, скорее всего не будет бенефициаром высоких цен на газ, так как Европа себя экономически кастрировала, а цикличность бизнеса, в данный момент, не дает цене акции идти вверх. Но стоить заметить, что сегодняшние цены на удобрения, выше максимумов прошлых хаев, а значит при запуске нового цикла, нас может ждать прекрасная дивидендная история.
 
Прекрасный список компаний, с прекрасными дивидендами. Главное, чтобы не произошло так, что дивиденды отменят, а биржу закроют. 
 
Я же продолжу набирать дивидендные акции в свой портфель, все представленные компании находятся у меня в топ-10, где-то плачет одна Роснефть {$ROSN} , которая не попала в данный список, но у нее есть все перспективы залетать в топы по дивидендам. 

💨 dividends, yeach

🪄 ПРЕМИУМ от Тинькофф БЕСПЛАТНО https://www.tinkoff.ru/baf/5aE4TqnnnH3 👑
                                      +
🪄 БЕСПЛАТНАЯ кредитная карта: 
https://www.tinkoff.ru/baf/46DPL8h7gFk 💳

А ещё вас ждут подарки 🎁 + 🎁 акции крупной компании и многое другое❕

#акции #инвестиции #пульс #новичкам #дивиденды"
2024-04-13T14:58:27.253+03:00,"Как настоящая говяжья голова,я нахватался акции {$PHOR} по 6778
щаааааас как наварюсь   :D"
2024-04-13T14:01:05.479+03:00,"🪙Дивидендный аристократ #1

•Небольшое мнение по поводу компании {$PHOR}  ФосАгро🥝. В этом году ожидаю как минимум 2 выплаты дивидендов в конце 2 и 4 кварталов, не исключаю третью годовую. По анализу компания наращивает ещё более активно производство удобрений, переориентир на внутренний рынок🤹‍♀️ (порядка 12 % роста в этом году пришлось на внутренний рынок) По оценкам инвестдомов рейтинг компании🎟 находится на стабильной строчке. Одна из немногих компаний с частыми выплатами дивидендов и стабильным ростом... 


*Не ИИС 

#инвест #тинькоф #tincoff_capital #tinkoff #неиис #капитал #инвестиции #лучшее #лучшее_в_мире_приложение"
2024-04-13T13:56:50.375+03:00,"Всем солнечной субботы 🏝️

В рамках ежемесячных пополнений, закинул на счет 20 к рублей💰
Закупился дивидендными акциями:

{$SBER} 1 лот 
{$PHOR} 1 лот
{$TRNFP} 2 Лота 
{$ALRS} 3 Лота 
{$MAGN} 4 Лота 
{$ROSN} 2 Лота 
{$TATN} 1 лот

Хотел прикупить {$LKOH}, но сейчас он стоит дороговато. Буду набирать позицию после выплат дивидендов 📉

Считаю данные дивидендные компании топы нашего рынка, которые радуют хорошими выплатами. 
Также, сейчас металлурги возвращаются к выплатам. Думаю, ММК тоже может заявить о более высоких выплатах, чем его визави. 

🎯 Цель на 2024 год получить 40 к дивидендами💰

Ваше мнение по данным акциям?"
2024-04-13T11:31:31.068+03:00,"Обновление данных для системного отчета WEEK_28 - https://www.tinkoff.ru/invest/social/profile/Henry_Ross/cfca9298-4793-4ddd-91e3-2db22af5c9ce/

CBOM идея активирована - https://www.tinkoff.ru/invest/social/profile/Henry_Ross/180873bb-7a60-4032-918f-96dc85a4cc8a/

{$SPBE} закрыта вручную (+3.28%), достигла тейка - https://www.tinkoff.ru/invest/social/profile/Henry_Ross/5981dec9-73f5-4f57-ab4f-0b3f6c427e5f/

{$NKHP} идея активирована - https://www.tinkoff.ru/invest/social/profile/Henry_Ross/eb7c8d5c-98bb-4957-a628-3fb126bb5f6a/

{$PHOR} закрыта вручную (+0.88%), достигла тейка - https://www.tinkoff.ru/invest/social/profile/Henry_Ross/68bcfcb3-5b96-42bd-a93a-0322234d6dc8/

{$BLNG} закрыта вручную (+4.43%) - https://www.tinkoff.ru/invest/social/profile/Henry_Ross/a7690fed-fe8c-407a-b464-5d5daba02031/

{$UNAC} идея активирована - https://www.tinkoff.ru/invest/social/profile/Henry_Ross/bfb746e2-88d7-4518-973f-d16284e9f4ac/

{$UWGN} идея активирована - https://www.tinkoff.ru/invest/social/profile/Henry_Ross/da7379e5-c5ed-411b-8ec5-7aa13abc4fdf/

{$TRMK} закрыта вручную (+4.09%), достигла тейка - https://www.tinkoff.ru/invest/social/profile/Henry_Ross/62506982-4403-4303-9af0-f87827206b88/

{$MRKY} закрыта по тейку (+4.54%) - https://www.tinkoff.ru/invest/social/profile/Henry_Ross/bd2219bf-8502-42ae-8ae1-c3a77c58664d/

{$SGZH} идея активирована - https://www.tinkoff.ru/invest/social/profile/Henry_Ross/343e318c-261d-4030-a83e-c16b8b9b89bd/

IRKT идея активирована - https://www.tinkoff.ru/invest/social/profile/Henry_Ross/e480699c-0686-4059-96fa-73b972f8e95e/

RENI идея активирована - https://www.tinkoff.ru/invest/social/profile/Henry_Ross/36f09d5b-dbed-4fcd-8708-6a8773f573c5/

AMEZ идея активирована - https://www.tinkoff.ru/invest/social/profile/Henry_Ross/5350ba4d-5000-4d72-852d-1c5818d5ffcc/

{$DVEC} закрыта вручную (+3.42%) - https://www.tinkoff.ru/invest/social/profile/Henry_Ross/811952da-9655-430f-ad65-5ab7080567b0/

{$LIFE} идея активирована - https://www.tinkoff.ru/invest/social/profile/Henry_Ross/8d4b4ba6-5f28-425f-a6e2-5a6e2f15f160/

{$TTLK} идея активирована - https://www.tinkoff.ru/invest/social/profile/Henry_Ross/c4699c2e-9aad-45c6-b9d1-b73f3d30c7bb/

MTSS закрыта по стопу (-1.93%) - https://www.tinkoff.ru/invest/social/profile/Henry_Ross/91f7851c-a2f7-41e0-890d-1f9f3bb4d940/

{$OZON} идея активирована  - https://www.tinkoff.ru/invest/social/profile/Henry_Ross/9dfec008-3753-41b7-b656-dfd362a3beac/

WUSH идея не активирована - https://www.tinkoff.ru/invest/social/profile/Henry_Ross/a7c34cc0-62e3-4c29-b7e7-c09f2f5ab6b2/

Итого: 46.07% суммарного показателя процента успешных публикаций для закрытых идей (не является окончательным из-за открытых идей и позиций). Максимальный положительный % 4.54%, отрицательный % -5.32%
** Суммарный показатель % - кф. для определения winrate, не является показателем % чистой прибыли.

#аналитика #рынок #теханализ_в_пульсе #прояви_себя_в_пульсе #теханализ #хочу_в_дайджест #трейдинг #обзор #пульс #акции"
2024-04-13T11:24:39.492+03:00,"Банда, привет!

Что ж, неделя вышла суетная, но ведь суетологов меньше не становится?)
Давайте начнём с высоких материй и $USDRUB. Есть мнение (на наших диванах), и конец недели на это намекал, что сильно долго валюта в таком коридоре не продержится. Как по мне, я вижу сжатую пружину, которая рано или поздно стрельнёт. Поэтому, сильный респект пацанам, кто не забывает регулярно пополнять котлету зелени.👍

Теперь за $GMKN. Один из наших аналитиков сильный параноик (может потому, что у него #рентв 24 часа на фоне?). И этот кадр заявляет, что сплит акций несёт в себе скрытую цель. Как бы не просили мы его снять шапку из фольги, не поддаётся. Но задвигает теорию, что таким образом владельцы хотят нагнать хомяков, чтобы разогнать цену, чтобы кто-то сильно важный смог продать сильно большой пакет бумаг. Ибо одно дело сплиты Теслы с косаря баксов, а другое Норникель, который и по 15 за пачку берут нормально. Короче, пока теория, будем наблюдать.❗️

Что по планам? Потихоньку избавляюсь от нашего народного говна (удобрений же). Сдал под расписку {$KAZT}, {$PHOR}  и $AKRN. Но это не значит, что я в них не верю. Бумаги в затяжном боковике, заработать на них очень не скоро получится. Под замену взял {$ROLO} и $UGLD. Последняя сильно новая на бирже. Общим алгоритмом её не оценить, пришлось вспоминать навыки эмпиризма (тут нужна картинка Сарумана с палантиром). Золото же. Пацаны советуют сейчас делать ставку на него.🤔

Так, теперь по стратегиям:
• [&Фонды - имба!](https://www.tinkoff.ru/invest/strategies/7b3e12b3-e5eb-4066-adf4-03d0429c9655) сделали плюс 1,62% за неделю и 9% за месяц. За последний месяц обгоняем #imoex на 0,28%, #sp500 на 3,45%, #nasdaq100 на 2,57% 
• [&Нейросети тащат!](https://www.tinkoff.ru/invest/strategies/67e59bdd-bbfb-4191-a101-5d02b0c9e0a0) сделала плюс 1,93% за неделю и 8,48% за месяц. За последний месяц обгоняем #imoex на 2,74%, #sp500 на 5,78%, #nasdaq100 на 5,2%
Радостно.😇

Ок, немного за прогнозы по доходности. Когда-то писал, что наш выбор - долгосрок и пассивный доход. Минусы активной торговли для меня перевешивают её возможный доход. С учётом исторического роста рынка, получать один-два процента в неделю роста капитала вполне реально (но на правильных бумагах). То есть, 40% в год цифра хоть и округлённая, но взята не с потолка. Хоть наши стратегии и выполнили её уже на половину, ориентируемся на годовую доходность. Так что, кто ещё хочет без нервов копить на что-либо - #подписывайся_ставь_лайк!

Ладно, на этом будем прощаться.
Всем удачи и на связи!



#пульс_оцени
#хочу_в_дайджест
#аналитика
#дивананализ
#прояви_себя_в_пульсе"
2024-04-12T23:38:43.584+03:00,"💰ТОП-5 дивидендных акций РФ. Кто платит самые большие дивиденды?
 
Продолжаем богатеть на дивидендах. Скоро начинается дивидендный сезон и самое время посмотреть, какие компании выплачивали (а может быть и собираются продолжать) самые большие дивиденды за последние 5 лет.
 
Отрезок времени очень интересен тем, что тут и ковид и начало специальной военной операции, таймфрейм «черных лебедей» одним словом. 
 
Если вдруг кто-то начал инвестировать вчера, то знайте, что доходность прошлых лет не гарантирует такой же доходности в будущем, но у данных компаний, есть все предпосылки, как минимум, остаться на прежнем уровне.
 
Перейдем к компаниям и посмотрим, какие выплаты были за последние 5 лет и их среднегодовая доходность, поехали, гайз!
 
🔵 Дивиденды за 5 лет и их доходность
 
🏦 Сбербанк (тикер: {$SBER}) 
 Дивиденды – 78,4 руб 
 Доходность за 5 лет – 6,19% 
 За 5 лет рост акции составил 28,53% 
В этом случае на ум приходит поговорка: один раз не…, дальше сами знаете. Ну отменили дивиденды, но все же понимают почему. При чем в этом году дивиденды будут двухзначные, а когда Греф говорил, что прибыль сбера в 2024 году будет выше 2023 года, скептики крутили пальцем у виска, ну что ж, дорогие скептики, посмотрите отчет за 1 квартал 2024 и на цифры, которые демонстрирует Сбербанк. Чистая прибыль 364 млрд и это при ставке ЦБ 16%, то ли еще будет.
 
⛽️ Газпром нефть (тикер: {$SIBN}) 
 Дивиденды – 281,79 руб 
 Доходность за 5 лет – 10,32% 
 За 5 лет рост акции составил 127,09% 
Прекрасная компания, прекрасный менеджмент, но последние новости об изменении структуры управления компании вполне могут иметь характер, как негативный. Будем следить за ситуацией, но к дивидендам в ближайшее время это отношения, в плохом смысле, иметь скорее всего не будет. Газпром, давай, живи.
 
⛽️ Лукойл (тикер: {$LKOH}) 
 Дивиденды – 2 974 руб 
 Доходность за 5 лет – 10,52% 
 За 5 лет рост акции составил 38,34% 
Лукойл и дивиденд, при чем растущий от года к году, можно сказать синонимы. Посмотрим, как долго продлится практика постоянно повышающихся дивидендов.
 
⛽️ Татнефть-ап (тикер: {$TATNP}) 
 Дивиденды – 279,81 руб 
 Доходность за 5 лет – 10,76% 
 За 5 лет рост акции составил 21,26% 
Компания, которая, если может, платит и 75 и 100% от чистой прибыли, остается только пожелать им успехов в ведении своего нелегкого нефтяного бизнеса.
 
🌾 ФосАгро (тикер: {$PHOR}) 
 Дивиденды – 3 225 руб 
 Доходность за 5 лет – 12,26% 
 За 5 лет рост акции составил 184,84% 
Единственное, что жалко, так это то, компания, скорее всего не будет бенефициаром высоких цен на газ, так как Европа себя экономически кастрировала, а цикличность бизнеса, в данный момент, не дает цене акции идти вверх. Но стоить заметить, что сегодняшние цены на удобрения, выше максимумов прошлых хаев, а значит при запуске нового цикла, нас может ждать прекрасная дивидендная история.
 
Прекрасный список компаний, с прекрасными дивидендами. Главное, чтобы не произошло так, что дивиденды отменят, а биржу закроют. 
 
Я же продолжу набирать дивидендные акции в свой портфель, все представленные компании находятся у меня в топ-10, где-то плачет одна Роснефть, которая не попала в данный список, но у нее есть все перспективы залетать в топы по дивидендам. 
Кого держите, котлетеры, кого стоит добавить в данный список?"
2024-04-12T22:01:37.743+03:00,{$PHOR} что что случилось
2024-04-12T20:25:28.210+03:00,"✨Как я заработал сегодня 💰 50 000 рублей, брокеру отдал 💸 -13 911 руб. 

{$RNFT} - как обычно шорчу руснефть на задергах вверх, не вижу покупателя крупного, что гнал вверх : +48 046 р.
{$ALRS} - сегодня должен был быть СД по дивам, взял шорт, так как их не будет, надоело ждать) откупил +3 495р.
{$VKCO} - на новости взял, погнали вверх, не закрыл 10к плюсом, зато закрыл +2 673р)
{$SFIN} {$ROLO} {$PHOR} {$TTLK} - эти акции брал по мелочи, нечего рассказать. 
🔴Обидный был минус лензолото, можно было забрать тысяч 30:
{$LNZLP} взял на первом задерге вверх, пошла в откат, не поверил в рост, а она в моменте под 17% была((   -1 679 рублей
{$MGNT} - слегка шортанул, вижу откупают акцию, хотят видеть выше ее  -2 742 рублей.
На другом аккаунте держу шорт {$PLZL} и {$GMKN} 
#доход #прибыль"
2024-04-12T18:32:33.750+03:00,"Всех с Днём космонавтики🚀🛰🛸!

В последнее время не появляюсь в этой «сети», большую часть времени занят работами по участку. Так как скоро лето, из ближайших дел - успеть внукам качели сколотить, если, конечно, они захотят приехать. 

Из новостей: у нас открыли «Пятерочку» - нет, не в честь праздника😂. Раньше у нас было только несколько местных сельпо, потом несколько лет назад появился «Магнит», потом и «Красное и Белое». Для нас это большое событие: стояла очередь в день открытия с утра. Жена мне наказала пойти на разведку, я пришел и из-за большой толпы не смог зайти в магазин. Всем работы прибавилось: теперь приходится сравнивать цены сразу в трёх магазинах, местные сплетни переключились на этот лад!

Все больше скучаю по внукам и жене, созваниваемся с ними каждый день в «Вайбере», у них жизнь кипит, свои новости и заботы. Младший внук заявил, что бросает музыкальную школу. Его пассия увлеклась танцами, он хочет уходить вслед за ней. 
Эх дуришь, парень, дуришь! Так как у внучки теперь свой счёт, родители теперь мотивируют её только новыми акциями, другим не возьмёшь😂. Она прошла на какую-то региональную олимпиаду в финальный тур, заняла призовое место. Родители купили ей {$SBER} и {$OZON}, конечно же, перед непосредственным согласованиями с сией персоной! У них так бурлит жизнь! А я в затворничестве, жизнь одному мне совершенно не близка. 

Развлекаю себя, поездками на лыжах. Если ещё можно будет кататься, прикреплю вам фото с моих поездок. Продолжаю копить внучке на Фосагро {$PHOR}, вышли новости об присвоении наивысшего кредитного рейтинга. Кстати, надо отдать должное Фосагро - они спонсоры почти всех лыжных и биатлонных гонок, а я их очень люблю смотреть, мой интерес разделяет еще и старшая дочь😊.

Также смотрю обучающие видеоуроки по диверсификации портфеля, хочу составить сравнительный список облигаций, если у меня получится сделать все грамотно, я вам прикреплю его.Пока по моему личному анализу самые лучшие - {$SU26234RMFS3} , но не понимаю почему цена намного ниже номинала, предполагаю, что все ожидают более лучших условий и повышения ставки и {$SU29007RMFS0}, если не ошибаюсь она с плавающей ставкой купона до марта 2027."
