time,text
2024-04-13T15:56:09.304+03:00,"📊 Компания «ПИК» {$PIKK} занимается девелопментом и обслуживанием доступного панельного жилья. 

🧐 Её финансовые показатели следующие: выручка в 2023 году составила 265 млрд рублей, снизившись на 45% по сравнению с предыдущим годом. Чистая прибыль в 2023 году была 27,7 млрд рублей, уменьшившись на 70% по сравнению с предыдущим годом. 

🤔 Мультипликаторы P/E, P/BV, P/S составляют 20,9, 1,7 и 2,19 соответственно. ROE равен 7,9%. Чистый долг/EBITDA равен 1,25. Исходя из этих данных, компания кажется переоценённой.

------------------------------------------------------

С Вас 👍 и подписка. А с нас уникальный контент (все своими словами) 😉 на постоянной основе.

↪️Информацию о стратегиях можете посмотреть в профиле.
💼Мы попытались создать полностью разносторонние стратегии, подходящие для каждого типа инвесторов.
🤔Главное: выбрать для себя оптимальную стратегию.

#ПИК #девелопмент"
2024-04-13T13:26:48.738+03:00,"Результат за две недели ~ 738667 рублей (39% к депозиту) .   
 
{$LSRG}  «Спасибо Этому Дому Пойду К Другому» 
 Набрал позицию по 930 рублей и планировал сидеть до дивидендов , а остальными средствами спекулировать .   Когда цена была 930 рублей кто то «Переливал -  передавал» между собой , незаметные айсберги - любой пролив тут же откупали роботом  

По текущим пошла раздача что набрана снизу и поэтому я решил закрыть позицию +21% ~ 500 тысяч рублей . 

Позицию восстановлю после охлаждения индекса в районе 1000-1050

{$GLTR}  Держал позицию в 5000 лотов со средней 690 за 11 дней до отчета  . Выкладывал таблицу что БКС крупно шортят эту акцию перевес был 1 Лонг на 10 шортов и сам не поверил что вынос будет такой сильный и быстрый  . Позицию закрыл быстро и немного пожалел ~ Результат 151 тысяча

{$PIKK} Очень странные движенения происходят , Одновременно давят вниз чтоб набрать шорты , а так же подставляют плиты кто разом выкупает по 10-15 тысяч лотов 
 Физики шортят  - Юрики Лонгуют . 
Сидел неделю в позиции - Результат ~ 124 тысячи 
 На следующей неделе буду следить за Данной акцией 

{$BRK4} Брал  под конфликт Израиль - Иран  по 90,15 , а сдал   по 92,21 ~ Примерно 80 тысяч рублей 
Взял снова позицию по 90,88 .  Новой горячей точке может не быть , но я ожидаю ограничения на Ормузским пролив для некоторых стран. Это переставит котировки нефти на 93-94 
При цене нефти 94+ и выше вероятно что начнутся словесные интервенции со стороны ОПЕК+ о возможном выходе из добровольных ограничений"
2024-04-13T12:21:46.972+03:00,"Недельный отчет по публикациям: WEEK_29
За прошедшую неделю было опубликовано 24 системных идей.
Google таблица с учётом PNL ( https://docs.google.com/spreadsheets/d/1Q1LPnBLh-h8Oo8oHVAI8R0nMAouLwIwZBKfqfUFZ-O4/edit#gid=897654646&range=A1 )

Системные идеи:
На текущий момент закрыто 7 из 24 идеи, 5 идей со статусом (Profit), 1 идея со статусом (Loss), 1 идея (отменена). 10 идей ожидают активации и 7 идей активированы.

MTLR идея не активирована - https://www.tinkoff.ru/invest/social/profile/Henry_Ross/73fcee11-c0f2-4066-b036-68764ca3d997/

LKOH идея отменена.

{$MGNT} закрыта вручную (+1.47%) - https://www.tinkoff.ru/invest/social/profile/Henry_Ross/333fdb26-257e-4548-af63-b95c337fd3e9/

{$PIKK} закрыта вручную (+1,87%) - https://www.tinkoff.ru/invest/social/profile/Henry_Ross/d1f75f76-05f2-4cad-9cef-4228f4f5c624/

{$RTKMP} идея активирована - https://www.tinkoff.ru/invest/social/profile/Henry_Ross/9ac8c4de-bb0a-4c79-8d5b-6bf2258fc515/

AQUA закрыта по стопу (-2.98%) - https://www.tinkoff.ru/invest/social/profile/Henry_Ross/67a6b724-a0d4-4e0e-aec7-a93a899cc46e/

{$TGKA} закрыта вручную (+1,87%), достигла тейка - https://www.tinkoff.ru/invest/social/profile/Henry_Ross/83ccaff9-12e5-44b3-8145-65aaef85c2f7/

{$YNDX} идея не активирована - https://www.tinkoff.ru/invest/social/profile/Henry_Ross/a015b8da-f22c-451c-81eb-5199bf090ccb/

{$YAKG} закрыта по тейку (+5.15%) - https://www.tinkoff.ru/invest/social/profile/Henry_Ross/770e36ac-f483-4cd6-8743-87d26acf6a3c/

{$MRKS} закрыта вручную (+2.73%), достигла тейка - https://www.tinkoff.ru/invest/social/profile/Henry_Ross/7cf26b58-15db-41f4-8c2e-7921b39de83b/

LSNG идея активирована - https://www.tinkoff.ru/invest/social/profile/Henry_Ross/4056d367-ec42-44b2-96f7-014f1947a6f9/

{$AFLT} идея активирована - https://www.tinkoff.ru/invest/social/profile/Henry_Ross/a856694f-fc03-48be-891b-88c06cbe255b/

{$NVTK} идея не активирована - https://www.tinkoff.ru/invest/social/profile/Henry_Ross/4fe51b53-a311-4b5f-8b9f-08c66c2d6d7c/

FIVE идея не активирована - https://www.tinkoff.ru/invest/social/profile/Henry_Ross/e4226de8-e6d5-4e61-b64d-d451d03adf9b/

ROLO идея активирована - https://www.tinkoff.ru/invest/social/profile/Henry_Ross/5779159d-dd08-46c7-9577-12ff115a47c2/

{$SVAV} идея активирована - https://www.tinkoff.ru/invest/social/profile/Henry_Ross/3572894f-b426-4e57-8c11-6331e3ff6aaf/

{$HYDR} идея не активирована - https://www.tinkoff.ru/invest/social/profile/Henry_Ross/4eca26d6-fa74-438d-97d6-e81d1781233e/

CNTL идея не активирована - https://www.tinkoff.ru/invest/social/profile/Henry_Ross/6995762f-e237-4eb8-9941-91828c15d09e/

ELFV идея не активирована - https://www.tinkoff.ru/invest/social/profile/Henry_Ross/a24c4fcf-4ed2-4a46-8a26-e42f6e1a44d8/

PIKK идея не активирована - https://www.tinkoff.ru/invest/social/profile/Henry_Ross/a57a13e7-da9a-4808-8fc9-66ea4cb334b4/

{$DELI} идея активирована - https://www.tinkoff.ru/invest/social/profile/Henry_Ross/48c6a700-f576-4a97-b8c7-53c89a971084/

{$VKCO} идея активирована - https://www.tinkoff.ru/invest/social/profile/Henry_Ross/8bd2f5e9-153a-40e7-b1f5-da4f134961b5/

NKNC идея не активирована - https://www.tinkoff.ru/invest/social/profile/Henry_Ross/f946c9bc-f4d6-453f-b366-3adf1d262893/

KZOS идея не активирована - https://www.tinkoff.ru/invest/social/profile/Henry_Ross/48a1a530-5de3-4af3-a6d1-b4c39911e0f1/

Итого: 10.48% суммарного показателя положительных публикаций для закрытых идей (не является окончательным из-за открытых идей и позиций). Максимальный положительный % 5.15%, отрицательный % -2.98%
* Обновление для WEEK_29 будет опубликовано в следующем недельном отчете.
** Суммарный показатель % - кф. для определения winrate, не является показателем % чистой прибыли.

#аналитика #рынок #система #прояви_себя_в_пульсе #теханализ #хочу_в_дайджест #трейдинг #обзор #пульс #акции"
2024-04-13T00:08:21.875+03:00,"Добрый день

Появилась идея для конкурсов, думаю в ближайшее время начну реализовывать. Пока секретный секрет. 

В начале года у меня было что-то около 500 подписчиков. И сейчас смотрю, уже почти 800. И я хочу таким образом поблагодарить вас за то, что читаете, подписываетесь, комментируете и ставите реакции. За советы и рекомендации отдельное спасибо. Несколько раз прям спасли от потерь.

У меня довольно хороший год выдался. Последнее время каждый год все лучше и краше. Портфель раньше чуть перегонял количество подписчиков, сейчас чуть отстает 745 тыс против 790 читателей. Постараюсь угнаться за вами. 

Еще очень рад, что весь «мусор» распродал в портфеле. Сейчас захожу, вижу {$YNDX} {$MGNT} {$LKOH} {$PIKK} и вообще нету мыслей. Продавать или покупать, ждать или не ждать. Сейчас я прям максимально четко по этим позициям знаю чего хочу. Эта позиция очень помогла мне в инвестициях. Да и в жизни на ура работает

Такие мысли на сегодня. Желаю вам прибылей, и аккуратнее с криптой в ближайшее время
#цель200"
2024-04-12T23:07:59.437+03:00,"Внимание, друзья! У вас есть уникальная возможность выиграть до 1000₽ в рамках розыгрыша акции от пульса Тинькофф Инвестиции! Примите участие и получите шанс на приятный бонус для вашего портфеля инвестиций. В рамках розыгрыша будут разыгрываться акции таких крупных компаний, как {$IRAO} {$VTBR} {$VKCO} {$SGZH} {$CBOM} {$AFLT} {$WUSH} {$VKCO} {$PIKK} {$QIWI} {$APTK}
Для участия в конкурсе, необходимо подписаться на мой профиль, поставить лайк и рассказать в коментариях о своей самой удачной сделке в инвестициях до 30 мая.
Акция из списка в подарок и победители будут выбраны  с помощью рандомайзера, а результаты розыгрыша вы сможете увидеть на моём YouTube канале.
Не упустите свой шанс на дополнительный доход и присоединяйтесь к акции уже сейчас
Итоги будут объявлены 01.06.2024 в 19:00 по московскому времени.
Победитель получит приз в течении 7 дней после подведения итогов.
#конкурс #Розыгрыш #акции"
2024-04-12T22:09:42.821+03:00,"Вы знаете, Баффет считает, что диверсификация может быть ошибкой для инвестора. Для него диверсификация - защита от невежества. Суть заключается в том, что если провести глубокий анализ бизнеса и конъюнктуры рынка, то можно вложить все свои средства в одну компанию с целью получения большей прибыли, и в этом нет ничего плохого. Да, в учебниках подчеркивают важность диверсификации, и многие будут настаивать на этом, но на самом деле это зависит от контекста рынка.

Как известно, на американском рынке есть много примеров того, как компании вырастают на десятки тысяч процентов за несколько десятилетий. Это частные компании, в которых нет доминирующего государственного влияния. Американским инвесторам доступно гораздо больше возможностей на фондовом рынке, чем где-либо еще в мире. В США сосредоточено множество глобальных бизнесов, которые задают мировые тренды, и их продукты и услуги пользуются популярностью во всем мире. Рост на сотни процентов в год - не редкость на их рынке, так что в их случае возможно рассмотреть вложение в одну компанию с надеждой на рост инвестиций.

А что насчет нашего рынка? Есть ли у наших частных компаний шанс на такой же рост и выход на мировой уровень? Можно ли опираться на мнение Баффета о ненужности диверсификации на российском фондовом рынке?
 {$OZON} {$MGNT} {$WUSH} {$MTSS} {$FIVE} {$LENT} {$BELU} {$PIKK} {$YNDX}"
2024-04-12T19:38:19.849+03:00,"{$PIKK} поздравляю тех, у кого собрали стопы 😈"
2024-04-12T18:17:24.607+03:00,"«Что по портфелю». 

Еженедельный отчет портфеля долгосрочного инвестора!

Рассказываю вам о своих активах в портфеле и что происходило за торговую неделю с бумагами в портфеле.

Акции:
📈Взлеты недели
{$SELG} (Селигдар): +8,28%
{$PIKK} (ПИК): +2,25%
{$LKOH} (Лукойл):+1,59%

📉Падения недели
{$TCSG} (ТКС Холдинг): -1,31%
{$RENI} (Ренессанс Страхование): -1,04%
{$TRNFP} (Транснефть ап): -0,82%

{$SBER}
   Сбербанк опубликовал отчетность
РПБУ с результатами за март и первые три месяца 2024 года. 

   👀Информация по дивидендам все ближе!

   Согласно дивидендной политике,
Сбер намерен выплатить акционерам 50% чистой прибыли при достаточности капитала (с учетом внутреннего буфера) выше 13,3%. Таким образом, дивиденды за 2023-й могут составить рекордные 33,7 ₽ на акцию (доходность около 11%). Заседание наблюдательного совета, на котором будут обсуждать выплату, ожидается в апреле.

{$ALRS}
    Заседание совета директоров. На повестке вопрос о рекомендации дивидендов за 2023 год.

   Ранее компания выплатила дивиденды за первое полугодие 2023 года в размере 3,77 ₽ на акцию.

{$RU000A107RZ0}
   ГК Самолет выпуск 13 выплатил купоны в размере 12,12 ₽ за 1 шт, доходность 14,6% годовых.  На данный момент количество бумаг в портфеле 10шт., пока думаю про их долю в портфеле, есть более интересные облигации с ежемесячной выплатой!💵

{$RU000A105QZ6}
   Агротек выпуск 1 выплатил купоны в размере 41,14 ₽за 1 шт, на данный момент доходность составляет 16,5% годовых.  На данный момент количество бумаг в портфеле 7 шт., увеличу их долю в портфеле ближе к следующей выплате купонов!💵

{$TGLD} {$GLDRUB_TOM} 

   В пятницу на прошлой неделе цены на золото достигли нового рекордного максимума. Бурному ралли металла способствовали многочисленные факторы, включая ожидания близящегося цикла снижения процентных ставок в США, действия спекулянтов, а также покупки со стороны центральных банков. На фоне роста золота, растут и цены акций золотодобытчиков. Из таких у меня Селигдар уже 3 неделю в топе Взлеты недели. К этой пятнице цены на золото достигли нового рекордного максимума! Это что новый тренд?😁

Ставьте ваши реакции на обзор портфеля!🚀

Всем отличных выходных! ☀️

#что_по_портфелю
#прояви_себя_в_пульсе"
2024-04-12T11:13:03.981+03:00,{$PIKK} четко отрабатывает сетап. Главное чтобы на рынке не было негатива
2024-04-12T10:31:41.539+03:00,"{$PIKK} развязка вот вот произойдёт, смахивает на рывок вверх, причем не остановится, пока все маржинколы/ликвидность маркетмейкер не соберёт, потом только по фундаменталу может начнет торговаться"
