time,text
2024-04-13T16:28:47.258+03:00,"✅Итоги недели по портфелю 💼

⚠️Доходность за 5 торговых дней составила 39060 рублей.

🟢Лидеры роста:
-Полюс золото + 9,1к {$PLZL}
-Норникель +7,8к {$GMKN}
-Золото +5,6к {$GLDRUB_TOM}
-Лукойл +3.3к {$LKOH}
-Новатэк +3к {$NVTK}

🔴Лидеры падения

-Тинькофф банк -303р {$TCSG}
-Транснефть -207р {$TRNFP}
-Белуга -186р {$BELU}
-Московская биржа -62р {$MOEX}
  

Дивиденды: +2600 ( чистыми)

Купоны : +280р

Больше информации у меня на канале ❤️"
2024-04-13T14:05:04.924+03:00,"Сидим. Трещим. Инвестируем. Выпуск #1

В данной серии постов я буду делиться своими мыслями вслух по интересующей меня теме и размышлять о вариантах инвестирования. Заранее спасибо за поддержку.

🟡 Золото
На фоне геополитики и увеличения напряженности между Ираном и Израилем цены на золото впервые превысили 2400$ за тройскую унцию (пик был 2470$ по фьючерсу $GD1!). 
Конечно, закупаться на максимум золотом нерационально, но подкупать необходимо, чтобы было ""хоть что-то"". 
Проанализировав возможные инвестиции в золото, я рассматриваю следующие варианты:

• БПИФы
Я выбрал фонд Тинькофф Золото {$TGLD} ввиду наилучшей доходности за последние полгода/год относительно других фондов (от ВИМа {$GOLD} и Сбера $SBGD). Хотя казалось бы, все фонды состоят из золота и чуть-чуть валюты, но различия в 1-2%, многовато.

• Золотые облигации от Селигдара {$RU000A106XD7} 
Тело этих облигаций индексируется по цене золота в рублях. Вполне удобно и диверсифицированно, однако с покупкой немного подожду.

• Акции золотодобытчиков
Основные - имеющие еще потенциал к росту Селигдар {$SELG} и ЮГК {$UGLD} . Каждый раз, как смотрю на график Полюса {$PLZL}, говорю, что силы на рост исчерпаны, но компания сильная и находится в моем шорт-листе кандидатов.

• Криптозолото
Займусь изучением перед созданием и анализом своей криптовалютной части портфеля. Для интересующихся: пары XAUT/USDT или PAXG/USDT

Варианты инвестирования в золото не ограничиваются вышеуказанными, для диверсификации лучше иметь несколько. Еще один вариант - металлический счет в сбере, но много негативных отзывов, я в сомнениях.

Сколько золота у вас? В каком виде вы держите его у себя в портфеле? Будет интересно почитать.
Не иир

#инвестиции #золото #сидим_трещим"
2024-04-13T14:04:32.362+03:00,"Обгонять индекс( {$TMOS}) становится все сложнее и сложнее. Не уверены, что будут крутые истории с супер доходностью, как с {$SFIN} в начале года. Плюс чаще будут появляться такие темы, как с золотом, когда никто не успел купить {$UGLD} или {$PLZL} Золото.

Как по нашему, так в целом рынок достаточно справедливо оценен, Банк России работает со своей высокой ключевой ставкой,  свежих денег нет, пока все растет на старых деньгах. Однако, разрыв между М2 и капитализацией все ещё остается достаточно серьезный, что оставляет надежды.

Безрисковая доходность - 16% — это статистически очень высоко и с 2000х было менее чем в 2% случаев. Доходность по длинным ОФЗ уже почти 14%!!! Опять же статистически средняя доходность инвестиций в недвижимость с 90х годов (рост стоимости+ арендный поток) порядка 12-13%. Получается, просто купить длинные ОФЗ прямо сейчас и ничего не делать может вам принести очень неплохую доходность на горизонте 10+ лет!!!!

Поэтому очень важно правильно подойти к системе вашего инвестирования. Она должна соответствовать ситуации и очень желательно не приносить вам головой боли и волнения.

Наше для вас предложение
1. Инвестировать только в истории, где дивидендная доходность будет больше 10-12%
2. Искать соотношение P/E меньше 5, в крайнем случае 6.
3. Не инвестировать в компании с большим долгом
4.. Больше внимания обращать на ликвидность, чтобы успеть выйти в случае проблемной ситуации 
5. Шлаки покупать не более чем на 10% от портфеля 
6. С энтузиазмом подхватывать резко упавшие истории роста типа Позитив и Астра
7. Очень внимательно смотреть на IPO, стараться участвовать в них на плечо, так как аллокации не блещут.

В качестве вывода - Всем удачи в инвестициях!!!

#пульс_оцени
#акции
#облигации
#рынок"
2024-04-13T13:49:45.421+03:00,"🇷🇺 Главные новости для инвесторов:

✅ Акции Лукойла - фавориты в нефтегазовом секторе (Атон)

✅ Доходность российского рынка акций в 2024 году составит более 30% (УК «Первая»)

✅ X5 Group в 2024 году планирует двузначный рост выручки (Газпромбанк)

✅ В Минфине РФ ожидают принятия закона о регулировании криптовалют в 2024 году

✅ Президент компании «Астра» {$ASTR} подтвердил планы провести SPO

✅ За неделю после сплита акции Норникеля {$GMKN} взлетели на 10%

✅ Цены на золото снова обновили исторические максимумы {$PLZL} {$POLY}

✅ Henderson рекомендовал дивиденды в размере 30 рублей на акцию (доходность: 3,9%)

✅ МТС-банк официально объявил IPO. Но акции будут предложены в рамках допэмиссии {$MTSS}

✅ Whoosh {$WUSH} разработала функцию мгновенного старта аренды без открытия приложения

✅ Доходы России от экспорта нефти в марте упали на 20% (МЭА) {$LKOH}

✅ 15 апреля Акрон решит по дивидендам за 2023 год

✅ Аэрофлот {$AFLT} в марте увеличил перевозки на 21,2%

✅ Газпром {$GAZP} готовится к поставкам газа в Хабаровский край после 2025 года

✅ Результаты Новатэка {$NVTK} за 1 квартал стали значительным позитивным сюрпризом (Мир инвестиций)

✅ «Займер» провел размещение своих акций по нижней границе — 235 рублей

✅ Лента не смогла договориться о ценах с ключевыми партнерами

✅ Акции Ozon {$OZON} в данный момент оценены справедливо (Финам)

✅ Российские угольные компании сократят добычу в 2024 году

✅ Северсталь подала ходатайство о мировом соглашении по ""делу металлургов""

✅ Цена на нефть поднялась выше 92 долларов за баррель {$ROSN} {$TATN}

✅ Позитивные ожидания по акциям МТС на краткосрочную перспективу сохраняется (Атон)

✅ Индекс Мосбиржи по итогам торгов вырос на 0,49%

🌟 Подписывайтесь на канал, если хотите зарабатывать на инвестициях 🌟

❗️Автор этого поста: @Russian_Stocks❗


#акции #россия #пульс #новости #аналитика #трейдинг #инвестиции"
2024-04-13T13:28:42.366+03:00,{$PLZL} коррекция будет?
2024-04-13T13:08:25.808+03:00,"ТГ КАНАЛ БАБЛОНАВТ ​ПРО ЗОЛОТО🗣:

О презренном металле
без эмоций и хиромантии.

Дисклеймер: данный текст не является инструментальным анализом, а представляет собой оценку масштабов и тенденций; числовые параметры округлены до тонн и десятков млрд.

За всю свою историю человечество добыло ~212 000 тонн золота, разведанные извлекаемые запасы ещё ~59 000 тонн. В отличие от других популярных коммодитиз (газ, нефть), добытое золото не исчезает после переработки, а остаётся в обороте и доступно для торговли и использования. 
При текущих ценах всё золото мира оценивается в довольно скромные ~ $20 трлн (для справки - долг США больше в полтора раза - $34 трлн).

Ежегодный рынок золота составляет 4 900 тонн, из которых 3 600 тонн – это добыча, остальное переработка.  Более половины потребляет ювелирка и  электронная промышленность, второй по величине потребитель золота – это мировые ЦБ, которые скупают в свои резервы более 20% (последние годы – с нарастающей прогрессией).

За всё время денежно-товарных отношений золото, как средство платежа, заработало себе максимальное доверие социума и никакое другое средство расчета, никакая фиатная валюта не могут с ним сравниться по исторической надёжности и устойчивости к инфляции (мешок муки в золоте в Древнем Риме стоил столько же, сколько и сейчас).

С другой стороны, золото – это беспроцентный актив и служит не инструментом инвестиционного заработка, а инструментом защиты в периоды, когда доверие к способностям монетарных властей обуздать инфляцию падает – «золото не сделает вас богатым, золото позволит избежать нищеты».

Многие профессиональные инвесторы (в том числе и я) недолюбливают золото за его ортодоксальную консервативность, но новая реальность, которая накрывает нас в последние несколько лет, заставляет всех встряхнуться и пересмотреть свои оценки. 

Явно просматриваются несколько факторов, которые начали гнать цены на «презренный металл» вверх:

1. Упорная и настойчивая скупка золота в активы мировыми ЦБ, обусловленная желанием уйти от рисков повторения «кейса России» - исключение из евродолларовой системы расчетов и арест активов.   

2. Нарастающий риск реализации «спирали смерти» с госдолгом США.

3. Рост мировой инфляции, которая не только заставляет бежать от фиатных активов в консервативное золото, но и значительно повышает себестоимость добычи этого металла (сейчас средняя себестоимость уже в районе $1850).

Если США и ЕС будут продолжать использовать свои валюты и финансовую систему как инструмент террора и как оружие, махая кнутом санкций налево и направо, тенденция разобщения экономик и ухода в консервативное золото только усилится, катализатором послужит импотенция минфина США в управлении долгом.

Сейчас общие резервы мировых ЦБ составляют ~ $20 трлн, из них в золоте ~$2,75 трлн (37 000 тонн) и совсем не выглядит фантастикой переток половины мировых резервов из долларов и евро в золото в ближайшие 20 лет в рамках всеобщей дедолларизации, деевровизации и дефрагментации мировой экономики. Что тогда будет с рынком американского госдолга страшно даже подумать, но это уже другая история. 

---

Лучшая идея, как заработать на золоте: ЮГК

https://www.tinkoff.ru/invest/social/profile/The_Buy_Side/557d64b1-ce68-401c-9c76-1c5130938083?utm_source=share

{$UGLD} {$PLZL} {$SELG} {$GDM4} {$GOLD}

#учу_в_плюсе #прояви_себя_в_пульсе #идея #акции #аналитика"
2024-04-13T13:02:48.612+03:00,{$PLZL} интересно 🧐 ждем коррекцию 😼
2024-04-13T12:52:26.937+03:00,"Не уверен что случится за выходные, но решил с плечем купить золото {$PLZL}  and {$UGLD} к утреннему росту в понедельник."
2024-04-13T12:48:05.576+03:00,"{$PLZL} Люди, у кого какое мнение по золоту ,если Иран начнёт бить ракетами по Израилю мстить ? Рост золота или его падение ? Спасибо."
2024-04-13T12:42:47.757+03:00,"#5_событий_недели

Отмечу следующие события уходящей недели:

— IPO Займера 💵. На этой неделе прошло очередное IPO - МФО Займера. IPO прошло по нижней границе в 235 рублей и закрылось на таком же уровне. Я поучаствовал в данном IPO, но ничего не заработал, ну и ничего страшного.

— Дивиденды НЛМК 💿. Закончилась двухлетняя дивидендная пауза у компании НЛМК, которая объявила дивиденды в 25 рублей (11% дивидендная доходность). Я рассчитывал минимум на 30 рублей, но рынок рад и такой сумме. На следующей неделе напишу почему принял решение о продаже акции по 224 рубля.

— Сплит Норникеля 💿. Вслед за Транснефтью еще одна компания провела сплит своих акций - Норильский никель. Сбылась мечта многих инвесторов, что теперь можно купить акции по 160 рублей, правда акций стало в 100 раз больше. Мне акции компании пока совсем неинтересны.

— Золото по 2400. Новые хаи штурмует золото, пощупав отметки выше 2400 долларов. Даже в Госдуме обратили на это внимание и пришли с новым НДПИ к золотодобытчикам. Продолжаю держать акции Полюса ⛏ в портфеле.

— Предпоследние отчеты. Почти все компании уже отчитались за 2023 год, на этой неделе были отчеты у Глобалтранса, АФК и Озона. Осталось дождаться отчетов от Газпрома и Сургута, а впереди уже будут отчеты компаний за 1 квартал 2024 года.


{$RU000A103CW8} {$NLMK} {$PLZL} {$GMKN}"
