time,text
2024-04-13T17:55:05.022+03:00,"{$PMSB} неплохо, но надо выше трактористов"
2024-04-13T17:03:50.977+03:00,"📣 События предстоящей недели

🗓 Понедельник, 15.04.2024:

Заседание совета директоров/собрание акционеров:
💎 {$ALRS} — 12 апреля состоялось заседание Наблюдательного совета, где была дана рекомендация Общему собранию акционеров по распределению прибыли по результатам 2023г.
🌾 {$AKRN} — Совет директоров даст рекомендацию по распределению прибыли за 2023г.

Статистика:
🇺🇸 Базовый индекс розничных продаж (м/м) (март) — в 15:30 по МСК
🇺🇸 Объём розничных продаж (м/м) и (г/г) (март)  — в 15:30 по МСК

🗓 Вторник, 16.04.2024:

Отчётность: 
🍏 {$FIVE} — Операционные результаты за I квартал 2024г.

Статистика:
🇺🇸 Объём строительства новых домов (м/м) (март) — в 15:30 по МСК
🇺🇸 Объем промышленного производства (м/м) и (г/г) (март) — в 16:15 по МСК

🗓 Среда, 17.04.2024:

Заседание совета директоров/собрание акционеров:
🏠 {$LSRG} — Внеочередное собрание акционеров. В повестке вопрос утверждения ранее рекомендованных дивидендов в размере 100 руб. на акцию
🔌 {$PMSB} {$PMSBP} — Заседание совета директоров с повесткой о рекомендациях акционерам по распределению прибыли/убытков по результатам 2023г.
💊 {$LIFE} — Повторное внеочередное собрание акционеров. В повестке вопрос увеличения уставного капитала путем размещения дополнительных акций посредством открытой подписки

Статистика:
🇪🇺 Базовый индекс потребительских цен (ИПЦ) (м/м) и (г/г) (март) — в 12:00 по МСК
🇺🇸 Запасы сырой нефти — в 17:30 по МСК
🇷🇺 Индекс цен производителей (PPI) (м/м) и (г/г) (март) — в 19:00 по МСК

🗓 Четверг, 18.04.2024:

Заседание совета директоров/собрание акционеров:
💿 {$TRMK} — Заседание совета директоров с повесткой о выплате дивидендов по результатам 2023г.
🔌 {$TGKN} — Заседание совета директоров с повесткой о рекомендациях по распределению прибыли и убытков по результатам 2023г.
🏚 {$MGKL} — Заседание совета директоров с повесткой о рекомендации акционерам по распределению прибыли по результатам 2023г.

Другое:
📱 {$POSI} — Последний день с дивидендом 47,3 руб. на акцию

Статистика:
🇪🇺 Саммит лидеров ЕС — в 13:00 по МСК
🇺🇸 Число первичных заявок на получение пособий по безработице — в 15:30 по МСК
🇺🇸 Общее число лиц, получающих пособия по безработице — в 15:30 по МСК
🇷🇺 Международные резервы Центрального банка (USD) — в 16:00 по МСК

🗓 Пятница, 19.04.2024:

Другое:
📱 {$POSI} — Дивидендный гэп 47,3 руб. и закрытие реестра

Статистика:
🇺🇸 Число активных буровых установок от Baker Hughes — в 20:00 по МСК
🇺🇸 Общее число буровых установок в США от Baker Hughes (U.S. Baker Hughes Total Rig Count) — в 20:00 по МСК"
2024-04-13T16:59:43.588+03:00,"Всем добрый день, давайте посмотрим что нас ждет На следующей неделе

#корпоративные_события :

15.04.2024 - ПОНЕДЕЛЬНИК

{$AKRN} : Акрон, рекомендация по дивидендам

16.04.2024 - ВТОРНИК

{$FIVE} : X5 Retail, операционные результаты за 1кв 2024 года

17.04.2024 - СРЕДА

{$LSRG} : Группа ЛСР, ВОСА по дивидендам за 2023г (100руб/акция)

{$LIFE} : Фармсинтез, ВОСА по вопросу допэмиссии путем открытой подписки

{$PMSB} : Пермэнергосбыт, Распределение прибыли, выплата дивидендов за 2023 год

{$EUTR} : «ЕвроТранс» открыл первое окно акцепта внебиржевой оферты. Последний день акцепта 17 апреля.

18.04.2024 - ЧЕТВЕРГ

$POS I: Группа Позитив, последний день с дивидендом (47,3 руб/акция)

{$TGKN} : ТГК-14 , вопрос дивидендов за 2023 год  

 {$TRMK} : ТМК, вопрос дивидендов за 2023 год

{$MGKL} : Мосгорломбард, вопрос дивидендов за 2023 год

19.04.2024 - ПЯТНИЦА

{$GCHE} : Группа Черкизово, последний день выплаты дивидендов за 2023 г (205 ₽/акция) ."
2024-04-13T14:50:28.488+03:00,"{$PMSB} Здравствуйте, это вот что сейчас такое вот это было?"
2024-04-13T14:33:41.014+03:00,{$PMSB} все ушли в планку👍👍👍
2024-04-13T14:20:32.369+03:00,"{$PMSB} странно, дивы обьявили 0 ₽. и тут же 🚀
На каких новостях рост ? 🤔"
2024-04-13T14:12:54.671+03:00,"⚡️Ожидаемые корпоративные события на предстоящей неделе:

🗓15.04.2024 - ПОНЕДЕЛЬНИК
🟢 {$AKRN} - СД по дивидендам за 2023 год

⚡️Ранее не опубликованные события:
🟢 {$AFLT} — СД по дивидендам.
🟢 {$ALRS} — СД по дивидендам.

🗓16.04.2024 - ВТОРНИК
🟢 {$FIVE} - X5 Group опубликует операционные результаты за I кв. 2024 г.

🗓17.04.2024 - СРЕДА
🟢 {$LIFE} - ВОСА по вопросу допэмиссии путем открытой подписки
🟢 {$LSRG} - ВОСА по дивидендам за 2023г - 100руб/акция
🟢 {$PMSB} - СД по дивидендам за 2023г

🗓18.04.2024 - ЧЕТВЕРГ
🟢 {$POSI} - последний день с дивидендом 47,30 руб
🟢 {$MGKL} - СД по дивидендам за 2023 год
🟢 {$TGKN} - СД обсудит дивиденды за 2023 год
🟢 {$TRMK} - СД по дивидендам за 2023 год

🗓19.04.2024 - ПЯТНИЦА
🟢 {$POSI} - дивгэп (закрытие реестра по дивидендам 47,30 руб в субботу 20.04.2024)"
2024-04-13T14:05:55.495+03:00,{$PMSB} почему в дивидендах на 18 апреля пишет 0руб?
2024-04-13T11:12:01.395+03:00,"Заходите в профиль подписывайтесь 🥝 🥝 🥝 
На следующей неделе нас ожидают #корпоративные_события :

15.04.2024 - ПОНЕДЕЛЬНИК
 {$AKRN} : Акрон, рекомендация по дивидендам

16.04.2024 - ВТОРНИК
{$FIVE} : X5 Retail, операционные результаты за 1кв 2024 года

17.04.2024 - СРЕДА
 {$LSRG} : Группа ЛСР, ВОСА по дивидендам за 2023г (100руб/акция)
 {$LIFE} : Фармсинтез, ВОСА по вопросу допэмиссии путем открытой подписки
 {$PMSB} : Пермэнергосбыт, Распределение прибыли, выплата дивидендов за 2023 год
 {$EUTR} : «ЕвроТранс» открыл первое окно акцепта внебиржевой оферты. Последний день акцепта 17 апреля.

18.04.2024 - ЧЕТВЕРГ
 $POS I: Группа Позитив, последний день с дивидендом (47,3 руб/акция)
 {$TGKN} : ТГК-14 , вопрос дивидендов за 2023 год  
 {$TRMK} : ТМК, вопрос дивидендов за 2023 год
 {$MGKL} : Мосгорломбард, вопрос дивидендов за 2023 год

19.04.2024 - ПЯТНИЦА
 {$GCHE} : Группа Черкизово, последний день выплаты дивидендов за 2023 г (205 ₽/акция) ."
2024-04-13T10:42:14.788+03:00,"📈 Внимание, инвесторы и финансовые энтузиасты! На следующей неделе нас ожидает насыщенная агенда ключевых событий на рынке акций. Вот что вас ждет:

🗓 ПОНЕДЕЛЬНИК, 15.04.2024:
💰 {$AKRN}: Компания Акрон объявит свои рекомендации по дивидендам. Держите руку на пульсе!

🗓 ВТОРНИК, 16.04.2024:
🤐 {$FIVE}: X5 Retail Group представит операционные результаты за первый квартал 2024 года. Обязательно стоит обратить внимание!

🗓 СРЕДА, 17.04.2024:
😄 {$LSRG}: Группа ЛСР анонсирует ВОСА по дивидендам за 2023 год на уровне 100 рублей на акцию.
😏 {$LIFE}: Фармсинтез проведет ВОСА по вопросу допэмиссии акций.
🧩 {$PMSB}: Пермэнергосбыт обсудит распределение прибыли и выплату дивидендов за 2023 год.
☺️ {$EUTR}: «ЕвроТранс» открыл первое окно акцепта внебиржевой оферты, при этом последний день акцепта – 17 апреля.

🗓 ЧЕТВЕРГ, 18.04.2024:
🚂 $POS I: Группа Позитив объявит последний день с дивидендом в размере 47,3 рублей на акцию.
💨 {$TGKN}: ТГК-14 рассмотрит вопрос дивидендов за 2023 год.
🔨 {$TRMK}: ТМК также обсудит вопрос дивидендов за 2023 год.
🫤 {$MGKL}: Мосгорломбард поднимет вопрос дивидендов за 2023 год.

🗓 ПЯТНИЦА, 19.04.2024:
😏 {$GCHE}: Группа Черкизово проведет последний день выплаты дивидендов за 2023 год в размере 205 рублей на акцию.

Эта неделя обещает быть горячей для всех, кто интересуется инвестициями и финансовым рынком. Не упустите возможность обновить свой инвестиционный портфель или сделать стратегические шаги, основываясь на последних новостях и аналитике! 

#инвестиции #финансы #дивиденды #рынокакций #финансоваянеделя"
