time,text
2024-04-13T17:03:50.977+03:00,"📣 События предстоящей недели

🗓 Понедельник, 15.04.2024:

Заседание совета директоров/собрание акционеров:
💎 {$ALRS} — 12 апреля состоялось заседание Наблюдательного совета, где была дана рекомендация Общему собранию акционеров по распределению прибыли по результатам 2023г.
🌾 {$AKRN} — Совет директоров даст рекомендацию по распределению прибыли за 2023г.

Статистика:
🇺🇸 Базовый индекс розничных продаж (м/м) (март) — в 15:30 по МСК
🇺🇸 Объём розничных продаж (м/м) и (г/г) (март)  — в 15:30 по МСК

🗓 Вторник, 16.04.2024:

Отчётность: 
🍏 {$FIVE} — Операционные результаты за I квартал 2024г.

Статистика:
🇺🇸 Объём строительства новых домов (м/м) (март) — в 15:30 по МСК
🇺🇸 Объем промышленного производства (м/м) и (г/г) (март) — в 16:15 по МСК

🗓 Среда, 17.04.2024:

Заседание совета директоров/собрание акционеров:
🏠 {$LSRG} — Внеочередное собрание акционеров. В повестке вопрос утверждения ранее рекомендованных дивидендов в размере 100 руб. на акцию
🔌 {$PMSB} {$PMSBP} — Заседание совета директоров с повесткой о рекомендациях акционерам по распределению прибыли/убытков по результатам 2023г.
💊 {$LIFE} — Повторное внеочередное собрание акционеров. В повестке вопрос увеличения уставного капитала путем размещения дополнительных акций посредством открытой подписки

Статистика:
🇪🇺 Базовый индекс потребительских цен (ИПЦ) (м/м) и (г/г) (март) — в 12:00 по МСК
🇺🇸 Запасы сырой нефти — в 17:30 по МСК
🇷🇺 Индекс цен производителей (PPI) (м/м) и (г/г) (март) — в 19:00 по МСК

🗓 Четверг, 18.04.2024:

Заседание совета директоров/собрание акционеров:
💿 {$TRMK} — Заседание совета директоров с повесткой о выплате дивидендов по результатам 2023г.
🔌 {$TGKN} — Заседание совета директоров с повесткой о рекомендациях по распределению прибыли и убытков по результатам 2023г.
🏚 {$MGKL} — Заседание совета директоров с повесткой о рекомендации акционерам по распределению прибыли по результатам 2023г.

Другое:
📱 {$POSI} — Последний день с дивидендом 47,3 руб. на акцию

Статистика:
🇪🇺 Саммит лидеров ЕС — в 13:00 по МСК
🇺🇸 Число первичных заявок на получение пособий по безработице — в 15:30 по МСК
🇺🇸 Общее число лиц, получающих пособия по безработице — в 15:30 по МСК
🇷🇺 Международные резервы Центрального банка (USD) — в 16:00 по МСК

🗓 Пятница, 19.04.2024:

Другое:
📱 {$POSI} — Дивидендный гэп 47,3 руб. и закрытие реестра

Статистика:
🇺🇸 Число активных буровых установок от Baker Hughes — в 20:00 по МСК
🇺🇸 Общее число буровых установок в США от Baker Hughes (U.S. Baker Hughes Total Rig Count) — в 20:00 по МСК"
2024-04-12T16:22:33.321+03:00,"{$PMSBP} 1 рубль до тейка не достала. Ну так вот обидно бывает. А знаю что вернëтся на исходную, почти. Вдвойне обидно..."
2024-04-12T13:13:23.792+03:00,"{$PMSB}  и {$PMSBP}  дошли до верхней границы восходящего канала. Возможно  будет  коррекция. 
Не факт, но здесь тех редко когда  ошибается.
Не бздим, просто используем возможность докупиться."
2024-04-12T11:19:19.611+03:00,{$PMSBP} взял вчера на 5% от депо. Одна из самых неликвидных акций и при этом платит неплохие дивы. Перед СД по дивам 17 апр могут очень сильно дернуть.
2024-04-11T17:58:04.545+03:00,{$PMSBP} 276 на след неделе. Не ИИР
2024-04-11T14:56:48.081+03:00,"💳 {$PMSBP} {$PMSB} #дивиденды #календарь 
🔌 ПАО «Пермэнергосбыт»

📅Проведение заседания СД и его повестка дня

Дата проведения: 17 апреля 2024

Повестка:

2. О рекомендациях годовому общему собранию акционеров Общества по распределению прибыли ПАО «Пермэнергосбыт», в том числе о выплате (объявлении) дивидендов и убытков ПАО «Пермэнергосбыт» по результатам 2023 отчетного года; дате, на которую определяются лица, имеющие право на получение дивидендов."
2024-04-11T14:48:50.589+03:00,"{$PMSBP}   ДИВИДЕНДЫ !!!

Заседанияе СД и его повестка дня.
Дата проведения: 17 апреля 2024
Повестка:
2. О рекомендациях годовому общему собранию акционеров Общества по распределению прибыли ПАО «Пермэнергосбыт», в том числе о выплате (объявлении) ДИВИДЕНДОВ  и убытков ПАО «Пермэнергосбыт» по результатам 2023 отчетного года; дате, на которую определяются лица, имеющие право на получение ДИВИДЕНДОВ."
2024-04-11T14:21:39.701+03:00,"#НОВОСТИ 
🆕 Сводка новостей.

🔹 Спад {$USDRUB} рубля связан с увеличением государственных расходов, предполагают эксперты.

🔹 Пермэнергосбыт {$PMSBP} {$PMSB} проведение заседания СД, дата проведения: 17 апреля 2024.

🔹 {$RKKE} Тяжелую ракету «Ангара-А5» запустили с Восточного с третьей попытки. Ракета успешно достигла орбиты. Сотрудники РКК празднуют победу.

🔹 Индекс доллара #DXY показывает бешенный рост, в то же время серебро {$SVM4} #XAGUSD и {$GDM4} #XAUUSD золото показывает бешенный рост, передайте тем кто графики рисует, все наоборот должно быть.

🔹 Apple {$AAPL} предупредили о шпионской атаке на пользователей из 92 стран. Судя по электронному письму, хакеры пытаются дистанционно взломать iPhone. Причем для этого они используют сложные пути, а не классические вредоносные ПО.

🔹 Ситуация с котировками акций {$NVTK} на рынке продолжает оставаться напряженной. Негативные новости регулярно оказывают давление на цены, а возможных драйверов для разворота не обнаружено. Перенасыщение мирового рынка СПГ также сдерживает позитивное движение. Возникающие проблемы с флотом могут усугубить сложности с доставкой СПГ, добавляя неопределенности в перспективы компании. Лично мне не кажется целесообразным в настоящее время покупать акции в свой портфель. Скорее всего, представляется более разумным ожидать их падения до уровня около 1100 - 1050 рублей. Тем не менее, несмотря на текущую сложность, компания Новатэк все еще остается интересной. Я понимаю, что в эту ""ловушку"" уже попал, однако, принципиально не готов отрезать убытки, ибо верю в потенциал компании на долгосрочной основе."
2024-04-11T13:57:56.206+03:00,"💳❗️ {$PMSBP} {$PMSB} #дивиденды #календарь 
🔌 ПАО ""Пермэнергосбыт""

📅Проведение заседания СД и его повестка дня

Дата проведения: 17 апреля 2024

Повестка:

2. О рекомендациях годовому общему собранию акционеров Общества по распределению прибыли ПАО «Пермэнергосбыт», в том числе о выплате (объявлении) дивидендов и убытков ПАО «Пермэнергосбыт» по результатам 2023 отчетного года; дате, на которую определяются лица, имеющие право на получение дивидендов."
2024-04-11T11:14:44.816+03:00,"{$PMSB} {$PMSBP} 



ПАО ""Пермэнергосбыт""
Дата, на которую определяются лица, имеющие право на осуществление прав по именным эмиссионным ценным бумагам
https://www.e-disclosure.ru/portal/event.aspx?EventId=fkbk51xm0keSDDzc0B7p-AQ-B-B
Верно понял?"
