time,text
2024-04-11T15:50:41.299+03:00,{$POGR} дерьмо 💩⚰️🕯️
2024-03-14T08:50:53.226+03:00,{$POGR} скоро уже как 2 года будет и не каких новостей
2024-03-06T15:25:13.082+03:00,{$POGR}  есть новости ?
2024-02-21T13:46:16.593+03:00,{$POGR} мне вернули деньги
2024-02-16T12:02:19.397+03:00,{$POGR} живые ещё остались?
2024-02-04T14:35:36.319+03:00,{$POGR} https://www.vedomosti.ru/investments/news/2024/02/02/1018164-petropavlovsk
2024-02-02T17:30:10.691+03:00,"{$POGR} https://ари.рф/projects/project/?id=6636a40f-229e-43bf-a89a-d785aa396a0c

Поддержите обращение Ассоциации розничных инвесторов по защите  акционеров Petropavlovsk PLC"
2024-01-21T22:23:22.562+03:00,{$POGR} КТО ЗНАЕТ ЧТО ЭТО ТАКОЕ🤔
2024-01-09T10:33:51.423+03:00,{$POGR} где наш Дед Мороз 🎄
2023-12-10T08:19:49.832+03:00,{$POGR} у меня опять все по нолям 🙁
2023-12-01T09:59:30.815+03:00,"{$POGR} у меня в альфе акции давно пропали , а сегодня появились и отображаются в портфеле🤔 к чему бы это"
2023-11-28T18:37:33.555+03:00,{$POGR} теперь все как мы
2023-11-22T18:34:44.121+03:00,"{$POGR} наши мажорики новую компанию выпустили на ipo, это конечно занавес🤷🏻‍♂️"
2023-11-09T17:22:32.879+03:00,{$POGR} сток бумаг новых на внебиржу кинули банкротов и всё 🚀
2023-10-12T18:30:32.858+03:00,{$POGR} как дела?)
2023-09-27T10:30:21.178+03:00,"{$POGR} Как думаете сегодня на месте, или на месте?"
2023-09-21T13:13:30.469+03:00,{$POGR} походу переносят акции с мос биржи на другую платформу
2023-09-13T15:05:16.726+03:00,{$POGR} 1 копейка приехали🥴👍
2023-09-09T10:11:48.739+03:00,{$POGR}
2023-09-03T18:35:54.410+03:00,"{$POGR} ребята, где найти новости по Акции Петропавловск ? ( и если можно , тупии ответы не надо отвечать 
)"
2023-08-31T19:07:37.171+03:00,"{$POGR} снова можно закрыть ИИС. через приложение, даже с этим г."
2023-08-31T06:20:23.733+03:00,{$POGR} братва  из полиметалла теперь с нами 💪😀
2023-08-27T11:05:42.792+03:00,{$POGR} ждуны тут?))
2023-08-12T04:19:59.507+03:00,{$POGR}  есть хоть какая-либо информация .
2023-08-01T00:35:19.618+03:00,{$POGR} тишина….)
2023-07-17T21:10:24.281+03:00,{$POGR} {$MTLR} новая жертва Газпромбанка
2023-07-13T17:44:30.382+03:00,{$POGR} Когда дивы?
2023-07-12T07:35:33.844+03:00,{$POGR} какие новости есть ?
2023-07-03T22:46:16.904+03:00,"{$POGR} Прямо сейчас «Атлас Майнинг» ищет:
✅️Водители Карьерных самосвалов «А III», категория «С»;
✅️Главный специалист по налоговому контролю и консультированию (Благовещенск);
Инженер ИТ – поддержки (ПАГК, Пионер, Маломырский рудник, Албынский рудник);
✅️Инженер АСУТП (Албынский рудник);
✅️Мастер кислородной станции;
✅️Машинист конвейера, Дробильщик, Машинист мельниц, Флотатор, Бункеровщик, Растворщик реагентов, Регулировщик хвостового хозяйства, Машинист насосной установки;
✅️Менеджер по обучению;
✅️Машинист бульдозера;
✅️Оператор воздухоразделительной установки;
Машинист конвейера, Флотатор, Бункеровщик, Растворщик реагентов, Регулировщик хвостового хозяйства, Машинист насосной установки;
✅️Главный инженер ЗИФ (Албын)."
2023-07-03T22:44:26.471+03:00,{$POGR} «банкроты золотодобытчики »это конечно звучит очень смешно с такими ценами на золото🤣 сменили название и продопродают набирать персонал🥴
2023-06-28T21:33:24.377+03:00,{$POGR} люди ау
2023-06-23T21:16:07.842+03:00,"{$POGR} на кладбище ветер свищет, 40 градусов мороз💨💨💨"
2023-06-14T18:17:53.705+03:00,{$POGR} скоро уже год как нас заблокировали 😞
2023-06-10T13:50:11.422+03:00,{$POGR} так может быть с {$POLY} 🤦‍♀️?
2023-06-02T13:09:04.353+03:00,"{$POGR} можно перевести и закрыть ИИС. 
Сейчас звонили из Тинька и обрадовали"
2023-06-01T16:05:44.923+03:00,"{$POGR} https://www.forbes.ru/investicii/490184-blokirovka-ot-tin-koff-kak-broker-zamorozil-den-gi-casti-klientov-na-investscetah 
@Tinkoff_Investments"
2023-05-29T10:32:48.775+03:00,"{$POGR}  @Tinkoff_Investments расскажите как обстоят дела с этой акцией ? Когда мы сможем закрыть ИИС ? Интересуют Ваши шаги в этом вопросе , а не то что Вы сидите и ждете , когда Вам дадут инструкции ! Вы когда последний раз делали запрос НРД ?"
2023-05-23T23:21:25.960+03:00,{$POGR} будто зашла на кладбище..
2023-05-16T17:34:30.427+03:00,"{$POGR} @Tinkoff_Investments Коллеги, появилась кнопка купить на странице акции. Что это значит для нас?"
2023-05-15T11:26:06.511+03:00,{$POGR} че тут у вас происходит ?
2023-05-11T11:21:08.047+03:00,{$POGR} ну что раз не удаляют из портфеля данную акцию значит что-то будет хорошее
2023-05-02T23:55:12.085+03:00,"{$POGR} $POGR  и не уважаемый @Tinkoff_Investments  прошел еще месяц числено последнего поста, расскажите что вы сейчас сделали как брокер, чтобы решить ситуацию и избавить нас от этой бумаги? Ваша служба поддержки вещает снова отмазки о ситом что сроков нет, мы ждём в соря погоды. На любой запрос есть разумные сроки и они уже все вышли. Где открытое освещение решения вопроса? Этапы?? Статистика, помощь клиентам? Почему вы перевели акции сами и сами протупили и теперь мы должны страдать?! Почему вы не спишите активы если вам больше 30 дней не отвечают и не дают инструкций? 
#тиньковнедветзакрытьиис #закройиис"
2023-04-27T17:10:27.628+03:00,"{$POGR} ребята, есть ли какие-то новости??"
2023-04-20T09:16:58.382+03:00,{$POGR} все наша песенка спета 😡
2023-04-10T15:22:44.418+03:00,{$POGR} почему брокер не желает совсем убрать бумагу из портфеля или перевести на брокерский счёт с ИИС. Что не даёт это выполнить? Все равно они не имеют права использовать акции и деньги которые лежат на счетах ИИС. санкции против граждан РФ.? Может отрабатывают нужную повестку перед западными партнёрами чтобы накопления не забрали🤔
2023-04-07T11:33:21.918+03:00,"{$POGR} уже меньше че за шляпа ,че внебиржевой откроют?"
2023-04-05T17:58:08.679+03:00,{$POGR} друзя привет. Кто что знает давайте делитесь😏
2023-04-05T01:24:31.317+03:00,"{$POGR} 
ВСЕ ЧИТАТЬ И ДЕЛАТЬ! Поддержите лайком
Полная информация о наших планах на сегодняшний день.

Наша группа создана для объединения усилий миноритарных акционеров и держателей облигаций компании Petropavlovsk PLC, направленных на возврат наших денежных средств, вложенных в акции, а также помощи закрыть ИИС. 

Только став одной командой, мы сможем добиться результата.

План действий следующий:
1. Массово подписываем петицию
https://chng.it/fKkZPB7YLX

2. Направляем обращения.
Для вашего удобства все документы с инструкциями по отправке собрали здесь.

https://ensocompany.ru/uriklopedia/category/bankrotstvo-kompanii-petropavlovsk/

На данный момент готовы:
Обращение в ЦБ РФ,
Обращение в Генпрокуратуру,
Обращение Президенту РФ,
Заявление в УК Петропавловска,
Заявление в СК РФ,
Заявление в ФСБ РФ,
Заявление в МВД РФ,
Пресс-релиз для СМИ (отправляем по возможности),
Жалоба в Прокуратуру на отказ в возбуждении УД.

Пользуйтесь! Напоминаем, чем больше обращений будет, тем выше шансы на успех. Наша тактика - массовость.

3. Сообщаем о группе пострадавшим миноритариям. По максимуму объединяем усилия.

4. Используем любые возможности в PR-сфере, политических отношениях и тд.

Дорогу осилит идущий. Надо предпринимать все возможные попытки для защиты наших прав. Желаем нам всем удачи!"
2023-04-04T13:29:19.541+03:00,"{$POGR} а ведь проводилась акция у Тинькова - купи акции золотодобытчиков и участвуй в розыгрыше миллионов , и именно Вы( Тиньков ) рекомендовали Петропавловск ! А теперь не отдаете 
 мне мои деньги с ИИС!!!!"
2023-04-04T10:31:14.129+03:00,"{$POGR} @Tinkoff_Investments вы просто закрыли пульс этой акции? 
Чтобы люди не могли объединится и исками закидать?"
