time,text
2024-04-13T16:11:38.214+03:00,{$POLY} в понедельник рост ведь так? 🙄
2024-04-13T13:49:45.421+03:00,"🇷🇺 Главные новости для инвесторов:

✅ Акции Лукойла - фавориты в нефтегазовом секторе (Атон)

✅ Доходность российского рынка акций в 2024 году составит более 30% (УК «Первая»)

✅ X5 Group в 2024 году планирует двузначный рост выручки (Газпромбанк)

✅ В Минфине РФ ожидают принятия закона о регулировании криптовалют в 2024 году

✅ Президент компании «Астра» {$ASTR} подтвердил планы провести SPO

✅ За неделю после сплита акции Норникеля {$GMKN} взлетели на 10%

✅ Цены на золото снова обновили исторические максимумы {$PLZL} {$POLY}

✅ Henderson рекомендовал дивиденды в размере 30 рублей на акцию (доходность: 3,9%)

✅ МТС-банк официально объявил IPO. Но акции будут предложены в рамках допэмиссии {$MTSS}

✅ Whoosh {$WUSH} разработала функцию мгновенного старта аренды без открытия приложения

✅ Доходы России от экспорта нефти в марте упали на 20% (МЭА) {$LKOH}

✅ 15 апреля Акрон решит по дивидендам за 2023 год

✅ Аэрофлот {$AFLT} в марте увеличил перевозки на 21,2%

✅ Газпром {$GAZP} готовится к поставкам газа в Хабаровский край после 2025 года

✅ Результаты Новатэка {$NVTK} за 1 квартал стали значительным позитивным сюрпризом (Мир инвестиций)

✅ «Займер» провел размещение своих акций по нижней границе — 235 рублей

✅ Лента не смогла договориться о ценах с ключевыми партнерами

✅ Акции Ozon {$OZON} в данный момент оценены справедливо (Финам)

✅ Российские угольные компании сократят добычу в 2024 году

✅ Северсталь подала ходатайство о мировом соглашении по ""делу металлургов""

✅ Цена на нефть поднялась выше 92 долларов за баррель {$ROSN} {$TATN}

✅ Позитивные ожидания по акциям МТС на краткосрочную перспективу сохраняется (Атон)

✅ Индекс Мосбиржи по итогам торгов вырос на 0,49%

🌟 Подписывайтесь на канал, если хотите зарабатывать на инвестициях 🌟

❗️Автор этого поста: @Russian_Stocks❗


#акции #россия #пульс #новости #аналитика #трейдинг #инвестиции"
2024-04-13T13:09:38.174+03:00,"{$POLY} взял понаблюдать, наверно не стоит! Слишком большие риски по ней"
2024-04-13T10:49:19.981+03:00,"Добрый день, уважаемые инвесторы!

На этой неделе фондовый рынок России чувствовал себя хорошо. Несмотря на значительные геополитические риски, он по-прежнему растет на ожидании дивидендов.

Инвесторов стал радовать {$GAZP}  Стоимость его акций растет с начала апреля. Похоже, что какие-то фонды стали увеличивать долю Газпрома в своём портфеле.

 Золото почти всю неделю росло. На этом фоне повысились цены на акции золотодобывающих компаний {$PLZL} {$LNZLP} {$POLY} .  Но в пятницу цена желтого металла заметно снизилась. Это начало коррекции или только временный отскок? Узнаем в ближайшие дни.

Доходность стратегии [&Разумный баланс](https://www.tinkoff.ru/invest/strategies/1c5ac2ec-1651-41bc-a70a-d06eeae7afbd) за неделю составила плюс 1,97%
Доходность стратегии [&Грамотное инвестирование](https://www.tinkoff.ru/invest/strategies/e55d20b9-02ef-4bb2-b43b-e5f9722a195c) за неделю составила плюс 0,22%.
Индекс московской биржи за неделю вырос на 1,8%.

Всем желаю хороших доходов!!!

#tmos #sbmx #akme #eqmx"
2024-04-13T10:44:43.846+03:00,"{$POLY} после упадка начал прыгать и в некоторых моментах даже радовать.

Совершенно точно думал, что акция умрëт или опустится до 200 рублей, с учëтом последних новостей, но всë равно закупал когда было под 300.

Сейчас, пускай и не сильно, акция начала идти в плюс, а в месте с ней и график, который хорошо бы подошëл для спекулятивных торгов. 

Есть не малый шанс, что акция вырастит до своего пикового состояния через время. Осталось только ждать и надеятся."
2024-04-13T10:44:21.304+03:00,{$POLY} золото растёт а это гомно ныряет😂😂😂на куканила Полина многих как меня😂
2024-04-13T10:17:10.906+03:00,{$POLY} ооойойоойой
2024-04-13T10:13:28.213+03:00,{$POLY}
2024-04-13T08:12:53.248+03:00,{$POLY} кукан сбылся
2024-04-13T07:49:44.603+03:00,{$POLY} Сильно недооценена акция !
2024-04-13T07:38:00.830+03:00,"Приветствую 👋

📍Перед вами карта дополнительной торговой сессии (каждый вечер с 19:00 до 23:50)
🔹 Закрылись на уровне 3452,43  пункта по индексу Мосбиржи, немного снижаемся

⬆️ Роста на 0,91% хватает БСПБ {$BSPB} , чтобы стать лидером по росту 
🔹 Напоминаю, у банка северной столицы скоро будут дивиденды (3 мая последних день для покупки, 23.37 руб на акцию)

⬇️ Лидирует по снижению Polymetal {$POLY} 
🔹 Днём росли все акции золотобовывающих компаний вслед за золотом, которое находится на своих исторических максимумумах. Ближе к ночи инвесторы разобрались, какое чудовище они купили и спешно начали от Polymetal'а избавляться 

🍾 в 19:00 прямая трансляция
🔹Немного поговорим про изменения Экспериментально портфеля, потом перейдем к разбору ваших портфелей"
