time,text
2024-04-13T15:55:39.595+03:00,"🔥 Кейс компании Positive Technologies {$POSI} демонстрирует стабильный рост и амбициозные планы. За 2023 год отгрузки продукции увеличились на 76%, достигнув рекордной отметки в 25,5 миллиарда рублей. Планируется, что к 2024 году этот показатель возрастет до 40-50 миллиардов рублей, то есть фактически удвоится. Рост до 40 миллиардов рублей рассматривается как минимальная цель, которая вряд ли станет предметом обсуждения. Это означает прирост на 56% в год.

💪 Кроме того, Positive Technologies отличается высокой рентабельностью. Рентабельность собственного капитала (ROE) составляет 73,5%, а рентабельность активов (ROA) – 34,2%. Рентабельность по чистой прибыли без учета капитализируемых расходов также высока и равна 35%.

✅ Компания имеет низкую долговую нагрузку. Отношение чистого долга к EBITDA составляет 0,31х, несмотря на то, что затраты на исследования и разработки (R&D) выросли на 79% в годовом исчислении и составили 5 миллиардов рублей. Эти расходы будут капитализироваться и приносить прибыль.

💸 Positive Technologies также известна своими выплатами дивидендов. В 2024 году на дивиденды будет направлено 6,547 миллиарда рублей, что на 74,59% больше, чем в 2023 году (3,75 миллиарда рублей). Компания планирует продолжать выплачивать 50-100% от чистой прибыли без учета капитализируемых расходов.

🌐 Выход на мировой рынок и долгосрочный процесс импортозамещения программного обеспечения в области информационной безопасности повышают инвестиционную привлекательность не только акций Positive Technologies, но и всего сектора кибербезопасности в России. Positive Technologies, будучи лидером в этой области, особенно привлекательна для инвесторов.

------------------------------------------------------

С Вас 👍 и подписка. А с нас уникальный контент (все своими словами) 😉 на постоянной основе.

↪️Информацию о стратегиях можете посмотреть в профиле.
💼Мы попытались создать полностью разносторонние стратегии, подходящие для каждого типа инвесторов.
🤔Главное: выбрать для себя оптимальную стратегию.

#PositiveTechnologies #рентабельность #дивиденды"
2024-04-13T15:21:16.309+03:00,"{$POSI}  📱 2024 году Группа Позитив  {$POSI} сможет продолжить сильную динамику

😀Объем оплаченных отгрузок по итогам года составил 25,5 млрд рублей, продемонстрировав рост на 76% год к году. 
😀Валовая прибыль отгрузок по итогам года составила 23,7 млрд рублей или 95% от общего объема отгрузок. 
😀Чистая прибыль без учета капитализируемых расходов (NIC) увеличилась на 76% до 8,7 млрд рублей. 
😀Рентабельность по NIC составило 35%, повторив высокий показатель прошлого года.

😀Positive Technologies продолжила наращивать инвестиции в масштабирование бизнеса, разработку новых продуктов и выход на новые рынки.

😀 В 2024 году компания сможет продолжить схожую динамику, с учетом предполагаемой допэмиссии по итогам 2023 года. Позитив остается одним из фаворитов в секторе IT."
2024-04-13T14:58:45.442+03:00,"Итог недели 08 марта – 14 марта 

Понедельник: 10 000 руб.
#AGRO отмена дивидендов из-за технических проблем с выплатой. {$NLMK} СД по дивидендам сегодня, но пока ничего не объявили, возможно, на вечерке появится инфа, либо на днях. #TRMK СД по дивидендам 18 апреля. #AQUA проливы ловил. #ENPG разгоняют из-за роста цены алюминия. {$ALRS} СД по дивидендам 12 апреля. #UPRO за объемом зашел, а когда уже вышел вышла новость: Путин поручил до 1 июня представить предложения по господдержке организаций, имущество которых находится во временном управлении - кремль. {$MAGN} думал за НЛМК пойдет, но как-то вяло, поэтому вышел. #AFKS заходил на пробитие уровня, но как-то постоянно откатывали, поэтому выходил из позиции, потом зачем-то шортил, но ладно, убыток допустимый.

Вторник: 3 000 руб.
{$POSI} отчет шортанул, хоть в целом отчет хороший. {$OZON} шортил после отчета. #OGKB поймал выстрел после публикации: электростанции огк-2 в 1 квартале увеличили выработку электроэнергии на 19,1%, до 16,8 млрд квт.ч. {$ASTR} начали все писать про будущее SPO, только вот мне очень обидно, когда на конференции прямо заявили, что в будущем могут рассмотреть SPO, но реакция в тот была слабая. {$GMKN} гонят наверх после сплита, но пока заработать не получается. {$GAZP} красивая формация была, но потом вставили айсберг и движение заглохло.

Среда: 4 300 руб. 
RKKE в 12:00 был запланирован пуск ракеты, но что-то поломалось. {$BANE} шортил от уровня  3415. SGZH погасили облигации. #MGKL СД по дивидендам 18 апреля. {$SNGSP} подобрал на откате, но надо было смело сидеть дальше и забирать хорошее движение. $SCVB шорт на будущей допке для покупки банка. IRKT зашел объем. {$MTSS} быстрый шорт. #MVID в моменте заходил объем, но движение дальше не было. 

{$NLMK} рекомендовали дивиденды в размере 25,43 руб. на акцию, я в этом принимать участие не стал. На мой взгляд в рамках ожидаемого объявили размер дивидендов, поэтому принял решение просто посмотреть со стороны.

Четверг: -1 200 руб
#AQUA Производственное подразделение ""Инарктики"" в 2023 г. увеличило выручку на 18,5%, до 28,2 млрд руб. #OGKB, #LIFE и ##GRO в моменте заходил объем. {$GAZP} хороший уровень 166 рублей, пока еще в сделке, но есть определенные ожидания. LIFE Мишустин призвал  увеличить долю российских лекарств на рынке до 70% к 2030 г. {$ASTR} завтра истекает lock-up период.

Пятница: -500 руб
Очень много сделок, но движений нет... На вечерке многих {$VKCO} поразил.

Итог: 16 000 руб."
2024-04-13T14:46:09.671+03:00,"Всем добрый день ☀ 🌝⏰
Хороших выходных 🤝

Ожидаемые корпоративные события на предстоящей неделе:

*12 апреля 2024 не было сообщено о результатах события:
🇷🇺 {$AFLT} - СД Аэрофлот. В повестке вопрос о подходе к распределению чистой прибыли/убытков за 2023 г.
🇷🇺 {$ALRS} - СД АЛРОСА. В повестке вопрос о рекомендациях ГОСА по распределению прибыли по результатам 2023 г., в т.ч. по размеру дивидендов по акциям и порядку их выплаты
▫️ $NAUK - СД НПО ""Наука"". В повестке вопрос о рекомендации по распределению прибыли, в т.ч. по размеру дивиденда по акциям и порядку его выплаты

▶️15.04.2024 - ПОНЕДЕЛЬНИК
🇷🇺 {$AKRN} - СД Акрон. В повестке вопрос о рекомендациях по распределению прибыли по результатам 2023 г. (в т.ч. о выплате (объявлении) дивидендов по результатам 2023 г.)

▶️16.04.2024 - ВТОРНИК
🇷🇺 {$FIVE} - X5 Group опубликует операционные результаты за I кв. 2024 г.

▶️17.04.2024 - СРЕДА
💊 {$LIFE} - ВОСА Фармсинтез. В повестке вопрос об увеличении уставного капитала путем размещения дополнительных акций посредством открытой подписки
🇷🇺 {$LSRG} - ГОСА Группы ЛСР. В повестке вопрос о распределении прибыли по результатам отчетного 2023 года (рекомендация СД в размере 100,00 руб на акцию)

▶️18.04.2024 - ЧЕТВЕРГ
🛡 {$POSI} - последний день с дивидендом 47,30 руб
🥇 {$MGKL} - СД МГКЛ. В повестке вопросы о рекомендациях ГОСА по распределению прибыли и размеру дивидендов по акциям и порядку его выплаты по результатам деятельности за 2023 г.
🔌 {$TGKN} - СД ТГК-14. В повестке вопросы о рекомендациях по распределению прибыли и убытков по итогам 2023 финансового года, по размеру дивидендов по акциям и порядку их выплаты
🇷🇺 {$TRMK} - СД ТМК. В повестке вопрос о выплате дивидендов по итогам 2023 г.

▶️19.04.2024 - ПЯТНИЦА
🛡 {$POSI} - дивгэп (закрытие реестра по дивидендам 47,30 руб в субботу 20.04.2024)

▶️21.04.2024 - ВОСКРЕСЕНЬЕ
🌐 {$TTLK} - ОСА Таттелеком. В повестке вопросы, связанные с созывом и подготовкой к проведению ГОСА 15 мая 2024 г., в т.ч. распределение прибыли и выплата (объявление) дивидендов по результатам 2023 г."
2024-04-13T14:12:54.671+03:00,"⚡️Ожидаемые корпоративные события на предстоящей неделе:

🗓15.04.2024 - ПОНЕДЕЛЬНИК
🟢 {$AKRN} - СД по дивидендам за 2023 год

⚡️Ранее не опубликованные события:
🟢 {$AFLT} — СД по дивидендам.
🟢 {$ALRS} — СД по дивидендам.

🗓16.04.2024 - ВТОРНИК
🟢 {$FIVE} - X5 Group опубликует операционные результаты за I кв. 2024 г.

🗓17.04.2024 - СРЕДА
🟢 {$LIFE} - ВОСА по вопросу допэмиссии путем открытой подписки
🟢 {$LSRG} - ВОСА по дивидендам за 2023г - 100руб/акция

🗓18.04.2024 - ЧЕТВЕРГ
🟢 {$POSI} - последний день с дивидендом 47,30 руб
🟢 {$MGKL} - СД по дивидендам за 2023 год
🟢 {$TGKN} - СД обсудит дивиденды за 2023 год
🟢 {$TRMK} - СД по дивидендам за 2023 год

🗓19.04.2024 - ПЯТНИЦА
🟢 {$POSI} - дивгэп (закрытие реестра по дивидендам 47,30 руб в субботу 20.04.2024)"
2024-04-13T14:11:55.718+03:00,"Торговый дневник MOEX. Неделя 16: 08.04. – 12.04.24

Что было на неделе.
Отчитались по МСФО 2023 г.: Globaltrans {$GLTR}, Магаданэнерго (MAGE), МГКЛ {$MGKL}, Славнефть-Янос (JNOS), АФК Система {$AFKS}, Ozon {$OZON}, Позитив {$POSI}, Южный Кузбасс (UKUZ).

Globaltrans продолжаю держать, доля не изменилась, остальное вне моего портфеля.

Плюс отчитался в конце прошлой недели ЦМТ (WTCM). Бумага проходит в портфель по цифрам. Начал набор позиции ЦМТ п (WTCMP).

Кроме того, поучаствовал в ППР компании Займер {$ZAYM}, распределение составило 13% от заявки, докупил на открытии по цене размещения. Бумага проходит в портфель по цифрам, буду держать. 

Итого в портфеле сейчас 18 акций.

В портфеле осталось 3 компании, которые еще не отчитались за 2023 г. по МСФО: Сургут, ДВМП и АМЗ.

Сделок по продаже бумаг на этой неделе не было, таблица без изменений. Потихоньку наращиваю позицию в бумагах в соответствии со своей стратегией."
2024-04-13T13:25:28.357+03:00,"📆 Ожидаемые корпоративные события на предстоящей неделе:

🔴 12 апреля 2024 не было сообщено о результатах события:
🇷🇺 {$AFLT} - СД Аэрофлот. В повестке вопрос о подходе к распределению чистой прибыли/убытков за 2023 г.
🇷🇺 {$ALRS} - СД АЛРОСА. В повестке вопрос о рекомендациях ГОСА по распределению прибыли по результатам 2023 г., в т.ч. по размеру дивидендов по акциям и порядку их выплаты
▫️ {$NSVZ} - СД НПО «Наука». В повестке вопрос о рекомендации по распределению прибыли, в т.ч. по размеру дивиденда по акциям и порядку его выплаты

📌 15.04.2024 - ПОНЕДЕЛЬНИК
🇷🇺 {$AKRN} - СД Акрон. В повестке вопрос о рекомендациях по распределению прибыли по результатам 2023 г. (в т.ч. о выплате (объявлении) дивидендов по результатам 2023 г.)

📌 16.04.2024 - ВТОРНИК
🇷🇺 {$FIVE} - X5 Group опубликует операционные результаты за I кв. 2024 г.

📌 17.04.2024 - СРЕДА
💊 {$LIFE} - ВОСА Фармсинтез. В повестке вопрос об увеличении уставного капитала путем размещения дополнительных акций посредством открытой подписки
🇷🇺 {$LSRG} - ГОСА Группы ЛСР. В повестке вопрос о распределении прибыли по результатам отчетного 2023 года (рекомендация СД в размере 100,00 руб на акцию)

📌 18.04.2024 - ЧЕТВЕРГ
🛡 {$POSI} - последний день с дивидендом 47,30 руб
🥇 {$MGKL} - СД МГКЛ. В повестке вопросы о рекомендациях ГОСА по распределению прибыли и размеру дивидендов по акциям и порядку его выплаты по результатам деятельности за 2023 г.
🔌 {$TGKN} - СД ТГК-14. В повестке вопросы о рекомендациях по распределению прибыли и убытков по итогам 2023 финансового года, по размеру дивидендов по акциям и порядку их выплаты
🇷🇺 {$TRMK} - СД ТМК. В повестке вопрос о выплате дивидендов по итогам 2023 г.

📌 19.04.2024 - ПЯТНИЦА
🛡 {$POSI} - дивгэп (закрытие реестра по дивидендам 47,30 руб в субботу 20.04.2024)

📌 21.04.2024 - ВОСКРЕСЕНЬЕ
🌐 {$TTLK} - ОСА Таттелеком. В повестке вопросы, связанные с созывом и подготовкой к проведению ГОСА 15 мая 2024 г., в т.ч. распределение прибыли и выплата (объявление) дивидендов по результатам 2023 г.

❗️В профиле рассказал о доходности 😏"
2024-04-13T13:04:05.401+03:00,"Мои мысли по {$WUSH} в рекомендациях тинька и раздувание ожиотажа как было с {$SFIN}, напоминает, это, посты мои удалили непонравилось, то что я называю компанию будущим банкротом, но это моё мнение, но удаляют все равно, прежде чем купить вуш или другую пропиаренную акцию, вспомните о судьбе денди, компьютерных клубов, электровелосипедов в Китае, электросамокатов в Париже, фишек с покемонами и сериала, спинеры, видеоигр на автоматах и бесконечный список надоевших игрушек людей👎 не иир, по {$ASTR} и {$POSI} понимаю почему могут расти, от пк и вычислительных мощностей не откажется человечество, а от электросамокатов... БЕЗ ПРОБЛЕМ👍"
2024-04-13T10:55:36.698+03:00,"Решил создать второй счëт и понабрать акций с ближайшими диведендами. 

Купил у брата информацию об акциях за доширак, взял одни из прибыльных акций, а точнее ЛСР и ЛУКОЙЛ и начал ждать. 
Сам счëт показывает себя вполне неплохо, где то падает, где то растëт, но в сильный минус не входит. 

В мае, получу 2к+, если темка сработает, как минимум, диведенды не надуманны. 
Если всë прогорит, придëтся думать без какой почки я смогу жить. 

{$LKOH} {$LSRG} {$POSI} {$IRAO}"
2024-04-13T10:47:17.844+03:00,"{$ETLN} {$FIXP} {$AFLT} {$POSI} {$AFKS} {$VTBR} {$BSPB} 
почему биржа закрыта? Кто в курсе?

Заявки обнулили..."
2024-04-13T10:17:41.895+03:00,"💎 КОРПОРАТИВНЫЕ СОБЫТИЯ СЛЕДУЮЩЕЙ НЕДЕЛИ:

*12 апреля 2024 не было сообщено о результатах события:

 {$AFLT} - СД Аэрофлот. В повестке вопрос о подходе к распределению чистой прибыли/убытков за 2023 г.

 {$ALRS} - СД АЛРОСА. В повестке вопрос о рекомендациях ГОСА по распределению прибыли по результатам 2023 г., в т.ч. по размеру дивидендов по акциям и порядку их выплаты. 

 {$NSVZ}  - СД НПО ""Наука"". В повестке вопрос о рекомендации по распределению прибыли, в т.ч. по размеру дивиденда по акциям и порядку его выплаты. 

🟢15.04.2024 - ПОНЕДЕЛЬНИК

 {$AKRN} - СД Акрон. В повестке вопрос о рекомендациях по распределению прибыли по результатам 2023 г. (в т.ч. о выплате (объявлении) дивидендов по результатам 2023 г.)

🟢16.04.2024 - ВТОРНИК

{$FIVE} - X5 Group опубликует операционные результаты за I кв. 2024 г.

🟢17.04.2024 - СРЕДА

 {$LIFE} - ВОСА Фармсинтез. В повестке вопрос об увеличении уставного капитала путем размещения дополнительных акций посредством открытой подписки
 {$LSRG} - ГОСА Группы ЛСР. В повестке вопрос о распределении прибыли по результатам отчетного 2023 года (рекомендация СД в размере 100,00 руб на акцию)

🟢18.04.2024 - ЧЕТВЕРГ

🛡 {$POSI} - последний день с дивидендом 47,30 руб
🥇 {$MGKL} - СД МГКЛ. В повестке вопросы о рекомендациях ГОСА по распределению прибыли и размеру дивидендов по акциям и порядку его выплаты по результатам деятельности за 2023 г.
🔌 {$TGKN} - СД ТГК-14. В повестке вопросы о рекомендациях по распределению прибыли и убытков по итогам 2023 финансового года, по размеру дивидендов по акциям и порядку их выплаты
🇷🇺 {$TRMK} - СД ТМК. В повестке вопрос о выплате дивидендов по итогам 2023 г.

🟢19.04.2024 - ПЯТНИЦА

🛡 {$POSI} - дивгэп (закрытие реестра по дивидендам 47,30 руб в субботу 20.04.2024)

🟢21.04.2024 - ВОСКРЕСЕНЬЕ

🌐 {$TTLK} - ОСА Таттелеком. В повестке вопросы, связанные с созывом и подготовкой к проведению ГОСА 15 мая 2024 г., в т.ч. распределение прибыли и выплата (объявление) дивидендов по результатам 2023 г."
