time,text
2024-04-11T15:42:53.063+03:00,"Какие сегодня акции пошли на дно, а какие пошли в гору???? 

Далее я расскажу об компаниях, акции которых сегодня просели или выросли  : 

МРСК Юга {$MRKY} акции сегодня просели на 5% после вчерашнего взлёта на 10% и сейчас двигаются в боковом тренде. По моему мнению они останутся на этом уровне до начала следующей недели. 

РБК {$RBCM} акции также просели на 5% и сейчас двигаются в боковике на уровне 19,27 рублей. Я считаю, что  они ещё просядут на 2-3% до конца недели. 

МРСК Сибири {$MRKS} акции за сегодня также просели на 3% и сейчас двигаются в боковом тренде. Я думаю, что они так и продолжат двигаться дальше. 

СПб Биржа {$SPBE} акции за сегодня выросли на 5% и продолжают двигаться в восходящем тренде. По моему мнению они дойдут до уровня 101 рубля. 

ЧЗПСН {$PRFN} акции за сегодня выросли на 3,4% и сейчас пешли в боковой тренд на уровне 6,5 рублей. Я считаю что в скором времени будет корректировка. 

HENDERSON {$HNFG} акции за сегодня выросли на 2,3% и сейчас перешли в боковой тренд на уровне 763 рублей. По моему мнению в скором времени будет корректировка. 

Рынок РФ достаточно ограничен по количеству бумаг.
Не забывайте про диверсификацию и что существуют более перспективные активы, про них вы можете узнать в моем профиле.
В публичном портфеле я продолжаю держать драг металлы и валюту. 

#россия #акции #новичкам #инвестиции #аналитика #идея #прогноз "
2024-04-11T14:45:44.221+03:00,{$PRFN} 7 🤩
2024-04-11T14:41:07.292+03:00,{$PRFN} кто кнопку перепутал?😀
2024-04-10T16:52:05.822+03:00,{$PRFN} появился Покупатель ₽ сезон профнастила открыт по всей РФ!🚀 не ИИР
2024-04-08T17:30:24.085+03:00,{$PRFN} пошла на 6.1
2024-04-08T12:40:16.720+03:00,"Всем привет! Я инвестор - студент (1 курс), очень хочу заработать свой первый миллион рублей. (Часть 2)

Сегодня хороший день, отлично потарговал на акции {$RNFT} , можете сами посмотреть на мои сделки по данной акции, слежу за ней дальше.

{$QIWI} про киви писал в прошлом посту. Жду решения суда с киви, думаю, что 10 числа утром будет рост.

{$LENT} по ленте уже +2,8%, жду 1000₽+ за акцию.

{$MVID} выставил на продажу за 209, брал акцию, чтоб просто за ней следить 

{$NVTK} по НОВАТЭК сегодня был рост, скорее всего будет падение. Держу чтоб хотя бы выйти в ноль.

{$PRFN} сомнительная акция, но жду 7₽

Так же продал акцию {$UWGN} в небольшой плюс и заменил ее акцией {$KZOSP} был большой покупатель, жду небольшого роста и продаю при первом же плюсе.

На этом вроде все. Все комментарии прочитаю, все советы учту. Всем спасибо и хорошего дня!

#помощь #помощьновичкам"
2024-04-07T12:59:45.373+03:00,"{$PRFN} Ладно, устал докупать, можешь идти в планку."
2024-04-05T16:29:52.153+03:00,"Всем привет! Я инвестор - студент (1 курс), очень хочу заработать свой первый миллион рублей. 

{$QIWI}  по сигналам из телеграм каналов всяких взял данную акцию по 300+, очень огорчился, однако открыл для себя такую тему, как скальпинг. Сейчас держу эту акцию с целью 270₽ очень уж не хочу продавать в таком минусе. 

{$LENT}  по ленте я ожидаю 1000₽+ 
Т.к акцией пятёрочки вроде бы больше нельзя торговать, думаю, что все перейдут в акцию Ленты. Так же очень хороший отчет.

{$MVID} взял одну акцию, чтоб за ней следить. А так жду большого объёма и роста акции

{$NVTK} так же взял по сигналу в тг о чем сильно пожалел. Но жду хотя бы 1320₽

{$PRFN} вышел из своего треугольника, жду пробоя у 7₽

На этом вроде все. Все комментарии прочитаю, все советы учту. Всем спасибо и хорошего дня!

#помощь #помощьновичкам"
2024-04-05T12:13:53.520+03:00,{$PRFN} я так понимаю сезон сандвичей только начинается....
2024-04-05T10:58:17.778+03:00,"{$PRFN} успел избавится вчера в минус 10 к, но это лучше чем минус 80 к"
2024-04-05T10:29:23.491+03:00,{$PRFN} летим на 7 ??
2024-04-04T16:29:45.231+03:00,"Что сегодня поползло в гору??? 

Далее я расскажу об акциях, которые сегодня растут : 

Okey group {$OKEY} акции за сегодня выросли на 12% и сейчас немного спустившись перешли в боковик. Я считаю, что они дойдут до уровня 36,45 рубля. 

ОАК {$UNAC} акции за сегодня выросли на 6% и сейчас двигаются в боковом тренде. По моему мнению они сейчас начачнут испытывать корректировку. 

Русал {$RUAL} акции за неделю выросли на 12% и сейчас планов переходят в боковик. Также думаю, что нас ждёт падение на днях. 

ЧЗПСН {$PRFN} акции за сегодня выросли на 6% и продолжают двигаться в восходящем тренде. По моему мнению они сейчас начнут испытывать корректировку. 

Яковлев {$IRKT} акции двигаются в восходящем тренде и ща сегодня выросли на 4%.по моему мнению акции достигнут отметки в 80 рублей, после чего будет корректировка . 

Эн+ {$ENPG} Акции за сегодня выросли на 4% и продолжают свое восходящее движение. По моему мнению их следующая остановка это 495 рублей. 

Рынок РФ достаточно ограничен по количеству бумаг.
Не забывайте про диверсификацию и что существуют более перспективные активы, про них вы можете узнать в моем профиле.
В публичном портфеле я продолжаю держать драг металлы и валюту. 

#россия #акции #новичкам #инвестиции #аналитика #идея #прогноз "
2024-04-04T15:32:30.449+03:00,{$PRFN} Повезло.+3% за 20 секунд на двух качелях
2024-04-04T14:18:34.312+03:00,"{$PRFN} парафин красиво нарисовал треугольник, выход из которого уже начинается🐳"
2024-04-04T13:12:50.393+03:00,{$PRFN} 🤩
2024-04-04T13:03:22.606+03:00,{$PRFN} с чего этот отскок?
2024-04-03T11:39:21.510+03:00,"{$PRFN}  знакомое пробитие , хороший знак , не ИИР"
2024-04-03T10:44:36.229+03:00,"{$PRFN} Профнастил… родимый… что то я пропустил тебя по 5р. ))) Жаль)
Итак, что имеем… заходные Мега объёмы… далее коррекция… где нет ни малейших объёмов))), ну просто нет от слова совсем! Выводы напрашиваются сами собой… пробой линии тренда… и Лонг = можно вполне пробывать начинать. (Без котлет всё же) 
Не ИИР🤝"
2024-04-02T18:46:45.560+03:00,{$PRFN} а шо со стаканом
2024-04-02T15:47:24.104+03:00,{$PRFN} Хотите чтоб ракетила дальше? Просто дайте популярности бумаге. Хотя меня устраивает её цикличность
2024-04-02T12:50:33.353+03:00,"{$PRFN} ну всё растёт, индекс растёт, а тут блин, капец."
2024-04-01T19:38:46.166+03:00,{$PRFN} тут есть кто живой?
2024-04-01T10:54:32.129+03:00,"{$PRFN} надеюсь как обычно +1.5%в верх 
И 5 вниз 😀"
2024-03-28T14:07:17.241+03:00,{$PRFN} опять вниз
2024-03-28T10:23:42.184+03:00,"{$PRFN} у меня скамятся почти все бумаги, индекс 3300 при этом. что за хня!!!!???"
2024-03-28T10:23:04.104+03:00,"{$PRFN}
Кто сливает этот шлак?"
2024-03-27T14:12:54.141+03:00,{$PRFN}
2024-03-27T13:55:12.711+03:00,"{$PRFN} Скоро будет  7, ждемс"
2024-03-25T11:09:17.276+03:00,{$PRFN} по 4 хотелось бы докупить
2024-03-22T12:50:00.893+03:00,"ЧЗПСН ( {$PRFN} ) 

График 2 часа. Пересмотрел график актива и пришёл к тому, что не всё так однозначно. В прошлом посте писал о том, что вижу бумагу только вниз, тогда я не заметил, что у бумаги есть очень мощная трендовая, которая тянется с 2022г. и пробить её будет не так просто + поджатие через треугольник. 

Думаю, что от общего рыночного тренда будет зависеть дальнейшая судьба бумаги. Рынок будет зелёным, тогда увидим мощный пробой треугольника. 

 ☝️ Наберу себе позицию в спекулятивный портфель со стопом"
2024-03-22T11:56:20.476+03:00,"{$PRFN} такое чувство, что он вообще не шевелится, и подниматься не собирается 🖕"
2024-03-20T17:30:46.013+03:00,"{$PRFN} #PRFN 🏗 Профнастил, с тикером Парафин) подобрал по 6,026р, с расчетом на реакцию от ема200 и близость восходящего тренда.
ТП 🎯 7,13р (18,36%)"
2024-03-20T17:04:46.044+03:00,"{$PRFN} всё вниз и вниз, всё вниз и вниз"
2024-03-20T10:30:44.747+03:00,{$PRFN} жду 7
2024-03-19T18:21:27.620+03:00,"{$PRFN} уже 6,3 невозможным кажется! это уже максимально долгий скам"
2024-03-19T17:51:17.467+03:00,"{$PRFN} э Ержан, вставай"
2024-03-18T11:13:54.794+03:00,{$PRFN} куда скакнула
2024-03-14T17:42:18.115+03:00,"{$PRFN} в раздумьях, усреднить, или ну его..."
2024-03-14T11:31:11.348+03:00,"{$PRFN} Вот народ проснулся, ВСЕМ  привет, я думал я тут один"
2024-03-14T11:29:47.094+03:00,"{$PRFN} пока не зафиксирую минус, не ждите роста🤣"
2024-03-14T11:01:09.417+03:00,{$PRFN} рот я твой наоборот
2024-03-13T10:08:51.774+03:00,{$PRFN} может на 7 выйдет 🤔
2024-03-12T11:39:57.721+03:00,{$PRFN} есть кто живой?
2024-03-07T10:56:58.287+03:00,"{$PRFN} 6,7 сегодня будет??"
2024-03-07T10:50:22.713+03:00,{$PRFN} кто подскажет что по объёмам? нормально что она прыгает туды-сюда по проценту в минуту?
2024-03-07T10:38:46.834+03:00,{$PRFN} ну и говнище эти ваши чипсы.
2024-03-07T10:29:38.356+03:00,"•{$PRFN}  давно не видел роста, не пора ли стрельнуть?
•{$SBER} {$LKOH}  опа, пошел объем, индекс выше сразу"
2024-03-06T20:31:26.291+03:00,{$PRFN} чипсы опять пытаются штурмовать неведомые высоты!)
2024-03-06T18:22:27.356+03:00,"{$PRFN}
{$DVEC} 
{$UGLD} 
Продолжаю действовать по своей стратегии🍎🍏"
2024-03-06T18:21:55.820+03:00,{$PRFN} торгуется вечером?
