time,text
2024-04-13T14:08:48.683+03:00,{$QIWI} для тех кто кричит что банкрот делистинг и т.д
2024-04-13T12:32:42.460+03:00,"{$QIWI} интересно, есть компании {$OZON} {$OKEY} {$FIXP} которые генерируют либо отрицательную либо крайне низкую, по сравнению с капитализацией, чистую прибыль, про {$VKCO} вообще молчу и они не складываются в 2-3 раза. 

НО возьмём {$QIWI}, капитализация компании не изменилась на фоне ликвидации АО ""Киви-банка"", поскольку они её уже продали, АО ""Киви Финанс"" продолжит работать (уже заключили несколько договоров с партнёрами и продолжают вести переговоры с банками), а значит дебиторская задолженность перед QIWI PLC будет исполнена. Также знаем, что в июле по истечению срока ликвидации АО ""Киви банка"", QIWI PLC получит 9 млрд. Действительно, что QIWI PLC, что АО "" Киви Финанс"" сразу вернуться к прежней прибыли не сможет, но при этом есть огромный потенциал, в отличие от вышеперечисленных организаций. 


ОДНАКО акции QIWI PLC сложились в 3 раза, некоторые утверждают, что она банкрот и т.д., но капитализация не изменилась. Та капитализация, которая показана в ""Показателях"" Рассчитывается как кол-во акций умноженные на рыночную цену акций, не учитывая дебиторскую задолженность и интеллектуальную собственность. 

Теперь прошу инвесторов, утверждающих, что она банкрот и т.д. объяснить чем QIWI PLC отличается от вк, фикспрайса и озона и почему QIWI PLC банкрот?"
2024-04-13T11:02:37.782+03:00,"{$QIWI} за неделю 3 раза плечо на 0,1 увеличили, есть мнения?"
2024-04-13T10:49:22.409+03:00,"{$QIWI} в чем прикол ,купил по 193 покупают по 210?"
2024-04-13T10:35:18.642+03:00,{$QIWI} можно купить щас и по 210 скинуть
2024-04-13T10:20:05.824+03:00,{$QIWI}  190 закупаемся?
2024-04-13T10:13:14.517+03:00,{$QIWI}
2024-04-13T10:00:22.404+03:00,{$QIWI} эх плечики уже 2.4
2024-04-13T09:47:36.587+03:00,{$QIWI} дилетанты и трусы конечно разбегутся а настоящий инвестор будет вознагражден
2024-04-13T07:31:01.595+03:00,"{$QIWI} среднее цены яблоко 70 р а киви 700 р, а акции Apple 17600р и Qiwi 210 р, так что как бренд тоже будет по этой логике расти, расти, расти до 12000 р за одну акцию, а может и дальше!!!!"
2024-04-13T00:27:34.739+03:00,"{$QIWI}   Ну, что же , всё правильно, как написали в посте ниже, компания действительно очень именитая. Удваивает этот эффект тот немаловажный факт,  что так называется одновременно и вкусный экзотический фрукт,  и проворная маленькая птичка, что само по себе способно создавать не один, а сразу два мыслеобраза в головах тех, кто  слышит это название. 
К тому же, это не только  современный, но и известный бренд из 90-х, причём навевающий ностальгию, так как у очень многих с этим  названием связаны лучшие моменты их жизни, а такими  вещами просто так разбрасываться направо и налево никто в здравом уме не будет. А, тем более, что бренд набрал популярности в последние несколько месяцев, так как о  Киви звучало чуть ли не из каждого утюга, и вряд-ли это прекратится, т.к. будут продолжаться суды ( скандалы , интриги, расследования  😁), а группа, в свою очередь, сообщила , что намерена продолжать работу , несмотря на ликвидацию Киви банка. Заменой которому теперь будет служить мультибанковская площадка и партнёрство с другими крупными банками. И советую не обращать внимания на всяких ""инвесторов"" с никами из набора букв, скачущих с поста на пост, и кукарекающих, что цена акции 20 рублей, а вообще она будет стоить 1 рубль. Хотя , конечно, даже он может оказаться прав, если обвал доллара таки состоится, страшно даже подумать, что будет с Северной Америкой , если доллар будет стоить 44 копейки, ой-ё..."
2024-04-12T23:07:59.437+03:00,"Внимание, друзья! У вас есть уникальная возможность выиграть до 1000₽ в рамках розыгрыша акции от пульса Тинькофф Инвестиции! Примите участие и получите шанс на приятный бонус для вашего портфеля инвестиций. В рамках розыгрыша будут разыгрываться акции таких крупных компаний, как {$IRAO} {$VTBR} {$VKCO} {$SGZH} {$CBOM} {$AFLT} {$WUSH} {$VKCO} {$PIKK} {$QIWI} {$APTK}
Для участия в конкурсе, необходимо подписаться на мой профиль, поставить лайк и рассказать в коментариях о своей самой удачной сделке в инвестициях до 30 мая.
Акция из списка в подарок и победители будут выбраны  с помощью рандомайзера, а результаты розыгрыша вы сможете увидеть на моём YouTube канале.
Не упустите свой шанс на дополнительный доход и присоединяйтесь к акции уже сейчас
Итоги будут объявлены 01.06.2024 в 19:00 по московскому времени.
Победитель получит приз в течении 7 дней после подведения итогов.
#конкурс #Розыгрыш #акции"
