time,text
2024-04-13T10:00:10.324+03:00,"И пусть весь мир подождет

Ближайшие пару недель постов будет сильно меньше, а именно не будет утренних - улетаю отдохнуть. Пару разборов компаний сделаю, опубликую.  
Тинек наконец дал возможность торговать фьючерсами в стратегиях. Это очень хорошо, график  [&Фундаментальная Россия](https://www.tinkoff.ru/invest/strategies/ad7b06b5-e101-4ea6-b997-acc0f2e8d636) при наличии фьючей представлял собой такую же восходящую прямую, но более резкую и уже пробил бы 50% доходность, как минимум. Так что по возвращению буду запускать вторую, с фьючами. Из-за стоимости фьючей порог там будет выше. На фундаментальной нужно от 75тыс., для повторения портфеля. Там будет минимум 200тыс, желательно больше. Вот отдохнувший и займусь.

Что еще интересного:
- Покупатель бывших угольных активов Evraz АВД-Капитал приобрёл акции Распадской на 0.8 млрд руб;
- Добыча угля в РФ в 1кв2024 сохранилась примерно на уровне 2023, по экспорту есть небольшое снижение - замминистра энергетики;
- Танкеры с российской нефтью и нефтепродуктами заблокированы в море из-за новых санкций США против Ирана;
- ""Хезболла""  нанесла удары по северной части Израиля, выпустив примерно 50 реактивных снарядов. По данным The Jerusalem Post, Армия обороны Израиля в ответ атаковала места, откуда осуществлялись пуски;
- США ввели запрет на импорт алюминия, меди и никеля российского происхождения. 

Пока ничего интересного не жду: инфляция высокая, по облигациям разворот не сейчас; акциям серьезно падать не на чем, могут быть фиксации буквально на пару процентов, но ожидание дивов и высокая нефть поддержит котировки; валюте не дали закончить неделю выше ключевого уровня, о котором писал вчера. Это намек на то, что в понедельник, могут дать по башке баксу посильнее. Но даже временный выход к 95+, не будет сигналом похода на сотку - просто ко всем валютам укрепляется бакс на высоких ставках. Рубль не слабеет, а значит вернемся в коридор 88-93 все равно. Золоту нужно немного остыть, все причины для его роста не совсем честные на сегодня:
- закупка банками? да, но это в 4 раза меньше, чем покупки ювелиров, которые куда сильнее влияют на курс, но про них почему-то не говорят;
- ожидание ослабления ставки в США? Откладывается, инфляция только растет;
- рост напряженности на ближнем востоке? Такое себе, сейчас это никому не надо, популяют в друг друга ракетами для галочки и разойдутся. 
{$TCSG}{$RASP}{$MTLR}{$RUAL}{$GMKN}{$MTLRP}{$TGLD}{$GOLD}{$USDRUB}{$CNYRUB}"
2024-04-12T23:53:47.149+03:00,"‼️ Закрываем неделю. Главное

🥇 {$GDU4} Золото обновило новый исторический максимум $2400 за унцию

🔹 {$MTSS} МТС Банк официально объявил о проведении IPO

🔹 Займер {$ZAYM} провел IPO по нижней границе диапазона - 235 руб./акция. Капитализация 23,5 млрд руб., free-float около 15%. ISIN RU000A107RM8, третий уровень листинга. Торги стартовали в 15:00 (мск)

🔹Росстат: помесячная инфляция начала замедляться: в марте +0,39% после +0,68% в феврале и +0,86% в январе. В годовом выражении инфляция немного ускорилась до 7.72%.

🔹ЦБ поддержал идею НАУФОР по освобождению от НДФЛ дивидендов, поступающих на ИИС

▪️Henderson {$HNFG}: СД рекомендовал дивиденды за 1кв 2024 г в размере 30 руб. Выручка за 1кв 2024 г. выросла на 35% г/г до 4,5 млрд руб.

▪️Новатэк {$NVTK} опубликовал предварительные производственные показатели за 1кв 2024 г: добыча природного газа + 1,2% г/г, объем реализации - 3,8% г/г; добыча жидких углеводородов + 12,2%, объем их реализации +11,1%.

▪️Росбанк #ROSB: СД рекомендовал дивиденды 2,9 рублей на акцию. Дивидендная отсечка - 27 мая.

▪️Positive technologies {$POSI} отчиталась по МСФО за 2023 г: чистая прибыль + 76%, объем отгрузок + 76% г/г. СД рекомендовал дивиденды: за 2023г в размере 47,33 руб.; за 1кв 2024г в размере 4,56 руб.

▪️Распадская {$RASP} отчиталась по РСБУ за 1кв 2024г: выручка -19% г/г; чистая прибыль -43,3% г/г.

▪️ Сбербанк {$SBER} - отчетность по РПБУ за март: чистая прибыль = 128,5 млрд руб (+2,6% г/г), чистая прибыль за 1 кв 2024г = 364 млрд руб (+3,9% г/г).

▪️Ozon {$OZON} представил финансовые результаты по МСФО за 4кв и 2023 год: оборот + 111% г/г в 4кв 2023 г. по сравнению с 67% г/г в 4кв 2022 г., выручка +37% в 4кв 2023 года и +53% за полный 2023 год г/г, скорректированная EBITDA в 4кв и в 2023 году была положительной и составила 0,1 и 4,2 млрд рублей соответственно. Чистый убыток за 2023 год снизился на 15,5 млрд рублей г/г, до 42,7 млрд рублей.

▪️Глобалтранс {$GLTR} отчитался по МСФО за 2023г: Скорр. выручка выросла на 7% до 104,7 млрд руб; скорр. EBITDA - на 6% до 52,3 млрд руб.; чистая прибыль выросла на 55% г/г до 38,6 млрд руб.
Вопрос с выплатой дивидендов пока не решен из-за нюансов, связанных со страной регистрации компании.

💡 КИТ Финанс"
2024-04-12T23:37:35.990+03:00,"‼️ Закрываем неделю. Главное

🥇 {$GDU4} Золото обновило новый исторический максимум $2400 за унцию

🔹 {$MTSS} МТС Банк официально объявил о проведении IPO

🔹 Займер {$ZAYM} провел IPO по нижней границе диапазона - 235 руб./акция. Капитализация 23,5 млрд руб., free-float около 15%. ISIN RU000A107RM8, третий уровень листинга. Торги стартовали в 15:00 (мск)

🔹Росстат: помесячная инфляция начала замедляться: в марте +0,39% после +0,68% в феврале и +0,86% в январе. В годовом выражении инфляция немного ускорилась до 7.72%.

🔹ЦБ поддержал идею НАУФОР по освобождению от НДФЛ дивидендов, поступающих на ИИС

▪️Henderson {$HNFG}: СД рекомендовал дивиденды за 1кв 2024 г в размере 30 руб. Выручка за 1кв 2024 г. выросла на 35% г/г до 4,5 млрд руб.

▪️Новатэк {$NVTK} опубликовал предварительные производственные показатели за 1кв 2024 г: добыча природного газа + 1,2% г/г, объем реализации - 3,8% г/г; добыча жидких углеводородов + 12,2%, объем их реализации +11,1%.

▪️Росбанк #ROSB: СД рекомендовал дивиденды 2,9 рублей на акцию. Дивидендная отсечка - 27 мая.

▪️Positive technologies {$POSI} отчиталась по МСФО за 2023 г: чистая прибыль + 76%, объем отгрузок + 76% г/г. СД рекомендовал дивиденды: за 2023г в размере 47,33 руб.; за 1кв 2024г в размере 4,56 руб.

▪️Распадская {$RASP} отчиталась по РСБУ за 1кв 2024г: выручка -19% г/г; чистая прибыль -43,3% г/г.

▪️ Сбербанк {$SBER} - отчетность по РПБУ за март: чистая прибыль = 128,5 млрд руб (+2,6% г/г), чистая прибыль за 1 кв 2024г = 364 млрд руб (+3,9% г/г).

▪️Ozon {$OZON} представил финансовые результаты по МСФО за 4кв и 2023 год: оборот + 111% г/г в 4кв 2023 г. по сравнению с 67% г/г в 4кв 2022 г., выручка +37% в 4кв 2023 года и +53% за полный 2023 год г/г, скорректированная EBITDA в 4кв и в 2023 году была положительной и составила 0,1 и 4,2 млрд рублей соответственно. Чистый убыток за 2023 год снизился на 15,5 млрд рублей г/г, до 42,7 млрд рублей.

▪️Глобалтранс {$GLTR} отчитался по МСФО за 2023г: Скорр. выручка выросла на 7% до 104,7 млрд руб; скорр. EBITDA - на 6% до 52,3 млрд руб.; чистая прибыль выросла на 55% г/г до 38,6 млрд руб.
Вопрос с выплатой дивидендов пока не решен из-за нюансов, связанных со страной регистрации компании.

💡 КИТ Финанс"
2024-04-12T23:00:20.922+03:00,"{$RASP}, {$YNDX}, {$GMKN}, {$GAZP} и тд и тп 🤷🏻‍♂️ 
По три года тюрьмы запросил прокурор для двух трейдеров - Антона Чвирова и Андрея Силуянова. Их обвиняют в манипуляции акциями 14 крупных компаний – Yandex, «Газпром», «Норильский никель», «Акрон», ВТБ, «Дикси Групп», ММК, «Россети», «Московская биржа», МТС, «Распадская», «Сбербанк», «Сургутнефтегаз» и других.

Все ценные бумаги находились в доверительном управлении двух компаний - «Северянка» и «Лидер», сотрудниками последней и являлись обвиняемые. За четыре месяца они слили со счетов клиентов 18 млн руб. По версии СКР, они переливали деньги со счетов клиентов на свои однотипными сделками за счет существенного отклонения цен.
Вот и верь потом разным бесшовным {$TCSG}, {$SPBE} 🤦🏻‍♂️
#однако 🤔 😬"
2024-04-12T22:58:22.137+03:00,"🎀 {$FEES} Эксперт РА» присвоило ПАО «Россети» рейтинг на уровне ruАAA со стабильным прогнозом {$SOFL} {$YNDX} {$IEX}
👨‍💻🔍 ГК Softline заключила стратегическое партнерство с Яндексом для расширенной дистрибуции Яндекс Браузера для организаций 🪨 {$MTLRP} {$MTLR} {$RASP} 
Минэнерго РФ рассчитывает на увеличение поставок угля на восток до 111 млн т в этом году {$OZON}  Инвестфонд «Восток Инвестиции» стал владельцем доли Baring Vostok в маркетплейсе OZON в размере около 28% - сообщение OZON {$RKKE}(косвенно)
🚀 Россия до конца года запустит более 100 космических аппаратов для наращивания орбитальной группировки - Мантуров 💵Всем хороших выходных🧘🏼‍♀️ )))) #вечернийкекс  🍌🫦💅"
2024-04-12T22:06:41.065+03:00,"#вечерний Доброго вечера! 👋 🆕 Подводим итоги прошедшего дня: 

📌 {$SIBN} ⛽️ Газпром нефть: РСБУ 2023
Выручка 3.5 трлн руб (+3.2% г/г)
Чистая прибыль 637.5 млрд руб (-16% г/г)

📌 {$OZON} 📦 «Восток Инвестиции» приобрел около 28% акций Ozon у Baring Vostok Private Equity Funds

📌 🅰️ Доля Вуш в России около 50% - блог Whoosh на Смартлаб {$WUSH}

📌 🪨🪨 Добыча угля в РФ в 1кв 2024г сохранилась примерно на уровне 2023г, по экспорту есть небольшое снижение — замминистра энергетики
{$MTLR} {$RASP}

📌 ✈️ По итогам I кв. 2024 г. процент занятости пассажирских кресел увеличился на 2,1 п.п. и составил 88,3% - блог Аэрофлот на Смартлаб
{$AFLT}

📌 🚗 ""Дочка"" Делимобиля открыла представительство в КНР для прямых закупок запчастей — Интерфакс
{$DELI}

📌 🍏 X5 в 2024г ожидает двузначного роста выручки, компания также готовится пересмотреть дивидендную политику — начальник управления по связям с инвесторами Мария Язева {$FIVE}

📌 {$CHMF} 💿 Северсталь подала ходатайство о мировом соглашении по делу металлургов — Интерфакс
 
📌 {$WUSH} 🛴  «ВУШ Холдинг» сообщает о разработке функции мгновенного старта без открытия приложения

📌 📱 МТС Банк официально объявил о планах провести IPO на Мосбирже

В сообщении кредитной организации (есть у «РБК Инвестиций») говорится, что: 

▪️Инвесторам будут предложены акции, выпущенные в рамках допэмиссии; 
▪️Привлеченные средства будут направлены на реализацию стратегии роста и дальнейшее масштабирование розничного бизнеса;
▪️Среднесрочная цель — удвоение клиентской базы и кредитного портфеля;
▪️Также банк ожидает постепенного увеличения рентабельности капитала (ROE) до уровня 30%;
▪️Участие в IPO будет доступно квалифицированным и неквалифицированным инвесторам {$MTSS}"
2024-04-12T21:26:48.374+03:00,"#НОВОСТИ 
🆕 Сводка новостей.

🔹 {$MTLRP} {$MTLR} {$RASP} Минэнерго РФ рассчитывает на увеличение поставок угля на восток до 111 млн т в этом году.

🔹 {$FEES} ""Эксперт РА"" присвоило ПАО ""Россети"" рейтинг на уровне ruАAA со стабильным прогнозом.

🔹 {$CHMK} {$MTLRP} {$MTLR} ЧМК Мечела в I квартале сократил чистый убыток по РСБУ в 4 раза.

🔹 {$SOFL} {$YNDX} Softline заключила стратегическое партнерство с Яндексом для расширенной дистрибуции Яндекс Браузера для организаций.

🔹 {$OZON} ХОЛДИНГ ""ВОСТОК ИНВЕСТИЦИИ"" ПРИОБРЕЛ У ФОНДОВ BARING VOSTOK ОКОЛО 28% АКЦИЙ ОНЛАЙН-РЕТЕЙЛЕРА OZON ИЗ - СООБЩЕНИЕ OZON.

🔹 {$OKEY} Настоящим сообщаем, что Компания получила уведомление от своего банка-депозитария the Bank of NY Mellon о намерении расторгнуть действующий депозитарный договор в отношении ГДР Группы.

🔹 В последние несколько дней акции {$GMKN} ГМК привлекли моё внимание своим впечатляющим ростом. Котировки компании выросли на целых +9,08%, что стало одним из самых значительных показателей на рынке. Этот взлет цен связывается с ростом стоимости металлов из корзины продукции ГМК. Однако, существует риск, который следует учитывать: если цены на металлы начнут корректироваться, то и акции ГМК могут потерять свои позиции. Я выражаю опасения относительно перегретости сырьевого рынка и считаю, что входить в покупку акций ГМК с текущих уровней значительный риск. Считаю надо выждать коррекцию цен на металлы и лишь после этого принимать решение."
2024-04-12T20:37:28.146+03:00,"⚡️ОСНОВНЫЕ СОБЫТИЯ НЕДЕЛИ:

➜ IMOEX +1,79% (3.456 п.) 
➜ Нефть Brent: -0,95% (90,94 $) 
➜ Золото +1,34% (2378 $) 
➜ Курс доллара: +0,80% (93,275 р)


▪️  {$TCSG} Тинькофф Инвестиции запустили фьючерсы в автоследовании.

▪️  {$HNFG} Общая выручка Henderson в марте 2024 года выросла более чем на 36% к марту 2023 года и составила 1,4₽ млрд

▪️  {$MTSS} Чистая прибыль МТС банка в 1 квартале 2024 года выросла на 32%, до 3,7₽ млрд.

▪️  {$SBER} Сбербанк в 1 квартале 2024 года получил 364₽ млрд чистой прибыли против 350,2₽ млрд годом ранее.

▪️  {$NLMK} СД НЛМК рекомендовал дивиденды за 2023 год в размере 25,43₽ на акцию.

▪️  {$POSI} Акционеры Positive Technologies утвердили первую часть дивидендов за 2023 год в размере 3,1₽ млрд, рекомендован к выплате второй транш на сумму 3,4₽ млрд.

▪️  {$RASP} Чистая прибыль Распадской в 1 квартале 2024 года упала в 1,7 раза, до 2,1₽ млрд.

▪️  {$GLTR} Чистая прибыль Globaltrans выросла в 2023 году на 55%, EBITDA выросла на 6%.

▪️  {$LKOH} ЛУКОЙЛ вложился в шельф Казахстана, компания заплатила 200$ млн за долю в Каламкас-море.

▪️  {$ALRS} Алроса разместила первые в РФ ЦФА, привязанные к продаже инвестиционных бриллиантов.

▪️  {$ZAYM} Московская биржа сегодня начала торги акциями ПАО МФК Займер.
▪️  Займер провёл IPO по нижней границе диапазона в 235₽ за акцию.

▪️   🇷🇺 Набиуллина: пик инфляции остался позади.
▪️  Набиуллина: ЦБ начнёт снижать ключевую ставку, когда убедится, что инфляционные ожидания пришли в норму.
▪️  В Госдуме предложили освободить от НДФЛ дивиденды, поступающие на ИИС.
▪️  Была запущена ракета-носитель «Ангара-А5» 11.04 в 12:00 мск после двух отмен 9 и 10 апреля.
▪️  Минобороны сообщили, что с полигона Капустин Яр проведен успешный испытательный пуск межконтинентальной баллистической ракеты.
▪️  Продажи презервативов в России достигли минимума за пять лет."
2024-04-12T20:35:06.964+03:00,"🇷🇺 НОВОСТИ И МНЕНИЯ ДНЯ 👇 

📌 {$OZON} 
Расписки Ozon оценены справедливо - Финам. По нашей оценке, целевая стоимость расписок OZON на горизонте 12 месяцев составляет 3 894 руб., потенциал роста 3%. Рейтинг «Держать». Для расчета целевой цены мы использовали оценку по мультипликаторам P/Sales и EV/Sales на 2024 г. относительно компаний-аналогов из сектора электронной коммерции.

📌 {$RASP} {$MTLR} 
•Время запредельно высоких цен на уголь ушло и повторение пиков 2022 года произойдет еще очень нескоро, если, конечно, не прилетит очередной «черный лебедь» — Александр Котов из Neft Research

•Экспорт угля становится нерентабельным из-за роста затрат на логистику, импортной пошлины со стороны Китая и курсовой экспортной пошлины, введенной властями РФ — Ъ

📌 {$CHMF} 
Северсталь подала ходатайство о мировом соглашении по делу металлургов — Интерфакс

📌 {$ALRS} 
Успешно состоялся первый проект АЛРОСА и Альфа-банка по выпуску цифровых финансовых активов (ЦФА), привязанных к продажам бриллиантов инвестиционного класса. 100% ЦФА выкуплены инвесторами до официального срока завершения эмиссии.

📌 {$NVTK} 
Операционные результаты Новатэка за 1К24 стали значительным позитивным сюрпризом: добыча высокорентабельных жидких углеводородов выросла на 12%. У нас позитивный взгляд на акции Новатэка, которые торгуются с P/E в 5.4x -  на 50% ниже долгосрочных средних. БКС

📌 {$SVAV} 
Ульяновский автомобильный завод (УАЗ, входит в группу ""Соллерс"") в январе-феврале 2024 года выпустил более 5,2 тыс. автомобилей, это на 65,8% больше, чем годом ранее, сообщила пресс-служба правительства Ульяновской области.

📌 {$LKOH} 
Цены на нефть остаются волатильными на фоне неспокойной макроэкономической обстановки, в то время как действия ОПЕК+ подтверждают намерение стран-участников поддерживать цены на нефть выше $70 за баррель. Наш взгляд на российских производителей нефти остается умеренно-позитивным. Нашим фаворитом в нефтегазовом секторе остается ЛУКОЙЛ с учетом дешевой оценки — 2,1x по EV/EBITDA 2024П против 5-летней средней 3,7x.
Атон

📌 {$UNAC} 
Комсомольский-на-Амуре авиационный завод им. Ю.А. Гагарина Объединенной авиастроительной корпорации (входит в Госкорпорацию Ростех) изготовил и передал Минобороны России первую в этом году партию новых многофункциональных истребителей Су-35С. 

📌 {$MTSS} 
Мы занимаем позитивную позицию по МТС на краткосрочную перспективу. По нашим оценкам на 2024П, МТС сейчас торгуется со справедливым мультипликатором EV/EBITDA 4,7x и может выплатить дивиденды в районе 36 рублей на акцию (доходность 12%) в июне-июле, что также может поддержать бумагу. Атон

📌 {$LENT} 
Лента пытается добиться изменения отпускных цен на товары нескольких крупных поставщиков под угрозой остановки закупок - Ъ

📌 {$HNFG} 
СД Henderson рекомендовал акционерам дивиденды за 1кв 2024г в размере 30руб/акция (ДД 3,9%), ГОСА - 17 мая, отсечка - 3 июня

💡 Смартлаб

🎁ПРЕМИУМ от Тинькофф БЕСПЛАТНО
Тариф🔥 www.tinkoff.ru/baf/9AazI9Yk7Cg

🎁 ВСЕ продукты Тинькофф с бонусами 
Вам 👉 www.tinkoff.ru/baf/5JfiHbzmmiM

#новости #пульс #новичкам #псвп 
#прояви_себя_в_пульсе #news #акции"
2024-04-12T20:29:10.135+03:00,"Новости за сегодня:

{$PLZL}
{$UGLD}
Цена золота впервые в истории превысила $2400 за унцию

{$AFLT}
ГРУППА «АЭРОФЛОТ» В МАРТЕ УВЕЛИЧИЛА ПЕРЕВОЗКИ НА 21,2%, ДО 4 МЛН ПАССАЖИРОВ — КОМПАНИЯ

Минэкономразвития по итогам года ожидает рост числа турпоездок на 8,6%, до 84 млн, из них половина придется на летний туристический сезон — глава ведомства Максим Решетников

{$GAZP}
{$ROSN}
Объем китайско-российской торговли в январе-марте 2024г увеличился на 5,2% и достиг $56,68 млрд — Таможня КНР

{$SVAV}
УАЗ (входит в группу Соллерс) в янв-февр 2024г выпустил более 5,2 тыс авто (+65,8% г/г)

{$CHMF}
Северсталь подала ходатайство о мировом соглашении по «делу металлургов» — ИФ

Северсталь наращивает объемы производства электростали к уровню до введения санкций 
 
В марте 2024 года ЧерМК установил рекорд непрерывной разливки в одну серию на один промежуточный ковш на сортовой машине непрерывного литья заготовок — 179 часов. За этот период разлили 205 плавок или 25,5 тысяч тонн арматурного сортамента для строительной отрасли.

{$ALRS}
Генеральный директор Всемирного алмазного центра в Антверпене уходит в отставку на фоне санкций против России в отношении алмазов — Reuters

{$RASP}
{$MTLRP}
Добыча угля в РФ в 1кв2024 сохранилась примерно на уровне 2023, по экспорту есть небольшое снижение - замминистра энергетики
 
Покупатель бывших угольных активов Evraz «АВД-Капитал» приобрёл акции Распадской на 0,8 млрд руб."
