time,text
2024-04-13T15:12:13.536+03:00,{$RBCM} Получается у компании нет долгов? Или я что-то опять не понимаю?
2024-04-13T12:42:26.858+03:00,"Добрый день итоги недели..
За неделю получилось прибавить к депозиту 8.3 % неделя была удачной..
Один из самых основных профитов дала {$LNZLP} по нему сделано сдело больше 300 спекулятивных,второй по величине дохода это {$ENPG} по нему можно было конечно куш сорвать во время коррекции рынка я его подбирал по 496 рублей а сдался в копейки если один день додержать было профита 5 раз больше..остальные профиты это маленькие {$UWGN} как обычно не много катал, {$RBCM} не много получилось взять, {$MVID} тоже самое по чуть чуть..
А самый большой лось по {$RNFT} последнее время не могу понять что происходит с этой бумажкой не какие уровни не работают..
А у вас как прошло неделя?
Всем профита 💤💤"
2024-04-13T11:01:49.334+03:00,{$RBCM} кто нибудь знает что это за свечка сегодня в выходной день?
2024-04-13T11:00:40.650+03:00,"{$RBCM} что с рбк? Торговать нельзя, а цена изменилась в портфеле! Он на внебирже уже?"
2024-04-12T18:44:29.755+03:00,{$RBCM} что со стаканом?
2024-04-12T18:40:02.284+03:00,{$RBCM} нормально вытряхивают
2024-04-12T18:23:27.466+03:00,{$RBCM} погнали по ТА ))
2024-04-12T17:53:06.550+03:00,"{$RBCM} РБК сломалась,ну надеюсь это не откат как было с ОВК с 76...Думаю еще полет будет,но планок скороее нет..."
2024-04-12T16:45:19.708+03:00,"Для себя выделил три «качели» которые просто могут поиграть на нервах , но тут надо заходить с нижней позиции  и действовать аккуратно 😉 {$RBCM} {$ZAYM} {$SFIN} 

Взял на долгосрок {$BELU} {$SMLT} {$AFKS} {$LKOH} {$SBER}"
2024-04-12T16:29:05.012+03:00,"{$RBCM} росбизнессконсалтинг, бизнесс по-русски, дамы и господа."
