time,text
2024-04-12T18:17:24.607+03:00,"«Что по портфелю». 

Еженедельный отчет портфеля долгосрочного инвестора!

Рассказываю вам о своих активах в портфеле и что происходило за торговую неделю с бумагами в портфеле.

Акции:
📈Взлеты недели
{$SELG} (Селигдар): +8,28%
{$PIKK} (ПИК): +2,25%
{$LKOH} (Лукойл):+1,59%

📉Падения недели
{$TCSG} (ТКС Холдинг): -1,31%
{$RENI} (Ренессанс Страхование): -1,04%
{$TRNFP} (Транснефть ап): -0,82%

{$SBER}
   Сбербанк опубликовал отчетность
РПБУ с результатами за март и первые три месяца 2024 года. 

   👀Информация по дивидендам все ближе!

   Согласно дивидендной политике,
Сбер намерен выплатить акционерам 50% чистой прибыли при достаточности капитала (с учетом внутреннего буфера) выше 13,3%. Таким образом, дивиденды за 2023-й могут составить рекордные 33,7 ₽ на акцию (доходность около 11%). Заседание наблюдательного совета, на котором будут обсуждать выплату, ожидается в апреле.

{$ALRS}
    Заседание совета директоров. На повестке вопрос о рекомендации дивидендов за 2023 год.

   Ранее компания выплатила дивиденды за первое полугодие 2023 года в размере 3,77 ₽ на акцию.

{$RU000A107RZ0}
   ГК Самолет выпуск 13 выплатил купоны в размере 12,12 ₽ за 1 шт, доходность 14,6% годовых.  На данный момент количество бумаг в портфеле 10шт., пока думаю про их долю в портфеле, есть более интересные облигации с ежемесячной выплатой!💵

{$RU000A105QZ6}
   Агротек выпуск 1 выплатил купоны в размере 41,14 ₽за 1 шт, на данный момент доходность составляет 16,5% годовых.  На данный момент количество бумаг в портфеле 7 шт., увеличу их долю в портфеле ближе к следующей выплате купонов!💵

{$TGLD} {$GLDRUB_TOM} 

   В пятницу на прошлой неделе цены на золото достигли нового рекордного максимума. Бурному ралли металла способствовали многочисленные факторы, включая ожидания близящегося цикла снижения процентных ставок в США, действия спекулянтов, а также покупки со стороны центральных банков. На фоне роста золота, растут и цены акций золотодобытчиков. Из таких у меня Селигдар уже 3 неделю в топе Взлеты недели. К этой пятнице цены на золото достигли нового рекордного максимума! Это что новый тренд?😁

Ставьте ваши реакции на обзор портфеля!🚀

Всем отличных выходных! ☀️

#что_по_портфелю
#прояви_себя_в_пульсе"
2024-04-12T11:31:22.913+03:00,"{$RENI} если б ты только знала,
Как ты меня достала( гнусно поет)"
2024-04-12T10:55:09.271+03:00,"{$DIAS} 
{$RENI} 
{$ETLN} 
{$SVCB} 
{$GLTR} 
{$ZAYM} 
Добрый день, уважаемые читатели! 
Завтра я приму участие в инвест. конференции PROFIT.CONF и посещу выступления компаний из списка, представленного выше. Там будет возможность задать несколько вопросов представителям компаний и я хотел бы услышать, что интересно вам. 
Оставляйте комментарии под данным постом с вопросами эмитенту - самые интересные я задам на конференции и опубликую следующим постом ответы представитлей, отметив людей, чьи вопросы были выбраны.
P.S. Прошу не предлагать шуточные вопросы и подписывать сразу какой компании их задать, в формате: 
Вопрос Совкомбанку: По Вашим оценкам, как выкуп Хоум банка по средствам допэмиссии отразиться на Ваших финансовых показателях на горизонте 2-ух лет?
Вопросы будут рассматриваться до 21:00  мск сегодняшнего дня, удачи!"
2024-04-12T09:53:40.883+03:00,"📣 «Я не уверен, настроен ли я оптимистично, но я легко поддаюсь панике»

... говорит обложка к посту.
Так же говорят и российские инвесторы, которые вроде бы и закрылись вчера в плюс, но ох уж эти +0,01% и тени сверху по итогу дня.
Я думаю, что такими перебежками мы так и дойдем до уровня 3500 по фьючерсу {$MMM4}, а там уже буду думать о полном выходе из лонга по индексу. Пока просто подтягиваю стоп-лосс в прибыль, не вижу причин переворачиваться в шорт.
________

📌 По российским позициям в моем поле зрения разнонаправленно:

1️⃣ Это всё тот же лонг Татнефти {$TATN} - вот уже как 8-ую сессию подряд стоим на месте.
Нижние тени с откупом от 701 руб. - вот что мотивирует подержать здесь лонг с первой целью хотя бы на 720 руб.
Про обещание купить чак-чак с профита - помню, поднажмём! 😂

2️⃣ И всё тот же шорт ВКонтакте {$VKCO} - считаю бумагу слабее рынка, скоро планирую закрываться по первой цели 595.
Если пробьет, буду держать дальше до 580 и 560.

3️⃣ Под наблюдением держу Газпром {$GAZP}, который вчера закрылся рядом с 200-дневной скользящей.
Ее не удавалось пробить весь 2023 год, посмотрим, что на этот раз. В случае пробоя следующий будильник ставлю на 168.6 руб.

4️⃣ И снова Ренессанс {$RENI} - все же нарисовали этот восходящий канал с минимума 25 декабря 2023 года?
Так вот - мы снова у нижней границе этого канала. Торговый план не поменялся: «закрепление выше 102 руб. - ищу лонг с целями 104 и 106 руб.»

5️⃣ Ну и замыкает мой сегодняшний топ-5 - доллар {$USDRUB}
Первая попытка выхода из шестимесячного боковика безуспешна: уровень 93.5 был пробит ложно.
Следующая «бычья» подсказка будет в том случае, если поджатие к сопротивлению продолжится, даже несмотря на первый ложный пробой.
________

📣 Хорошего дня, друзья!
И держите «на карандаше» план действий, как бы оптимистично не выглядел рынок!

#пульс_оцени 
#псвп"
2024-04-12T07:32:26.018+03:00,"Утро было дождливым, серым, за окошком моросил мелкий, колючий дождик.

В избушке тепло и уютно, свистит чайник, летучие мыши ржут как кони над сплетнями биржевого леса о том, что {$GLTR} кинет российских акционеров на дивы (Ну и бред же, в самом деле! Неужто опять бестолковый Соловей-разбойник всем в уши насс…кхм..насвистел?), булькает душистое зелье в большом котле…

«Аааааааааааа!!!» - Яга вскакивает с печки и мечется по избушке - «Как это минус 26%?! Кто посмел?! Как так?! В портфеле же сейчас всё зелёное! Ухххх…нечисть, окаянная, навела порчу на мой инвестсчёт!»

Мыши крутят лапой у виска, осторожно посматривая на Учёного Кота, и на всякий случай пробираются поближе к выходу, избушка присела на корточки и тяжело вздохнула, выпуская дымок из печной трубы. 

Все, кроме самой Яги помнили, как вчера она вывела с инвест-счёта в Тиньке часть монеток, чтобы попробовать поторговать и у другого брокера, сравнить тарифы, функционал и всё такое… И, получается, денежки-то на месте, а вот память у Ведьмушки - нет😅

Пришлось закрыть в небольшие минуса {$RENI} и {$FLOT}, которые были не выгодно и бездумно куплены на максималках, и в небольшом плюсе выйти из {$MAGN}

Можно так делать? Наверное, лучше бы нет, но Яге не жаль. Она в инвестициях совсем недавно, депозит маленький, а потому это лучшее решение для всяческих экспериментов, проб и ошибок. Опыт - самое ценное, что можно приобрести в биржевом лесу, а если можно добыть его «малой кровью», то это вдвойне прекрасно!👌🏽

Итак, Яга вернулась в себя, глубоко дышит, любуется тем надёжным добром, что осталось и зеленеет:
{$SBER}
{$GLTR}
{$ROSN}
{$EUTR}
{$TATNP}
{$WUSH} пока красный, но точно будет 🚀

Сказка - ложь, но не сегодня;) 
Заклинаю вас денежной метлой, драгоценные, быть бесстрашными, но внимательными к своим активам🧹💰

#сказки 
#сказки_пульса 
#болталка 
#флуд"
2024-04-12T01:47:14.474+03:00,"ДУМКИ ТРЕЙДЕРОВ.💡РУБРИКА. ЧЕМ И КАК ТОРГУЮТ ТРЕЙДЕРЫ❓ ПРОЖАРИ...,Что думаете?...

#sveta_fx даёт #прогноз. Как вам?
IMOEX продолжаем движение волной 3 в составе более старшей 3ки
Вполне возможно впереди рост усилится

{$IRKT} растяжения не будет
возможно цена продолжит рост через формирование более крупной боковой коррекции в рамках волны Х

{$CIAN} Откатывает предположительно в рамках 2рой пары заходных
Полагаю рост вскоре продолжится 
Кстати неплохой момент для добора

{$OZON} Здесь продолжаем движение наверх в соответствии с предположенной ранее разметкой

{$AFKS} Не смотря на отсутствие стопов, для меня лично такая коррекция = добор с прицелом на волну 5 в р-н верхней границе канaла (грубо 27)

{$ALRS} Вариативность большая, в том числе треуг-к может видоизмениться
Пока остановлюсь на том что он был сформирован и сейчас имеем 1-2 с откатом к уровню поддержки и 50МА
Если это так , уже в ближайшее время увидим рост волной 3

#XAUUSD В золоте пробито сопротивление которое держалось 4 года
Наверняка этот рост продолжится и до конца тут еще оч далеко
Другой вопрос что гармонично разметить его не получается 
Указанный участок как серия заходных выглядит неубедительно, как 2ная тройка тоже так себе
По итогу рост продолжится с коррекциями в 4ых волнах в составе текущей 3 
В моем видении имеет смысл удерживать лонги не смотря на то что стопы уже далеко позади
Полагаю что в текущей 3ке цена пройдет как минимум еще процентов 10

#XAGUSD здесь так же крышу прорвало и цена можети уйти далеко наверх
В разрезе ВА цена может изобразить импульс волной 1 с откатом в волну 2 как это изобразила я
Однако в таких историях важно понимать что сентимент явно бычий, а это означает что красивой книжной разметки может не получиться,
а цена продолжит рост растяжением без значимых откатов

{$RENI} Консолидация над скользящими, но какя-то неуверенная .
Если мощного выхода наверх не последует, значит вбок продолжится волна В

CHWY на текущих уровнях говорить о развороте конечно же рано
Но в целом структура на снижение выглядит законченной

{$NVTK} Пока канал не пробит на верх о развороте говорить бессмысленно , возможно дальнейшее снижение к уровням

{$SIBN} Есть смысл выставить стоп по волне 4 ибо ход ниже спровоцирует  более глубокую коррекцию в р-н 570

SELG Продолжит рост

{$PLZL} нужна более-менее значимая коррекция для понимания что цена перешла в волну 4 
Пока ее нет пропиливание наверх может продолжаться еще долго
https://www.tradingview.com/x/ssfPEym3/

{$VKCO} здесь здесь на 500ых уровнях
В целом предположение то же - продолжение формирования волны Х с выходом наверх

{$YNDX} Полагаю цена продолжит рост волной А примерно как нарисовано

{$NLMK} В металлургах все по ранее предположенной разметке

{$MAGN} Волна А либо уже идет либо скоро начнется

CHMF Так же все по плану
Предполагается дальнейший рост

⚡ ПРОЖАРКА - присоединяйтесь к ленте и проверим самые интересные #идеи из сокрытых каналов ""трейдеров""- уникальный проект в Пульсе"
2024-04-11T17:35:46.025+03:00,{$RENI} 2 месяца на месте
2024-04-11T13:05:23.830+03:00,"{$RENI} Всем добрый день! Рассматриваю 4 часовой график ренессанса.

Что имеем?
1.Восходящий ОФ на старших ТФ (1 d1w)
2.Локальный ребаланс (заполнение бычьего имбаланса в локальном диапазоне)
3.Слом коррекционной структуры внутри старшего диапазона с захваватом ликвидности
4.Реакция от бычьего ордерблока с образованием поглощения

Также присутствует хороший потенциал для роста вверх (12-15% с текущих). Было принято решение открыть лонг позицию. При отработке прогноза планирую частичную фиксацию в районе 113."
2024-04-11T11:32:02.291+03:00,"Торговые прогнозы по теханализу
от Тинькофф 
 
📈 Потенциал роста
 
💼 Бумага Etalon Group PLC ГДР {$ETLN}
💰 Потенциал роста 2.83%
🗓 Срок 4 дня
💡 В 64% случаев в прошлом была прибыль
🔍 На основе индикатора True Strength Index | Gamma
 
💼 Бумага Белон {$BLNG}
💰 Потенциал роста 2.31%
🗓 Срок 14 дней
💡 В 90% случаев в прошлом была прибыль
🔍 На основе индикатора True Strength Index | Delta
 
💼 Бумага Группа ЛСР {$LSRG}
💰 Потенциал роста 6.08%
🗓 Срок 11 дней
💡 В 69% случаев в прошлом была прибыль
🔍 На основе индикатора Stochastic RSI | Gamma
 
💼 Бумага Полюс {$PLZL}
💰 Потенциал роста 1.81%
🗓 Срок 7 дней
💡 В 67% случаев в прошлом была прибыль
🔍 На основе индикатора Awesome Oscillator | Gamma
 
💼 Бумага Полюс {$PLZL}
💰 Потенциал роста 1.33%
🗓 Срок 6 дней
💡 В 65% случаев в прошлом была прибыль
🔍 На основе индикатора Awesome Oscillator | Alpha
 
💼 Бумага Ренессанс Страхование {$RENI}
💰 Потенциал роста 3.1%
🗓 Срок 4 дня
💡 В 88% случаев в прошлом была прибыль
🔍 На основе индикатора Stochastic RSI | Beta
 
💼 Бумага Саратовский НПЗ - акции привилегированные {$KRKNP}
💰 Потенциал роста 1.95%
🗓 Срок 4 дня
💡 В 67% случаев в прошлом была прибыль
🔍 На основе индикатора Stochastic RSI | Gamma
 
💼 Бумага Селигдар {$SELG}
💰 Потенциал роста 2.18%
🗓 Срок 4 дня
💡 В 64% случаев в прошлом была прибыль
🔍 На основе индикатора Awesome Oscillator | Alpha
 
💼 Бумага ЮУНК {$UNKL}
💰 Потенциал роста 1.52%
🗓 Срок 4 дня
💡 В 62% случаев в прошлом была прибыль
🔍 На основе индикатора Awesome Oscillator | Alpha

Источник: Tinkoff trading

🪄 ПРЕМИУМ от Тинькофф БЕСПЛАТНО https://www.tinkoff.ru/baf/5aE4TqnnnH3 👑
                                      +
🪄 БЕСПЛАТНАЯ кредитная карта: 
https://www.tinkoff.ru/baf/46DPL8h7gFk 💳

☝🏿60 + 60 🧮 Суммарно 120 дней премиум тарифа Вам БЕСПЛАТНО 

#акции #инвестиции #пульс #новичкам #рынок #прогноз"
2024-04-11T09:40:08.047+03:00,"Разбавлю портфель, дивидендными Акциями:
1. {$PHOR} цена в долгосрочном боковике, по ряду причин: экспортные пошлины, минимальные цена на удобрения, те же санкции. 

Но потенциал у компании есть, добираю и буду добирать. С учетом разгона инфляции по всему миру сырьевые производители, были и будут в топе. Себестоимость производства в России минимальна в сравненнии со всеми остальными конкурентами и странами. Спрос и соответственно цена, наладятся по простой причине, что запасы удобрений в развитых странах на минимальных уровнях, стоимость производства выросла в разы. 

""А кушать хочется всегда!""

2. {$RENI} услуги страхования для больших капиталов будут актуальны всегда. Компания эффективно развивается расширяя перечень услуг и объективно оценивая риски. 

Компания не прям ракета, но в долгосроке с учетом дивидендов, будет обгонять инфляцию. 

Всем добра Бобра!"
