time,text
2024-01-26T15:58:52.570+03:00,"{$RGSS} никаких манипуляций, конечно)) {$SBER}"
2023-10-02T18:53:05.147+03:00,{$RGSS}
2023-08-09T12:32:16.983+03:00,{$RGSS}
2023-04-05T11:08:47.773+03:00,{$RGSS}
2023-02-22T23:52:18.465+03:00,{$RGSS} @Tinkoff_Investments почему не могу добавить бумагу в избранное? 🤔
2023-02-22T23:40:21.897+03:00,"⚡Гарри Покер и Тайная Комната 

 До начала нового учебного года в Казино Чародейства и Волшебства {$MOEX} остались считанные дни. Для патриота Гарри он будет уже вторым по счёту, поэтому Мальчик Который Выжил, первым делом посетил Гринготтс Центральный Банк.

Внутри здания разносилось эхо печатного станка, а за столами сидели всё те же гоблины, держа в руках свежий выпуск ОФЗ и немного золота. Юный резидент готовился к очередным приключениям...


 СОРТИР КАЗИНО

👀 Гарри внезапно обнаружил у себя способность URL, с помощью которой ему удалось попасть в Тайную Комнату {$ROSB} , где валялся исписанный дневник модератора:
💬 «Время от времени мы изменяем базовый список, скрывая или добавляя в него бумаги. Делаем это опираясь на различные факторы, а также внутренние критерии» {$TCSG} 

➗ ""Время от времени"" — это пару лет назад, когда в казино была ликвидность, но те бумаги все равно покупали только под кулёк для семечек.  

➗ ""Различные Факторы"" — ❓Продавать фантики вне стакана по своей цене рентабельнее, чем ставить ММа ещё куда-то.

➗ ""Внутренние критерии"" — по каким параметрам на витрине казино стоит шальной {$KROT} с балансовой стоимостью ≈10 млрд ₽, но отсутствует, например: {$RGSS} ≈45 млрд ₽? 

Цены на шоколад за год выросли в 9 раз, а ЦБ заявляет про инфляцию 11.77% г/г. 
Кому верить⁉️ 


 ТОТ-КОГО-НЕЛЬЗЯ-НАЗЫВАТЬ

С момента появления темных волшебников в казино прошло немало времени, но маглы стали замечать неладное только, когда Гарри и его друг Крот Уизли взлетели на ракете со сломанным маркетмейкером. Министерство Магии не стало отбирать волшебные палочки у нарушителей, потому что данное колдовство помогает закрывать дыры в бюджете. На этом фоне Темный Лорд решил вернуться и выступить перед Пожирателями Смерти, дабы снова рассказать им про свою борьбу с грязнокровками.

🗣️ По ходу встречи, Волан-Де-Вор и его соратники не раз использовали Темные Искусства в своих заклинаниях. Развеять их чары нам сегодня поможет профессор Серджиус Снегг: 

1️⃣ Безработица в РФ находится на историческом минимуме и составляет 3,7 процента. 

🪄 Решаем уравнение
Дано:
🅰️ сокращение общего объема производства в промышленности × уход работодателя в лице транснациональных компаний. 
🅱️ эмиграция × мобилизация × по 3 смены на заводах ВПК × демографическая яма (поколение бэбибума уходит на пенсию и его заменяют девяностики с 00-ками, которых родилось на треть меньше).

🅰️ / 🅱️ ≠ 3,7%

❌ Ответ не совпадает с Росстатом. А если добавить 1 переменную? 
🅾️, да. Пол ставочки внесут свои поправочки — 🫴 «неполная занятость».

🅰️ / 🅱️ + 🅾️  = 3,7%
👌Теперь другое дело.


2️⃣ Объемы ввода жилья впервые в современной истории России превысили 100 млн кв. м. {$PIKK} {$SMLT} 

🪄На 1 дек 2022. Из них лишь 37,3 млн. кв.  приходится на многоэтажные дома. Рост [+5,5% г/г] достигли только за счет ""последнего шанса"" взять панельку по льготной ипотеке.🤙 

🪄 Из-за такой аферы отчаянные люди побежали осенью вкладываться в недвижку, пока дают 1%.  Позже льготную ипотеку ""внезапно"" продлили, а последствия вот:

 ➖ Банк России посчитал потенциально проблемными 44% клиентов, оформивших ипотеку в октябре–декабре 2022 года: они тратят на кредиты свыше 80% своего дохода.

🎁 В итоге сосать медвежью лапу будет застройщик, либо банкир, который его кредитует, что вряд ли. {$SBER} 


3️⃣ План по дефициту бюджета на 2023 год в размере 2% ВВП сохраняется — Минфин.

🪄 Размещения ОФЗ за 2023:

🐵 12 янв➖40,5 млрд.₽
🙊 18 янв➖106,97 млрд
🙉  25 янв➖62,07 млрд
🙈 1 фев➖140,23 млрд
🐒 23 фев➖Аукцион ОФЗ признан несостоявшимся в связи с отсутствием приемлемых цен.

✌️ На добровольный взнос такой же спрос.  Расплачиваться за свои ошибки надо самому,   не красиво доить бизнес до потери Пульса, когда у тебя пухнет кубышка в СНГ. {$USDRUB}


💫 Шалость удалась, теперь можно с чистой душой отправляться в АзкаБан, не дожидаясь поцелуя дементоров. 


#сатира - 👈==🤡=👍

#обзор #новости #экономика #россия #трейдинг #мемы #инвестиции #портфель #аналитика"
2023-02-02T11:25:20.187+03:00,{$RGSS} для себя
2022-11-30T13:36:17.431+03:00,{$RGSS} а что здесь так тихо? Как на кладбище?
2022-09-20T20:57:43.511+03:00,"{$RGSS} ситуация, почему так. ? @Pulse_Official"
2022-09-08T10:29:26.578+03:00,{$RGSS} счастье любит тишину
2021-03-23T23:43:11.970+03:00,"{$RGSS} кто знает, какие новости по этой какахе есть? Дивы или ещё что?"
2021-02-02T22:42:23.947+03:00,{$RGSS} {$SBER} почему Росгосстрах не отображается в поиске ? Может уже стоит это пофиксить ? @Pulse_Official
2021-01-27T21:51:54.442+03:00,{$RGSS} кто знает когда по дивам за 2020 будет разговор?
2021-01-26T16:46:29.933+03:00,{$RGSS} когда дивы прилетят?
2020-12-30T19:36:04.888+03:00,{$RGSS} по этой ссылке можно будет посмотреть результаты встречи акционеров 30.12.2020 предполагаемо в разделе «дополнительная информация для акционеров» :   https://www.rgs.ru/about/investors/oao/index.wbp
2020-12-14T16:30:48.909+03:00,"{$RGSS} Совет директоров предложил выплатить дивиденды из нераспределённой прибыли за 2018-2019 гг, которые на сегодняшний день составят более 9%. Решение о выплате будет приниматься на заочном собрании акционеров 30 декабря 2020. «Выплата дивидендов акционерам - дополнительное свидетельство финансовой устойчивости страховщика, последовательно наращивающего сборы страховой премии»,- из заявлений компании. Дата отсечки: 12 января 2021. Купить до 8 января 2021. Дата выплаты: 26 января 2021."
