time,text
2024-04-13T15:30:21.802+03:00,"📊#анализ_идеи

РКК Энергия {$RKKE} 🚀

Предыдущий прогноз от 13.01.24
➡️https://www.tinkoff.ru/invest/social/profile/Frenoris/c7b04bd5-5c96-4767-86cc-cd498dc17701/

В прошлом посте писал, что ожидаю рост в рамках 3 волны младшего цикла с целью в районе 36000р.
Идея отработала хорошо. 11 апреля цена дошла до отметки 38090р.
Это движение завершило формирование 3 волны младшего цикла.

📈🔍Посмотрим текущую ситуацию :

Глобально идет восходящее движение в рамках (3) волны малого цикла с целью в районе 45000р.

Локально идет снижение в рамках 4 волны младшего цикла с целью в районе 30000р.

Пересмотрю сценарий на глобальный рост при пробитии уровня 28680р. вниз.
______________________________________
Торгую интересные идеи в рамках стратегий автоследования.
✅Подписывайтесь, чтобы ничего не пропустить.

#рккэнергия #rkke #выходные #аналитика #теханализ #прояви_себя_в_пульсе #пульс_оцени"
2024-04-13T13:31:27.983+03:00,{$RKKE} теперь будут висеть до июня
2024-04-13T13:03:09.630+03:00,{$RKKE} когда ждать 40 тысяч?
2024-04-13T10:41:43.429+03:00,{$RKKE} тухловатая тут торговля))
2024-04-13T01:27:57.800+03:00,"Итоги торгов 🇷🇺
Покупатели обретают уверенность

👍 Лидеры: 
 {$UGLD} ЮГК (+5,73%), 
 {$PLZL} Полюс (+3,8%), 
 #РБК (+3,37%), 
 {$RTKMP} Ростелеком-ап (+3,32%).

👎 Аутсайдеры: 
 {$RKKE} Энергия (-5,3%), 
 {$VSMO} ВСМПО-АВИСМА (-2,8%), 
 {$EUTR} ЕвроТранс (-2,66%).

{$IMOEXF} Российский рынок акций открылся вверх на позитивном внешнем фоне, после чего продолжал умеренно повышаться, периодически обновляя максимумы с февраля 2022 г. Восходящая динамика индекса МосБиржи была неустойчивой, он испытал несколько заметных коррекционных откатов от достигнутых вершин, но сумел закрыться недалеко от них в неплохом плюсе.

Препятствием для более уверенного роста нашего рынка выступала очередная решительная попытка укрепления рубля после того, как на утренней сессии его курс испытал заметное снижение. Правда, итоговый плюс российской валюты был небольшим.

Дополнительным фактором, ослабляющим покупки акций, могла выступать традиционная для пятницы осторожность инвесторов из-за опасений реализации каких-либо рисков на выходных. Если этого не произойдет, а в понедельник ключевые внешние и внутренние условия будут хотя бы нейтральными, скорее всего, индекс МосБиржи продолжит подъем с ближайшей целью в районе психологически важного уровня 3500 п.

Объем торгов (74,4 млрд руб.) немного увеличился, что не свойственно пятнице. С другой стороны, в предыдущие две сессии показатель сокращался и уже был далек от высоких уровней. Тем не менее сигнал от торговых оборотов умеренно позитивный, поскольку рост индекса МосБиржи с обновлением многомесячных вершин сопровождается некоторым усилением активности инвесторов.

Акции золотодобытчиков ускорили рост и показали сегодня результат существенно лучше рынка во главе с бумагами {$UGLD} ЮГК. Усилению восходящей динамики сектора способствовало резкое подорожание золота, которое в моменте прибавляло более 3%, в очередной раз обновив исторический максимум. Правда, к нашему закрытию почти весь дневной плюс был потерян, затем стоимость драгоценного металла и вовсе ушла в минус.

Бумаги {$GMKN} Норникеля вернулись к умеренному подъему после двухдневной коррекции. Стоимость никеля и палладия остается на относительно высоком уровне, хотя и наблюдаются решительные коррекционные попытки. В целом позитивное влияние оказывает и недавно проведенный компанией сплит — теперь инвесторам с меньшим капиталом будет комфортнее вкладываться в бумаги Норникеля. Видим и спекулятивную составляющую в их росте. Ближайшая цель покупателей — 166 руб. Годовой таргет аналитиков БКС — 180 руб.

Акции {$SFIN} ЭсЭфАй после шести сессий снижения сильно отскочили от нового месячного минимума. Правда, к закрытию более половины большого дневного плюса было потеряно. С конца 2023 г. бумаги подорожали более чем в четыре раза в ожидании IPO дочерней компании Европлан, состоявшегося в конце марта, а также погашения 55% акций ЭсЭфАй, которое одобрили на прошлой неделе акционеры. По факту этих событий многие инвесторы решили зафиксировать большую и относительно быструю прибыль от удержания бумаг компании.

{$USDRUB} Рубль в начале торгов активно дешевел, но после старта основной сессии быстро восстановился. Правда, развить восходящее движение не удалось: рубль умеренно сдал позиции и закрылся в небольшом плюсе к бивалютной корзине.

Поддержку рублю уже может постепенно оказывать фактор налогового периода. Очередной пик фискальных платежей приходится на 25 апреля, и для этих целей все больше компаний может продавать иностранную валюту. В результате ее предложение на рынке увеличится, что будет способствовать укреплению рубля или защитит его от быстрого ослабления, если спрос на валюту также усилится.
💡 БКС

🎁Тинькофф Премиум БЕСПЛАТНО👉👉👉 https://www.tinkoff.ru/baf/2sAG2S4QnYY"
2024-04-13T00:41:58.937+03:00,"Какая из ракет 🚀 будет лететь Выше ? А какой суждено упасть? Вы все знаете, что я профессионально провожу каждый теханализLDVR а главное – сверхточно 🔮✨

Предлагаю Вам выбрать в комментариях, кого я разберу в следующий раз, но, есть 2 условия 👇

Во-первых, выбирать можно будет только из списка лидеров худшего движения за эту неделю из 2-3 эшелона:

📈 Энергия ркк -5.3% {$RKKE} 
Всмпо -3.4% {$VSMO} 
Евротранс -2.7% {$EUTR} 
Делимобиль -2.3% {$DELI} 
Хендерсон -1.9% {$HNFG} 
Чмк -1.8% {$CHMK}  
Русснефть -1.4% {$RNFT}  
Эталон -1.3% {$ETLN} 
Новабев -1.1% {$BELU}  
Лср -1.1% {$LSRG} 
Фикспрайс -0.9% {$FIXP} 
Соллерс -0.7% {$SVAV}  
Куйбышев -0.6% {$KAZT} 


Во-вторых, разборов будет столько, сколько десяток ракет 🚀 Вы наберёте в реакциях на этом посте:

Будет 10 ракет 🚀 – будет один разбор.
Будет 23 ракет 🚀 – будет два разбора.
Будет 130 ракет 🚀 – разберу все 13.
Не забудь подписаться, чтобы не пропустить пост!

Жду ваших комментариев, разборы будут у меня в Профиле и на Ютубе, поэтому, подписывайтесь, чтобы не пропустить пост 😌 #ТОПнедели"
2024-04-12T23:42:01.189+03:00,"Итоги торгов 🇷🇺
Покупатели обретают уверенность

👍 Лидеры: 
•{$UGLD} ЮГК (+5,73%), 
•{$PLZL} Полюс (+3,8%), 
•#РБК (+3,37%), 
•{$RTKMP} Ростелеком-ап (+3,32%).

👎 Аутсайдеры: 
•{$RKKE} Энергия (-5,3%), 
•{$VSMO} ВСМПО-АВИСМА (-2,8%), 
•{$EUTR} ЕвроТранс (-2,66%).

{$IMOEXF} Российский рынок акций открылся вверх на позитивном внешнем фоне, после чего продолжал умеренно повышаться, периодически обновляя максимумы с февраля 2022 г. Восходящая динамика индекса МосБиржи была неустойчивой, он испытал несколько заметных коррекционных откатов от достигнутых вершин, но сумел закрыться недалеко от них в неплохом плюсе.

Препятствием для более уверенного роста нашего рынка выступала очередная решительная попытка укрепления рубля после того, как на утренней сессии его курс испытал заметное снижение. Правда, итоговый плюс российской валюты был небольшим.

Дополнительным фактором, ослабляющим покупки акций, могла выступать традиционная для пятницы осторожность инвесторов из-за опасений реализации каких-либо рисков на выходных. Если этого не произойдет, а в понедельник ключевые внешние и внутренние условия будут хотя бы нейтральными, скорее всего, индекс МосБиржи продолжит подъем с ближайшей целью в районе психологически важного уровня 3500 п.

Объем торгов (74,4 млрд руб.) немного увеличился, что не свойственно пятнице. С другой стороны, в предыдущие две сессии показатель сокращался и уже был далек от высоких уровней. Тем не менее сигнал от торговых оборотов умеренно позитивный, поскольку рост индекса МосБиржи с обновлением многомесячных вершин сопровождается некоторым усилением активности инвесторов.

Акции золотодобытчиков ускорили рост и показали сегодня результат существенно лучше рынка во главе с бумагами {$UGLD} ЮГК. Усилению восходящей динамики сектора способствовало резкое подорожание золота, которое в моменте прибавляло более 3%, в очередной раз обновив исторический максимум. Правда, к нашему закрытию почти весь дневной плюс был потерян, затем стоимость драгоценного металла и вовсе ушла в минус.

Бумаги {$GMKN} Норникеля вернулись к умеренному подъему после двухдневной коррекции. Стоимость никеля и палладия остается на относительно высоком уровне, хотя и наблюдаются решительные коррекционные попытки. В целом позитивное влияние оказывает и недавно проведенный компанией сплит — теперь инвесторам с меньшим капиталом будет комфортнее вкладываться в бумаги Норникеля. Видим и спекулятивную составляющую в их росте. Ближайшая цель покупателей — 166 руб. Годовой таргет аналитиков БКС — 180 руб.

Акции {$SFIN} ЭсЭфАй после шести сессий снижения сильно отскочили от нового месячного минимума. Правда, к закрытию более половины большого дневного плюса было потеряно. С конца 2023 г. бумаги подорожали более чем в четыре раза в ожидании IPO дочерней компании Европлан, состоявшегося в конце марта, а также погашения 55% акций ЭсЭфАй, которое одобрили на прошлой неделе акционеры. По факту этих событий многие инвесторы решили зафиксировать большую и относительно быструю прибыль от удержания бумаг компании.

{$USDRUB} Рубль в начале торгов активно дешевел, но после старта основной сессии быстро восстановился. Правда, развить восходящее движение не удалось: рубль умеренно сдал позиции и закрылся в небольшом плюсе к бивалютной корзине.

Поддержку рублю уже может постепенно оказывать фактор налогового периода. Очередной пик фискальных платежей приходится на 25 апреля, и для этих целей все больше компаний может продавать иностранную валюту. В результате ее предложение на рынке увеличится, что будет способствовать укреплению рубля или защитит его от быстрого ослабления, если спрос на валюту также усилится.

💡 БКС

🎁ПРЕМИУМ от Тинькофф БЕСПЛАТНО
Тариф🔥 www.tinkoff.ru/baf/9AazI9Yk7Cg

🎁 ВСЕ продукты Тинькофф с бонусами 
Вам 👉 www.tinkoff.ru/baf/5JfiHbzmmiM

#новости #пульс #новичкам #псвп 
#прояви_себя_в_пульсе #итоги"
2024-04-12T22:58:22.137+03:00,"🎀 {$FEES} Эксперт РА» присвоило ПАО «Россети» рейтинг на уровне ruАAA со стабильным прогнозом {$SOFL} {$YNDX} {$IEX}
👨‍💻🔍 ГК Softline заключила стратегическое партнерство с Яндексом для расширенной дистрибуции Яндекс Браузера для организаций 🪨 {$MTLRP} {$MTLR} {$RASP} 
Минэнерго РФ рассчитывает на увеличение поставок угля на восток до 111 млн т в этом году {$OZON}  Инвестфонд «Восток Инвестиции» стал владельцем доли Baring Vostok в маркетплейсе OZON в размере около 28% - сообщение OZON {$RKKE}(косвенно)
🚀 Россия до конца года запустит более 100 космических аппаратов для наращивания орбитальной группировки - Мантуров 💵Всем хороших выходных🧘🏼‍♀️ )))) #вечернийкекс  🍌🫦💅"
2024-04-12T19:52:25.756+03:00,"{$RKKE} 12 апреля 2024 г., Президент РФ Владимир Путин поручил кабинету министров до 15 июня выделить средства для реализации проекта ""Развитие космической ядерной энергетики России"".

""При участии Госкорпорации ""Роскосмос"" и Госкорпорации ""Росатом"" принять решения о выделении начиная с 2024 года из федерального бюджета бюджетных ассигнований в объеме, необходимом для реализации мероприятий, предусмотренных федеральным проектом ""Развитие космической ядерной энергетики России"", — говорится в поручении, опубликованном на сайте Кремля в четверг.

Особое внимание необходимо обратить ""на реализацию мероприятий по развитию имеющегося научно-технического задела в сфере космической ядерной энергетики"", отмечается в документе."
2024-04-12T19:43:10.031+03:00,"{$RKKE} 
🚀 Россия до конца года запустит более 100 космических аппаратов для наращивания орбитальной группировки - Мантуров


Сразу песня вспомнилась ""полетаем, ну и пусть разобьёмся"" 

#космос
#ракета
#новости
#события
#рынок
#акции
#россия"
