time,text
2024-04-13T16:15:04.212+03:00,"Результаты недели 🚀

На этой неделе много гонял {$RNFT}, там была повышенная волатильность и местами получалось улавливать движения. На чём и удалось забрать топ профит по неделе +1 400 000 руб.

Второй тикер в топе это {$OZON}, который я пошортил после отчета и конфкола, забрав более 500 000 руб. Там и сейчас шортовая картина + пишут, что акции оценены справедливо, а значит расти в данный момент времени не на чем. Стоим на перелой 3700, я думаю вместе со скорым разворотом рынка и озон полетит очень хорошо вниз. Хотя я думаю он может это сделать уже независимо от рынка. Я кстати и сейчас там в шорте.

Остальные сделки там уже по мелочи насобирал.

Топ лось за неделю это {$ALRS}, я её держал в лонге до выхода новостей об СД по распределению прибыли. После новостей я решил добрать к своим 20к лотам, ещё 10к, но случайно в терминале выбрал объём 100к лотов вместо 10 ну и кликнул купить) В итоге позиция стала 77тыс лотов, которую пришлось резать в -400 тыс. руб, так как котировки не пошли в нужном направлении)

В алоре из-за этого в том числе на этой неделе минус. Общий результат за неделю около 1 000 000 руб."
2024-04-13T16:13:05.229+03:00,"{$RNFT} вышел из этой, в шорт {$RUAL} ( запрет США на реэкспорт российских алюминия, меди,никеля,и запрет на Лондонской и Чикагской)"
2024-04-13T16:01:19.816+03:00,"{$RNFT} я не понимаю эти внебержевые торги, прыгает плю-минус 1 копейку, фигня какая-то! Зачем они нужны!?"
2024-04-13T15:18:19.568+03:00,{$RNFT} Там КСИР танкер еврейский захватил. Вы слышали об этом или может быть видели?
2024-04-13T14:29:23.315+03:00,{$RNFT} ну тут всем всё понятно
2024-04-13T14:28:21.454+03:00,"{$RNFT} ну что паникеры, акции насыпьте мне, раз бежите с корабля"
2024-04-13T14:18:46.003+03:00,"{$RNFT} в понедельник вернемся на уровни 275 рублей. 
Вторник нужно пробить 287 по-хорошему. 
Не иир"
2024-04-13T14:17:51.464+03:00,"‼️Большая проблема многих трейдеров 

А вы замечали, что многие люди имеют повышенный интерес к очень волатильным акциям. Они думают, что на них можно больше и быстрее заработать.

Последние неделю заметил повышенную заинтересованность многих к акциям {$RNFT}

🧐Почему так ? 
Просто потому что в этих акциях была повышенная волатильность и они ходили от 3 до 25% внутри одного дня. 

Люди считают, что если акция обладает такой волатильностью - это значит, что на ней можно зарабатывать невероятные деньги и вот именно ее и стоит торговать.

❌В корне неверное решение. 

Во-первых, повышенная волатильность - это не только повышенная потенциальная прибыль, но и повышенной риск, про который участники рынка никогда не думают. 

Во-вторых, зачастую, людям достаточно одной лишь повышений волатильности для того, чтобы начать торговать акцию. Они не смотрят на торговый сэтап, на направление тренда, на другие внешние факторы. Просто берут и торгуют! 
Потому, что большая волатильность. 

🧠Я абсолютно не понимаю логику торговли без торговой стратегии. 

Нужно торговать не то, что имеет повышенную волатильность, а то, где вам понятен торговый сэтап и логика вашей сделки. Это может быть как и на волатильной акции, так и наоборот."
2024-04-13T14:02:32.098+03:00,{$RNFT} шортики идут девочкам с  хоршей фигурой а на лстальных смешно...
2024-04-13T13:41:00.214+03:00,{$RNFT} Начинается Турнир значит все рынок сейчас пойдет вниз ⬇️
2024-04-13T13:11:07.940+03:00,"Тинёк на выходных торгуется вне биржи и, пользуясь маленькими объёмами и негативными новостями, опускают акции, чтобы закупиться, как было в прошлые выхи с {$RNFT} (предприятия владельца остановили работу в связи с затоплением), которую в понедельник с утра разогнали до трёхгодичного максимума🚀!!! (см.график)
Для примера: когда объёмы меньше в 100 раз, даже при помощи маленьких денег, акциями легко манипулировать. Я поддалась панике и, вместо того, чтобы озолотиться в понедельник, разорилась в воскресенье!😏
/Тем более, что коррекция на вечёрке была вызвана коррекцией растущего ПолюсЗолота, т.к. там были аномальные самые крупные в акциях объёмы. Сейчас в них снова разворот на рост. Да и в индексе под закрытие виден задёрг вверх./
{$ENPG} {$GMKN} {$RUAL}"
2024-04-13T12:51:08.467+03:00,"Маленькое обновление к предыдущему посту по {$SIBN} {$RNFT} {$TATN} {$LKOH} — нужно внимательно следить за развитием геополитической ситуации в ближайшие сутки-двое. Если конфликт будет развиваться по экстремальному сценарию, то есть смысл хоть на фулл депо в нефтяников идти. Но это конечно моё мнение и не иир. Вы ж знаете."
2024-04-13T12:42:26.858+03:00,"Добрый день итоги недели..
За неделю получилось прибавить к депозиту 8.3 % неделя была удачной..
Один из самых основных профитов дала {$LNZLP} по нему сделано сдело больше 300 спекулятивных,второй по величине дохода это {$ENPG} по нему можно было конечно куш сорвать во время коррекции рынка я его подбирал по 496 рублей а сдался в копейки если один день додержать было профита 5 раз больше..остальные профиты это маленькие {$UWGN} как обычно не много катал, {$RBCM} не много получилось взять, {$MVID} тоже самое по чуть чуть..
А самый большой лось по {$RNFT} последнее время не могу понять что происходит с этой бумажкой не какие уровни не работают..
А у вас как прошло неделя?
Всем профита 💤💤"
2024-04-13T12:03:02.153+03:00,"{$RNFT}
Залез в нее с плечами, и теперь ""гадаю на кофейной гуще"", что же с ней не так? Вернее что не так с нефтью? 
На ближнем востоке нездоровый движ начался, Иран с Израилем противоборствуют что то там, и по хорошему цена на нефть должна пойти вверх на этом фоне, а она вниз идёт, от чего так?
У кого какие мысли на этот счёт. Как говорится, это я дурак, или лыжи не едут?)"
