time,text
2024-04-13T14:01:02.364+03:00,"{$ROLO} ДАЙТЕ В 0 ВЫЙТИ ПО 1,46🥲"
2024-04-13T12:44:31.093+03:00,{$ROLO} укатка на 1.1₽? 😂
2024-04-13T12:03:38.246+03:00,"🔮 Торговые прогнозы по теханализу
от Тинькофф
 
📈 Потенциал роста
 
💼 Бумага Globaltrans Investment PLC {$GLTR}
💰 Потенциал роста 5.71%
🗓 Срок 14 дней
💡 В 90% случаев в прошлом была прибыль
🔍 На основе индикатора True Strength Index | Zeta
 
💼 Бумага Whoosh {$WUSH}
💰 Потенциал роста 5.56%
🗓 Срок 24 дня
💡 В 93% случаев в прошлом была прибыль
🔍 На основе индикатора Aroon | Gamma
 
💼 Бумага Россети Московский регион {$MSRS}
💰 Потенциал роста 3.84%
🗓 Срок 11 дней
💡 В 90% случаев в прошлом была прибыль
🔍 На основе индикатора Stochastic RSI | Gamma
 
💼 Бумага РусГидро {$HYDR}
💰 Потенциал роста 7.96%
🗓 Срок 20 дней
💡 В 92% случаев в прошлом была прибыль
🔍 На основе индикатора Aroon | Gamma
 
💼 Бумага Эн+ {$ENPG}
💰 Потенциал роста 2.1%
🗓 Срок 12 дней
💡 В 67% случаев в прошлом была прибыль
🔍 На основе индикатора Stochastic RSI | Gamma
 
 
📉 Потенциал падения
 
💼 Бумага Аэрофлот {$AFLT}
💰 Потенциал падения 9.08%
🗓 Срок 17 дней
💡 В 81% случаев в прошлом была прибыль
🔍 На основе индикатора Stochastic RSI | Gamma
 
💼 Бумага Банк ВТБ {$VTBR}
💰 Потенциал падения 7.73%
🗓 Срок 23 дня
💡 В 83% случаев в прошлом была прибыль
🔍 На основе индикатора Stochastic RSI | Gamma
 
💼 Бумага ГК Самолет {$SMLT}
💰 Потенциал падения 7.23%
🗓 Срок 13 дней
💡 В 68% случаев в прошлом была прибыль
🔍 На основе индикатора Stochastic RSI | Gamma
 
💼 Бумага КАМАЗ {$KMAZ}
💰 Потенциал падения 9.73%
🗓 Срок 13 дней
💡 В 62% случаев в прошлом была прибыль
🔍 На основе индикатора Stochastic RSI | Gamma
 
💼 Бумага Русолово {$ROLO}
💰 Потенциал падения 1.47%
🗓 Срок 8 дней
💡 В 68% случаев в прошлом была прибыль
🔍 На основе индикатора Stochastic RSI | Beta
 
💼 Бумага Сегежа {$SGZH}
💰 Потенциал падения 2.39%
🗓 Срок 10 дней
💡 В 62% случаев в прошлом была прибыль
🔍 На основе индикатора Awesome Oscillator | Gamma
 
💼 Бумага Таттелеком {$TTLK}
💰 Потенциал падения 5.92%
🗓 Срок 10 дней
💡 В 65% случаев в прошлом была прибыль
🔍 На основе индикатора Stochastic RSI | Gamma

Источник: Tinkoff_Trading

🪄 ПРЕМИУМ от Тинькофф БЕСПЛАТНО https://www.tinkoff.ru/baf/5aE4TqnnnH3 👑
                                      +
🪄 БЕСПЛАТНАЯ кредитная карта: 
https://www.tinkoff.ru/baf/46DPL8h7gFk 💳

А ещё вас ждут подарки 🎁 + 🎁 акции крупной компании и многое другое❕

#акции #инвестиции #пульс #новичкам #прогноз"
2024-04-13T11:50:12.356+03:00,"{$ROLO} давайте уж все металлы под одну гребёнку)) С другой стороны хорошо, что в пт, а не в вс новости подвезли. К понедельнику уже все устаканится."
2024-04-13T11:34:09.420+03:00,гавно{$ROLO}
2024-04-13T11:29:12.302+03:00,"{$ROLO} 😁говорил же впридачу пойдёт вниз , пофигу что олово и принадлежит селигдару , хомяки одни словом"
2024-04-13T11:24:39.492+03:00,"Банда, привет!

Что ж, неделя вышла суетная, но ведь суетологов меньше не становится?)
Давайте начнём с высоких материй и $USDRUB. Есть мнение (на наших диванах), и конец недели на это намекал, что сильно долго валюта в таком коридоре не продержится. Как по мне, я вижу сжатую пружину, которая рано или поздно стрельнёт. Поэтому, сильный респект пацанам, кто не забывает регулярно пополнять котлету зелени.👍

Теперь за $GMKN. Один из наших аналитиков сильный параноик (может потому, что у него #рентв 24 часа на фоне?). И этот кадр заявляет, что сплит акций несёт в себе скрытую цель. Как бы не просили мы его снять шапку из фольги, не поддаётся. Но задвигает теорию, что таким образом владельцы хотят нагнать хомяков, чтобы разогнать цену, чтобы кто-то сильно важный смог продать сильно большой пакет бумаг. Ибо одно дело сплиты Теслы с косаря баксов, а другое Норникель, который и по 15 за пачку берут нормально. Короче, пока теория, будем наблюдать.❗️

Что по планам? Потихоньку избавляюсь от нашего народного говна (удобрений же). Сдал под расписку {$KAZT}, {$PHOR}  и $AKRN. Но это не значит, что я в них не верю. Бумаги в затяжном боковике, заработать на них очень не скоро получится. Под замену взял {$ROLO} и $UGLD. Последняя сильно новая на бирже. Общим алгоритмом её не оценить, пришлось вспоминать навыки эмпиризма (тут нужна картинка Сарумана с палантиром). Золото же. Пацаны советуют сейчас делать ставку на него.🤔

Так, теперь по стратегиям:
• [&Фонды - имба!](https://www.tinkoff.ru/invest/strategies/7b3e12b3-e5eb-4066-adf4-03d0429c9655) сделали плюс 1,62% за неделю и 9% за месяц. За последний месяц обгоняем #imoex на 0,28%, #sp500 на 3,45%, #nasdaq100 на 2,57% 
• [&Нейросети тащат!](https://www.tinkoff.ru/invest/strategies/67e59bdd-bbfb-4191-a101-5d02b0c9e0a0) сделала плюс 1,93% за неделю и 8,48% за месяц. За последний месяц обгоняем #imoex на 2,74%, #sp500 на 5,78%, #nasdaq100 на 5,2%
Радостно.😇

Ок, немного за прогнозы по доходности. Когда-то писал, что наш выбор - долгосрок и пассивный доход. Минусы активной торговли для меня перевешивают её возможный доход. С учётом исторического роста рынка, получать один-два процента в неделю роста капитала вполне реально (но на правильных бумагах). То есть, 40% в год цифра хоть и округлённая, но взята не с потолка. Хоть наши стратегии и выполнили её уже на половину, ориентируемся на годовую доходность. Так что, кто ещё хочет без нервов копить на что-либо - #подписывайся_ставь_лайк!

Ладно, на этом будем прощаться.
Всем удачи и на связи!



#пульс_оцени
#хочу_в_дайджест
#аналитика
#дивананализ
#прояви_себя_в_пульсе"
2024-04-13T10:43:51.248+03:00,{$ROLO} почему закрылось
2024-04-13T09:51:07.324+03:00,{$ROLO} ВАДЯ ПЕРЕНЕС ПОЗУ🥲🐹😁
2024-04-13T09:40:28.499+03:00,"{$GMKN} {$ROLO} {$RUAL} 

⚡️Великобритания присоединилась к санкциям США против России в отношении торговли металлами, — РБК. Не ИИР."
