time,text
2024-03-31T16:19:03.671+03:00,{$ROSB} побудь тут
2024-03-20T16:29:17.599+03:00,{$ROSB} что тут за манипуляции? И все останется безнаказанным
2024-03-14T16:45:24.192+03:00,"{$ROSB} {$TCSG} из переписки с поддержкой месяц назад. 
Ps: у меня premium"
2024-03-14T15:33:21.711+03:00,{$ROSB} выдвигается наверх
2023-05-07T14:21:39.308+03:00,{$ROSB} Почему эту акцию не возможно купить и даже добавить в избранное? Почему такие тайны по малоликвиду?🤔
2023-04-24T09:00:53.819+03:00,{$ROSB} рекомендовал направить на дивиденды свыше 50% прибыли
2023-04-06T14:07:53.845+03:00,{$ROSB} себе на память
2023-03-24T15:20:10.915+03:00,{$ROSB}
2023-03-22T11:51:53.965+03:00,{$ROSB} супер
2023-03-21T18:42:55.161+03:00,{$ROSB} купить не возможно!:(
2023-03-21T18:34:21.054+03:00,"{$ROSB}  неужели настолько неликвидная бумага, что нет ни одной записи? Они отчитались, и прибыль серьезно просела. Думаю, бумага должна упасть. Дороже 100 рублей за акцию покупать точно не буду."
2023-03-10T11:37:25.281+03:00,"{$ROSB} ждем цели по уровню 125-130
не иир"
2023-03-09T11:36:14.133+03:00,{$ROSB} ракета
2023-03-03T07:24:45.466+03:00,{$ROSB} заманчивая бумага.Точку входа для начала найти и выждать момент.Бумага даст большую прибыль
2023-03-02T22:50:21.019+03:00,{$ROSB} еще одна бумага из скрытого пула
