time,text
2024-03-05T07:36:51.480+03:00,"🗓КАЛЕНДАРЬ НА СЕГОДНЯ — 2024.03.05

🇦🇺Австралия - Services/Composite PMI (фев) - 01:00мск
🇯🇵Япония - Services/Composite PMI (фев) - 03:30мск
🇨🇳КНР - Caixin Services/Composite PMI (фев) - 04:45мск
🇨🇳КНР - Премьер Ли представит цель роста ВВП КНР на 2024г 
🇮🇳Индия - Services/Composite PMI (фев) - 08:00мск
🇷🇺РФ - Services/Composite PMI (фев) - 09:00мск
🇹🇷Турция - потребинфляция CPI (фев) - 10:00мск
🇿🇦ЮАР - Services/Composite PMI (фев) - 10:15мск
🇩🇪Германия - Services/Composite PMI (фев) - 11:55мск
🇪🇺Еврозона - Services/Composite PMI (фев) - 12:00мск
🇷🇺РФ - ЦБ огласит объем продаж валюты на март - 12:00мск
🇬🇧Британия - Services/Composite PMI (фев) - 12:30мск
🇿🇦ЮАР - ВВП (4кв 2023г) - 12:30мск
🇪🇺Еврозона - проминфляция PPI (янв) - 13:00мск
🇧🇷Бразилия - Services/Composite PMI (фев) - 16:00мск
🇨🇦Канада - Services/Composite PMI (фев) - 17:30мск
🇺🇸США - Services/Composite PMI (фев) - 17:45мск
🇺🇸США - ISM Non-Manufacturing PMI (фев) - 18:00мск
🇺🇸США - Factory Orders (янв) - 18:00мск
🇺🇸Barr (ФРС) - 23:30мск
🛢нефть США - запасы API - 00:30мск

🇷🇺 {$SVCB} на срочном рынке Московской биржи начнутся (https://www.moex.com/n67942) торги поставочными фьючерсными контрактами и премиальными опционами на акции Совкомбанка

🇷🇺 {$MOEX} Мосбиржа - сд рассмотрит вопрос о дивидендах 2023г

попсовые отчетности: 
🇷🇺 {$MTSS} МТС - МСФО 2023г
🇷🇺 {$AFLT} Аэрофлот - МСФО 2023г
🇨🇳 #NIO Nio - 12:30мск
🇺🇸 {$TGT} Target - 14:30мск
🇺🇸 {$ROST} Ross Stores - 00:00мск
🇺🇸 {$CRWD} Crowdstrike - 00:05мск"
2024-02-15T09:53:16.801+03:00,"Ежедневный обзор
Российский фондовый рынок

📈До заседания СД Банка России остаются считанные дни, биржа две сессии подряд неожиданно останавливает торги, нефть дешевеет, и на этом фоне рынок завершил среду в символическом плюсе, растеряв бóльшую часть внутридневной прибавки. Дивидендная тема помогла Сбербанку {$SBER} (+0,7%) и Ростелекому {$ROST} (+2,5%), которые, в свою очередь, внесли весомый вклад в положительный результат рынка в целом. Сегодня выйдет отчетность Yandex за 4К23, но инвесторов сейчас куда больше интересуют новости о реструктуризации компании. Акции TCS Group {$TCSG} последний день торгуются сегодня в «стандартном» режиме. Хотя iMOEX подбирается к 3300 пунктам, в условиях явной нехватки фундаментальных факторов роста рынок, скорее всего, продолжит колебательные движения в узком коридоре, да и Банк России вряд ли даст много поводов для ликования: большинство экспертов сходятся во мнении, что ставка останется неизменной.

📉Доходности коротких ОФЗ по итогам вчерашнего дня выросли на 10–17 б. п., в то время как на среднем и дальнем участках кривой изменения оказались минимальными и не носили единого характера. В тройку лидеров по объему торгов вошли два длинных выпуска, 26244 (12,32%, 2034 г.) и 26238 (12,18%, 2038 г.), и один короткий — 26222 (13,44%, октябрь 2024 г.). Доходность первых двух по итогам дня прибавила 2 б. п., а третьего — выросла на 17 б. п.

💸СмартТехГрупп (CarMoney) {$CARM} – опубликованы операционные результаты за 2023 г. – портфель займов составил 4,9 млрд руб. (+10,1% г/г), объем выдач — 3,8 млрд руб. (+22% г/г) – в 4К23 выдачи достигли 1,03 млрд руб (+26% г/г), рост портфеля ускорился благодаря привлеченному капиталу – наблюдается прогресс в развитии партнерских программ – умеренно позитивно

🔎Ozon {$OZON} – опубликованы предварительные результаты за 2023 г., показатель GMV вырос на 110% г/г до 1,7 трлн руб. – скорректированный показатель EBITDA — «положительный» – нейтрально

📊Макроэкономика – инфляция в январе выросла до 0,86% м/м, что выше уровня декабря – ускорение обусловлено ростом цен на услуги – в недельном выражении инфляция также ускорилась, достигнув 0,12% за период с 6 по 12 февраля – изменения ключевой ставки на заседании ЦБ РФ завтра не ожидаем

🛢НОВАТЭК {$NVTK} – переработка газового конденсата в Усть-Луге возобновлена 11 февраля (Reuters) – 21 января на предприятии произошел пожар – отгрузки газового конденсата и накопленных продуктов переработки возобновились еще 24 января – авария, по нашим оценкам, не окажет заметного влияния на финансовые результаты этого года – позитивно

🛢РуссНефть {$RNFT} – Банк ТРАСТ намерен продать в этом году весь свой пакет привилегированных акций РуссНефти («Интерфакс») – ему принадлежат 66% «префов» или 16,5% уставного капитала – не сильно повлияет на компанию с точки зрения фундаментальных факторов – для нее главный вопрос — выплата $ 1,0 млрд по кредиту в 1К26 – нейтрально

🌐Yandex {$YNDX} – президент В. Путин разрешил сделки с акциями Яндекс Банка – смена контроля над банком произойдет в рамках реорганизации головной структуры – следующий важный этап — назначенные на 7 марта собрания акционеров Yandex, которые должны утвердить продажу российских активов консорциуму стратегических инвесторов – позитивно

📌На повестке: рынок нефти — ежемесячный доклад МЭА; Yandex {$YNDX} — отчетность за 4К23 по МСФО; Софтлайн {$SOFL} — «День инвестора»
🕶️Источник: Sinara 

Постоянно следим за актуальными новостями. С Вас подписка😎

🪄 Подключайте автоследование
📝В профиле Вы сможете найти их описание."
2024-01-26T23:43:06.157+03:00,"🚀🚀🚀Акции «ПЕРЕВЕРНУТЫЕ РАКЕТЫ» сегоднешнего дня : 
——————
🏆Лидеры ПАДЕНИЯ : (ТОП 10)

🔴{$APTK} ➖ (-7,55%) ;
—
🔴{$TGKB} ➖ (-3,44%) ;
 —
🔴{$MRKS} ➖ (-3,35%) ;
—
🔴{$MGKL} ➖ (-2,21%) ;
—
🔴{$LIFE} ➖ (-1,96%) ;
—
🔴{$KZOS} ➖ (-1,95) ;
—
🔴{$LSRG} ➖ (-1,82%) ;
—
🔴{$ROST} ➖ (-1,50%) ;
—
🔴{$KROT} ➖(-1,48%);
—
🔴{$INGR} ➖(-1,44%);
—
🔴{$UGLD} ➖ (-1,43%).
—————————
❓В целом не самая плохая торговая сессия вышла сегодня , Вы как думаете ?
-
🚀- Согласен.
👎 - Не согласен.
🛋️- Отдыхаю )))"
2024-01-24T23:23:23.016+03:00,"🚀 Акции «ракеты» сегоднешнего дня : 
——————
🏆Лидеры : (ТОП 10)

🟢{$MRKY} ➖ (+15,30%) ;
—
🟢{$VRSB} ➖ (+11,95%) ;
 —
🟢{$KLSB} ➖ (+8,23%) ;
—
🟢{$MRKV} ➖ (+6,78%) ;
—
🟢{$ROST} ➖ (+4,64%) ;
—
🟢{$MVID} ➖ (+4,36%%) ;
—
🟢{$MRKC} ➖ (+4,11%) ;
—
🟢{$PMSB} ➖ (+3,28%) ;
—
🟢{$BANE} ➖(+3,06%);
—
🟢{$DVEC} ➖(+3,00%);
—
🟢{$LSNG} ➖ (+2,72%).
—————————
❓В целом не самая хорошая торговая сессия вышла сегодня , ваше мнение ?
-
🚀- Согласен.
👎 - Не согласен."
2024-01-23T23:53:06.524+03:00,"🚀👎 Акции « перевернутые ракеты» сегодняшнего дня : 
——————
🏆🔴Лидеры падений : (ТОП 10)
—
🔴{$RASP} ➖ (-3,89%) ; 
—
 🔴{$LIFE} ➖ (-3,64%) ;
—
 🔴{$SPBE} ➖ (-3,89%) ;
—
 🔴{$ROLO} ➖ (-2,13%) ;
—
 🔴{$ROST} ➖ (-1,98%) ;
—
 🔴{$CHMK} ➖ (-1,93%) ;
—
 🔴{$MTLR} ➖ (-1,75%) ;
—
 🔴{$ALRS} ➖ (-3,89%) ;
—
 🔴{$ENPG} ➖ (-3,89%) .
—
🔴{$ELFV} ➖ (-1,59%).
————————————
❓В целом , сегодня была неплохая торговая сессия , ваше мнение ?
—
🚀- Согласен.
👎- Не согласен."
2023-12-31T02:18:05.047+03:00,{$ROST} пояснительную бригаду. Дивиденты за заблокированные акции?
2023-12-22T15:00:11.578+03:00,"🔮 Максимальный рост сводного прогноза за неделю:

1. {$GEVO} - прогнозная цена выросла с 3 до 4
2. {$ZUO} - прогнозная цена выросла с 15 до 18
3. {$BTAI} - прогнозная цена выросла с 13 до 14
4. {$HHRU} - прогнозная цена выросла с 3051 до 3521
5. {$NTAP} - прогнозная цена выросла с 90 до 100
6. {$SWN} - прогнозная цена выросла с 9 до 10
7. {$BF.B} - прогнозная цена выросла с 67 до 73
8. {$PCG} - прогнозная цена выросла с 17 до 19
9. {$LSRG} - прогнозная цена выросла с 714 до 772
10. {$ROST} - прогнозная цена выросла с 132 до 144

Сводный прогноз, отображается в виджете 'Об инструменте' в терминале Тинькофф Инвестиции и рассчитывается на основании прогнозов ряда инвестдомов и аналитиков.

#forecastweeklyshift #акции"
2023-12-01T09:23:58.468+03:00,"📅 Ваш #календарь предстоящих событий на 1 декабря 2023 г.

•Последний день под #дивиденды

🇷🇺 🔥 ВУШ Холдинг #WUSH - 10,25 ₽ на акцию, доходность ~4.6%
🇮🇱 ICL Group #ICL - 0,0531 $ на акцию, доходность ~1.1%
🇺🇸 Banco Bradesco SA #BBD - 0,003898 $ на депозитарную расписку, доходность ~0.1%
🇺🇸 🔥 Nike {$NKE} - 0,37 $ на акцию, доходность ~0.3%
🇺🇸 Glacier Bancorp {$GBCI} - 0,33 $ на акцию, доходность ~1%
🇺🇸 Ross Stores {$ROST} - 0,335 $ на акцию, доходность ~0.3%
🇺🇸 Donaldson Company {$DCI} - 0,25 $ на акцию, доходность ~0.4%
🇺🇸 Old Republic International {$ORI} - 0,245 $ на акцию, доходность ~0.8%
Amkor Technology {$AMKR} - 0,07875 $ на акцию, доходность ~0.3%
🇺🇸 H&R Block {$HRB} - 0,32 $ на акцию, доходность ~0.7%
🇺🇸 F.N.B. #FNB - 0,12 $ на акцию, доходность ~1%

💡 BlackTerminal.com

🎁ПРЕМИУМ от Тинькофф БЕСПЛАТНО
Тариф🔥 www.tinkoff.ru/baf/82cNSMQgh5Z

🎁 ВСЕ продукты Тинькофф с бонусами для Вас 👉 www.tinkoff.ru/baf/1Qsew5KDJJA
 "
2023-11-20T09:21:20.493+03:00,"☕️ Новости к открытию рынка

📈Лидеры

{$ROST} Ross Stores +7,22% —  Отчет III квартале лучше прогноза. Компания — прибыль на акцию  1,33 $, доходы составили 4,9B $. Прогноз —  прибыль на акцию 1,22 $, общий доход составит 4,83B $.

{$EXPE} Expedia +5,05%
{$ALB} Albemarle +3,91%
{$HUBB} Hubbell +3,89%
{$WBD} Warner Bros Discovery +3,78%

📉Аутсайдеры

{$AMAT} Applied Materials -4,02%
{$CF} CF Industries -3,31%
{$MOH} Molina Healthcare -3,30%
{$HUM} Humana -2,89%
{$BBWI} Bath & Body Works -2,46%

🗞Новости

🟠После падения цен на нефть почти на 20% с конца сентября ОПЕК+ будет рассматривать на заседании в конце этого месяца вопрос о дополнительном сокращении поставок нефти — ПРАЙМ

🟠Суд в США согласился рассмотреть иск экс-акционеров ЮКОСа к РФ на $50 млрд. Судья не признал право РФ на суверенный иммунитет в США — Ъ

🟠Правительство поддержало штрафы за непродажу валютной выручки. Для юрлиц предельный размер штрафа — от 3/4 до одного размера суммы валютной выручки, не проданной в установленном порядке — Ъ

🟠В РФ могут смягчить требования к ремонту для нефтеперерабатывающих предприятий. Это связано с нехваткой оригинальных запчастей — ТАСС

🟠Qiwi в III квартале 2023 года увеличила общую чистую выручку по МСФО на 0,8% — до 8,8 млрд рублей с 8,7 млрд рублей годом ранее. Скорректированная чистая прибыль снизилась на 24% — до 3,6 млрд рублей — ИНТЕРФАКС

🟠С января по октябрь дефицит федерального бюджета РФ сократился до 1,235 триллиона руб. — до 0,7% ВВП — ПРАЙМ

🟠ЕС планирует отказаться от российских алмазов. В этом году поставки российских алмазов в ЕС уже упали в четыре раза. Пока непонятно, как именно европейские власти будут отслеживать российские камни, ограненные в других странах — Ъ

🟠Сбор заявок на IPO ЮГК продлится до 21 ноября. Ожидаемая дата начала торгов акциями компании на Мосбирже — 22 ноября."
2023-11-17T07:59:15.558+03:00,"✅⚠️ ОТЧЕТ Ross Stores {$ROST}
🔼EPS (прибыль на акцию) =  1.33 (прогноз 1.22) 
🔼Revenue (выручка) =  4.92B (прогноз 4.84B) +7.7% Y/Y

Прогноз на 4 квартал: Прибыль на акцию в диапазоне от $ 1,56 до $ 1,62 по сравнению с $ 1,31 в предыдущем году.
Прогноз на год: Прибыль на акцию в диапазоне от $5,30 до $5,36 по сравнению с $4,38 в прошлом году."
