time,text
2024-04-12T12:05:29.057+03:00,{$RSTI} ???
2023-04-20T20:04:11.212+03:00,"{$RSTI} вот интересно, новая бумага торгуется кратно 10к, а начисленные бумаги имеют остаток меньше 10к, что будет с этим остатком?"
2023-04-20T20:03:33.311+03:00,{$RSTI} вот
2023-04-20T19:50:23.194+03:00,{$RSTI} у меня в портфеле появились ФСК россети 800к акций. Что бы это могло быть?🤔
2023-04-20T19:50:08.612+03:00,{$RSTI} скоро))))
2023-04-19T18:09:30.250+03:00,{$RSTI} когда в конце концов произойдут слияние ? Деньги висят уже 5 месяцев в акциях .
2023-04-19T17:47:18.195+03:00,"{$RSTI} В пятницу, 21 апреля, ПАО «Россети» (RSTI и RSTIP) будут удалены из перечня ликвидного имущества. 

Что это значит?

1. Бумаги ПАО «Россети» (RSTI и RSTIP) нельзя будет купить с плечом.
2. Они не смогут выступать обеспечением для маржинальной торговли.  

Если стоимость вашего портфеля опустится ниже минимальной маржи, ваша позиция может быть закрыта принудительно. Чтобы избежать маржин-колла, вы можете закрыть часть позиций самостоятельно или пополнить брокерский счет."
2023-04-18T17:10:08.642+03:00,{$RSTI}
2023-04-13T11:33:54.694+03:00,"{$RSTI} получилось у кого нить закрыть ИИС с этими бумагами, мне по поручению все перевели, а эти так и висят😡"
2023-04-04T17:28:17.533+03:00,"{$RSTI} что-то давно никто не спрашивал, когда бумага станет доступна для продажи :о))"
2023-03-29T16:01:13.406+03:00,{$RSTI} когда уже можно продать эту 💩
2023-03-28T14:01:18.387+03:00,{$RSTI} кто знает когда начнут торговать этой бумагой?
2023-03-27T11:15:01.794+03:00,"{$RSTI} народ всем привет , подскажите , почему у меня Fees акции так и не появились а россети стоят естественно не торгуются, вроде все должно было поменяться, Тинькофф брокер говорит ждите 🤷"
2023-03-22T18:10:54.969+03:00,"ПРЕМИУМ от Тинькофф БЕСПЛАТНО
👉 tinkoff.ru/sl/EtwiYgI4vC

#новости #акции

Уход иностранных собственников с рынка коммерческой недвижимости России в 2023 году продолжится, но это станет фактором роста объема инвестиций. Такое мнение журналистам в среду высказали эксперты.
В начале 2022 года многие эксперты ожидали падения рынков в связи с ростом санкционного давления, однако по итогам 2022 года объем инвестиций в коммерческую недвижимость России вырос на 44% по сравнению с 2021 годом и достиг 256 млрд рублей, пояснили в консалтинговой компании CORE.XP. По прогнозам аналитиков компании, тренд по выходу иностранных собственников из российских активов продолжится, в результате чего объем инвестиций в коммерческую недвижимость России в 2023 году может показать новый рекорд. «На территории России иностранные собственники, преимущественно из стран Европы и США, продолжают рассматривать стратегию продажи своих активов при совокупной стоимости портфеля порядка 800 млрд руб. Ощутимая часть этого портфеля может быть реализована в рамках текущего 2023 года», — рассказали в CORE.XP.
{$PIKK}

Тинькофф банк на данный момент не совершает переводы в долларах и евро в Монголию, Сербию, а также Боснию и Герцеговину, подтвердили ТАСС операторы поддержки «Тинькофф». Отправить в некоторые банки этих стран можно только юани.
«Из-за введенных санкций SWIFT-переводы могут быть заморожены банком-контрагентом. Поэтому мы временно не совершаем переводы в некоторых валютах и в некоторые банки. Для каждой валюты и банка может быть свой корреспондент, в зависимости от ситуации. На данный момент мы отправляем в Монголию только юани», — сообщили в поддержке, отметив, что в Сербию и Боснию также можно отправить только юани.
{$TCSG}

Ozon подал апелляцию на решение Nasdaq о делистинге акций компании.
В опубликованном во вторник сообщении Ozon говорится, что апелляция подана 21 марта. Слушание по апелляции должно быть проведено в течение 45 дней с момента ее поступления; до вынесения решения по апелляции со стороны спецкомиссии мероприятия по делистингу должны быть приостановлены.
«Если апелляция будет отклонена, компания планирует подавать ее повторно, правила биржи такое право дают», — также отмечается в сообщении Ozon. {$OZON}

Сегежа – цены на пиломатериалы выросли на 20,5% 
Капитализация: RUB 81 823 млн
Объём торгов: RUB 186 млн
В свободном обращении: 26,53%
В феврале 2023 года Китай нарастил объем экспорта хвойных пиломатериалов из России на 12% г/г, однако значение все еще было ниже декабря 2022 года. При этом цены на российские хвойные пиломатериалы, по данным агентства WhatWood, выросли на 16,7–20,5% с 210–220 $/куб. м в декабре 2022 года до 245–265 $/куб. м в феврале 2023 года (базис CFR Шанхай). Динамика обусловлена снятием коронавирусных ограничений и оживлением экономической активности в стране после трехлетнего локдауна.
{$SGZH}

Прибыль МСФО Россети Центр и Приволжье по итогам 2022 года составила 11,045 млрд руб., рост на 11% г/г. Выручка составила 114, 010 млрд руб., операционная прибыль 16, 551 млрд рублей.
{$RSTI}"
2023-03-21T11:21:19.604+03:00,{$RSTI} когда уже начнутся торги данной акцией?
2023-03-20T20:08:15.258+03:00,"{$GAZP} {$FEES} {$RSTI} {$TRNFP} 
Правительство РФ упростило и сократило сроки согласований градостроительных и земельных работ при проектировании и строительстве магистральных газопроводов, нефтепроводов и электрических сетей, входящих в единую национальную электрическую сеть.

«Это позволит ускорить реализацию проектов, в том числе для переориентации поставок газа, нефти и электричества в восточном направлении», – пояснил вице-премьер Александр Новак.

В настоящее время дополняется перечень объектов инфраструктуры, в отношении которых применяются особенности, установленные Федеральным законом №254 «Об особенностях регулирования отдельных отношений в целях реализации приоритетных проектов по модернизации и расширению инфраструктуры...»."
2023-03-20T16:26:57.889+03:00,{$RSTI} что сними делать?когда торговаться начнут?
2023-03-20T14:51:11.892+03:00,"21 марта 2023

🟢 Внеочередное общее собрание акционеров ""Россетей"" {$RSTI}"
2023-03-20T09:31:25.607+03:00,"🔥НОВОСТИ на 19.03.2023🔥


🔥🔹ЗАБЕРИ ПОДАРОК ЗА ОТКРЫТИЕ ИИС.🔥
🔥🎁 https://www.tinkoff.ru/sl/9XvQ2elIMsI 🎁🔥

📌Сбербанк. {$SBER}
• Наблюдательный совет Сбербанка рекомендовал выплатить за 2022 год дивиденды в размере 25 рубля на акцию, или 565 миллиардов рублей совокупно.

📌GDR Окей. {$OKEY}
• Astana International Exchange одобрила листинг GDR Окей, торги начнутся 20 марта.

📌Россети СК. {$RSTI}
• ""Россети Северный Кавказ"" пресекли на Ставрополье действие нелегальной майнинг-фермы, похитившей 954 тысяч киловатт-часов электроэнергии на 6 миллионов рублей.

📌Мосбиржa. {$MOEX}
• Индекс Мосбиржи поднялся выше 2300 пунктов, впервые с 9 марта, росту индекса способствовал взлет цены бумаг Сбербанка, имеющего большой вес в его расчете, следует из данных Московской биржи.
• Индекс Мосбиржи к 14.15 мск подскакивает на 1,9%, до 2301,1 пункта, долларовый индекс РТС - на 1,97%, до 945,57пункта.

📌Ford. {$F}
• Ford отзывает 1,5 млн машин в США из-за неисправности тормозов и стеклоочистителей.

📌Новатэк. {$NVTK}
• Совет директоров Новатэка рекомендовал финальные дивиденды по итогам 2022 года в размере 60,58 рубля на акцию.
• С учетом промежуточных дивидендов за первое полугодие 2022 года в размере 45 рублей на акцию, суммарные выплаты Новатэка акционерам по итогам года составят 105,58 рубля на акцию.

📌Тинькофф. {$TCSG}
• ""Тинькофф инвестиции"" возобновляют торги частью иностранных ценных бумаг в тестовом режиме, доступны бумаги дружественных юрисдикций, торгующиеся на Гонконгской бирже, и ограниченное число американских бумаг.

📌Татнефть. {$TATN}
• Чистая прибыль ""Татнефти"" по РСБУ за прошлый год выросла в 1,7 раза по сравнению с 2021 годом и составила 241,863 миллиарда рублей.

📌Лукойл. {$LKOH}
• Первое производство сжиженного природного газа на плавучей установке в рамках проекта Marine XII в Республике Конго, в котором участвует ""Лукойл"", начнется в декабре 2023 года, мощность сжижения составит 600 тысяч тонн в год с возможностью увеличения до 3 миллионов тонн в год к 2025 году.





💼  [&IT Сектор РФ](https://www.tinkoff.ru/invest/strategies/62bb880e-0f8d-4737-82aa-e24dfc1053b6) Стратегия нацеленная на IT сегмент рынка РФ.
Суть - наращивание ценных бумаг, путём совершения спекулятивных сделок




💼 [&Нефтегаз RUB](https://www.tinkoff.ru/invest/strategies/7944e8d9-c30c-4d1f-8527-42fd279b1909) Стратегия подразумевает совершение спекулятивных сделок, с постепенным наращиванием ценных бумаг нефтегазового сектора.




🔔Подписывайтесь, чтобы не пропустить свежие новости🔔
Успешной торговли!💸
___________________
Источник : ""Прайм"", ""REUTERS"",""БКС-Инвестиции"".
#новости
#новичкам
#пульс"
2023-03-18T22:19:06.838+03:00,"{$RSTI} {$FEES} 
Март перевалил за экватор. Первый квартал подходит к концу. Когда обещанная конвертация? В общечеловеческом понимании начало года кончается. Держу с сентября 2001. И почему-то уже нервничаю."
2023-03-17T08:02:07.874+03:00,"Совет директоров «Россети Ленэнерго» в ходе заседания рассмотрит вопрос об утверждении кодекса корпоративного управления, о рассмотрении отчета о соблюдении антикоррупционной политики в компании за 2022 год.
 
Также участники заседания рассмотрят отчет о ходе исполнения реестра непрофильных активов {$RSTI} за 4 квартал 2022 года и 2022 год.
 
Кроме того, в повестке заседания – согласование кандидатур на отдельные должности компании, определяемые советом директоров."
2023-03-16T18:06:01.320+03:00,"{$RSTI} Есть у кого нибудь информация по акциям россети, будет ли ещё конвертация или нас кинули. А то я смотрю много у кого они зависли."
2023-03-16T10:31:17.713+03:00,"📌 Бонус в конце поста📌
📍Тинькофф премиум бесплатно,📍
📍 {$SBER}
❗️Первый замглавы Сбербанка уверен, что проблемы банков США не повторятся в России
❗️Проблем с банковской системой России сейчас нет, и ситуация подобная краху американских банков в России не произойдет, считает первый зампред правления Сбербанка Александр Ведяхин.
❗️""Те проблемы, которые случились у них, я думаю, что вот этого произойти в России точно не может. ...Мы видим, что у нас проблем с банковской системой нет"", - сказал он, выступая в Совете Федерации.
источник прайм

📍 {$RSTI}
 ❗️Финансирование инвестпрограммы ""Россетей"" в 2022 г достигло рекордных 435 млрд руб
❗️Объем финансирования мероприятий инвестиционной программы ""Россетей"" в прошлом году составил рекордные 435 миллиардов рублей
❗️""В целом у нас объём финансирования мероприятий инвестиционной программы по 2022 году стал рекордным – 435 миллиардов рублей. 
❗️Это абсолютный рекорд для группы компаний ""Россети""
источник прайм


📍 {$RUAL}
 Мнение аналитиков. Что ждать от отчета РУСАЛа

❗️Мы ожидаем, что выручка снизилась на 4% п/п, до $6,8 млрд, но выросла на 5% г/г. В то же время по итогам 2022 г. выручка увеличилась на 17% г/г до $14 млрд, в основном за счет роста цен на алюминий.

❗️Мы считаем, что давление прошлого года уже отыграно рынком, и компания в этом году может высвободить значительную часть оборотного капитала и сократить аномально высокие издержки. Стабильные цены на алюминий вместе с ожидаемыми дивидендами Норильского никеля могут повысить вероятность регулярных выплат и со стороны РУСАЛа.

📍 {$BELU}
 ❗️Дивидендный сюрприз от Белуги
❗️Совет директоров Beluga Group рекомендовал неожиданно высокие финальные дивиденды за 2022 г. — 400 руб. на акцию, доходность 11,2%. 
❗️Это существенно выше выплачиваемых ранее 50% от чистой прибыли по МСФО, что и обеспечило позитивную реакцию в бумагах (+5%). 
❗️С учетом уже ранее выплаченных 225 руб. в сумме доходность за 12 месяцев составляет около 17,6%, что является одним из лучших результатов на рынке.

📍 {$PFE}
 Pfizer объявила о приобретении компании Seagen за $43 млрд, или $229 за акцию. Бумаги первой выросли на 1,2%, а второй — сразу на 14% из-за традиционной премии к рыночной цене, которая предполагается при поглощении. Сделка будет финансирована за счет выпуска нового долга на $31 млрд и денежных средств на счетах. Ее закрытие планируется в конце 2023 – начале 2024 г.
источник бкс

📍3 месяца Тинькофф Премиум
📍БЕСПЛАТНО вместо 1990 руб. мес.
(для новых 3 мес для тех кто пользовался раннее 2 мес)
📍Вы получите пониженую комиссию 0.04% на покупку акций.
📍На остаток по карте 6% годовых.
📍Повышенный кэшбэк и ещё много бонусов с которыми можно ознакомиться ниже:

📌Tinkoff premium на 2 мес тут:
https://www.tinkoff.ru/sl/9pi3nOiSi9i

Если хотите выгодно оформить ИИС у вас есть возможность сделать это
(бонус акция до 20 000 руб)

📌Открой ИИС и получи бонус!
https://www.tinkoff.ru/sl/2E51WVf1QfN"
