time,text
2024-04-13T12:56:20.331+03:00,"ДУМКИ ТРЕЙДЕРОВ.💡РУБРИКА. ЧЕМ И КАК ТОРГУЮТ ТРЕЙДЕРЫ❓ ПРОЖАРИ...,Что думаете?...

#Гудвин_VIP
{$RTKM}  Взял по текущим Ростелеком фундаментальная сила в данной акции еще до конца не отыграла, поэтому рост считаю оправданным. Скоро IPO Теле2, еще какую-то дочернюю компанию собираются также выводить на IPO, плюс неплохие дивы. 
Покупка 97,50
Стоп 93,70
Профиты 101,05 и 103,30 и 106,30 и 109,65

{$TRNFP} Мне казалось, что пойдет довольно шустро, так как время сейчас нефтяников. Снова скатилась на трендовую, у кого позы нет можно рассмотреть. 
Очень скучные и без инициативные торги идут последние дни.🤷🏼‍♂️

#Чехов_VIP Пока по рынку особо нечего сказать. 
{$VTBR} немного оживает вместе с {$SNGS} 
Остальные акции в боковике. 

{$MTSS} незаслуженно слили, думаю подтянут повыше в итоге. 

Покупать чего либо не планиурую сегодня.

Сегодня {$ALRS} СД по дивидендам. 
Дадут на мой взгляд 2.3 рубля на акцию. 
Реакция должна быть нейтральной / может даже откат получим небольшой

Наш рынок переоценивает все, что только можно. 
Это событие = мегапозитив для $MTSS. 
Отчет РСБУ за собой породит теории про увеличенный дивиденд за 23 год (иначе зачем поднимать кэш в 1 квартале?). 
Условно могут дать 35 рублей + рублей 10 за МТС Армения. (А могут и не дать, но таких разговоров будет намного больше, когда кэш поднимут в РСБУ). 
И перед СД будет интрига + разгон в сторону 350. 
+ IPO дочерней компании = {$MTSS} Лонг.

#PROFiINVEST PRO - сигналы, обучение, аналитика...:
✅Закрыл полностью позицию в {$BELU} с прибылью +1.1% по 6205₽

🚀 {$LNZL} кто решил погонять,  забирает +10-15%
Но мы хорошо и {$LNZLP} ещё погоняли с вами от конкретных сигналов✅

✅$VTBR  фиксирую 50% позиции на отметке 0.024100 +2% 💰 
Стоп ставлю на точку входа

✅$ROSN фиксирую 50% добора на отметке 579. +2.10% покупали с отметки 567  стоп на входе !!!

✅ {$TATN} фиксирую ещё 20% позиции на отметке 722.5-8 
общий плюс +2.30% 💰

✅$VKCO пошёл импульс 🚀 уже +2% 👏🥳
брали ?

✅Купил $JTOUSDT на 1% от портфеля по 3,21$ с плечом х2.
Цель: 3.62$
Стоп: 2.99
⚠️высокий риск

Закрыл полностью по 3,358$ c прибылью +9%

✅Приобрел $ETHUSDT по 3203$ на 1% портфеля с плечом х3.
Цель: 3380$
Стоп:  3090$

✅Закрыл позицию в $ETHUSDT по 3255$ c прибылью +5%

✅ {$NGJ4} после продажи, опять покупаю по 1,753 с коротким стопом

✅ #NGJ4 1,789
Немного поспекулировал еще и лесенкой закрываю 70% позиции с прибылью +2% двигая стопы за ценой. 
30% буду переносить на пн, со стопом в бу

⚡ ПРОЖАРКА - присоединяйтесь к ленте и проверим самые интересные #идеи из сокрытых каналов ""трейдеров"""
2024-04-13T08:15:35.248+03:00,"Люблю, когда утро начинается с победы 🎉 и всем того желаю 😉 #турнирдня В подарок получила три акции {$RTKM}"
2024-04-13T01:05:12.895+03:00,"🏤 Мегановости 🗞 👉📰

1️⃣  МТС Банк проведет IPO на Московской бирже.
ПАО ""МТС"" {$MTSS} сохранит мажоритарную долю в капитале банка после IPO.
IPO будет состоять из дополнительно выпущенных акций банка. Средства от IPO будут использованы для реализации стратегии роста банка.
МТС не планирует продавать свои акции в ходе IPO. Участие в IPO будет открыто как для квалифицированных, так и для неквалифицированных инвесторов.
Банк и его аффилированные лица возьмут на себя обязательства по неотчуждению акций на 180 дней после начала торгов.
(ТАСС)

2️⃣  МФК ""Займер"" {$ZAYM} разместила акции на Московской бирже по цене 235 ₽, общим объемом 3,5 млрд ₽, с free-float 15%.
Инвесторы разделились поровну между институциональными и физическими лицами.
Выкуп акций на сумму до 0,5 млрд ₽ предусмотрен для стабилизации цены.
Рыночная капитализация на уровне 23,5 млрд ₽.
Компания и аффилированные лица взяли на себя обязательства по неотчуждению акций на 180 дней.
(Финам)

3️⃣  Чистая прибыль ""Газпром нефти"" {$SIBN} снизилась в 2023 году до 637,5 млрд ₽ с 758,2 млрд ₽ в 2022 году.
Выручка компании увеличилась до 3,52 трлн ₽ с 3,41 трлн ₽.
Чистые денежные средства от операционной деятельности возросли до 922,9 млрд ₽ с 793,1 млрд ₽.
(Финам)

4️⃣  ""Ростелеком"" {$RTKM}  получил отсрочку до 2026 года на установку оборудования LTE для интернет-подключения социально значимых объектов.
Проект требует вложений на уровне 9 млрд ₽, которые компания должна финансировать из собственных средств.
Предполагается, что необходимое оборудование появится на рынке к 2026 году.
В рамках программы ""Ростелеком"" должен установить не менее 2012 базовых станций связи к 2030 году.

5️⃣  ""Роскосмос"" успешно завершил миссию первого пуска ракеты ""Ангара-А5"", доставив ""испытательную полезную нагрузку"" на орбиту с помощью разгонного блока ""Орион"".
Испытательная полезная нагрузка не отделялась от разгонного блока, который будет переведен на орбиту хранения для избежания помех другим космическим аппаратам.
Ракета ""Ангара-А5"" является первой разработанной и созданной в России после распада СССР.
Запуск был успешно осуществлен с третьей попытки после нескольких переносов из-за технических сбоев.

Лайкай 👍 комментируй 💬 поддерживай 🙏 подписывайся ✅

#мегановости
#новости"
2024-04-12T17:34:17.156+03:00,"{$RTKM} когда сожрали невидимую плиту, хочется спросить «кто ты воин?»"
2024-04-12T16:58:32.180+03:00,"{$RTKM} а на вчерней сессии она торгуется,  подскажите пожалуйста?"
2024-04-12T16:54:43.133+03:00,"{$RTKM} {$RTKMP} 
РТКОММ вооружился отечественным.

На демо-дне ИЦК «Спутниковая связь» коллеги из РТКОММ показали антенну Ku-диапазона и SCPS-модем отечественного производства. На модеме можно увидеть производителя, компанию Rubetek.

Отметим, что еще в октябре 2023 года прошла новость, что РТКОММ, Rubetek и Корпорация МСП заключили трехстороннее соглашение по итогам отбора на поставку спутниковых модемов, центральной земной станции связи и абонентских устройств.

В рамках партнерства РТКОММ и Rubetek будут сотрудничать по разработке, тестированию и запуску в серийное производство оборудования для наземного сегмента спутниковых сетей оператора. Корпорация МСП будет вести мониторинг реализации программы развития поставщика и оказывать необходимую информационную, юридическую и иную поддержку сторонам.

По факту, РТКОММ сейчас занимается созданием полной линейки оборудования для наземного сегмента сетей спутниковой связи с 2023 года. Программа технологической независимости оператора включает антенны, модемы, центральную земную станцию связи, приемо-передающие устройства.

Важно, что на сегодняшний день готовы серийные образцы антенны Ku-диапазона и модема для организации каналов «точка-точка». Оборудование прошло необходимые испытания и будет интегрировано в сетевую инфраструктуру РТКОММ."
2024-04-12T15:54:56.175+03:00,{$RTKM} какие у кого ожидания по закрытию цены на сегодня?
2024-04-12T14:30:09.143+03:00,"{$RTKM} нормальная свеча на -1%, интересно зачем продавать так"
2024-04-12T13:22:17.259+03:00,"ДУМКИ ТРЕЙДЕРОВ.💡РУБРИКА. ЧЕМ И КАК ТОРГУЮТ ТРЕЙДЕРЫ❓ ПРОЖАРИ...,Что думаете?...

#Гудвин_VIP
12.04.2024 - ПЯТНИЦА
🫤 {$SVCB}: Совкомбанк, отчёт РСБУ за 2023 год
😊 {$ASTR}: Астра, Истекает lock-up период 180 дней на продажу акций.

Как ранее сообщал, что рынок перешел в фазу флета. При этом он может как расти в ряде акций, так и снижаться. Естественно в таких условиях все подряд расти не может, один вариант ждать. Мне нравится наши позиции, они обоснованы фундаментально, поэтому не спешу с закрытием.

Титаны рынка держатся крепко, что довольно замечательно. Все уверенно вверху, без снижений. По традиции, когда идет более менее адекватное IPO, то часть спекулятивных денег уходит в него. Займер, забрал ликвидность из рынка, я в том числе именно с этим связываю падение объёмов торгов и слабость рынка. 

Когда часть средств вернется в рынок, то он будет чувствовать себя бодрее. Я все также считаю, что среднесрочное направление еще вверх. Вопрос только в том, дадут ли коррекцию и цены ниже или нет? Естественно, сейчас не самое лучшее время для открытия больших позиций или много новых позиций, поэтому осторожничаю. Основное предположение по рынку флет до прихода денег с IPO, там он снова взбодрится.

#Черных
В четверг рынок вновь смог закрыться выше кораллового сопротивления.
Таким образом, рост хоть и не получил ускорение, но и медведям перехватить инициативу также не удалось.

В целом длина волны (3) превысила длину волны (1), поэтому откат уже возможен. Хотя в любом случае он не будет глубоким.

По среднесрочным рискам/стопам ориентируюсь на трендовую поддержку 
(нижняя граница синего канала). 

#On_fleek
⭐️ Купил Русолово {$ROLO} по 1,3278 руб на 5% от портфеля. Краткосрочно. Категория риска: высокая. Низкая ликвидность - набирать лимитными заявками не дороже 3% от указанной цены.

#AnTraiding
Великолепная идея по акциям {$TCSG} Тинькофф с целью 3800.
Прямо с открытия можно немного куплю и основную долю около серой линии.
При этом должен остаться запас кэша, чтобы докупить еще в 2 раза, если собираетесь держать долгосрочно и акция уйдёт ниже стопа, которого у Вас не будет.
Срок идеи 1 год (+22%).
Максимальная цель 7000 (+125%). Срок 2 года или чуть более.

{$GAZP} Газпром отлично идёт выше.
Добавил также и #Тинькофф в портфель более чем на 5 000 000 руб. 

{$POLY} Большой Лонг с целью до +10% за несколько дней .
Цена 331 сейчас
#Полиметалл должен хотя бы попробовать догнать остальные золотые акцииПолиметалл должен хотя бы попробовать догнать остальные золотые акции..
Это минимум +20% роста – чисто технический отскок
Цена сейчас 331
POLY добавил более чем на 2 000 000 руб. снова
Полиметалл отлично подхватывается роботами снова))
Так что дополнительные 2% вполне возможны до конца дня

{$NVTK} у нас в небольшом минусе. 
Первая цель 1350 или +5% роста .
Следующая цель 1500 или +16% роста.
Отскок в рамках дня до 2% и более возможен.

#NVTK снова увеличил в три раза по 1289.
Цель 1500 (+15%).
Цель на быстрый отскок до +5% за несколько дней …

TCSG Лонг в рамках дня с целью до полтора процента.
Можно попробовать небольшой скальпинг, комиссия за покупку и продажу отсутствует в тинькофф .
Поэтому если даже подрастёт на 0,3%, получите хорошую прибыль)

Новатэк тоже собрался выше, причем значительно…
Осталось совсем немножко подождать и движение выше будет не остановить, как с {$RUAL} .
Будет такой же безумный технический отскок.
Проверим через пару недель?
NVTK и цена 1290 сейчас

{$VKCO} небольшую позицию увеличиваю в три раза примерно по 600.
Решил чуть чуть раньше первую покупку сделать ВКонтакте.

#Day_Capital_Pro
🏗 {$SMLT} (Самолёт) 3607₽
Ожидаю рост, вхожу по рынку на 3% от депозита, держать будем краткосрочно.
На данный момент есть так же шанс коррекции, но, в таком случае мы просто дополнительно закупимся.

#Энштейн
{$VKCO} докупил до 12% от депо по 600
Средняя ≈ 614,8

{$RTKM} докупил до 5% от депо по 96,91
Средняя ≈ 83,45
Не думаю, что дадут ниже

⚡ ПРОЖАРКА - присоединяйтесь к ленте и проверим самые интересные #идеи из сокрытых каналов ""трейдеров"""
2024-04-12T13:06:02.536+03:00,"{$RTKM}
{$MTSS} 

Обеспечение социально значимых объектов интернетом откладывается — Коммерсантъ

Ростелеком сможет отложить до 2026 года установку оборудования связи LTE на вышках Российской телевизионной и радиовещательной сети (РТРС) в рамках подключения к интернету социально значимых объектов. Но в итоге компании придется финансировать проект из собственных средств. 

Аналитики оценивают необходимые вложения на уровне 9 млрд руб., хотя «никто еще не представляет, сколько может стоить отечественное оборудование». В самой компании лишь осторожно надеются, что оно появится на рынке к 2026 году."
