time,text
2024-04-13T16:25:45.805+03:00,"{$RUAL} без новостей пора на коррекцию, а тут санкции. Даже дружественные страны уходят от сотрудничества чтобы не попасть под вторичные санкции. И всей мабе пора на коррекцию."
2024-04-13T16:13:05.229+03:00,"{$RNFT} вышел из этой, в шорт {$RUAL} ( запрет США на реэкспорт российских алюминия, меди,никеля,и запрет на Лондонской и Чикагской)"
2024-04-13T15:25:22.978+03:00,"{$RUAL} Разрядка продолжается и всё меньше оснований для пампа цен на алюминий. То что задумывалось как трагедия планетарного масштаба скатывается в фарс: один террористический режим обвиняет другой террористический режим в терроризме и просит  официально это занести в протокол.

Ссылка на прогноз данный до начала сессии https://www.tinkoff.ru/invest/social/profile/VasilyAlybabaevich/a266ef44-ab08-409c-a99c-a32a0f37eb0c?utm_source=share"
2024-04-13T14:53:15.257+03:00,"{$RUAL} Россия в 2023 году почти не поставляла в США и Британию алюминий, никель и медь
Поставки российских алюминия, никеля и меди в США и Великобританию в прошлом году составили 77,8 миллиона долларов, что является лишь 0,5% от всего экспорта России этих металлов, следует из анализа РИА Новости данных платформы ООН Comtrade. 
Власти США накануне ввели запрет на ввоз в страну алюминия, меди и никеля российского происхождения. Решение США запретить импорт алюминия, меди и никеля российского происхождения также ограничит их использование на мировых биржах, сообщили в американском минфине. К ограничениям также присоединилась Британия. 
В США в прошлом году было поставлено российского алюминия на 50,8 миллиона долларов, а никеля - на 26,5 миллиона. Поставки меди не осуществлялись. Одновременно Британия в прошлом году импортировала алюминия на 432 тысячи долларов, меди на 53 тысячи, а никеля на 27 тысяч. 
При этом, согласно доступным на текущий момент данным, Россия поставила на международные рынки этих металлов как минимум на 14,5 миллиарда долларов. Таким образом на США приходится 0,5% от российского экспорта, а на Британию - 0,003%. 
Другие страны приобрели российского алюминия на 6,1 миллиарда долларов, а меди на 5,5 миллиарда, при этом самые крупные покупки обоих металлов были у Китая, Турции и Германии. Никель у России в прошлом году купили на 2,9 миллиарда, а лидерами были Финляндия, Китай и Германия."
2024-04-13T14:50:49.399+03:00,"{$RUAL} ну, слава Богу, хоть здесь коррекция теперь пройдёт. Конечно небольшая ну в понедельник пойдём вершину брать следующую"
2024-04-13T14:49:05.345+03:00,"{$RUAL} торги алюминием стартуют в 06.00 МСК в пн, вот и посмотрим, как санкции повлияют на цены:), думаю никак, тренд пока на алюминий вверх"
2024-04-13T14:43:48.303+03:00,"{$RUAL} бедняки слили в минус - ведь программа  : деньги зло работает ,и разбогатеть нельзя так просто 🤣🤣🤣"
2024-04-13T14:33:14.512+03:00,"{$RUAL} Bloomberg: новые санкции против РФ не повлияют на продажу металлов
Запреты со стороны Великобритании и США на импорт алюминия, меди и никеля российского происхождения не помешают России продавать
ero. URA.Ru
Новые ограничения, скорее всего, повлияют на цены на LME. URA.Ru Великобритания, вслед за США, ввела ограничения касательно торговли металлами из
России. URA.Ru
По данным заявления американского Минфина, санкции против импорта российской металлопродукции в США не распространяются на поставки, которые были произведены до 13 апреля текущего года."
2024-04-13T14:30:26.398+03:00,"{$RUAL} США ввели запрет на импорт алюминия, меди и никеля российского происхождения. Это еще один фактор снижения валютной выручки российских компаний. Имеется в виду настоящая валюта, а не тугрики, рупии и прочие стекляшки.

Конечно, можно будет изобрести схемы и через третьи страны и руки продолжать поставки, но каждая цепочка посредников - это минус маржи российских компаний.

Вообще, минус религии «Санкции не работают» и ее последователей заключается в том, что они не учитывают системность всех санкционных мероприятий. Каждая конкретная санкция может быть обойдена по той или иной кривой дорожке. Любая из санкций может просто не сработать по каким-то своим внутренним или внешним причинам.

Однако их количество и системный подход постепенно приводят к нужному для создателей санкционной политики результату. Растянутость по времени позволяет корректировать и дополнять их.

Цель остается прежней - с одной стороны, Запад хочет привести Россию в состояние Ирака времен Саддама во время действия программы «Нефть в обмен на продовольствие» и фактически вычеркнуть  Россию из списка потенциально развитых и развивающихся стран. С другой стороны - это нужно сделать так, чтобы экономика развитых стран адаптировались к уходу России из мировой экономики или как минимум, снизила свое присутствие на ней.

Смысл мероприятий в том, чтобы лишить Кремль ресурса, а значит - возможности проводить свою политику. Кроме того, Запад отдает себе отчет в том, что режим Кремля банкрот и рано или поздно, но к власти придут другие люди. Есть риск, что придут те, кто поставит своей целью не разворовывать страну, как нынешние, а наоборот - возрождать ее. Для этого и требуется создать для таких людей максимально возможные трудности и связать их огромным числом условий, при которых Россию будут отпускать обратно."
2024-04-13T14:19:05.214+03:00,"⚡️Еженедельный обзор и выводы по ключевым событиям

#новости, #новичкам, #акции, #пульс, #мнение, #идея, #портфель, #опыт, {$IMOEXF}, {$GMKN}, {$RUAL}

—————

👆Бóльшая часть информации из сми (слухи,новости) - запускается чтоб переполнить, отвлечь и поселить нужные мысли, вытащить эмоции (жадность, страх и др), посеять хаос и управлять человеком в итоге.

Здесь я собираю и ⚡️делаю вывод только по нужным для торговли событиям (по опыту). Перегруз лишней инфо только вредит. ⚡️Использовать данные выводы лучше только для долгосрочного портфеля.


—————

⚡️Россия

1. Управление по контролю над иностранными активами (OFAC) Минфина США ⚡️ввело запрет на импорт алюминия, меди и никеля российского производства. Из-за санкций Лондонская биржа металлов (LME) и Чикагская товарная биржа (СME) ⚡️не смогут пополнять запасы алюминия, меди и никеля за счет поставок из России.  ⚡️США не запретили импорт товаров из других стран, произведенных из указанных российских металлов.

⚡️Норникель (не под санкциями) по итогам 2022 г: на Европу пришлось 47% продаж компании, еще 15% — на Северную и Южную Америку, на Россию и СНГ — 8%. ⚡️В числе лидеров по производству алюминия в России и в мире — компания UC Rusal, которая также не включена в санкционные списки США. 

⚡️Эти российские компании ⚡️переориентируют поставки в дружеские страны и на внутренний рынок. ⚡️Держу эти компании в долгосрочном портфеле.

⚡️Цены на металы вырастут из-за таких мер США.

2. ⚡️Глава ЦБ РФ о застройщиках - что касается ситуации с застройщиками, мы смотрим за ней. В принципе они накопили неплохую финансовую подушку — цены росли и у них прибыль кратно выросла за четыре года . Мы считаем, что у них есть возможности для сокращения цен на жилье. Они могут это выдержать. ⚡️Это снизит прибыли застройщиков. ⚡️Негатив для акций застройщиков."
2024-04-13T14:09:11.561+03:00,"{$RUAL} в портфеле с последней рекомендации дает уже 20% 
{$ENPG} так же 20%  за пару недель 

{$YNDX} сегодня скажу цели 

После последней нашей встречи куча прогнозов сбылась, от 5 до 20%, всего пару недель 


Трансляция кстати сегодня в 15:00 🙏🙌🚀"
2024-04-13T14:08:23.066+03:00,{$RUAL} в понедельник 🚀 не иир
2024-04-13T14:03:22.121+03:00,"{$RUAL} доходить начало до хомяков, что их куканят, а новость была для закупа с последующим движением в озон"
2024-04-13T14:00:27.747+03:00,{$RUAL} просто гэп закрывала
2024-04-13T13:55:24.109+03:00,"{$RUAL} отчаянные головы продолжат вопреки здравому смыслу скупать Русал, вполне могут против логики и на частичном закрытии шортов дойти до 45, но уйти вниз на фоне плохих отчётов, запретов существующих и рисков новых он просто обязан. Вопрос во времени и от какой цифры развернётся. Для умеренного шорта риск вижу меньший, чем для лонга."
2024-04-13T13:53:17.859+03:00,"{$RUAL} 

На сколько грохнется в понедельник"
