time,text
2023-11-18T10:00:11.771+03:00,"{$RUGR} подскажите, может кто в курсе, куда обращаться, чтобы уточнить процедуру возмещения по имеющимся акциям (когда и в каком объеме)? Спасибо."
2023-11-14T23:46:47.402+03:00,{$RUGR} так) у меня целых 10 акций этой компании) что с ними делать? 😄
2023-11-08T23:21:47.483+03:00,"✔️ Всё самое важное и актуальное из мира российских ценных бумаг:

1. 🇷🇺 Чистая прибыль Газпрома ( {$GAZP}) за 9 месяцев 2023 года составила 446,1₽ млрд против 799,7₽ млрд годом ранее.

2. 🇷🇺🇨🇾 Акционеры UMG ( {$GEMC}) одобрили редомициляцию компании с Кипра в САР Калининграда.

3. 🇷🇺 В ГД заявили о большом убытке Газпрома ( {$GAZP}) из-за роста налогов и снижения экспорта.

4. 🇷🇺 СПБ Биржа ( {$SPBE}) с 8 ноября отменила сделки с рядом иностранных раненых акций в режиме РПС и РЕПО.

5. 🇷🇺 ВТБ ( {$VTBR}) первым представил технологию снятия цифровых рублей в банкоматах.

6. 🇷🇺🇰🇿🇺🇿 Соглашение о стратегическом сотрудничестве Казахстана и Газпрома ( {$GAZP}) затрагивает вопросы транзита российского газа в Узбекистан.

7. 🇷🇺 СД Яковлев ($IRKT) сегодня рассматривает вопрос об утверждении документа, содержащего условия размещения ценных бумаг.

8. 🇷🇺 Консенсус: VK ( {$VKCO}) в 3 квартале нарастила выручку на +33,4%, до 32,1₽ млрд.

9. 🇷🇺 Газпром межрегионгаз ( {$GAZP}) предлагает повысить тарифы на транспортировку газа на +10% с 1 декабря.

10. 🇷🇺 Норникель ( {$GMKN}): часть клиентов, отказавшихся от закупок ранее, обсуждает с нами закупки металлов в 2024 году.

11. 🇷🇺🇪🇺 ЕС на следующей неделе продолжит рассматривать запрет на российские алмазы ( {$ALRS}).

12. 🇷🇺 ВТБ ( {$VTBR}) направит около 4–5₽ млрд на подготовку проекта транспортного коридора Север-Юг.

13. 🇷🇺 Оzon ( {$OZON}): Принятие законопроекта о регулировании маркетплейсов в изначальном виде грозит упразднением этой бизнес-модели в РФ.

14. 🇷🇺 Русгрэйн Холдинг ( {$RUGR}) cообщение о планируемой дате направления заявления о внесении в единый государственный реестр юридических лиц записей, связанных с реорганизацией.

15. 🇷🇺 Набиуллина: ЦБ видит явное влияние мер на потребкредитование, в ипотеке может быть небольшое замедление.

16. 🇷🇺 Набиуллина: ЦБ надеется, что механизм обмена замороженных активов инвесторов скоро начнет работать.

17. 🇷🇺 Набиуллина: ЦБ оценивает риски в случае введения санкций в отношении Московской биржи ( {$MOEX}), знает как действовать.

18. 🇷🇺 Набиуллина: брокеры должны предупреждать инвесторов о рисках вложений в иностранные акции, даже компаний из дружественных стран.

19. 🇷🇺 НКХП ( {$NKHP}) в октябре 2023 года отгрузил наибольший с октября 2020 года объем зерна - 770'000 тонн.

20. 🇷🇺 Набиуллина: ЦБ всегда предупреждал, что владение иностранными ценными бумагами несет риски.

21. 🇷🇺🇪🇺 Страны G7 не согласовали конкретного решения о санкциях в отношении экспорта алмазов ( {$ALRS}) из России.

22. 🇷🇺 Сервис каршеринга Делимобиль может провести IPO на Мосбирже следующей весной.

23. 🇷🇺 Дробление акций Норникеля ( {$GMKN}) может завершиться к апрелю следующего года.

24. 🇷🇺 ВУШ холдинг ( {$WUSH}) обсудит обратный выкуп акций на заседании 13 ноября.

25. 🇷🇺 В 2035 году доля электромобилей на рынке РФ достигнет 25%.

26. 🇷🇺 Сбер ( {$SBER}) ожидает выдачу ипотеки в 2023 году на уровне 4,6₽ трлн.

27. 🇷🇺 Для СПБ Биржи ( {$SPBE}) сейчас главная задача — организовать антикризисный менеджмент на фоне вероятной потери бизнеса по торговле американскими ценными бумагами.

28. 🇷🇺 Провести IPO на Московской бирже ( {$MOEX}) до конца года готовятся более пяти компаний, но сроки некоторых размещений могут сдвинуться вправо в зависимости от рыночных условий."
2023-11-08T22:30:36.173+03:00,"✔️ Всё самое важное и актуальное из мира российских ценных бумаг:

1. 🇷🇺 Чистая прибыль Газпрома ( {$GAZP}) за 9 месяцев 2023 года составила 446,1₽ млрд против 799,7₽ млрд годом ранее.

2. 🇷🇺🇨🇾 Акционеры UMG ( {$GEMC}) одобрили редомициляцию компании с Кипра в САР Калининграда.

3. 🇷🇺 В ГД заявили о большом убытке Газпрома ( {$GAZP}) из-за роста налогов и снижения экспорта.

4. 🇷🇺 СПБ Биржа ( {$SPBE}) с 8 ноября отменила сделки с рядом иностранных раненых акций в режиме РПС и РЕПО.

5. 🇷🇺 ВТБ ( {$VTBR}) первым представил технологию снятия цифровых рублей в банкоматах.

6. 🇷🇺🇰🇿🇺🇿 Соглашение о стратегическом сотрудничестве Казахстана и Газпрома ( {$GAZP}) затрагивает вопросы транзита российского газа в Узбекистан.

7. 🇷🇺 СД Яковлев ($IRKT) сегодня рассматривает вопрос об утверждении документа, содержащего условия размещения ценных бумаг.

8. 🇷🇺 Консенсус: VK ( {$VKCO}) в 3 квартале нарастила выручку на +33,4%, до 32,1₽ млрд.

9. 🇷🇺 Газпром межрегионгаз ( {$GAZP}) предлагает повысить тарифы на транспортировку газа на +10% с 1 декабря.

10. 🇷🇺 Норникель ( {$GMKN}): часть клиентов, отказавшихся от закупок ранее, обсуждает с нами закупки металлов в 2024 году.

11. 🇷🇺🇪🇺 ЕС на следующей неделе продолжит рассматривать запрет на российские алмазы ( {$ALRS}).

12. 🇷🇺 ВТБ ( {$VTBR}) направит около 4–5₽ млрд на подготовку проекта транспортного коридора Север-Юг.

13. 🇷🇺 Оzon ( {$OZON}): Принятие законопроекта о регулировании маркетплейсов в изначальном виде грозит упразднением этой бизнес-модели в РФ.

14. 🇷🇺 Русгрэйн Холдинг ( {$RUGR}) cообщение о планируемой дате направления заявления о внесении в единый государственный реестр юридических лиц записей, связанных с реорганизацией.

15. 🇷🇺 Набиуллина: ЦБ видит явное влияние мер на потребкредитование, в ипотеке может быть небольшое замедление.

16. 🇷🇺 Набиуллина: ЦБ надеется, что механизм обмена замороженных активов инвесторов скоро начнет работать.

17. 🇷🇺 Набиуллина: ЦБ оценивает риски в случае введения санкций в отношении Московской биржи ( {$MOEX}), знает как действовать.

18. 🇷🇺 Набиуллина: брокеры должны предупреждать инвесторов о рисках вложений в иностранные акции, даже компаний из дружественных стран.

19. 🇷🇺 НКХП ( {$NKHP}) в октябре 2023 года отгрузил наибольший с октября 2020 года объем зерна - 770'000 тонн.

20. 🇷🇺 Набиуллина: ЦБ всегда предупреждал, что владение иностранными ценными бумагами несет риски.

21. 🇷🇺🇪🇺 Страны G7 не согласовали конкретного решения о санкциях в отношении экспорта алмазов ( {$ALRS}) из России.

22. 🇷🇺 Сервис каршеринга Делимобиль может провести IPO на Мосбирже следующей весной.

23. 🇷🇺 Дробление акций Норникеля ( {$GMKN}) может завершиться к апрелю следующего года.

24. 🇷🇺 ВУШ холдинг ( {$WUSH}) обсудит обратный выкуп акций на заседании 13 ноября.

25. 🇷🇺 В 2035 году доля электромобилей на рынке РФ достигнет 25%.

26. 🇷🇺 Сбер ( {$SBER}) ожидает выдачу ипотеки в 2023 году на уровне 4,6₽ трлн.

27. 🇷🇺 Для СПБ Биржи ( {$SPBE}) сейчас главная задача — организовать антикризисный менеджмент на фоне вероятной потери бизнеса по торговле американскими ценными бумагами.

28. 🇷🇺 Провести IPO на Московской бирже ( {$MOEX}) до конца года готовятся более пяти компаний, но сроки некоторых размещений могут сдвинуться вправо в зависимости от рыночных условий."
2023-11-08T20:49:52.480+03:00,"⚡️ НОВОСТИ ЗА СЕГОДНЯ!
❤️ БУДЬ В КУРСЕ - ДЕРЖИ РУКУ НА ПУЛЬСЕ!

🇷🇺 Норникель ({$GMKN} ): часть клиентов, отказавшихся от закупок ранее, обсуждает с нами закупки металлов в 2024 году.

🇷🇺🇪🇺 ЕС на следующей неделе продолжит рассматривать запрет на российские алмазы ({$ALRS} ).

🇷🇺 ВТБ ({$VTBR} ) направит около 4–5₽ млрд на подготовку проекта транспортного коридора Север-Юг.

🇷🇺 Оzon ({$OZON} ): Принятие законопроекта о регулировании маркетплейсов в изначальном виде грозит упразднением этой бизнес-модели в РФ.

🇷🇺 Русгрэйн Холдинг ({$RUGR} ) cообщение о планируемой дате направления заявления о внесении в единый государственный реестр юридических лиц записей, связанных с реорганизацией.

🇷🇺 Набиуллина: ЦБ видит явное влияние мер на потребкредитование, в ипотеке может быть небольшое замедление.

🇷🇺 Набиуллина: ЦБ надеется, что механизм обмена замороженных активов инвесторов скоро начнет работать."
2023-11-08T19:47:09.891+03:00,"😎 Всё самое важное и актуальное из мира российских ценных бумаг:

1. 🇷🇺 Чистая прибыль Газпрома ( {$GAZP}) за 9 месяцев 2023 года составила 446,1₽ млрд против 799,7₽ млрд годом ранее.

2. 🇷🇺🇨🇾 Акционеры UMG ( {$GEMC}) одобрили редомициляцию компании с Кипра в САР Калининграда.

3. 🇷🇺 В ГД заявили о большом убытке Газпрома ( {$GAZP}) из-за роста налогов и снижения экспорта.

4. 🇷🇺 СПБ Биржа ( {$SPBE}) с 8 ноября отменила сделки с рядом иностранных раненых акций в режиме РПС и РЕПО.

5. 🇷🇺 ВТБ ( {$VTBR}) первым представил технологию снятия цифровых рублей в банкоматах.

6. 🇷🇺🇰🇿🇺🇿 Соглашение о стратегическом сотрудничестве Казахстана и Газпрома ( {$GAZP}) затрагивает вопросы транзита российского газа в Узбекистан.

7. 🇷🇺 СД Яковлев ($IRKT) сегодня рассматривает вопрос об утверждении документа, содержащего условия размещения ценных бумаг.

8. 🇷🇺 Консенсус: VK ( {$VKCO}) в 3 квартале нарастила выручку на +33,4%, до 32,1₽ млрд.

9. 🇷🇺 Газпром межрегионгаз ( {$GAZP}) предлагает повысить тарифы на транспортировку газа на +10% с 1 декабря.

10. 🇷🇺 Норникель ( {$GMKN}): часть клиентов, отказавшихся от закупок ранее, обсуждает с нами закупки металлов в 2024 году.

11. 🇷🇺🇪🇺 ЕС на следующей неделе продолжит рассматривать запрет на российские алмазы ( {$ALRS}).

12. 🇷🇺 ВТБ ( {$VTBR}) направит около 4–5₽ млрд на подготовку проекта транспортного коридора Север-Юг.

13. 🇷🇺 Оzon ( {$OZON}): Принятие законопроекта о регулировании маркетплейсов в изначальном виде грозит упразднением этой бизнес-модели в РФ.

14. 🇷🇺 Русгрэйн Холдинг ( {$RUGR}) cообщение о планируемой дате направления заявления о внесении в единый государственный реестр юридических лиц записей, связанных с реорганизацией.

15. 🇷🇺 Набиуллина: ЦБ видит явное влияние мер на потребкредитование, в ипотеке может быть небольшое замедление.

16. 🇷🇺 Набиуллина: ЦБ надеется, что механизм обмена замороженных активов инвесторов скоро начнет работать.

17. 🇷🇺 Набиуллина: ЦБ оценивает риски в случае введения санкций в отношении Московской биржи ( {$MOEX}), знает как действовать.

18. 🇷🇺 Набиуллина: брокеры должны предупреждать инвесторов о рисках вложений в иностранные акции, даже компаний из дружественных стран.

19. 🇷🇺 НКХП ( {$NKHP}) в октябре 2023 года отгрузил наибольший с октября 2020 года объем зерна - 770'000 тонн.

20. 🇷🇺 Набиуллина: ЦБ всегда предупреждал, что владение иностранными ценными бумагами несет риски.

21. 🇷🇺🇪🇺 Страны G7 не согласовали конкретного решения о санкциях в отношении экспорта алмазов ( {$ALRS}) из России.

22. 🇷🇺 Сервис каршеринга Делимобиль может провести IPO на Мосбирже следующей весной.

23. 🇷🇺 Дробление акций Норникеля ( {$GMKN}) может завершиться к апрелю следующего года.

24. 🇷🇺 ВУШ холдинг ( {$WUSH}) обсудит обратный выкуп акций на заседании 13 ноября.

25. 🇷🇺 В 2035 году доля электромобилей на рынке РФ достигнет 25%.

26. 🇷🇺 Сбер ( {$SBER}) ожидает выдачу ипотеки в 2023 году на уровне 4,6₽ трлн.

27. 🇷🇺 Для СПБ Биржи ( {$SPBE}) сейчас главная задача — организовать антикризисный менеджмент на фоне вероятной потери бизнеса по торговле американскими ценными бумагами.

28. 🇷🇺 Провести IPO на Московской бирже ( {$MOEX}) до конца года готовятся более пяти компаний, но сроки некоторых размещений могут сдвинуться вправо в зависимости от рыночных условий.

Заходите в профиль и подписывайтесь, чтобы получать больше идей, новостей и мнений без задержек‼️"
2023-11-08T18:26:50.630+03:00,"🇷🇺ИНТЕРЕСНОЕ ЧЕРЕЗ ПРИЗМУ на 08.11.2023г 

Всё самое важное и актуальное из мира российских ценных бумаг:

1. 🇷🇺 Чистая прибыль Газпрома ( {$GAZP}) за 9 месяцев 2023 года составила 446,1₽ млрд против 799,7₽ млрд годом ранее.

2. 🇷🇺🇨🇾 Акционеры UMG ( {$GEMC}) одобрили редомициляцию компании с Кипра в САР Калининграда.

3. 🇷🇺 В ГД заявили о большом убытке Газпрома ( {$GAZP}) из-за роста налогов и снижения экспорта.

4. 🇷🇺 СПБ Биржа ( {$SPBE}) с 8 ноября отменила сделки с рядом иностранных раненых акций в режиме РПС и РЕПО.

5. 🇷🇺 ВТБ ( {$VTBR}) первым представил технологию снятия цифровых рублей в банкоматах.

6. 🇷🇺🇰🇿🇺🇿 Соглашение о стратегическом сотрудничестве Казахстана и Газпрома ( {$GAZP}) затрагивает вопросы транзита российского газа в Узбекистан.

7. 🇷🇺 СД Яковлев ($IRKT) сегодня рассматривает вопрос об утверждении документа, содержащего условия размещения ценных бумаг.

8. 🇷🇺 Консенсус: VK ( {$VKCO}) в 3 квартале нарастила выручку на +33,4%, до 32,1₽ млрд.

9. 🇷🇺 Газпром межрегионгаз ( {$GAZP}) предлагает повысить тарифы на транспортировку газа на +10% с 1 декабря.

10. 🇷🇺 Норникель ( {$GMKN}): часть клиентов, отказавшихся от закупок ранее, обсуждает с нами закупки металлов в 2024 году.

11. 🇷🇺🇪🇺 ЕС на следующей неделе продолжит рассматривать запрет на российские алмазы ( {$ALRS}).

12. 🇷🇺 ВТБ ( {$VTBR}) направит около 4–5₽ млрд на подготовку проекта транспортного коридора Север-Юг.

13. 🇷🇺 Оzon ( {$OZON}): Принятие законопроекта о регулировании маркетплейсов в изначальном виде грозит упразднением этой бизнес-модели в РФ.

14. 🇷🇺 Русгрэйн Холдинг ( {$RUGR}) cообщение о планируемой дате направления заявления о внесении в единый государственный реестр юридических лиц записей, связанных с реорганизацией.

15. 🇷🇺 Набиуллина: ЦБ видит явное влияние мер на потребкредитование, в ипотеке может быть небольшое замедление.

16. 🇷🇺 Набиуллина: ЦБ надеется, что механизм обмена замороженных активов инвесторов скоро начнет работать.

17. 🇷🇺 Набиуллина: ЦБ оценивает риски в случае введения санкций в отношении Московской биржи ( {$MOEX}), знает как действовать.

18. 🇷🇺 Набиуллина: брокеры должны предупреждать инвесторов о рисках вложений в иностранные акции, даже компаний из дружественных стран.

19. 🇷🇺 НКХП ( {$NKHP}) в октябре 2023 года отгрузил наибольший с октября 2020 года объем зерна - 770'000 тонн.

20. 🇷🇺 Набиуллина: ЦБ всегда предупреждал, что владение иностранными ценными бумагами несет риски.

21. 🇷🇺🇪🇺 Страны G7 не согласовали конкретного решения о санкциях в отношении экспорта алмазов ( {$ALRS}) из России.

22. 🇷🇺 Сервис каршеринга Делимобиль может провести IPO на Мосбирже следующей весной.

23. 🇷🇺 Дробление акций Норникеля ( {$GMKN}) может завершиться к апрелю следующего года.

24. 🇷🇺 ВУШ холдинг ( {$WUSH}) обсудит обратный выкуп акций на заседании 13 ноября.

25. 🇷🇺 В 2035 году доля электромобилей на рынке РФ достигнет 25%.

26. 🇷🇺 Сбер ( {$SBER}) ожидает выдачу ипотеки в 2023 году на уровне 4,6₽ трлн.

27. 🇷🇺 Для СПБ Биржи ( {$SPBE}) сейчас главная задача — организовать антикризисный менеджмент на фоне вероятной потери бизнеса по торговле американскими ценными бумагами.

28. 🇷🇺 Провести IPO на Московской бирже ( {$MOEX}) до конца года готовятся более пяти компаний, но сроки некоторых размещений могут сдвинуться вправо в зависимости от рыночных условий.

______________________________________________
🥸❗Подписывайтесь на канал. Будьте в курсе всей новостной повестки дня. 
#новости"
2023-11-08T13:41:37.389+03:00,"🇷🇺 {$RUGR} 
""Русгрэйн Холдинг"" - cообщение (https://www.e-disclosure.ru/portal/event.aspx?EventId=TGk1i1dJxEacacBqTuiQvA-B-B) о планируемой дате направления заявления о внесении в единый государственный реестр юридических лиц записей, связанных с реорганизацией, прекращением деятельности или с ликвидацией акционерного общества"
2023-11-06T19:35:47.910+03:00,"{$RUGR} здравствуйте. Есть тут живые люди? 🤔 Смотрю одни боты что ли...  Почему биржа закрыта написано? 🤔 Компания обанкротилась или что? Я тут недавно, в этой сфере, ничего не соображаю пока в этих делах. ПодскАжите!?"
2023-10-28T04:33:44.759+03:00,"Вы все знаете, что я профессионально провожу каждый #теханализLDVR а главное – сверхточно 🔮✨

Вчера я предлагал Вам выбрать, какие компании мне разобрать. Количество разборов зависело от количества ракет в реакциях 🚀👇

Итак, вы набрали 45 ракет – это 4 поста. Разберем 4 самых популярных компании из комментариев:

Куйбышев, ЭЛ-5, РКК, Ростелеком Префы

Напоминаю, что выбирать можно было из следующего списка: 

ЭЛ5-ЭНЕРГО {$ELFV}, Белое {$BLNG}, Башнефть {$BANE} 
РКК {$RKKE}, Мосбиржа {$MOEX}, Ростелеком префы {$RTKMP} 
Нижнекамскнефтехим {$NKNC}, КуйбышевАзот {$KAZT}, Русгрэйн {$RUGR} 

Чтобы я разобрал их в следующий раз – жду ракеты. Разборов будет столько, сколько десятков ракет 🚀 Вы наберёте в реакциях. 
Будет 10 ракет 🚀 – будет один разбор.
Будет 33 ракет 🚀 – будет три разбора.
Не забудь подписаться, чтобы не пропустить пост!

Жду ваших комментариев, разборы будут у меня в Пульсе.
Рубрика #лидерыLDVR


Прежде чем начинать разбор, хочу сказать, если теханализ зашёл, жду от тебя ракету на пост 🚀 и подписку.


⚒️ Куйбышев. Фото 1-2.

На 6-ти месячном графике можем увидеть нисходящий треугольник, ожидаю выход вниз и возврат в зону прошлой консолидации.

На месячном графике уже прошла демо-версия будущего движения. 

🎯 Среднесрок – 650-670₽
🔮✨ Уверенность – 70%


⚡ ЭЛ-5. Фото 3-4.

На 6м сформировался восходящий тренд, находимся возле уровня сопротивления, ожидаю, что после теста сопротивления, протестируем и поддержку. Затем рост, так как там есть мощные Драйверы Роста.

На меске уверенный рост. Слишком уверенный... Напрашивается коррекция)

🎯 Краткосрок – 0.8 ₽
🎯 Среднесрок – 0.75 ₽
🎯 Долгосрок – 0.84 ₽
🔮✨ Уверенность – 65% – 75% – 80%


🚀 РКК. Фото 5-6.
На 6м вижу негативчик. Будем медленно сползает до тех пор, пока не будет какой-нибудь позитивной или негативной новости. Ничего интересного.

По Меске ожидаю есть некоторая вероятность к возврат к 29500 и продолжением снижения))

🎯 Среднесрок – снижение
🔮✨ Уверенность – 70% (если не будет новостей)


⚡ Ростелеком Преф. Фото 7-8.
На 6м видим, что Ростелеком смог сломить нисходящий тренд, предварительно скинув всех лишних товарищей (жёлтый коридор)

Сформирован уверенный тренд роста. Ожидаю скорое достижение уровня 77₽, тем более есть мощные факторы и Драйверы Роста

На Меске ожидаю, что будет продолжение роста с периодическим потряхиванием хомячков 🐹🐹🐹 

🎯 Среднесрок – 77₽
🔮✨ Дикая уверенность в 75₽ 🔥 90%


Ну что же, если данная рубрика тебе понравилась, то жду от тебя Ракету 🚀 на пост и подписку ✅ в знак благодарности 😉


Ну а если ты впервые слышишь обо мне, то рекомендую тебе обратить внимание на мою ТОПовую стратегию – [&Агрессивная концентрация](https://www.tinkoff.ru/invest/strategies/a6b809b3-c3ad-4c85-a478-68d4ef8fb407) 

Цель стратегии – утроение капитала за три года 🔥 Например, купить 3 квартиры вместо одной через 3 года.
Уже больше 200 человек достигает эту цель вместе со мной)

При выборе бумаг и уровней входа в своих стратегиях, я ориентируюсь на связку фундаментал + теханализ, а также на драйверы роста компании 📈

В данной стратегии выбирается 3-4 компании с сильными драйверами роста, которые могут принести доходность +10-15% в течение одного-двух месяцев. За 4 месяца, доходность около 40%)

Пополнять стратегию лучше на рекомендуемую сумму.
Срок инвестирования от 3-6 месяцев.

Во время просадки лучше пополнять стратегию, а не убегать в панике.
Максимальная просадка стратегии – всего 5%.

Чтобы узнать подробности о стратегии [&Агрессивная концентрация](https://www.tinkoff.ru/invest/strategies/a6b809b3-c3ad-4c85-a478-68d4ef8fb407) , прочитай её описание. Если будут вопросы – спрашивай! С радостью отвечу)"
