time,text
2023-12-12T10:14:00.774+03:00,"{$RUSI} РУСС-ИНВЕСТ³
🔴Цена: -5.58% (138.8 ₽)
🟥🟥Объём: 6.7M ₽ (4.9K лот)
Покупки: 32%, Продажи: 68%
За день цена: -1.21%
Объём: пок. 18.9M ₽, прод. 16.6M ₽
2023-12-12 10:13"
2023-12-12T10:07:00.480+03:00,"{$RUSI} РУСС-ИНВЕСТ³
Цена: +0.68% (147.9 ₽)
🟩🟩Объём: 5.9M ₽ (4K лот)
Покупки: 86%, Продажи: 14%
За день цена: +5.27%
Объём: пок. 12.9M ₽, прод. 7.4M ₽
2023-12-12 10:06"
2023-12-11T16:07:33.265+03:00,"{$RUSI} РУСС-ИНВЕСТ³
Цена: -0.21% (140.2 ₽)
🟥🟥Объём: 3.9M ₽ (2.8K лот)
Покупки: 6%, Продажи: 94%
За день цена: +21.49%
Объём: пок. 38.5M ₽, прод. 34.1M ₽
2023-12-11 16:06"
2023-12-11T10:03:06.438+03:00,"{$RUSI} РУСС-ИНВЕСТ³
Цена: -1.75% (123.8 ₽)
🟥🟥Объём: 3.4M ₽ (2.7K лот)
Покупки: 41%, Продажи: 59%
За день цена: +7.28%
Объём: пок. 3.5M ₽, прод. 2.6M ₽
2023-12-11 10:01"
2023-12-08T18:12:07.796+03:00,"{$RUSI} РУСС-ИНВЕСТ³
Цена: +0.66% (122 ₽)
🟥🟥Объём: 4.3M ₽ (3.5K лот)
Покупки: 37%, Продажи: 63%
За день цена: +22.74%
Объём: пок. 26.4M ₽, прод. 25.5M ₽
2023-12-08 18:11"
2023-12-04T18:31:38.584+03:00,"{$RUSI} РУСС-ИНВЕСТ³
🔴Цена: -3.64% (111.3 ₽)
🟥🟥Объём: 3M ₽ (2.7K лот)
Покупки: 4%, Продажи: 96%*
За день цена: -12.64%
Объём: пок. 2.6M ₽, *прод. 9.9M ₽*
2023-12-04 18:30"
2023-09-23T09:08:02.080+03:00,{$RUSI} 🧐
2023-03-10T18:35:42.054+03:00,{$RUSI}
2023-02-20T22:04:55.177+03:00,"{$RUSI} ПАО «ИК Русс-Инвест», оставлю здесь."
2023-02-09T13:12:41.671+03:00,"{$RUSI} всем привет, какие тут новости?"
