time,text
2023-02-27T13:49:17.467+03:00,{$RUSP} кто-нибудь знает что с компанией? Вреде компоненты для авиадвигателей делали!
2023-01-20T18:31:32.638+03:00,{$RUSP} @Phenazepam )))) сейчас шарился в приложении госуслуги не у меня есть и другие операторы связи но почему-то разрешение на доступ к моим данным только  у Деника ))))
2022-10-06T15:09:25.221+03:00,"Про Русгрэйн писала, почему полностью исключила из рейтинга. Ликвидность сейчас итак под ударом, поэтому я бы советовала избегать неликвидные компании типа {$ORUP} {$RUGR} {$ROLO} {$RUSP} {$BLNG}

Как и писала, компания в моменте может падать до ~14₽, подробнее тут: https://www.tinkoff.ru/invest/social/profile/NataliaBaffetovna/da11367e-94b8-463d-a87b-607a30842aa9?utm_source=share

Предлагаю всем инвесторам пока неликвид отложить в далекий ящик, как бы привлекательно он не выглядел на рынке РФ, ну или выделять очень маленькие доли и иметь при этом большой денежный поток на капитал."
2022-09-14T06:15:12.730+03:00,"{$RUSP}  жива, а ль нет?"
2022-07-20T13:47:46.148+03:00,{$RUSP} всём деньги после выкупа пришли?
2022-05-24T10:30:12.086+03:00,"{$RUSP}
Про неё мало информации, что не так?"
2022-04-25T12:39:15.566+03:00,"🌇 Будьте в курсе, небольшой обзор российского и американского рынка в моменте.

◻️ Американские фондовые индексы торгуются в красной зоне. Опасения по поводу наступления рецессии усилились. На рынке наблюдается падение во многих областях рынка. Между тем, инвесторы готовятся к самому напряженному периоду сезона отчетностей. На этой неделе отчитается около 160 компаний, входящих в индекс 5&Р 500, при этом, все внимание будет приковано к отчетам крупных технологических компаний.
Динамика финансовых показателей и прогнозы менеджмента самых дорогих в мире компаний определят направление широкого рынка акций.
В общем ничего нового нет, американский рынок снижается вместе со всеми. Продолжаем следить за отчетами компаний.

◻️ Индекс Мосбиржи торгуется сейчас уже ниже, чем 24 февраля этого года. Позитиву для рынка пока браться неоткуда. Уже в среду вступает в силу закон о запрете на выпуск иностранных депозитарных расписок на российские акции. 


💡 События дня
◻️ {$CALM} последний день с дивидендом $0.125
◻️ {$CLX} последний день с дивидендом $1.16
◻️ {$FAST} последний день с дивидендом $0.31
◻️ {$ATR} последний день с дивидендом $0.38


📌 Главные темы
◻️ {$RUSP} Русполимет обратится к Мосбирже с заявлением о делистинге своих акций.
◻️ {$AAPL} JPMorgan ожидает доход Apple от iPhone  «немного» ниже консенсуса.
◻️ VK {$VKCO} запустила российскую игровую площадку VK Play с каталогом игр и стриминговым сервисом. Для ПК, Xbox и PlayStation.
◻️ США отреагируют, если Китай развернет военную базу на Соломоновых островах - Белый дом. Австралия опасается, что Китай нарастит военное присутствие на Соломоновых островах - The Times.
◻️ Forbes: Центральноафриканская Республика стала первой страной в Африке, легализовавшей BTC в качестве платежной валюты.
◻️ США позаботится о том, чтобы у Украины было все для победы в этой битве — Минобороны США на пресс-конференции в Польше.
◻️ Возможные покупатели доли Тинькова в TCS Group - Альфа-банк, Промсвязьбанк, АФК «Система» и «Яндекс».
◻️ Сделка по покупке Twitter {$TWTR} может быть завершена на этой неделе, идут переговоры с Маском — Wall Street Journal.
◻️ 27 апреля 2022 г. совет директоров Магнита {$MGNT} утвердит рекомендации ГОСА по распределению прибыли и убытков по результатам 2021 отчетного года.
◻️ Посольство США в Киеве будет открыто в ближайшие недели — госсекретарь США Блинкен.
◻️ Рынки Британии и Германии падают после открытия торгов. Затянувшийся кризис энергоресурсов и нерешаемые на данный момент проблемы в логистических цепочках бьют по экономике ЕС.
◻️ Цены на желруду и сталь упали из-за беспокойства о спросе в Китае на жестких антиковидных ограничениях.
◻️ Банк России изменил порядок расчета официальных курсов иностранных валют. Банк России переходит к  установлению официальных курсов иностранных валют по отношению к рублю по состоянию на 15:30 мск. Курс доллара США по отношению к рублю будет рассчитываться на основе данных Мосбиржи о средневзвешенном курсе доллара США к рублю по сделкам, заключенным с 10:00 до 15:30 мск. Ранее период расчета составлял 10:00 — 16:30 мск.
◻️ ЕС не может прийти к консенсусу по введению эмбарго на поставки нефти и газа из РФ — глава европейской дипломатии Боррель.
Россия обеспечивает себя овощами на 87%, потенциал для роста есть, заявил Мишустин — ТАСС.
{$TCSG} Коммерсантъ назвал возможных интересантов на покупку у Тинькова TCS Group. Среди возможных интересантов на покупку доли семейного траста бизнесмена Олега Тинькова в основанной им TCS Group (35%) — Альфа-банк, Промсвязьбанк, АФК «Система» и «Яндекс», ранее претендовавший на покупку «Тинькофф банка». Долю Тинькова могут приобрести дешевле ее рыночной стоимости на конец марта в $6 млрд — за $300 млн.


💬 Сегодня большинство участников рынка ожидает негативную динамику на российском рынке акций. Всем хорошего дня!"
2022-04-21T13:33:25.568+03:00,{$RUSP} почему ей торговать нельзя?
2022-04-12T14:20:13.483+03:00,{$RUSP} когда будет открываться она
2022-04-08T14:08:57.822+03:00,{$RUSP} у нее делистинг?
2022-04-01T11:26:56.332+03:00,"🖨 #Отчётность
Финансовая отчётность Русполимет {$RUSP} Отчет РСБУ"
2022-03-29T19:18:17.652+03:00,{$RUSP}
2022-03-15T11:50:50.930+03:00,{$RUSP}
2022-01-04T12:24:35.401+03:00,{$RUSP} почему по этой папире нет торгов?
2021-12-29T19:46:16.539+03:00,"👊 ДРАКА!

🔩 Комментирую @Georg_S
📃 Пост: ""Как я набирал портфель акций на коррекции"".

Сегодня постараюсь расшатать разумного перспективного долгосрочного фондового инвестора, однако и в отдельные бумаги инвестирует тоже.

Использует метод ранжирования для оценки недокупленности, как и мой анализатор.
Давайте проверим на сколько наши результаты совпадут, а если совпадут - зачем платить временем больше?

—

💰Дорогая
🇷🇺 {$GTRK}, ГТМ

🍏 Преимущества:
•  Стабильный показатель выручки компании (+1pt)
•  Долг маленький (+1pt)

🍎 Риски:
•  Хорошая цена для акции (-1pt)
•  Отрицательный рост бумажной доходности (-5pt)

💬 Комментарий:
Анализатор негативно отреагировал на падение котировок, размер капитализации и даты IPO, уменьшив статус компании с ""🥈отличная "".

Для принятия решения, мне недостаточно текущих мультипликаторов. Смотрю на длительную историю, а к свежим компаниям отношусь с осторожностью.

В принципе, можно сесть на поезд, который только-только набирает пассажиров, если разобраться, куда он Вас довезет.

—

🌋 Пузырь
🇷🇺 {$MVID}, М.Видео

🍏 Преимущества:
•  Процент выплат дивидендов прилично увеличился (+3pt)
•  Годовая дивидендная доходность хорошая (+2pt)
•  Не плохие суммарные дивиденды (+1pt)
•  Хороший показатель выручки компании (+2pt)

🍎 Риски:
•  Ужасный долг (-8pt)
•  Средний коэффициент выплаты (-1pt)
•  Плохая бумажная доходность (-1pt)

💬 Комментарий:
Огромнейший долг, портящий всю малину. Это ритейл и долг здесь уместен, но в таком количестве - сомнительно. Без долга эмитент вышел бы на уровень ""🥇 превосходной"" компании.

—

🥈🇷🇺 {$SELG}, Селигдар

🍏 Преимущества:
•  Дешевая акция для России (+2pt)
•  Отличный темп роста выручки компании (+3pt)
•  В процентах, выплат стало серьезно больше (+5pt)
•  Годовая дивидендная доходность не плохая (+1pt)
•  Отличная окупаемость инвестиций (+1pt)
•  Отличный долгосрочный рост котировок (+3pt)
•  Хорошие суммарные дивиденды (+2pt)

🍎 Риски:
•  Отвратительный коэффициент выплаты (-5pt)
•  Плохой показатель долга (-3pt)

—

💰🇷🇺 {$RUSP}, Русполимет

🍏 Преимущества:
•  Акция с низкой ценой (+2pt)
•  Стабильный темп роста выручки компании (+1pt)

🍎 Риски:
•  Ужасный темп роста котировок (-3pt)
•  Долг нормальный (-1pt)

💬 Комментарий:
С хорошей капитализацией была бы ""🥈 отличная"". Вы можете считать, что это искусственное занижение оценки и будете в чем-то правы. Но подумайте: ""деньги - власть"".

—

💰🇷🇺 {$BELU}, Белуга Групп ПАО ао

🍏 Преимущества:
•  Показатель выплат по дивидендам идеальный (+2pt)
•  Рост выплат по дивидендам серьезно увеличился (+5pt)
•  Стабильный показатель выручки компании (+1pt)

🍎 Риски:
•  Годовая дивидендная доходность плохая (-1pt)
•  У компании хорошая цена (-1pt)
•  Слишком подозрительный рост котировок (-5pt)

💬 Комментарий:
Анализатор реагирует на аномалию и пытается уберечь от входа. На самом деле компания ""🥈 хорошая"".

—

🌋🇷🇺 {$MAIL}, VK

🍏 Преимущества:
•  Хороший показатель выручки компании (+2pt)
•  Долг маленький (+1pt)

🍎 Риски:
•  Отрицательная бумажная доходность (-5pt)
•  Отрицательная доходность с бизнеса (-2pt)

💬 Комментарий:
А тут с автором не соглашусь совсем: да, компания дешевая, но это отвратительный, убыточный бизнес с ужасной репутацией, пытающийся скрыть свои недостатки за ребрендингом.

—

Правильные инвестиции - не развлечение. Относитесь к ним серьезно, на кону стоит Ваша жизнь.
""Драка"" - лишь мимолетное веселье между монотонным чтением умных книг и скучным долгосрочным инвестированием.

#драка #шоу #акции #инвестиции

Коллеги, учитывая критику под прошлым постом добавил комментарии к эмитентам, где анализатор не согласен с автором. На деле, когда сравнивал мнения других не публично, смотрел в причины расхождений и делал выводы, улучшая продукт.

Сегодня точно можно сделать вывод: я очень строг к капитализации Российских эмитентов. Однако Россия - это политические риски, где бизнес могут отжать в любой момент. Возможно, такой ""отжим"" будет на пользу инвестору, но ведь можно не рисковать."
2021-12-28T21:08:58.748+03:00,{$RUSP} она торгуется или делистинг ??
2021-10-31T06:28:10.623+03:00,{$RUSP} 🤔🤔🤔
2021-10-26T22:35:36.932+03:00,"❗Здесь не будет прогнозов стоимости❗

Я продолжаю писать про горнодобывающую отрасль и почему она важна в современном мире. 

Выбрал вот таких 3 важных элемента в жизни человека.

📱Смартфон. На первой картинке отображены металлы, которые требуются для производства одного смартфона. Например {$AAPL} в 2017 года продали 216 млн.шт. в 2020 году 90 млн.
Компании, которые добывают и производят эти прекрасные элементы {$ROLO} {$POLY} {$PLZL} 

🚙Автомобили. аналогично металлы используемые для производства корпуса.
{$RUAL} производит и добывает алюминий
{$CHMF} металлы
{$MAGN}  металлы
{$RUSP} металлы и сплавы
{$FCX} добывают руду используемую в сплавах

⚡Батарейки. Обратите внимание сколько компонентов содержит батарейка. 
Я отмечу здесь только {$GMKN} 

❗А следующий пост напишу про рост производства авто-электро двигателей и сколько нужно Лития, что бы закрыть мировую потребность.

Используйте эти данные, когда будете выбирать компанию для инвестиций в неё.

#молодойгеолог #долгосрочныеинвестиции #большинствоошибается
#учу_в_пульсе"
2021-10-19T22:48:01.876+03:00,"Самые ""дешёвые"" компании российского рынка: Почему они такие, что с ними не так и стоит ли рисковать?
Рассмотрим {$ISKJ} {$RUGR} {$ROLO} {$LIFE} и {$RUSP}  Часть вторая - {$ROLO} 

Большое спасибо за то, что в комментариях указали о делистинге Русполимета. Эту компанию разбирать не будем, потому что ООО «Мотор-инвест» решил выкупить оставшиеся акции компании - соответственно приобрести их невозможно.
Теперь к {$ROLO} 
• Отрицательный P/E
• P/S - 10
• Выручка растёт, прибыль падает.
В первую очередь надо понять, что Русолово - это 3 отдельные компании, которые занимаются добычей и разработкой оловянных жил. Основные находятся в Хабаровском крае и на Чукотке. ПАО «Правоурмийское» занимается увеличением добычи, АО «ОРК» тем же самым + немного вольфрамом. ООО «Территория» основали в 2020 году и основная задача у ребят - начать работать с новой жилой. 90% акций компании в руках у {$SELG} 

Основной поставщик олова на мировой рынок - Азия, но в последнее время запасы уменьшаются и на этот рынок может вступить Австралия и Латинская Америка. Русолово далеко не крупнейший игрок на этом рынке, но это фактически монополия на рынке РФ. Многие месторождения находятся на территории России, но пока их не добывают. Это говорит о том, что компании есть куда стремиться и перспектива роста за счёт разведки новых месторождений возможна. Первый плюс. График добычи прикреплён.

Олово в основном используется для производства жести (около 30%), ещё столько же уходит на изготовление припоев. Остальные 40% делят между собой фольга, пищ. промышленность, фигурки, порошки и сплавы металлов. То есть пока вы покупаете кока-колу или пиво в баночке, и пока вы пользуетесь полупроводниками металл будет востребован. Второй плюсик. P.S. Вольфрам из-за маленьких объёмов не делает погоды для компании.

Выручка у компании растёт от года к году. С 2040 млн. рублей в 2019 году до 2763 млн рублей в 2020. Это хорошо, потому что расходы росли медленнее выручки до 2021 года. Вдвойне хорошо, что получалось показывать такие результаты на рынке металла, который находился в боковике последние несколько лет. В 2021 с ростом цены на олово (график внизу) и выручка компании за первые полгода увеличилась пропорционально. Это значит, что темп роста немного замедлился, а ещё и EBITDA по сравнению с 2020 стала меньше. И плюс и минус.

В 2021 году за первые полгода компании удалось уменьшить чистую прибыль относительно прошлого года в 4 раза. В отчёте основные расходы указаны как «себестоимость продаж», но я не смог найти что именно повиляло на рост этого показателя в 2 раза. Если кто-то в курсе, напишите пожалуйста в комментариях. Это минус.

Основные риски как определяет Русолово - объём переработки, сломанная цепочка поставок, кризис в экономике. Компания пытается подстраховаться, принимает предоплату за товар в размере 80% в РФ и 90% на экспорт. Кстати на экспорт идёт около 40% добываемого сырья. Оценка рисков как всегда остаётся за самими инвесторами. Я сейчас больше переживаю за то, что не могу точно определить связан ли рост расходов с третьей компанией или же это внутренние проблемы менеджмента.

Компания много вкладывает в снижение производства CO2, рекультивацию и зелёную тематику. Сейчас это общий тренд и тут компания получает плюсик. Потому что придёт время, когда ""грязным"" компаниям будет сложнее продавать товары.

В общем у меня очень смутное отношение к {$ROLO}  С одной стороны - рост цен на сырьё, разработка новых месторождений и улучшение производства. С другой - сплошные убытки, никто не говорит о стратегии выхода в прибыль и непонятно сможет ли компания через несколько лет конкурировать на мировом рынке. Для меня на текущий момент риски перевешивают перспективы, я бы с большей охотой взял {$CHMF} или Сегежу {$SGZH}  из промышленного сектора. Потому что обе компании вертикально интегрированы, обе являются лидером в своём секторе по рентабельности в мире и у обеих есть чёткая и понятная стратегия развития, перспективы которой перевешивают риски. Буду ждать отчёт в ноябре.
#учу_в_пульсе"
2021-10-15T17:33:34.860+03:00,"Самые дешёвые компании российского рынка:
Почему они такие, что с ними не так и стоит ли рисковать?
Рассмотрим {$ISKJ} , {$RUGR} , {$ROLO} , {$LIFE}  , {$RUSP}  . Часть первая - {$RUGR} 

Краткая сводка:
P/E отрицательный
P/S микроскопический
Выручка 8 млрд за 2020 и 5,2 млрд за полгода 2021. Убыток от основной деятельности и стоимость на рынке в половину миллиарда.
Что это значит? Значит здесь высокий риск и высокая потенциальная доходность, попытаемся разобраться.

Компания - это холдинг из 13 компаний, которые занимаются сельским хозяйством и торговлей, они производит комбикорма, колбасу, бройлеров, яйца и продают их на рынке РФ. За последние годы {$RUGR} накопила приличные долги и летом 2020 года 69,21% её активов были проданы ПАО Банк ""Траст"", который теперь по факту и является основным владельцем. Основной владелец заявляет, что у него разработана программа по выходу из сложившейся ситуации, например он планирует восстановить финансовую эффективность, увеличить маржу, выйти на экспортные рынки и снизить долговую нагрзку. После чего скорее всего часть компании (возможна и вся) будет продана другим профильным игрокам на этом рынке.

И судя по первому кварталу 2021 года у холдинга начало получаться, ибо выручка выросла 70%, валовая прибыль на 20% а общий убыток на акцию с 77р (2019) до 12р (июль 2020). Что значит - имеет смысл рассматривать компанию дальше, ведь при удачном стечении обстоятельств компания будет получать прибыль на акцию больше, чем стоит сама акция.

Основные риски, которые я могу выделить из отчёта компании за 2020 - повышение цен на зерно, уменьшение субсидирования отрасли, ограничения цен на продукты от государства, логистические издержки для экспорта. Но часть рисков снимается тем, что крупный холдинг вертикально интегрирован, а вторая часть - хеджированием рисков, гибкой закупочной политикой и долгосрочными договорами с контрагентами. Остаётся ещё растущий долгосрочный долг, но компания успешно гасит дебиторку и краткосрочные долги, а в долгосрочные входят аренда помещений, земли и т.п. Так что быстро выйти из них не получится.

Структура выручки в % компании на скрине ниже. Судя по полугодовому отчёту растёт выручка от полуфабрикатов и комбикормов, видимо компания потихоньку планирует переходить от свежих куриц и яиц в рамках своего региона на колбасные изделия, полуфабрикаты и корма (как для своих птиц, так и на продажу). Основные триггеры роста помимо восстановления: повышение цен на зерно, увеличение потребления постных продуктов + обнищание населения в РФ, для которого птица самый дешёвый из доступных видов мяса. Пока к сожалению я не вижу информации о выходе на экспорт или о расширении количества входящих в холдинг организаций. 

Стоит ли покупать {$RUGR}  ? Я возьму на небольшую сумму 3-5% портфеля, делая ставку на то, что компания сможет выйти на прибыльность при новом руководстве, а после роста основного бизнеса возможно будет поглощена более крупным игроком или же начнёт выплачивать дивиденды.

Формировать мнение о продаже буду по отчётам компании, основной фокус внимания на рост прибыли на акцию и на долги + риски.
#учу_в_пульсе"
2021-10-15T17:32:45.299+03:00,"Что-то я совсем забил на посты в пульсе, но пока прокрастинация не убила меня полностью мне захотелось поразбираться на своём уровне в отчётностях компаний, которые являются самыми дешёвыми на российском рынке. Список вот такой - {$ISKJ}, {$RUGR}, {$ROLO}, {$LIFE}, {$RUSP} .
Зачем? Потому что это интересно и намного проще читать отчёты на своём языке, чем читать на том, который ты знаешь на начальном уровне. Плюс - возможность поинтересоваться этими рынками. Понятно, что это не потянет на какую-то классную аналитику, а будет скорее обзор отчётности и взвешивание рисков против доходности, но рядом с постами типа ""посоны ракета после падающей балды на средневзвешенной линии"" думаю мои разборчики будут выглядеть хорошо. Это как быть хорошистом в классе с троечниками и двоечниками - вроде умом не блещешь, но относительно среды выделяешься 😊"
2021-09-20T21:24:42.512+03:00,{$RUSP} что то интересное
