time,text
2023-12-13T00:41:00.560+03:00,"{$RZSB} какой последний дивиденд был, сколько заплатили на акцию?"
2023-12-08T10:47:15.277+03:00,"{$RZSB} Рязанская энергетическая сбытовая компания³
🟢🟢Цена: +7.45% (34.9 ₽)
Объём: 900.4K ₽ (258 лот)
Покупки: 79%, Продажи: 21%
За день цена: +5.69%
Объём: пок. 1.4M ₽, прод. 2M ₽
2023-12-08 10:46"
2023-09-23T09:07:42.916+03:00,{$RZSB} 🧐
2023-04-23T15:40:30.043+03:00,{$RZSB} Привет
2023-04-12T13:06:53.438+03:00,{$RZSB}
2023-04-11T19:20:45.836+03:00,{$RZSB}
2023-02-10T20:18:59.806+03:00,{$RZSB} привет
2021-10-06T20:06:29.528+03:00,"{$RZSB} в закладки не добавить, отмечу её комментарием)"
2021-09-14T19:30:33.391+03:00,"{$RZSB} ну все, до Нового Года тут боковик! После 1 января будем откупать 😄"
2021-06-03T10:54:11.599+03:00,"{$RZSB} хорошо летит вниз! Думаю, подождем брать… мнение, что 19,5 мы увидим"
2021-06-01T14:31:48.252+03:00,{$RZSB} сегодня последний день с дивидендом.
2021-05-30T22:50:47.168+03:00,{$RZSB} какие дивиденды платит компания?
2021-05-27T08:38:27.542+03:00,{$RZSB} что это у неё такой пост последний год?
2021-05-26T12:30:24.119+03:00,"{$RZSB} дата, на которую определяются лица, имеющие право на дивиденды (1,4517042651) по итогам 2020 года, 03.06.2021"
2021-05-21T15:40:28.991+03:00,{$RZSB} мертвая бумага
2021-05-21T13:48:44.689+03:00,"{$RZSB} мне просто интересно, почему здесь никто ничего не пишет?"
