time,text
2024-04-13T16:00:13.197+03:00,"💰ТОП-5 дивидендных акций РФ. Кто платит самые большие дивиденды?
 
Продолжаем богатеть на дивидендах. Скоро начинается дивидендный сезон и самое время посмотреть, какие компании выплачивали (а может быть и собираются продолжать) самые большие дивиденды за последние 5 лет.
 
Отрезок времени очень интересен тем, что тут и ковид и начало специальной военной операции, таймфрейм «черных лебедей» одним словом. 
 
Если вдруг кто-то начал инвестировать вчера, то знайте, что доходность прошлых лет не гарантирует такой же доходности в будущем, но у данных компаний, есть все предпосылки, как минимум, остаться на прежнем уровне.
 
Перейдем к компаниям и посмотрим, какие выплаты были за последние 5 лет и их среднегодовая доходность, поехали, гайз!
 
🔵 Дивиденды за 5 лет и их доходность
 
🏦 Сбербанк (тикер: {$SBER}) 
• Дивиденды – 78,4 руб 
• Доходность за 5 лет – 6,19% 
• За 5 лет рост акции составил 28,53% 
В этом случае на ум приходит поговорка: один раз не…, дальше сами знаете. Ну отменили дивиденды, но все же понимают почему. При чем в этом году дивиденды будут двухзначные, а когда Греф говорил, что прибыль сбера в 2024 году будет выше 2023 года, скептики крутили пальцем у виска, ну что ж, дорогие скептики, посмотрите отчет за 1 квартал 2024 и на цифры, которые демонстрирует Сбербанк. Чистая прибыль 364 млрд и это при ставке ЦБ 16%, то ли еще будет.
 
⛽️ Газпром нефть (тикер: {$SIBN}) 
• Дивиденды – 281,79 руб 
• Доходность за 5 лет – 10,32% 
• За 5 лет рост акции составил 127,09% 
Прекрасная компания, прекрасный менеджмент, но последние новости об изменении структуры управления компании вполне могут иметь характер, как негативный. Будем следить за ситуацией, но к дивидендам в ближайшее время это отношения, в плохом смысле, иметь скорее всего не будет. Газпром, давай, живи.
 
⛽️ Лукойл (тикер: {$LKOH}) 
• Дивиденды – 2 974 руб 
• Доходность за 5 лет – 10,52% 
• За 5 лет рост акции составил 38,34% 
Лукойл и дивиденд, при чем растущий от года к году, можно сказать синонимы. Посмотрим, как долго продлится практика постоянно повышающихся дивидендов.
 
⛽️ Татнефть-ап (тикер: {$TATNP}) 
• Дивиденды – 279,81 руб 
• Доходность за 5 лет – 10,76% 
• За 5 лет рост акции составил 21,26% 
Компания, которая, если может, платит и 75 и 100% от чистой прибыли, остается только пожелать им успехов в ведении своего нелегкого нефтяного бизнеса.
 
🌾 ФосАгро (тикер: {$PHOR}) 
• Дивиденды – 3 225 руб 
• Доходность за 5 лет – 12,26% 
• За 5 лет рост акции составил 184,84% 
Единственное, что жалко, так это то, компания, скорее всего не будет бенефициаром высоких цен на газ, так как Европа себя экономически кастрировала, а цикличность бизнеса, в данный момент, не дает цене акции идти вверх. Но стоить заметить, что сегодняшние цены на удобрения, выше максимумов прошлых хаев, а значит при запуске нового цикла, нас может ждать прекрасная дивидендная история.
 
Прекрасный список компаний, с прекрасными дивидендами. Главное, чтобы не произошло так, что дивиденды отменят, а биржу закроют. 
 
Я же продолжу набирать дивидендные акции в свой портфель, все представленные компании находятся у меня в топ-10, где-то плачет одна Роснефть {$ROSN} , которая не попала в данный список, но у нее есть все перспективы залетать в топы по дивидендам. 

💨 dividends, yeach

🪄 ПРЕМИУМ от Тинькофф БЕСПЛАТНО https://www.tinkoff.ru/baf/5aE4TqnnnH3 👑
                                      +
🪄 БЕСПЛАТНАЯ кредитная карта: 
https://www.tinkoff.ru/baf/46DPL8h7gFk 💳

А ещё вас ждут подарки 🎁 + 🎁 акции крупной компании и многое другое❕

#акции #инвестиции #пульс #новичкам #дивиденды"
2024-04-13T15:23:11.271+03:00,"{$SBER}  ответ всем, кто не верит в Сбер. Открыты две позиции на разных счетах, текущая доходность 30% за год, 102% за два года + дивы😉"
2024-04-13T15:11:18.860+03:00,"Анализ Сбера {$SBER} {$SBERP}

Сбербанк не смог закрыть торги выше цены 308 руб., что на фоне негативного сочетания крайних двух дневных свечей, а также игнорирования линии часового индикатора, будет способствовать снижению в понедельник к цене 305,5 руб.

Около нее проходит восходящая линия поддержки, параллельно являющаяся линией шеи в потенциальной конструкции «Голова и плечи».

Как уже было описано во вчерашнем посте с разбором Сбербанк, при негативном варианте с реализацией данной конструкции, котировки рискуют снизиться к цене 301,5 руб., около которой проходит дневной уровень поддержки. Не иир. Хорошего вам дня!)
❤️В профиле дал список акций с потенциалом роста 50%. Подпишись"
2024-04-13T14:41:20.212+03:00,"#сбер В ПОСТЕ МОЁ МНЕНИЕ И НЕ ИНДИВИДУАЛЬНАЯ ИНВЕСТИЦИОННАЯ РЕКОМЕНДАЦИЯ
Долгожданный обзор {$SBER} {$SBERP} акция и компания РФ, бизнес в основном в РФ, не депозитарная расписка, 1 место среди банков РФ с большим отрывом от {$TCSG} {$SVCB} {$VTBR} {$BSPB} и других, почти ПОЛОВИНУ банковского сектора занимает СБЕР!!! 
Отчёт 2023 по МСФО к 2022 году:
Выручка 2.9 трлн руб, РОСТ БОЛЕЕ Х2
Чистая прибыль 1.5трлн руб, рекорд
Коэффициент достаточности капиталла 14%
Кредитный портфель вырос на 25%
Ориентировочные дивы 33 рубля на акцию (это не точно, ожидаю выше от 40 руб на акцию при превышение див политики более 50% прибыли, 70% или 80%)
ПЕРСПЕКТИВЫ: рост небанковского сектора в структуре выручки, это экомистема: развитие ИИ, колонки, телевизоры, операционная система, сбермегамаркет и другое, банк государственный поэтому зальют деньгами при форс мажоре и будет брать деньги с гос контрактов и кредитов
МИНУСЫ: при введении цифрового рубля, надобность в банковском секторе может отпасть, будут ходить денежные потоки прямиком через цб и госуслуги.
Рост резервов банков при неблагоприятной обстановке в стране, а значит и денег для оборота оставаться будет меньше
Мой взляд на сбер позитивный👍ожидаю на след год цену акции 400 руб и более, 2 место среди акции в РФ после {$LKOH} и ДИВЫ стабильные и РАСТУЩИЕ 11-12% базовый прогноз, но думаю будут 15-20% при увеличении % от прибыли на дивы (но это не точно)
Считаю однозначно в портфеле должны быть лукойл, сбер на 5% капитала не считая других голубых фишек {$NVTK} {$GAZP} {$SIBN} {$TATN} {$SNGSP} {$ROSN}
Буду брать колл опционы немного в июне под заседание СД, может больше 50% от прибыли дадут дивов🚀лайк, подписка, попадание в топ ленты #пульс🚀"
2024-04-13T14:07:40.683+03:00,"Всем привет!
Продолжаю рассказывать про свою стратегию [&Fox strategy](https://www.tinkoff.ru/invest/strategies/b4a42b8f-634f-4e1f-82f7-6096bae72254) .
За прошедшую неделю доходность стратегии составила +0,42%, а общая доходность почти за 3 месяца +12,52%. Эта неделя оказалась не богатой на доход, но с учётом того, что в целом по рынку наблюдали разнонаправленное движение по бумагам, диверсификация портфеля стратегии помогла избежать просадок и позволила немного заработать. Общая же доходность соответствует целям на год – 30-50%, без резких взлётов и падений с ориентацией на плавный рост.
Сегодня расскажу ещё про одну компанию, акции которой я держу в портфеле.
Акции компании Интер РАО ЕЭС {$IRAO} .
Как и акции компаний, о которых рассказывал в предыдущих постах, акции Интер РАО ЕЭС покупал в преддверии отчёта, а так же возможного объявления дивидендов, плюс докупал уже по факту, после объявления дивидендов. Напомню, что они составят 0,326р. на одну акцию, а доходность составит 7,65%, дата покупки для получения – до 31 мая. На сегодняшний день доля данных акций в портфеле стратегии составляет – 32,17%, а доходность +2,77%. Доход пока небольшой, несмотря на внушительную долю в портфеле, однако вижу хорошие перспективы для роста в течение ближайшего времени. К примеру аналогичная ситуация была в портфеле с обыкновенными акциями Сургутнефтегаз {$SNGS} , однако за две недели акции показали рост +5,32%, что было вполне ожидаемо и о чём я и писал.
Так же на прошедшей недели немного уменьшил позицию по акциям компании Московская Биржа {$MOEX} , зафиксировал прибыль +8,37%, средства от продажи пошли на покупку акций компании, о которой я расскажу в следующем посте.
Портфель стратегии:
Интер РАО ЕЭС: Доля – 32,17%, доход + 2,77%;
Московская Биржа: Доля – 20,46%, доход + 6,43%;
Сургутнефтегаз: Доля – 13,95%, доход + 8,71%;
Сбербанк {$SBER} : Доля – 13,46%, доход + 10,56%;
Северсталь {$CHMF} : Доля – 8,14%, доход + 15,57%;
ВИМ – Ликвидность {$LQDT} : Доля – 1,48%, доход + 0,46%;
Компания, о которой расскажу в следующем посте: Доля – 10,13%, доход + 1,29%;
Спасибо всем, кто дочитал до конца, всем удачи и зелёных портфелей!!!
Ознакомиться со стратегией, пока она находится в закрытом режиме, можно по ссылке https://www.tinkoff.ru/invest/strategies/b4a42b8f-634f-4e1f-82f7-6096bae72254/
Не является ИИР!"
2024-04-13T14:03:18.572+03:00,"Яндекс {$YNDX}  с конца мая находится в состоянии боковой коррекции. В тоже время неудачная попытка пробоя линии дневной скользящей и последующее движение над ней, а также формирование 5-ти дневной конструкции ""Треугольник"", указывают на возможность возобновления восходящего тренда с обновлением дневных максимумов.

По итогу пятницы котировки формируют концентрацию над часовым индикатором что способствует началу реализации конструкции в течении торгов новой сессии.

Ближайшей целью выступит коридор цен 4100 - 4150 руб., дальней целью - цена 4300 руб.


Сбербанк {$SBER}  не смог закрыть торги выше цены 308 руб., что на фоне негативного сочетания крайних двух дневных свечей, а также игнорирования линии часового индикатора, будет способствовать снижению в понедельник к цене 305,5 руб., около которой проходит восходящая линия поддержки, параллельно являющаяся линией шеи в потенциальной конструкции ""Голова и плечи"".

Как уже было описано во вчерашнем посте с разбором Сбербанк, при негативном варианте с реализацией данной конструкции, котировки рискуют снизиться к цене 301,5 руб., около которой проходит дневной уровень поддержки.


Сургут обычка {$SNGS}  в течении новой недели имеет шанс на начало движения в коридор цен 34 - 34,5 руб., в районе которого установлены дневные максимумы октября прошлого года. 

Технически на это указывает наличие конструкции ""Треугольник"" и закрепление над линией часового индикатора по итогу торгов пятницы.


ГАЗПРОМ {$GAZP}  вторую неделю торгуется около своих ближайших дневных максимумов. В результате чего котировки формируют конструкцию ""Восходящий треугольник"". 

Текущее формирование часовой концентрации около верхней линии конструкции способствуют её дальнейшей реализации в результате чего котировки могут отрасти к дневному уровню сопротивления, который проходит около цены 169 руб. 

Аэрофлот {$AFLT}  смог обновить свои прошлые дневные максимумы. В тоже время сессию котировки закрывают коррекцией в результате которой произошло новое закрепление под линией часового индикатора.

Технически картинка вновь способствует снижению, где ближайшей целью выступит восходящая линия тренда, которая в моменте проходит около цены 49,7 руб.

Индекс #imoex продолжил торговлю около верхней границы дневного торгового коридора. Я думаю что при отсутствии дополнительного позитива, российский рынок в течении новой недели перейдёт к фазе коррекции нижней границей которой может выступить цена 3400 руб.

Закрытие текущей вечерней сессии под линией часового индикатора увеличит шансы на описанный выше сценарий.

Источник: Тех. Анализ

🪄 ПРЕМИУМ от Тинькофф БЕСПЛАТНО https://www.tinkoff.ru/baf/5aE4TqnnnH3 👑
                                      +
🪄 БЕСПЛАТНАЯ кредитная карта: 
https://www.tinkoff.ru/baf/46DPL8h7gFk 💳

А ещё вас ждут подарки 🎁 + 🎁 акции крупной компании и многое другое❕

#акции #инвестиции #пульс #новичкам #теханализ"
2024-04-13T14:00:59.295+03:00,"[&Ваши инвестиции](https://www.tinkoff.ru/invest/strategies/43f8b841-1e6d-4b34-9b9d-679aff55adbb)
Вышли недавно результаты сбера {$SBER}, что по ним видно🔍
📌Они показывают замедление кредитования, и снижение рентабельности  (22%). Из-за роста операционных издержек и расходов на создание резервов.
Рентабельность по РПБУ хоть и снизилась, но остается высокой 🔥. 
💵Совокупный кредитный портфель Сбера по итогам 1К24 увеличился всего на
1% до RUB 39.3 трлн. Отмечается улучшение спроса в корпоративном кредитовании в марте — объем выдач вырос на 20% м/м до RUB 1.8 трлн. В розничном, наоборот наблюдается снижение темпов роста — совокупный объем выдач сократился на 39% к/к до RUB 1.3 трлн, что связано с более слабой динамикой выдач ипотеки📉. 
Чистый процентный доход за 1К24 повысился на 20% г/г до RUB 618.8 млрд, комиссии — на 6% г/г до RUB 165.7 млрд.

Вообщем нормальные результаты, ни хорошие , ни плохие. Во всем банковском секторе, с такой ставкой, будет трудно ждать рекордных прибылей.

Более оптимистично, думаю дела сложатся у нефтяников, с такой стоимостью нефти и курсом рубля🏆 {$LKOH} {$SNGSP}"
2024-04-13T13:56:50.375+03:00,"Всем солнечной субботы 🏝️

В рамках ежемесячных пополнений, закинул на счет 20 к рублей💰
Закупился дивидендными акциями:

{$SBER} 1 лот 
{$PHOR} 1 лот
{$TRNFP} 2 Лота 
{$ALRS} 3 Лота 
{$MAGN} 4 Лота 
{$ROSN} 2 Лота 
{$TATN} 1 лот

Хотел прикупить {$LKOH}, но сейчас он стоит дороговато. Буду набирать позицию после выплат дивидендов 📉

Считаю данные дивидендные компании топы нашего рынка, которые радуют хорошими выплатами. 
Также, сейчас металлурги возвращаются к выплатам. Думаю, ММК тоже может заявить о более высоких выплатах, чем его визави. 

🎯 Цель на 2024 год получить 40 к дивидендами💰

Ваше мнение по данным акциям?"
2024-04-13T13:53:42.844+03:00,"Вчера Тинькофф подарил еще одну акцию, на этот раз оказалась акция Сбербанка {$SBER} К тому же я еще прикупил 20 акций за пару дней до подарка"
2024-04-13T13:40:11.673+03:00,"Друзья Добрый День 🌞 Поделитесь пожалуйста инфой кто какими брокерами еще пользуется, кроме Тинькофф. Где какие комисси . Вот я пока пользуюсь Тинькофф, Сбер ( без плечей) и Альфа . Говорят в Финаме недорогие комиссии. А что по удобству у других ? Хотелось бы именно Ваш опыт услышать .
{$TCSG} {$SBER}"
